
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-533-209	3	ON External	20.000	OFF	1018	0.000	15%	400x	10	ON fiber length	4.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-536-209	3	ON External	20.000	OFF	1018	0.000	15%	400x	10	ON fiber length	4.00	
Ch 3	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-546-205	3	ON External	20.000	OFF	1018	0.000	15%	400x	10	ON fiber length	4.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-545-205	3	ON External	20.000	OFF	1018	0.000	15%	400x	10	ON fiber length	4.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	20.947	19.297	990	100.000	20.950	53.124	23.485	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	21.376	19.507	990	100.000	20.950	50.959	22.836	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.521	19.698	990	100.000	20.950	52.236	22.869	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.697	20.040	990	100.000	20.950	52.160	22.843	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	
Data	Smoothing:	3	
Date:	7/26/2022	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/26/2022	09:20:16	0.00		8.3899	8.8586	8.5880	8.6991	19.163	19.163	19.163	19.163	988.47	38.853	19.163	---	---	24.351	23.069	23.486	23.344	123.349	54.197	75.504	104.910	4.164	4.406	5.239	31.211	
7/26/2022	09:20:18	1.41		8.3969	8.8577	8.5956	8.7062	19.163	19.163	19.163	19.163	988.49	38.896	19.163	---	---	24.341	23.070	23.476	23.335	123.296	54.194	75.500	104.889	4.132	4.397	5.269	31.083	
7/26/2022	09:20:19	2.51		8.3960	8.8509	8.5892	8.7150	19.163	19.163	19.163	19.163	988.47	38.939	19.163	---	---	24.342	23.079	23.484	23.323	123.323	54.184	75.493	104.844	4.195	4.293	5.321	31.206	
7/26/2022	09:20:20	3.70		8.3927	8.8571	8.5818	8.7163	19.163	19.163	19.163	19.163	988.47	38.960	19.163	---	---	24.347	23.071	23.494	23.321	123.343	54.166	75.507	104.866	4.163	4.276	5.221	31.143	
7/26/2022	09:20:21	4.77		8.3853	8.8600	8.5790	8.7106	19.164	19.164	19.164	19.164	988.49	38.939	19.164	---	---	24.357	23.067	23.498	23.329	123.437	54.111	75.514	104.916	4.094	4.263	5.174	31.246	
7/26/2022	09:20:22	5.91		8.3830	8.8643	8.5809	8.6991	19.168	19.168	19.168	19.168	988.52	38.939	19.168	---	---	24.359	23.060	23.494	23.343	123.443	54.142	75.508	104.948	4.037	4.280	5.143	31.214	
7/26/2022	09:20:23	6.99		8.3885	8.8542	8.5852	8.6978	19.169	19.169	19.169	19.169	988.53	38.939	19.169	---	---	24.351	23.073	23.488	23.344	123.445	54.202	75.484	104.933	4.065	4.292	5.094	31.257	
7/26/2022	09:20:24	8.06		8.3844	8.8465	8.5803	8.6948	19.171	19.171	19.171	19.171	988.50	38.973	19.171	---	---	24.356	23.082	23.494	23.347	123.401	54.295	75.489	104.937	4.097	4.331	5.078	31.268	
7/26/2022	09:20:25	9.16		8.3752	8.8529	8.5901	8.6944	19.172	19.172	19.172	19.172	988.51	38.985	19.172	---	---	24.369	23.073	23.480	23.348	123.383	54.307	75.508	104.919	4.115	4.358	5.127	31.212	
7/26/2022	09:20:26	10.24		8.3647	8.8586	8.5879	8.6967	19.179	19.179	19.179	19.179	988.53	38.998	19.179	---	---	24.381	23.064	23.481	23.342	123.390	54.403	75.510	104.933	4.094	4.435	5.172	31.186	
7/26/2022	09:20:27	11.31		8.3603	8.8579	8.5848	8.6973	19.187	19.187	19.187	19.187	988.56	39.008	19.187	---	---	24.385	23.062	23.482	23.339	123.427	54.467	75.493	104.922	4.225	4.423	5.189	31.194	
7/26/2022	09:20:29	12.52		8.3663	8.8451	8.5859	8.7025	19.196	19.196	19.196	19.196	988.54	39.018	19.196	---	---	24.373	23.075	23.478	23.328	123.488	54.536	75.480	104.953	4.313	4.373	5.135	31.254	
7/26/2022	09:20:30	13.62		8.3589	8.8264	8.5865	8.6995	19.204	19.204	19.204	19.204	988.54	39.018	19.204	---	---	24.381	23.097	23.474	23.330	123.534	54.522	75.490	104.937	4.243	4.275	5.086	31.325	
7/26/2022	09:20:31	14.72		8.3542	8.8160	8.5798	8.7019	19.214	19.214	19.214	19.214	988.53	39.008	19.214	---	---	24.384	23.107	23.480	23.324	123.541	54.527	75.520	104.929	4.155	4.244	5.095	31.292	
7/26/2022	09:20:32	15.86		8.3505	8.8021	8.5755	8.6869	19.224	19.224	19.224	19.224	988.53	38.998	19.224	---	---	24.386	23.122	23.483	23.340	123.551	54.552	75.527	104.863	4.102	4.331	5.116	31.252	
7/26/2022	09:20:33	16.93		8.3505	8.8137	8.5699	8.6860	19.230	19.230	19.230	19.230	988.53	38.998	19.230	---	---	24.384	23.105	23.488	23.339	123.582	54.587	75.508	104.809	4.145	4.356	5.163	31.188	
7/26/2022	09:20:34	18.01		8.3482	8.8304	8.5802	8.6930	19.227	19.227	19.227	19.227	988.52	38.998	19.227	---	---	24.388	23.084	23.475	23.331	123.642	54.624	75.488	104.719	4.230	4.391	5.105	31.194	
7/26/2022	09:20:35	19.12		8.3440	8.8401	8.5643	8.7073	19.218	19.218	19.218	19.218	988.51	38.998	19.218	---	---	24.398	23.074	23.500	23.315	123.674	54.656	75.486	104.674	4.187	4.363	5.078	31.283	
7/26/2022	09:20:36	20.29		8.3412	8.8382	8.5695	8.7116	19.210	19.210	19.210	19.210	988.49	38.998	19.210	---	---	24.404	23.079	23.495	23.312	123.695	54.665	75.501	104.624	4.307	4.389	5.076	31.286	
7/26/2022	09:20:37	21.37		8.3388	8.8206	8.5575	8.6994	19.202	19.202	19.202	19.202	988.49	39.008	19.202	---	---	24.410	23.105	23.514	23.331	123.655	54.680	75.510	104.699	4.189	4.398	5.197	31.356	
7/26/2022	09:20:39	22.45		8.3377	8.8185	8.5687	8.6965	19.199	19.199	19.199	19.199	988.50	39.018	19.199	---	---	24.413	23.109	23.500	23.336	123.642	54.661	75.516	104.823	4.194	4.399	5.198	31.372	
7/26/2022	09:20:40	23.64		8.3296	8.8122	8.5736	8.6895	19.196	19.196	19.196	19.196	988.53	39.028	19.196	---	---	24.425	23.118	23.494	23.346	123.651	54.653	75.521	104.892	4.052	4.374	5.203	31.358	
7/26/2022	09:20:41	24.71		8.3321	8.8166	8.5825	8.6923	19.195	19.195	19.195	19.195	988.52	39.005	19.195	---	---	24.422	23.112	23.482	23.342	123.641	54.575	75.503	104.909	4.200	4.316	5.094	31.369	
7/26/2022	09:20:42	25.80		8.3290	8.8234	8.5877	8.6914	19.194	19.194	19.194	19.194	988.52	38.967	19.194	---	---	24.427	23.104	23.476	23.344	123.626	54.490	75.489	104.877	4.197	4.307	5.089	31.333	
