
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-537-208	3	ON External	20.000	OFF	1018	0.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-536-208	3	ON External	20.000	OFF	1018	0.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-215	3	ON External	20.000	OFF	1018	0.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB6-532-208	3	ON External	20.000	OFF	1018	0.000	15%	200x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	26.901	23.516	989	100.000	20.950	53.004	21.317	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	26.268	22.776	989	100.000	20.950	52.909	21.266	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.556	21.727	989	100.000	20.950	52.824	22.574	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	24.877	21.155	989	100.000	20.950	52.756	21.842	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	7/28/2022	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/28/2022	09:25:19	0.00		8.1036	7.9367	8.2490	7.9131	22.063	22.063	22.063	22.063	988.71	30.750	22.063	---	---	22.002	22.121	22.895	22.584	287.530	256.924	293.562	285.280	4.780	4.371	5.253	15.406	
7/28/2022	09:25:20	1.27		8.1013	7.9378	8.2485	7.9117	22.063	22.063	22.063	22.063	988.72	30.737	22.063	---	---	22.006	22.120	22.896	22.586	285.728	259.970	293.462	284.448	4.755	4.358	5.277	15.445	
7/28/2022	09:25:21	2.14		8.1020	7.9383	8.2505	7.9115	22.060	22.060	22.060	22.060	988.74	30.737	22.060	---	---	22.005	22.120	22.894	22.587	287.352	261.623	293.337	283.899	4.742	4.349	5.261	15.517	
7/28/2022	09:25:22	3.02		8.1001	7.9426	8.2504	7.9095	22.058	22.058	22.058	22.058	988.71	30.737	22.058	---	---	22.009	22.114	22.895	22.591	287.606	263.317	293.261	283.662	4.726	4.350	5.252	15.485	
7/28/2022	09:25:23	4.00		8.1006	7.9452	8.2495	7.9072	22.057	22.057	22.057	22.057	988.65	30.750	22.057	---	---	22.008	22.111	22.897	22.594	286.987	264.580	293.210	283.223	4.743	4.369	5.223	15.458	
7/28/2022	09:25:24	5.00		8.0960	7.9485	8.2457	7.9063	22.063	22.063	22.063	22.063	988.63	30.750	22.063	---	---	22.013	22.104	22.900	22.594	286.982	265.487	293.174	282.839	4.716	4.375	5.229	15.378	
7/28/2022	09:25:25	6.00		8.0954	7.9464	8.2437	7.9066	22.071	22.071	22.071	22.071	988.66	30.737	22.071	---	---	22.011	22.105	22.900	22.590	286.649	265.597	293.144	282.435	4.728	4.376	5.246	15.337	
7/28/2022	09:25:26	7.00		8.0868	7.9451	8.2413	7.9057	22.081	22.081	22.081	22.081	988.71	30.725	22.081	---	---	22.020	22.104	22.900	22.589	287.333	265.883	293.130	282.431	4.722	4.368	5.250	15.311	
7/28/2022	09:25:27	8.00		8.0828	7.9399	8.2390	7.9001	22.089	22.089	22.089	22.089	988.73	30.712	22.089	---	---	22.024	22.109	22.901	22.594	286.881	266.112	293.116	282.679	4.752	4.368	5.247	15.318	
7/28/2022	09:25:28	9.00		8.0764	7.9344	8.2363	7.8948	22.097	22.097	22.097	22.097	988.74	30.697	22.097	---	---	22.030	22.114	22.902	22.600	287.656	265.332	293.105	282.911	4.752	4.363	5.236	15.320	
7/28/2022	09:25:29	10.00		8.0754	7.9314	8.2378	7.8926	22.099	22.099	22.099	22.099	988.70	30.669	22.099	---	---	22.031	22.118	22.899	22.602	289.126	264.018	293.083	283.025	4.742	4.363	5.233	15.315	
7/28/2022	09:25:30	11.14		8.0726	7.9320	8.2396	7.8943	22.097	22.097	22.097	22.097	988.69	30.641	22.097	---	---	22.035	22.117	22.898	22.600	289.743	262.644	293.040	283.042	4.735	4.352	5.236	15.331	
7/28/2022	09:25:31	12.02		8.0701	7.9346	8.2408	7.8932	22.091	22.091	22.091	22.091	988.68	30.628	22.091	---	---	22.041	22.115	22.898	22.604	289.944	261.920	293.002	283.072	4.731	4.341	5.233	15.340	
7/28/2022	09:25:32	13.00		8.0711	7.9348	8.2390	7.8931	22.092	22.092	22.092	22.092	988.70	30.641	22.092	---	---	22.039	22.115	22.900	22.604	290.042	263.059	293.009	283.131	4.749	4.329	5.230	15.404	
7/28/2022	09:25:33	14.00		8.0691	7.9336	8.2373	7.8914	22.100	22.100	22.100	22.100	988.69	30.653	22.100	---	---	22.040	22.114	22.900	22.604	289.784	263.996	293.033	283.242	4.748	4.341	5.231	15.438	
7/28/2022	09:25:34	15.00		8.0684	7.9313	8.2370	7.8908	22.106	22.106	22.106	22.106	988.69	30.681	22.106	---	---	22.039	22.115	22.898	22.603	289.659	265.110	293.075	283.352	4.750	4.355	5.224	15.459	
7/28/2022	09:25:35	16.00		8.0657	7.9298	8.2364	7.8906	22.108	22.108	22.108	22.108	988.69	30.697	22.108	---	---	22.042	22.117	22.899	22.602	289.476	264.801	293.065	283.383	4.717	4.357	5.221	15.464	
7/28/2022	09:25:36	17.00		8.0651	7.9250	8.2365	7.8891	22.110	22.110	22.110	22.110	988.71	30.697	22.110	---	---	22.042	22.123	22.898	22.604	289.602	264.703	293.093	283.384	4.714	4.348	5.217	15.469	
7/28/2022	09:25:37	18.00		8.0639	7.9236	8.2324	7.8866	22.119	22.119	22.119	22.119	988.68	30.656	22.119	---	---	22.041	22.122	22.901	22.605	289.597	264.635	293.090	283.379	4.723	4.338	5.213	15.550	
7/28/2022	09:25:38	19.00		8.0621	7.9206	8.2323	7.8864	22.122	22.122	22.122	22.122	988.69	30.603	22.122	---	---	22.042	22.126	22.900	22.604	289.757	264.522	293.093	285.340	4.753	4.352	5.202	15.596	
