"date","time","time_sec","Ch1_O2","Ch1_temp","Ch2_O2","Ch3_O2","Ch4_O2"
"8/8/2022","23:26:29",0,8.3002,18.631,8.3896,8.1383,8.3999
"8/8/2022","23:26:31",1.15,8.3012,18.632,8.389,8.139,8.3998
"8/8/2022","23:26:32",2.03,8.3001,18.633,8.3918,8.1391,8.3986
"8/8/2022","23:26:32",3,8.3021,18.633,8.393,8.141,8.3986
"8/8/2022","23:26:33",4,8.2996,18.632,8.3917,8.1411,8.3998
"8/8/2022","23:26:34",5,8.2996,18.63,8.3881,8.1408,8.4025
"8/8/2022","23:26:35",6,8.2971,18.628,8.3865,8.1421,8.4054
"8/8/2022","23:26:36",7,8.3021,18.627,8.3859,8.1406,8.4058
"8/8/2022","23:26:37",8,8.3087,18.626,8.3862,8.1443,8.4087
"8/8/2022","23:26:38",9,8.3139,18.623,8.3861,8.1466,8.4086
"8/8/2022","23:26:39",10,8.3156,18.622,8.3868,8.1498,8.4111
"8/8/2022","23:26:40",11,8.3149,18.621,8.3859,8.1522,8.4123
"8/8/2022","23:26:41",12,8.3173,18.622,8.3841,8.1535,8.4123
"8/8/2022","23:26:42",13,8.3185,18.621,8.3827,8.154,8.414
"8/8/2022","23:26:43",14,8.3231,18.621,8.3832,8.1547,8.4135
"8/8/2022","23:26:44",15,8.3279,18.62,8.3839,8.1554,8.4162
"8/8/2022","23:26:45",16,8.3316,18.62,8.3854,8.1603,8.4196
"8/8/2022","23:26:46",17,8.3337,18.619,8.3868,8.1599,8.423
"8/8/2022","23:26:47",18,8.3346,18.619,8.3893,8.1616,8.4252
"8/8/2022","23:26:48",19,8.3341,18.621,8.3893,8.1618,8.4249
"8/8/2022","23:26:49",20,8.3374,18.623,8.3879,8.1635,8.4257
"8/8/2022","23:26:50",21,8.3412,18.623,8.3864,8.1676,8.4254
"8/8/2022","23:26:51",22,8.3439,18.623,8.3837,8.1676,8.4281
"8/8/2022","23:26:52",23,8.3415,18.623,8.3829,8.173,8.4298
"8/8/2022","23:26:53",24,8.3423,18.626,8.3806,8.1726,8.4326
"8/8/2022","23:26:54",25,8.348,18.622,8.381,8.1786,8.4291
"8/8/2022","23:26:55",26,8.3524,18.621,8.3805,8.1807,8.4315
"8/8/2022","23:26:56",27,8.3536,18.621,8.3802,8.1839,8.432
"8/8/2022","23:26:57",28,8.3553,18.622,8.3827,8.1837,8.4372
"8/8/2022","23:26:58",29,8.357,18.623,8.3815,8.1853,8.4342
"8/8/2022","23:26:59",30,8.3584,18.621,8.3816,8.1885,8.439
"8/8/2022","23:27:00",31,8.3585,18.622,8.38,8.1883,8.4391
"8/8/2022","23:27:01",32,8.3611,18.621,8.3797,8.189,8.4435
"8/8/2022","23:27:02",33,8.366,18.621,8.3773,8.1881,8.4428
"8/8/2022","23:27:03",34,8.3678,18.624,8.3764,8.1895,8.4463
"8/8/2022","23:27:04",35,8.3722,18.624,8.3783,8.1874,8.4451
"8/8/2022","23:27:05",36,8.3736,18.624,8.3788,8.187,8.4455
"8/8/2022","23:27:06",37,8.3779,18.62,8.3807,8.1894,8.4444
"8/8/2022","23:27:07",38,8.3796,18.621,8.3794,8.1924,8.4454
"8/8/2022","23:27:08",39,8.3825,18.622,8.3794,8.194,8.4483
"8/8/2022","23:27:09",40,8.3855,18.625,8.3775,8.1925,8.4528
"8/8/2022","23:27:10",41,8.385,18.626,8.3778,8.1945,8.4558
"8/8/2022","23:27:11",42,8.3868,18.624,8.3773,8.1967,8.4563
"8/8/2022","23:27:12",43,8.3858,18.624,8.376,8.1995,8.4585
"8/8/2022","23:27:13",44,8.3865,18.623,8.3726,8.2011,8.4607
"8/8/2022","23:27:14",45,8.3872,18.624,8.3726,8.2023,8.4641
"8/8/2022","23:27:15",46,8.3884,18.623,8.3721,8.202,8.4661
"8/8/2022","23:27:16",47,8.3889,18.624,8.3736,8.2016,8.4668
"8/8/2022","23:27:17",48,8.3904,18.624,8.3738,8.2015,8.4641
"8/8/2022","23:27:19",49.02,8.3921,18.625,8.3736,8.2029,8.4624
"8/8/2022","23:27:19",50,8.3953,18.624,8.3748,8.2032,8.4665
"8/8/2022","23:27:21",51.02,8.394,18.624,8.3775,8.2044,8.4707
"8/8/2022","23:27:21",52,8.3945,18.624,8.3775,8.206,8.4735
"8/8/2022","23:27:23",53.02,8.3984,18.622,8.377,8.2076,8.4756
"8/8/2022","23:27:23",54,8.3991,18.623,8.3728,8.2085,8.4744
"8/8/2022","23:27:25",55.03,8.4013,18.622,8.3733,8.2094,8.4721
"8/8/2022","23:27:25",56,8.4016,18.623,8.3736,8.2086,8.4695
"8/8/2022","23:27:27",57.02,8.4021,18.621,8.3761,8.2069,8.4703
"8/8/2022","23:27:27",58,8.4036,18.62,8.3756,8.2076,8.4703
"8/8/2022","23:27:29",59.03,8.4063,18.62,8.3724,8.2088,8.4707
"8/8/2022","23:27:29",60,8.4092,18.62,8.3684,8.2095,8.4727
"8/8/2022","23:27:31",61.04,8.4115,18.622,8.3669,8.2097,8.4754
"8/8/2022","23:27:31",62,8.4087,18.623,8.3689,8.2097,8.4779
"8/8/2022","23:27:32",63,8.4116,18.622,8.373,8.2122,8.4753
"8/8/2022","23:27:33",64,8.409,18.623,8.3761,8.2104,8.4752
"8/8/2022","23:27:34",65,8.4103,18.625,8.3759,8.2081,8.4733
