"date","time","time_sec","Ch1_O2","Ch1_temp","Ch2_O2","Ch3_O2","Ch4_O2"
"8/8/2022","12:59:19",0,8.6815,18.253,8.7648,8.3874,8.3799
"8/8/2022","12:59:20",1.32,8.6923,18.254,8.761,8.3933,8.3792
"8/8/2022","12:59:21",2.39,8.7012,18.256,8.7611,8.3884,8.3722
"8/8/2022","12:59:22",3.47,8.7131,18.257,8.7684,8.3857,8.3824
"8/8/2022","12:59:23",4.54,8.7198,18.256,8.773,8.3827,8.368
"8/8/2022","12:59:24",5.61,8.7349,18.256,8.7744,8.3908,8.3542
"8/8/2022","12:59:25",6.68,8.7457,18.252,8.7749,8.4059,8.3529
"8/8/2022","12:59:26",7.77,8.7555,18.255,8.781,8.4237,8.3794
"8/8/2022","12:59:28",8.85,8.7651,18.255,8.7924,8.4323,8.407
"8/8/2022","12:59:29",9.93,8.7788,18.256,8.7904,8.4358,8.4403
"8/8/2022","12:59:30",11,8.7953,18.257,8.7934,8.4411,8.4394
"8/8/2022","12:59:31",12.07,8.8051,18.256,8.8011,8.457,8.456
"8/8/2022","12:59:32",13.16,8.8225,18.255,8.8144,8.4628,8.4537
"8/8/2022","12:59:33",14.24,8.8288,18.253,8.8265,8.4774,8.4764
"8/8/2022","12:59:34",15.31,8.837,18.252,8.8215,8.4829,8.4727
"8/8/2022","12:59:35",16.38,8.8402,18.255,8.8316,8.4895,8.4872
"8/8/2022","12:59:36",17.45,8.8564,18.257,8.8261,8.4864,8.4982
"8/8/2022","12:59:37",18.67,8.8704,18.258,8.8354,8.4893,8.5195
"8/8/2022","12:59:38",19.74,8.8787,18.257,8.8315,8.5057,8.5173
"8/8/2022","12:59:40",20.81,8.8852,18.257,8.8448,8.5152,8.5245
"8/8/2022","12:59:41",21.91,8.8895,18.257,8.8505,8.5187,8.5237
"8/8/2022","12:59:42",22.98,8.8945,18.258,8.86,8.5154,8.5188
"8/8/2022","12:59:43",24.05,8.8974,18.258,8.8668,8.5176,8.5484
"8/8/2022","12:59:44",25.12,8.9055,18.258,8.8775,8.5167,8.5712
"8/8/2022","12:59:45",26.19,8.9081,18.26,8.883,8.5206,8.6024
"8/8/2022","12:59:46",27.27,8.9103,18.263,8.8826,8.5243,8.5947
"8/8/2022","12:59:47",28.35,8.9067,18.265,8.886,8.5285,8.6016
"8/8/2022","12:59:48",29.42,8.9092,18.263,8.8867,8.5351,8.594
"8/8/2022","12:59:49",30.5,8.9133,18.262,8.8997,8.5341,8.593
"8/8/2022","12:59:50",31.57,8.9241,18.26,8.9006,8.5483,8.5913
"8/8/2022","12:59:51",32.64,8.9289,18.261,8.9101,8.5535,8.6046
"8/8/2022","12:59:52",33.73,8.9332,18.261,8.9133,8.5632,8.6134
"8/8/2022","12:59:53",34.8,8.9367,18.261,8.9138,8.5601,8.6269
"8/8/2022","12:59:55",35.87,8.9379,18.262,8.9084,8.562,8.6311
"8/8/2022","12:59:56",36.94,8.9373,18.262,8.8994,8.565,8.6388
"8/8/2022","12:59:57",38.02,8.9329,18.263,8.9024,8.5666,8.6504
"8/8/2022","12:59:58",39.11,8.927,18.263,8.9056,8.5703,8.6511
"8/8/2022","12:59:59",40.19,8.928,18.262,8.9077,8.5776,8.6621
"8/8/2022","13:00:00",41.26,8.9295,18.262,8.9142,8.586,8.6558
"8/8/2022","13:00:01",42.34,8.942,18.26,8.9181,8.5886,8.6836
"8/8/2022","13:00:02",43.41,8.946,18.26,8.9281,8.58,8.6804
"8/8/2022","13:00:03",44.48,8.9447,18.262,8.9212,8.5845,8.6979
"8/8/2022","13:00:04",45.56,8.9408,18.263,8.9339,8.5896,8.6951
"8/8/2022","13:00:05",46.65,8.9357,18.265,8.9354,8.6018,8.698
"8/8/2022","13:00:06",47.72,8.9471,18.264,8.9476,8.6045,8.7036
"8/8/2022","13:00:07",48.8,8.9603,18.265,8.9434,8.6023,8.6981
"8/8/2022","13:00:09",49.89,8.9676,18.265,8.9446,8.6024,8.6929
"8/8/2022","13:00:10",50.96,8.9558,18.266,8.9396,8.6041,8.6852
"8/8/2022","13:00:11",52.05,8.9504,18.264,8.9472,8.599,8.6873
"8/8/2022","13:00:12",53.12,8.9513,18.266,8.9412,8.601,8.6944
"8/8/2022","13:00:13",54.21,8.9625,18.266,8.9484,8.6054,8.7012
"8/8/2022","13:00:14",55.29,8.9676,18.266,8.944,8.6244,8.7117
"8/8/2022","13:00:15",56.37,8.9665,18.265,8.955,8.6251,8.7152
"8/8/2022","13:00:16",57.45,8.9604,18.265,8.9572,8.6204,8.7063
"8/8/2022","13:00:17",58.52,8.9535,18.266,8.9577,8.6169,8.7196
"8/8/2022","13:00:18",59.59,8.9516,18.267,8.9643,8.6189,8.7283
