"date","time","time_sec","Ch1_O2","Ch1_temp","Ch2_O2","Ch3_O2","Ch4_O2"
"8/9/2022","10:27:24",0,8.8123,16.338,8.8355,8.5254,8.6793
"8/9/2022","10:27:25",1.5,8.8099,16.336,8.8432,8.5259,8.6878
"8/9/2022","10:27:26",2.57,8.8123,16.34,8.8515,8.5248,8.68
"8/9/2022","10:27:27",3.67,8.8061,16.341,8.8499,8.5293,8.6698
"8/9/2022","10:27:28",4.76,8.8082,16.341,8.8447,8.5278,8.6568
"8/9/2022","10:27:30",5.95,8.8127,16.338,8.8388,8.5342,8.6668
"8/9/2022","10:27:31",7.03,8.8208,16.335,8.8444,8.5425,8.6713
"8/9/2022","10:27:32",8.1,8.8217,16.336,8.8459,8.5506,8.673
"8/9/2022","10:27:33",9.29,8.8242,16.338,8.8524,8.5517,8.678
"8/9/2022","10:27:34",10.37,8.8298,16.34,8.8598,8.5542,8.7031
"8/9/2022","10:27:35",11.5,8.8353,16.34,8.8618,8.565,8.7264
"8/9/2022","10:27:36",12.57,8.8406,16.34,8.868,8.5768,8.7211
"8/9/2022","10:27:37",13.64,8.841,16.34,8.8741,8.5896,8.7178
"8/9/2022","10:27:38",14.76,8.8412,16.337,8.8842,8.5908,8.717
"8/9/2022","10:27:40",15.83,8.8476,16.336,8.8927,8.5928,8.7319
"8/9/2022","10:27:41",16.92,8.8549,16.336,8.9011,8.5859,8.7239
"8/9/2022","10:27:42",18.02,8.8638,16.339,8.9137,8.5968,8.7243
"8/9/2022","10:27:43",19.14,8.8686,16.338,8.9171,8.6019,8.731
"8/9/2022","10:27:44",20.22,8.873,16.34,8.9151,8.6113,8.7371
"8/9/2022","10:27:45",21.3,8.8762,16.338,8.9105,8.6155,8.7323
"8/9/2022","10:27:46",22.37,8.8741,16.339,8.9134,8.6249,8.7395
"8/9/2022","10:27:47",23.46,8.8813,16.34,8.9262,8.6282,8.7453
"8/9/2022","10:27:48",24.54,8.883,16.342,8.9353,8.6288,8.7676
"8/9/2022","10:27:49",25.65,8.8943,16.343,8.9485,8.6325,8.7508
"8/9/2022","10:27:50",26.73,8.9035,16.343,8.9444,8.6352,8.7691
"8/9/2022","10:27:52",27.8,8.9133,16.344,8.9509,8.6379,8.7578
"8/9/2022","10:27:53",28.91,8.9091,16.343,8.9438,8.6489,8.7922
"8/9/2022","10:27:54",29.98,8.9096,16.342,8.9573,8.6492,8.7834
"8/9/2022","10:27:55",31.07,8.9169,16.341,8.9639,8.6551,8.8049
"8/9/2022","10:27:56",32.17,8.9336,16.342,8.9863,8.6515,8.7917
"8/9/2022","10:27:57",33.26,8.9395,16.341,8.9843,8.6688,8.8036
"8/9/2022","10:27:58",34.39,8.9399,16.341,8.979,8.677,8.7982
"8/9/2022","10:27:59",35.47,8.9415,16.339,8.9751,8.6876,8.805
"8/9/2022","10:28:00",36.54,8.9453,16.342,8.9764,8.6842,8.8064
"8/9/2022","10:28:01",37.65,8.9512,16.343,8.9796,8.6784,8.8147
"8/9/2022","10:28:02",38.73,8.9499,16.343,8.9823,8.68,8.8183
"8/9/2022","10:28:04",39.8,8.9489,16.342,8.9897,8.6846,8.8187
"8/9/2022","10:28:05",40.91,8.9557,16.341,8.9919,8.6943,8.8256
"8/9/2022","10:28:06",41.98,8.9607,16.341,8.9937,8.6921,8.8266
"8/9/2022","10:28:07",43.06,8.9682,16.342,8.9967,8.697,8.8381
"8/9/2022","10:28:08",44.16,8.9607,16.343,9.011,8.703,8.8286
"8/9/2022","10:28:09",45.24,8.961,16.343,9.0141,8.7123,8.83
"8/9/2022","10:28:10",46.32,8.9578,16.342,9.021,8.7129,8.8227
"8/9/2022","10:28:11",47.41,8.9671,16.34,9.0185,8.713,8.833
"8/9/2022","10:28:12",48.51,8.9648,16.34,9.0183,8.7172,8.8293
