"date","time","time_sec","Ch1_O2","Ch1_temp","Ch2_O2","Ch3_O2","Ch4_O2"
"8/10/2022","10:47:28",0,7.6412,25.208,7.4719,7.2337,7.1461
"8/10/2022","10:47:30",1.04,7.6407,25.212,7.4703,7.2284,7.1445
"8/10/2022","10:47:30",2,7.6387,25.213,7.469,7.2281,7.1424
"8/10/2022","10:47:31",3,7.6366,25.214,7.4709,7.2248,7.1392
"8/10/2022","10:47:32",4,7.6385,25.212,7.4743,7.2282,7.1407
"8/10/2022","10:47:33",5,7.6391,25.211,7.4774,7.2338,7.1438
"8/10/2022","10:47:34",6,7.6435,25.209,7.4829,7.2429,7.1539
"8/10/2022","10:47:35",7,7.6465,25.21,7.4907,7.2519,7.1596
"8/10/2022","10:47:36",8,7.654,25.21,7.4996,7.259,7.1696
"8/10/2022","10:47:38",9.01,7.6557,25.212,7.5071,7.2676,7.1771
"8/10/2022","10:47:38",10,7.6587,25.213,7.5171,7.2806,7.1888
"8/10/2022","10:47:40",11.04,7.6619,25.214,7.5263,7.2932,7.1985
"8/10/2022","10:47:40",12,7.6673,25.21,7.5386,7.3069,7.2137
"8/10/2022","10:47:42",13.05,7.6709,25.211,7.547,7.3191,7.2266
"8/10/2022","10:47:42",14,7.6721,25.213,7.5552,7.3289,7.2409
"8/10/2022","10:47:43",15,7.6758,25.216,7.5631,7.3388,7.2526
"8/10/2022","10:47:44",16,7.679,25.217,7.5708,7.349,7.2694
"8/10/2022","10:47:45",17,7.687,25.216,7.582,7.3609,7.2824
"8/10/2022","10:47:46",18,7.6901,25.216,7.5894,7.3706,7.2978
"8/10/2022","10:47:47",19,7.6994,25.217,7.5968,7.3796,7.3103
"8/10/2022","10:47:48",20,7.7058,25.217,7.602,7.3875,7.3259
"8/10/2022","10:47:49",21,7.7156,25.218,7.6091,7.3983,7.3361
"8/10/2022","10:47:50",22,7.7225,25.216,7.615,7.4088,7.3447
"8/10/2022","10:47:51",23,7.7271,25.217,7.6223,7.4175,7.3548
"8/10/2022","10:47:52",24,7.7317,25.214,7.63,7.4248,7.3676
"8/10/2022","10:47:53",25,7.7348,25.215,7.6356,7.4322,7.3807
"8/10/2022","10:47:54",26,7.7396,25.214,7.6419,7.4427,7.3891
"8/10/2022","10:47:55",27,7.7416,25.217,7.6443,7.4506,7.3977
"8/10/2022","10:47:56",28,7.7468,25.215,7.6542,7.4573,7.41
"8/10/2022","10:47:57",29,7.7496,25.216,7.6607,7.4627,7.4275
"8/10/2022","10:47:58",30,7.7535,25.215,7.6695,7.4698,7.4412
"8/10/2022","10:47:59",31,7.7598,25.216,7.6758,7.4755,7.4558
"8/10/2022","10:48:00",32,7.768,25.214,7.6816,7.4823,7.4653
"8/10/2022","10:48:01",33,7.7741,25.215,7.6897,7.4875,7.477
"8/10/2022","10:48:02",34,7.7787,25.215,7.6931,7.4929,7.4852
"8/10/2022","10:48:03",35,7.7814,25.216,7.6985,7.4958,7.4936
"8/10/2022","10:48:04",36,7.7878,25.215,7.7033,7.498,7.4987
"8/10/2022","10:48:05",37,7.788,25.214,7.7103,7.4998,7.5016
"8/10/2022","10:48:06",38,7.794,25.214,7.7184,7.5048,7.5074
"8/10/2022","10:48:07",39,7.7961,25.215,7.7258,7.512,7.5163
"8/10/2022","10:48:08",40,7.8002,25.216,7.7316,7.5199,7.5252
"8/10/2022","10:48:09",41,7.8005,25.214,7.7317,7.5272,7.5331
"8/10/2022","10:48:10",42,7.8007,25.214,7.7333,7.5318,7.5358
"8/10/2022","10:48:11",43,7.8033,25.214,7.7345,7.5366,7.5409
"8/10/2022","10:48:12",44,7.806,25.216,7.7401,7.541,7.545
"8/10/2022","10:48:13",45,7.8129,25.214,7.7421,7.5451,7.5553
"8/10/2022","10:48:14",46,7.8152,25.214,7.7453,7.547,7.562
"8/10/2022","10:48:15",47,7.8192,25.215,7.7481,7.5492,7.5683
"8/10/2022","10:48:16",48,7.8195,25.217,7.7487,7.5542,7.5749
"8/10/2022","10:48:17",49,7.8196,25.218,7.749,7.5575,7.5812
"8/10/2022","10:48:18",50,7.82,25.217,7.7506,7.5614,7.5885
"8/10/2022","10:48:19",51,7.8202,25.217,7.7543,7.5633,7.5901
"8/10/2022","10:48:20",52,7.8224,25.218,7.7601,7.5691,7.596
"8/10/2022","10:48:21",53,7.8243,25.219,7.7639,7.5726,7.6014
"8/10/2022","10:48:22",54,7.828,25.219,7.7678,7.577,7.6075
"8/10/2022","10:48:23",55,7.8329,25.218,7.7661,7.5809,7.6119
"8/10/2022","10:48:24",56,7.8338,25.217,7.7649,7.5861,7.6166
"8/10/2022","10:48:25",57,7.8364,25.213,7.7677,7.5926,7.6205
"8/10/2022","10:48:26",58,7.8394,25.212,7.773,7.5992,7.622
"8/10/2022","10:48:27",59,7.8412,25.212,7.7757,7.6026,7.6244
"8/10/2022","10:48:28",60,7.84,25.216,7.7734,7.605,7.6278
"8/10/2022","10:48:29",61,7.8416,25.218,7.7757,7.6058,7.6322
"8/10/2022","10:48:30",62,7.846,25.218,7.7791,7.6084,7.6322
"8/10/2022","10:48:31",63,7.848,25.216,7.7841,7.611,7.6357
"8/10/2022","10:48:32",64,7.8483,25.214,7.7876,7.613,7.6402
"8/10/2022","10:48:33",65,7.8439,25.215,7.7906,7.6133,7.6449
"8/10/2022","10:48:34",66,7.8438,25.215,7.7928,7.6159,7.65
"8/10/2022","10:48:35",67,7.8429,25.215,7.7921,7.6192,7.654
"8/10/2022","10:48:36",68,7.8454,25.214,7.7928,7.6207,7.6572
"8/10/2022","10:48:37",69,7.8461,25.212,7.7953,7.6222,7.6599
"8/10/2022","10:48:38",70,7.8465,25.212,7.7985,7.624,7.6596
"8/10/2022","10:48:39",71,7.849,25.211,7.7989,7.6274,7.6641
"8/10/2022","10:48:40",72,7.8506,25.215,7.7972,7.6287,7.664
"8/10/2022","10:48:41",73,7.8522,25.214,7.7986,7.6284,7.666
"8/10/2022","10:48:42",74,7.8537,25.215,7.8001,7.6283,7.6663
"8/10/2022","10:48:43",75,7.8556,25.215,7.802,7.6272,7.6666
"8/10/2022","10:48:44",76,7.8559,25.219,7.8013,7.6261,7.667
"8/10/2022","10:48:45",77,7.8553,25.221,7.8052,7.6278,7.6688
"8/10/2022","10:48:46",78,7.8573,25.223,7.806,7.6299,7.6721
"8/10/2022","10:48:47",79,7.8585,25.223,7.8083,7.6316,7.6766
"8/10/2022","10:48:48",80,7.8602,25.223,7.8076,7.633,7.6807
"8/10/2022","10:48:49",81,7.8611,25.224,7.8091,7.6321,7.686
"8/10/2022","10:48:50",82,7.8602,25.224,7.8093,7.6321,7.6853
"8/10/2022","10:48:51",83,7.8554,25.222,7.8085,7.6334,7.6837
"8/10/2022","10:48:52",84,7.8546,25.22,7.8068,7.6356,7.679
"8/10/2022","10:48:53",85,7.8552,25.222,7.8055,7.6376,7.6816
"8/10/2022","10:48:54",86,7.8583,25.223,7.8074,7.6367,7.6825
"8/10/2022","10:48:55",87,7.8568,25.227,7.8101,7.6367,7.685
"8/10/2022","10:48:56",88,7.858,25.227,7.8094,7.6378,7.6845
"8/10/2022","10:48:57",89,7.8599,25.227,7.8085,7.6402,7.6855
"8/10/2022","10:48:58",90,7.8599,25.223,7.8102,7.6412,7.6857
"8/10/2022","10:48:59",91,7.8618,25.223,7.8125,7.6429,7.6866
"8/10/2022","10:49:00",92,7.8592,25.224,7.813,7.6434,7.6871
"8/10/2022","10:49:01",93,7.8611,25.225,7.8135,7.6454,7.6903
"8/10/2022","10:49:02",94,7.8587,25.224,7.8158,7.6438,7.6903
"8/10/2022","10:49:03",95,7.8622,25.222,7.8195,7.644,7.6921
"8/10/2022","10:49:04",96,7.8629,25.223,7.8207,7.6429,7.6898
"8/10/2022","10:49:05",97,7.866,25.222,7.8188,7.6429,7.6937
"8/10/2022","10:49:06",98,7.869,25.225,7.8175,7.6417,7.6934
"8/10/2022","10:49:07",99,7.8696,25.226,7.816,7.642,7.6992
"8/10/2022","10:49:08",100,7.8684,25.228,7.8182,7.6432,7.6977
"8/10/2022","10:49:09",101,7.8629,25.226,7.8171,7.6435,7.6989
"8/10/2022","10:49:11",102.02,7.8631,25.226,7.818,7.6437,7.6964
"8/10/2022","10:49:11",103,7.8658,25.226,7.8151,7.6425,7.6958
"8/10/2022","10:49:12",104.01,7.8698,25.226,7.8174,7.6434,7.6987
"8/10/2022","10:49:13",105,7.8728,25.225,7.8179,7.6433,7.7033
"8/10/2022","10:49:14",106,7.8702,25.225,7.8209,7.6462,7.704
"8/10/2022","10:49:15",107,7.8705,25.226,7.8186,7.6485,7.7015
"8/10/2022","10:49:16",108.01,7.8697,25.225,7.8182,7.6501,7.6988
"8/10/2022","10:49:17",109,7.8707,25.224,7.82,7.6498,7.7035
"8/10/2022","10:49:19",110.01,7.8695,25.227,7.8216,7.6477,7.7053
"8/10/2022","10:49:19",111,7.868,25.226,7.8234,7.6493,7.7059
"8/10/2022","10:49:21",112.01,7.8714,25.226,7.8228,7.6491,7.7063
"8/10/2022","10:49:21",113,7.8717,25.226,7.8259,7.6502,7.7063
"8/10/2022","10:49:23",114.02,7.8728,25.229,7.8265,7.6492,7.705
"8/10/2022","10:49:23",115,7.87,25.227,7.8285,7.6507,7.7054
"8/10/2022","10:49:25",116.02,7.8683,25.226,7.8279,7.6517,7.7064
"8/10/2022","10:49:25",117,7.8675,25.222,7.8262,7.6517,7.7055
"8/10/2022","10:49:27",118.02,7.8685,25.222,7.8243,7.6497,7.7025
"8/10/2022","10:49:27",119,7.8716,25.223,7.8239,7.6476,7.7016
"8/10/2022","10:49:29",120.02,7.8743,25.227,7.8266,7.6463,7.7083
"8/10/2022","10:49:29",121,7.8755,25.232,7.8259,7.6458,7.7118
"8/10/2022","10:49:31",122.02,7.8748,25.232,7.8264,7.6467,7.71
"8/10/2022","10:49:31",123,7.8726,25.232,7.8258,7.6477,7.7046
"8/10/2022","10:49:33",124.04,7.8695,25.232,7.8258,7.6504,7.7039
"8/10/2022","10:49:33",125,7.8697,25.232,7.8249,7.6497,7.7048
"8/10/2022","10:49:35",126.04,7.8699,25.232,7.8215,7.6483,7.7091
"8/10/2022","10:49:35",127,7.8723,25.23,7.8244,7.6457,7.7057
"8/10/2022","10:49:37",128.04,7.8728,25.231,7.8247,7.6462,7.7083
"8/10/2022","10:49:37",129,7.8707,25.231,7.827,7.646,7.7069
"8/10/2022","10:49:38",130,7.8724,25.231,7.8261,7.6466,7.711
"8/10/2022","10:49:39",131,7.8749,25.23,7.8272,7.6475,7.7089
"8/10/2022","10:49:40",132,7.8779,25.228,7.829,7.6514,7.7127
"8/10/2022","10:49:41",133,7.8769,25.227,7.8301,7.6543,7.7099
"8/10/2022","10:49:42",134,7.8738,25.228,7.8299,7.6532,7.7127
"8/10/2022","10:49:43",135,7.8731,25.228,7.8285,7.6503,7.7093
"8/10/2022","10:49:44",136,7.8728,25.227,7.8277,7.6497,7.7107
"8/10/2022","10:49:45",137,7.874,25.224,7.8282,7.6492,7.7122
"8/10/2022","10:49:46",138,7.8765,25.226,7.8279,7.6504,7.7105
"8/10/2022","10:49:47",139,7.8762,25.227,7.8278,7.6489,7.7122
"8/10/2022","10:49:48",140,7.8754,25.23,7.8239,7.6506,7.711
"8/10/2022","10:49:49",141,7.8738,25.231,7.8254,7.6505,7.7111
"8/10/2022","10:49:50",142,7.873,25.233,7.8254,7.6506,7.7117
"8/10/2022","10:49:51",143,7.8712,25.234,7.8264,7.6503,7.7097
"8/10/2022","10:49:52",144,7.8701,25.234,7.8266,7.6523,7.7118
"8/10/2022","10:49:53",145,7.8676,25.231,7.8267,7.6528,7.7077
"8/10/2022","10:49:54",146,7.8696,25.23,7.8284,7.6511,7.7092
"8/10/2022","10:49:55",147,7.8694,25.228,7.8288,7.6495,7.7086
"8/10/2022","10:49:56",148,7.8731,25.231,7.8282,7.648,7.7134
"8/10/2022","10:49:57",149,7.874,25.233,7.8296,7.6508,7.7149
"8/10/2022","10:49:58",150,7.8752,25.234,7.8265,7.6504,7.7149
"8/10/2022","10:49:59",151,7.8731,25.234,7.8268,7.6497,7.7108
"8/10/2022","10:50:00",152,7.8707,25.234,7.8268,7.6464,7.711
"8/10/2022","10:50:01",153,7.8727,25.236,7.8309,7.6461,7.7105
"8/10/2022","10:50:02",154,7.8752,25.233,7.8305,7.6446,7.7094
"8/10/2022","10:50:03",155,7.8749,25.232,7.8293,7.6453,7.7096
