"date","time","time_sec","Ch1_O2","Ch1_temp","Ch2_O2","Ch3_O2","Ch4_O2"
"8/11/2022","14:16:38",0,8.262,21.75,8.2278,8.0704,8.1552
"8/11/2022","14:16:40",1.12,8.2638,21.75,8.2278,8.0728,8.1538
"8/11/2022","14:16:41",2.06,8.2656,21.75,8.225,8.0733,8.1536
"8/11/2022","14:16:41",3,8.2689,21.748,8.2278,8.0713,8.1509
"8/11/2022","14:16:42",4,8.2662,21.75,8.2245,8.0685,8.1485
"8/11/2022","14:16:43",5,8.2649,21.75,8.2248,8.0652,8.1485
"8/11/2022","14:16:44",6,8.2641,21.753,8.2217,8.0653,8.1527
"8/11/2022","14:16:46",7.01,8.2642,21.751,8.2233,8.0673,8.1578
"8/11/2022","14:16:46",8,8.2662,21.751,8.2248,8.0687,8.1634
"8/11/2022","14:16:48",9.03,8.2695,21.752,8.2242,8.0697,8.1663
"8/11/2022","14:16:48",10,8.2744,21.753,8.2244,8.0714,8.1694
"8/11/2022","14:16:50",11.01,8.2761,21.754,8.2259,8.0746,8.1735
"8/11/2022","14:16:50",12,8.2762,21.753,8.2299,8.0792,8.1797
"8/11/2022","14:16:52",13.05,8.2758,21.754,8.2332,8.0844,8.181
"8/11/2022","14:16:52",14,8.281,21.753,8.2361,8.0893,8.1826
"8/11/2022","14:16:54",15.03,8.285,21.753,8.2379,8.0893,8.1822
"8/11/2022","14:16:54",16,8.2857,21.754,8.2416,8.09,8.1875
"8/11/2022","14:16:55",17,8.2851,21.758,8.2405,8.0927,8.1884
"8/11/2022","14:16:56",18,8.2863,21.764,8.2452,8.0964,8.1893
"8/11/2022","14:16:57",19,8.2897,21.772,8.2424,8.0984,8.1919
"8/11/2022","14:16:58",20,8.2882,21.779,8.246,8.1004,8.1921
"8/11/2022","14:16:59",21,8.288,21.784,8.2424,8.1002,8.1936
"8/11/2022","14:17:00",22,8.291,21.785,8.2473,8.1011,8.1962
"8/11/2022","14:17:01",23,8.2965,21.787,8.2482,8.0986,8.1995
"8/11/2022","14:17:02",24,8.3019,21.788,8.2516,8.1017,8.2099
"8/11/2022","14:17:03",25,8.3021,21.792,8.2506,8.1049,8.2113
"8/11/2022","14:17:04",26,8.3047,21.794,8.2532,8.1094,8.215
"8/11/2022","14:17:05",27,8.304,21.793,8.2583,8.1136,8.215
"8/11/2022","14:17:06",28,8.3027,21.794,8.262,8.1172,8.2172
"8/11/2022","14:17:07",29,8.3057,21.793,8.2657,8.119,8.2201
"8/11/2022","14:17:08",30,8.308,21.796,8.266,8.1179,8.2195
"8/11/2022","14:17:09",31,8.3149,21.795,8.2675,8.1165,8.2265
"8/11/2022","14:17:10",32,8.3176,21.793,8.2668,8.1201,8.2319
"8/11/2022","14:17:12",33.02,8.3195,21.79,8.2681,8.1244,8.2361
"8/11/2022","14:17:12",34,8.3224,21.79,8.2716,8.1263,8.2361
"8/11/2022","14:17:14",35.03,8.322,21.792,8.2751,8.128,8.2372
"8/11/2022","14:17:14",36,8.324,21.796,8.2729,8.128,8.2367
"8/11/2022","14:17:15",37,8.3244,21.794,8.272,8.1328,8.2385
"8/11/2022","14:17:16",38,8.3286,21.793,8.2737,8.1318,8.2414
"8/11/2022","14:17:17",39,8.3321,21.79,8.2775,8.1345,8.2431
"8/11/2022","14:17:18",40,8.3368,21.791,8.276,8.1352,8.2446
"8/11/2022","14:17:19",41,8.3358,21.792,8.2755,8.1361,8.2453
