"date","time","time_sec","Ch1_O2","Ch1_temp","Ch2_O2","Ch3_O2","Ch4_O2"
"8/11/2022","11:44:14",0,8.2043,22.128,8.1157,7.7973,8.1979
"8/11/2022","11:44:16",1.76,8.2014,22.127,8.1121,7.8003,8.2002
"8/11/2022","11:44:17",2.83,8.1909,22.128,8.1028,7.7957,8.201
"8/11/2022","11:44:18",3.91,8.1949,22.126,8.1084,7.8048,8.204
"8/11/2022","11:44:19",5.03,8.2016,22.124,8.0948,7.8015,8.2104
"8/11/2022","11:44:21",6.1,8.2092,22.123,8.0971,7.8015,8.2139
"8/11/2022","11:44:22",7.19,8.2047,22.124,8.0969,7.7961,8.2165
"8/11/2022","11:44:23",8.31,8.2018,22.124,8.1206,7.7992,8.2137
"8/11/2022","11:44:24",9.38,8.2091,22.123,8.1246,7.8084,8.2143
"8/11/2022","11:44:25",10.46,8.2092,22.121,8.1436,7.8158,8.2203
"8/11/2022","11:44:26",11.66,8.2149,22.121,8.1404,7.8224,8.2234
"8/11/2022","11:44:27",12.91,8.2166,22.123,8.15,7.8275,8.2249
"8/11/2022","11:44:28",13.98,8.227,22.123,8.1454,7.8332,8.2259
"8/11/2022","11:44:30",15.05,8.2364,22.123,8.1529,7.8389,8.2287
"8/11/2022","11:44:31",16.13,8.24,22.122,8.1711,7.8415,8.2338
"8/11/2022","11:44:32",17.39,8.2446,22.121,8.1897,7.8415,8.2311
"8/11/2022","11:44:33",18.54,8.2429,22.122,8.1939,7.847,8.2328
"8/11/2022","11:44:34",19.61,8.2465,22.123,8.1902,7.8513,8.2346
"8/11/2022","11:44:35",20.69,8.249,22.122,8.1826,7.8641,8.2379
"8/11/2022","11:44:36",21.88,8.2563,22.122,8.1787,7.8715,8.2334
"8/11/2022","11:44:37",23.03,8.2626,22.122,8.1743,7.8803,8.2368
"8/11/2022","11:44:39",24.1,8.268,22.124,8.186,7.8831,8.2369
"8/11/2022","11:44:40",25.31,8.2813,22.124,8.1914,7.889,8.2438
"8/11/2022","11:44:41",26.39,8.286,22.124,8.1971,7.8979,8.2445
"8/11/2022","11:44:42",27.46,8.2941,22.125,8.1957,7.904,8.2502
"8/11/2022","11:44:43",28.53,8.2896,22.127,8.2098,7.9066,8.2519
"8/11/2022","11:44:44",29.6,8.2934,22.128,8.2169,7.9065,8.2501
"8/11/2022","11:44:45",30.69,8.2892,22.127,8.2174,7.904,8.2519
"8/11/2022","11:44:46",31.76,8.2928,22.125,8.2272,7.9166,8.2548
"8/11/2022","11:44:47",32.84,8.2887,22.124,8.2197,7.9183,8.2558
"8/11/2022","11:44:48",33.91,8.2987,22.124,8.2278,7.9215,8.2562
"8/11/2022","11:44:49",34.98,8.3032,22.124,8.2322,7.9171,8.2593
"8/11/2022","11:44:51",36.05,8.3072,22.125,8.2494,7.9255,8.2681
