"date","time","time_sec","Ch1_O2","Ch1_temp","Ch2_O2","Ch3_O2","Ch4_O2"
"8/16/2021","11:05:30",0,6.7029,19.366,6.8824,6.9034,6.1853
"8/16/2021","11:05:32",1.41,6.703,19.368,6.8811,6.9029,6.1804
"8/16/2021","11:05:33",2.48,6.6988,19.37,6.8757,6.8998,6.1819
"8/16/2021","11:05:34",3.55,6.6983,19.371,6.8725,6.8979,6.1743
"8/16/2021","11:05:35",4.76,6.6949,19.373,6.8728,6.8973,6.1747
"8/16/2021","11:05:36",5.83,6.6959,19.372,6.8781,6.8979,6.1707
"8/16/2021","11:05:37",6.91,6.6955,19.37,6.8822,6.9037,6.1754
"8/16/2021","11:05:38",7.99,6.6957,19.372,6.8878,6.9068,6.1794
"8/16/2021","11:05:40",9.06,6.6976,19.371,6.8939,6.9169,6.186
"8/16/2021","11:05:41",10.13,6.699,19.373,6.8995,6.9245,6.1939
"8/16/2021","11:05:42",11.25,6.7035,19.372,6.9061,6.9328,6.2074
"8/16/2021","11:05:43",12.33,6.7102,19.374,6.9129,6.9411,6.2132
"8/16/2021","11:05:44",13.41,6.7208,19.373,6.9254,6.9507,6.2236
"8/16/2021","11:05:45",14.52,6.7319,19.372,6.9353,6.9619,6.2301
"8/16/2021","11:05:46",15.58,6.7431,19.373,6.9459,6.972,6.2444
"8/16/2021","11:05:47",16.65,6.7547,19.374,6.9525,6.985,6.2596
"8/16/2021","11:05:48",17.77,6.766,19.373,6.9623,6.9959,6.2755
"8/16/2021","11:05:49",18.84,6.7753,19.371,6.9724,7.0118,6.294
"8/16/2021","11:05:50",19.91,6.7853,19.371,6.9836,7.0233,6.3093
"8/16/2021","11:05:52",21.1,6.7961,19.376,6.994,7.0392,6.3219
"8/16/2021","11:05:53",22.18,6.8071,19.38,7.0058,7.051,6.339
"8/16/2021","11:05:54",23.25,6.817,19.382,7.0182,7.0646,6.358
"8/16/2021","11:05:55",24.47,6.8266,19.379,7.028,7.0747,6.3845
"8/16/2021","11:05:56",25.53,6.8326,19.379,7.0375,7.0851,6.4072
"8/16/2021","11:05:57",26.6,6.8422,19.38,7.0443,7.0933,6.4262
"8/16/2021","11:05:58",27.69,6.8504,19.382,7.0533,7.1064,6.4435
"8/16/2021","11:05:59",28.77,6.8584,19.384,7.0643,7.1163,6.4549
"8/16/2021","11:06:00",29.86,6.8623,19.384,7.0745,7.1281,6.4722
"8/16/2021","11:06:01",30.95,6.8699,19.386,7.0828,7.1343,6.4882
"8/16/2021","11:06:03",32.06,6.8791,19.386,7.0906,7.1453,6.5071
"8/16/2021","11:06:04",33.14,6.8902,19.389,7.1021,7.1555,6.5196
"8/16/2021","11:06:05",34.21,6.8975,19.389,7.1124,7.1643,6.533
"8/16/2021","11:06:06",35.28,6.9055,19.39,7.1232,7.1732,6.5486
"8/16/2021","11:06:07",36.35,6.9076,19.39,7.1304,7.1809,6.5613
"8/16/2021","11:06:08",37.42,6.9136,19.392,7.1385,7.1922,6.569
"8/16/2021","11:06:09",38.57,6.9215,19.393,7.1438,7.2002,6.5797
"8/16/2021","11:06:10",39.64,6.9329,19.393,7.1501,7.2103,6.598
"8/16/2021","11:06:11",40.7,6.9365,19.392,7.1584,7.2193,6.6183
"8/16/2021","11:06:12",41.78,6.9375,19.391,7.163,7.226,6.6269
"8/16/2021","11:06:13",42.9,6.94,19.389,7.1695,7.2301,6.6305
"8/16/2021","11:06:14",43.98,6.945,19.392,7.1737,7.2344,6.6359
"8/16/2021","11:06:16",45.06,6.955,19.393,7.1828,7.2388,6.6514
"8/16/2021","11:06:17",46.18,6.961,19.394,7.1904,7.2463,6.6678
"8/16/2021","11:06:18",47.25,6.9661,19.393,7.1984,7.2523,6.6818
"8/16/2021","11:06:19",48.31,6.9663,19.392,7.2046,7.2597,6.6889
"8/16/2021","11:06:20",49.39,6.9734,19.392,7.2107,7.2643,6.694
"8/16/2021","11:06:21",50.47,6.9754,19.392,7.2148,7.27,6.6971
"8/16/2021","11:06:22",51.55,6.9821,19.393,7.2176,7.272,6.7057
"8/16/2021","11:06:23",52.65,6.9845,19.395,7.2212,7.2763,6.7136
"8/16/2021","11:06:24",53.72,6.9932,19.398,7.2286,7.2768,6.7203
"8/16/2021","11:06:25",54.8,6.9939,19.399,7.234,7.2832,6.7279
"8/16/2021","11:06:26",55.92,6.9979,19.397,7.2392,7.2869,6.736
"8/16/2021","11:06:27",56.99,7.0021,19.396,7.2409,7.2929,6.7453
"8/16/2021","11:06:29",58.07,7.0115,19.396,7.2451,7.2961,6.7529
"8/16/2021","11:06:30",59.16,7.0156,19.399,7.2489,7.2985,6.755
"8/16/2021","11:06:31",60.25,7.022,19.4,7.2496,7.3033,6.7625
"8/16/2021","11:06:32",61.32,7.0262,19.401,7.2532,7.3067,6.7642
"8/16/2021","11:06:33",62.52,7.0325,19.401,7.2546,7.3087,6.7742
"8/16/2021","11:06:34",63.59,7.0345,19.402,7.2592,7.3117,6.7798
"8/16/2021","11:06:35",64.66,7.0388,19.402,7.261,7.3137,6.7854
"8/16/2021","11:06:36",65.8,7.0418,19.401,7.2658,7.3173,6.7958
"8/16/2021","11:06:37",66.88,7.0459,19.401,7.2723,7.315,6.8017
"8/16/2021","11:06:38",67.97,7.0482,19.401,7.2767,7.32,6.8128
"8/16/2021","11:06:40",69.04,7.0497,19.403,7.2803,7.3257,6.8163
"8/16/2021","11:06:41",70.11,7.054,19.402,7.28,7.3305,6.8191
"8/16/2021","11:06:42",71.18,7.0573,19.402,7.2832,7.3286,6.8181
"8/16/2021","11:06:43",72.27,7.0636,19.402,7.2851,7.3262,6.8226
"8/16/2021","11:06:44",73.36,7.064,19.403,7.2898,7.3304,6.8274
"8/16/2021","11:06:45",74.45,7.0672,19.406,7.291,7.3346,6.8345
"8/16/2021","11:06:46",75.56,7.0674,19.405,7.2948,7.3387,6.8361
"8/16/2021","11:06:47",76.64,7.0721,19.404,7.2999,7.3391,6.8444
"8/16/2021","11:06:48",77.72,7.0724,19.403,7.3021,7.3401,6.848
"8/16/2021","11:06:49",78.82,7.072,19.403,7.3015,7.3431,6.8487
"8/16/2021","11:06:50",79.9,7.0735,19.405,7.2992,7.3449,6.8515
"8/16/2021","11:06:51",80.97,7.0731,19.405,7.3031,7.3456,6.8527
"8/16/2021","11:06:53",82.05,7.0781,19.408,7.3051,7.3461,6.8602
"8/16/2021","11:06:54",83.13,7.0775,19.408,7.3066,7.3483,6.8601
"8/16/2021","11:06:55",84.21,7.0785,19.409,7.3056,7.3496,6.8619
"8/16/2021","11:06:56",85.32,7.0817,19.409,7.3066,7.35,6.8601
"8/16/2021","11:06:57",86.39,7.0846,19.41,7.3075,7.3489,6.8605
"8/16/2021","11:06:58",87.46,7.0874,19.41,7.3104,7.347,6.8642
"8/16/2021","11:06:59",88.57,7.085,19.41,7.3125,7.3507,6.87
"8/16/2021","11:07:00",89.66,7.0846,19.411,7.3162,7.3552,6.876
"8/16/2021","11:07:01",90.73,7.0868,19.41,7.3204,7.3638,6.8784
"8/16/2021","11:07:02",91.87,7.0905,19.41,7.3236,7.3629,6.8789
"8/16/2021","11:07:03",92.94,7.0905,19.41,7.3204,7.3647,6.8779
"8/16/2021","11:07:04",94.02,7.0915,19.411,7.3196,7.3627,6.8801
"8/16/2021","11:07:06",95.14,7.09,19.411,7.3168,7.3673,6.8807
"8/16/2021","11:07:07",96.21,7.0949,19.41,7.3193,7.367,6.8844
"8/16/2021","11:07:08",97.28,7.1006,19.409,7.3208,7.3672,6.8908
"8/16/2021","11:07:09",98.39,7.1077,19.408,7.3246,7.3676,6.8947
"8/16/2021","11:07:10",99.47,7.1088,19.409,7.327,7.3681,6.8978
"8/16/2021","11:07:11",100.54,7.1036,19.412,7.3254,7.3721,6.8936
"8/16/2021","11:07:12",101.68,7.0961,19.414,7.3272,7.3703,6.8935
"8/16/2021","11:07:13",102.74,7.0947,19.414,7.331,7.3711,6.8939
"8/16/2021","11:07:14",103.81,7.0983,19.415,7.3299,7.3709,6.8946
"8/16/2021","11:07:15",104.97,7.1015,19.415,7.3303,7.3689,6.8969
"8/16/2021","11:07:17",106.04,7.1045,19.416,7.3284,7.3722,6.8956
"8/16/2021","11:07:18",107.11,7.1063,19.416,7.334,7.3709,6.8997
"8/16/2021","11:07:19",108.2,7.1105,19.419,7.334,7.3752,6.903
"8/16/2021","11:07:20",109.27,7.107,19.42,7.333,7.3742,6.905
"8/16/2021","11:07:21",110.34,7.1076,19.42,7.3306,7.376,6.9068
"8/16/2021","11:07:22",111.45,7.1052,19.419,7.3344,7.3767,6.9057
"8/16/2021","11:07:23",112.52,7.108,19.418,7.3363,7.3754,6.9069
"8/16/2021","11:07:24",113.59,7.1057,19.418,7.3381,7.374,6.905
"8/16/2021","11:07:25",114.66,7.1094,19.419,7.3368,7.3727,6.9085
"8/16/2021","11:07:26",115.72,7.1102,19.419,7.337,7.3735,6.913
"8/16/2021","11:07:27",116.79,7.1104,19.419,7.3363,7.3746,6.9175
"8/16/2021","11:07:28",117.88,7.1069,19.419,7.3351,7.3742,6.9204
"8/16/2021","11:07:29",118.97,7.1104,19.421,7.3364,7.3742,6.9196
"8/16/2021","11:07:31",120.04,7.1114,19.423,7.3373,7.3751,6.9226
"8/16/2021","11:07:32",121.12,7.1147,19.423,7.3381,7.3729,6.9236
"8/16/2021","11:07:33",122.23,7.1136,19.421,7.3384,7.3752,6.9258
"8/16/2021","11:07:34",123.32,7.1153,19.418,7.3389,7.3777,6.9279
"8/16/2021","11:07:35",124.39,7.1144,19.42,7.3393,7.3795,6.929
"8/16/2021","11:07:36",125.53,7.1136,19.421,7.337,7.3768,6.9314
