date,box,channel,cycle_file_start,sectioned_slope_start,sectioned_slope_end,type
jul27,1,1,0,16.5,20,smr
jul27,1,1,0,37,40,smr
jul27,1,1,0,55,60,smr
jul27,1,1,0,76,80,smr
jul27,1,1,0,84.5,89,smr
jul27,1,1,0,94.5,98,smr
jul27,1,1,0,117,120,smr
jul27,1,1,0,106.5,110,smr
jul27,1,1,0,245,250,smr
jul27,1,1,0,345,348,smr
jul27,1,1,0,255.5,260,smr
jul27,1,1,0,284,289,smr
jul27,1,1,0,307,310,smr
jul27,1,1,0,364.5,369,smr
jul27,1,1,0,376,380,smr
jul27,1,1,0,427,430,smr
jul27,1,1,0,694.5,698,smr
jul27,1,1,0,704.5,708,smr
jul27,1,2,0,215,220,smr
jul27,1,2,0,125,129,smr
jul27,1,2,0,284,288,smr
jul27,1,2,0,387.5,390,smr
jul27,1,2,0,395,400,smr
jul27,1,2,0,455,460,smr
jul27,1,2,0,635,639,smr
jul27,1,2,0,1005,1010,smr
jul27,1,2,0,1125,1130,smr
jul27,1,2,0,96,100,smr
jul27,1,2,0,144.5,149,smr
jul27,1,2,0,155.5,159,smr
jul27,1,2,0,297,300,smr
jul27,1,2,0,345,348,smr
jul27,1,2,0,354,356.5,smr
jul27,1,2,0,365.5,370,smr
jul27,1,2,0,575,580,smr
jul27,1,2,0,606,610,smr
jul27,1,2,0,704.5,708.5,smr
jul27,1,2,0,914.5,917.5,smr
jul27,1,3,0,5.5,10,smr
jul27,1,3,0,56,60,smr
jul27,1,3,0,235,239,smr
jul27,1,3,0,316,320,smr
jul27,1,3,0,705,708.5,smr
jul27,1,3,0,1024.5,1029,smr
jul27,1,3,0,1066,1070,smr
jul27,1,3,0,1154,1159,smr
jul27,1,3,0,1094,1099,smr
jul27,1,3,0,1104,1109,smr
jul25,2,1,0,286,290,smr
jul25,2,1,0,533,539,smr
jul25,2,1,0,554,560,smr
jul25,2,1,0,743,750,smr
jul25,2,1,0,595,600,smr
jul25,2,1,0,885,890,smr
jul25,2,1,0,876,880,smr
jul25,2,1,0,853,859,smr
jul25,2,1,0,915,920,smr
jul25,2,1,0,907,910,smr
jul25,2,1,0,945,950,smr
jul25,2,1,0,955,960,smr
jul25,2,3,44,0,0,smr
jul25,2,3,0,26,30,smr
jul25,2,3,0,103,109.5,smr
jul25,2,3,0,175,180,smr
jul25,2,3,0,333,339,smr
jul25,2,3,0,347,350,smr
jul25,2,3,0,363,369,smr
jul25,2,3,0,473,477,smr
jul25,2,3,0,533,539.5,smr
jul25,2,3,0,605,609,smr
jul25,2,3,0,673,679,smr
jul25,2,3,0,723,728,smr
jul25,2,3,0,783,788,smr
jul25,2,3,0,873,878,smr
jul25,2,3,0,986.5,990,smr
jul25,2,3,0,973,977.5,smr
jul25,2,3,0,866.5,870,smr
jul25,2,3,0,855,860,smr
jul25,2,3,0,843,847.5,smr
jul25,2,3,0,943,948,smr
jul25,2,3,0,906,910,smr
jul25,2,3,0,953,958.5,smr
jul25,2,2,44,0,0,smr
jul25,2,2,0,24,30,smr
jul25,2,2,0,34,40,smr
jul25,2,2,0,175,180,smr
jul25,2,2,0,315,320,smr
jul25,2,2,0,273,277,smr
jul25,2,2,0,286,290,smr
jul25,2,2,0,295,300,smr
jul25,2,2,0,497,500,smr
jul25,2,2,0,895.5,900,smr
jul25,2,2,0,883,887,smr
jul25,2,2,0,875,880,smr
jul25,2,2,0,863,867,smr
jul25,2,2,0,853,857,smr
jul25,2,2,0,905,910,smr
jul25,2,2,0,915,920,smr
jul25,2,2,0,945,950,smr
jul25,2,2,0,965,970,smr
jul25,2,2,994,0,0,smr
jul25,2,4,904,0,0,smr
jul25,2,4,0,43,49,smr
jul25,2,4,0,74,79.5,smr
jul25,2,4,0,83,87.5,smr
jul25,2,4,0,143,148,smr
jul25,2,4,0,136.5,140,smr
jul25,2,4,0,126,130,smr
jul25,2,4,0,116,120,smr
jul25,2,4,0,106,110,smr
jul25,2,4,0,336,340,smr
jul25,2,4,0,343,348,smr
jul25,2,4,0,383,389.5,smr
jul25,2,4,0,913,919,smr
jul25,2,4,0,97,100,smr
jul25,3,1,0,355,360,smr
jul25,3,1,0,374.5,380,smr
jul25,3,1,0,494.5,500,smr
jul25,3,1,0,484,490,smr
jul25,3,1,0,474,480,smr
jul25,3,1,0,544,550,smr
jul25,3,1,0,554,560,smr
jul25,3,1,0,536.5,540,smr
jul25,3,1,0,803,809,smr
jul25,3,1,0,813,818,smr
jul25,3,1,0,833,837.5,smr
jul25,3,1,0,643,649,smr
jul25,3,1,753,0,0,smr
jul25,3,1,0,783,788,smr
jul25,3,1,0,874,880,smr
jul25,3,1,0,863,868,smr
jul25,3,1,0,904,910,smr
jul25,3,1,0,1015,1020,smr
jul25,3,1,0,1034,1040,smr
jul25,3,1,0,935,940,smr
jul25,3,1,0,944,947,smr
jul25,3,1,0,953,957.5,smr
jul25,3,1,1063,0,0,smr
jul25,3,1,0,963,968,smr
jul25,3,2,1063,0,0,smr
jul25,3,2,0,24.5,30,smr
jul25,3,2,0,113,118,smr
jul25,3,2,0,125,130,smr
jul25,3,2,0,133,137,smr
jul25,3,2,0,143,147,smr
jul25,3,2,0,323,329,smr
jul25,3,2,0,313,319,smr
jul25,3,2,0,1015,1020,smr
jul25,3,2,0,1024.5,1030,smr
jul25,3,2,0,1034,1040,smr
jul25,3,2,0,843,848,smr
jul25,3,2,1053,0,0,smr
jul25,3,2,0,855,859.5,smr
jul25,3,2,0,863,869,smr
jul25,3,2,0,874,880,smr
jul26,2,1,0,164,169,smr
jul26,2,1,0,177,180,smr
jul26,2,1,0,186,190,smr
jul26,2,1,0,214,219,smr
jul26,2,1,0,424,429,smr
jul26,2,1,0,444,449,smr
jul26,2,1,0,454,459,smr
jul26,2,1,0,485,489,smr
jul26,2,1,0,495,499,smr
jul26,2,1,0,655.5,660,smr
jul26,2,1,0,557.5,560,smr
jul26,2,1,0,537,540,smr
jul26,2,1,0,635,639,smr
jul26,2,1,0,715.5,720,smr
jul26,2,1,0,726,730,smr
