"date","time","time_sec","Ch1_O2","Ch1_temp","Ch2_O2","Ch3_O2","Ch4_O2"
"7/12/2021","11:14:49",0,7.9851,19.572,8.4507,7.9307,8.4081
"7/12/2021","11:14:50",1.03,7.9845,19.581,8.4471,7.9299,8.4012
"7/12/2021","11:14:51",2,7.9829,19.587,8.4449,7.9267,8.4009
"7/12/2021","11:14:52",3,7.9863,19.579,8.4447,7.9297,8.4003
"7/12/2021","11:14:53",4,7.9883,19.568,8.4483,7.9294,8.4093
"7/12/2021","11:14:54",5,7.9896,19.56,8.4506,7.9318,8.4098
"7/12/2021","11:14:55",6,7.9932,19.554,8.4535,7.9329,8.4158
"7/12/2021","11:14:56",7,7.9933,19.553,8.4538,7.9317,8.4162
"7/12/2021","11:14:57",8,7.9953,19.55,8.4547,7.9286,8.4195
"7/12/2021","11:14:58",9,7.9933,19.552,8.4548,7.928,8.4154
"7/12/2021","11:14:59",10,7.9941,19.553,8.453,7.9242,8.4135
"7/12/2021","11:15:00",11,7.9952,19.553,8.4522,7.9274,8.4115
"7/12/2021","11:15:01",12,7.9977,19.555,8.4494,7.9261,8.4138
"7/12/2021","11:15:02",13,7.994,19.558,8.4493,7.9305,8.4089
"7/12/2021","11:15:03",14,7.9898,19.563,8.4494,7.9227,8.402
"7/12/2021","11:15:04",15,7.9865,19.565,8.4509,7.9203,8.397
"7/12/2021","11:15:05",16,7.9877,19.562,8.4515,7.9162,8.4026
"7/12/2021","11:15:06",17,7.9899,19.559,8.4548,7.9178,8.4089
"7/12/2021","11:15:07",18,7.9947,19.555,8.4566,7.9192,8.4097
"7/12/2021","11:15:08",19,7.997,19.554,8.4583,7.9203,8.4076
"7/12/2021","11:15:09",20,7.997,19.554,8.457,7.9208,8.4089
"7/12/2021","11:15:10",21,7.9937,19.556,8.4578,7.9222,8.4111
"7/12/2021","11:15:11",22,7.9925,19.562,8.4576,7.9204,8.4141
"7/12/2021","11:15:12",23,7.9942,19.566,8.4556,7.9187,8.4123
"7/12/2021","11:15:13",24,7.9948,19.57,8.454,7.918,8.4151
"7/12/2021","11:15:14",25,8.0001,19.575,8.4511,7.9229,8.4143
"7/12/2021","11:15:15",26,8.0076,19.585,8.4473,7.9286,8.4115
"7/12/2021","11:15:16",27,8.0171,19.59,8.4468,7.9366,8.4086
"7/12/2021","11:15:17",28,8.0267,19.592,8.4459,7.9421,8.4072
"7/12/2021","11:15:18",29,8.0353,19.589,8.4475,7.9503,8.4093
"7/12/2021","11:15:19",30,8.0466,19.584,8.4458,7.9585,8.4127
"7/12/2021","11:15:20",31,8.0545,19.583,8.4466,7.9664,8.4141
"7/12/2021","11:15:21",32,8.066,19.582,8.4446,7.9762,8.414
"7/12/2021","11:15:22",33,8.0744,19.587,8.4454,7.9819,8.4128
"7/12/2021","11:15:23",34,8.0858,19.583,8.4449,7.991,8.4197
"7/12/2021","11:15:24",35,8.0932,19.579,8.4503,7.9998,8.4254
"7/12/2021","11:15:25",36,8.1043,19.574,8.4494,8.0134,8.4303
"7/12/2021","11:15:26",37,8.1148,19.573,8.4535,8.0253,8.4264
"7/12/2021","11:15:27",38,8.1248,19.574,8.4487,8.0346,8.4304
"7/12/2021","11:15:28",39,8.1324,19.575,8.4499,8.0415,8.4323
"7/12/2021","11:15:29",40,8.1417,19.578,8.4474,8.0485,8.4361
"7/12/2021","11:15:30",41,8.1486,19.578,8.4507,8.0559,8.4322
"7/12/2021","11:15:31",42,8.1574,19.579,8.4496,8.0633,8.4303
"7/12/2021","11:15:32",43,8.1635,19.58,8.449,8.0736,8.4301
"7/12/2021","11:15:33",44,8.1727,19.579,8.4503,8.0873,8.4361
"7/12/2021","11:15:34",45,8.1828,19.573,8.4511,8.0985,8.4366
"7/12/2021","11:15:35",46,8.189,19.567,8.4533,8.1116,8.4383
"7/12/2021","11:15:36",47,8.1983,19.567,8.4513,8.1188,8.432
"7/12/2021","11:15:37",48,8.2035,19.57,8.4526,8.1254,8.4369
"7/12/2021","11:15:38",49,8.2104,19.573,8.4493,8.1294,8.4394
"7/12/2021","11:15:39",50,8.2174,19.575,8.4487,8.1375,8.4422
"7/12/2021","11:15:40",51,8.224,19.575,8.4468,8.1467,8.4379
"7/12/2021","11:15:41",52,8.2332,19.576,8.4467,8.1536,8.4388
"7/12/2021","11:15:42",53,8.2367,19.577,8.4462,8.1604,8.438
"7/12/2021","11:15:43",54,8.2433,19.577,8.4443,8.1684,8.4424
"7/12/2021","11:15:44",55,8.2464,19.579,8.4422,8.1755,8.4369
"7/12/2021","11:15:45",56,8.2507,19.579,8.4399,8.1863,8.4392
"7/12/2021","11:15:46",57,8.2529,19.584,8.4398,8.1914,8.4384
"7/12/2021","11:15:47",58,8.2576,19.586,8.4398,8.1977,8.4413
"7/12/2021","11:15:48",59,8.2607,19.587,8.4415,8.201,8.4396
"7/12/2021","11:15:49",60,8.2635,19.587,8.4422,8.2084,8.4382
"7/12/2021","11:15:50",61,8.2651,19.586,8.4472,8.2138,8.4348
"7/12/2021","11:15:51",62,8.2692,19.589,8.4481,8.2158,8.4369
"7/12/2021","11:15:52",63,8.273,19.589,8.4479,8.2203,8.4379
"7/12/2021","11:15:53",64,8.2771,19.587,8.4447,8.2288,8.4429
"7/12/2021","11:15:54",65,8.2807,19.582,8.4404,8.2374,8.4461
"7/12/2021","11:15:55",66,8.2871,19.579,8.4421,8.2417,8.4474
"7/12/2021","11:15:56",67,8.2893,19.581,8.4377,8.2458,8.4455
"7/12/2021","11:15:57",68,8.2911,19.584,8.4395,8.2505,8.4414
"7/12/2021","11:15:58",69,8.2924,19.587,8.4389,8.2564,8.4428
"7/12/2021","11:15:59",70,8.2961,19.59,8.4402,8.2572,8.4424
"7/12/2021","11:16:00",71,8.3001,19.591,8.4395,8.2625,8.4397
"7/12/2021","11:16:01",72,8.3022,19.592,8.4364,8.2667,8.4361
"7/12/2021","11:16:02",73,8.3058,19.595,8.4352,8.2728,8.4359
"7/12/2021","11:16:03",74,8.3054,19.597,8.4322,8.2774,8.4385
"7/12/2021","11:16:04",75,8.3065,19.602,8.4326,8.2797,8.4393
"7/12/2021","11:16:05",76,8.3083,19.598,8.4351,8.283,8.4385
"7/12/2021","11:16:06",77,8.3138,19.594,8.4393,8.2828,8.4393
"7/12/2021","11:16:07",78,8.3184,19.588,8.4411,8.2884,8.439
"7/12/2021","11:16:08",79,8.3243,19.588,8.4401,8.2937,8.4417
"7/12/2021","11:16:09",80,8.327,19.589,8.439,8.2971,8.444
"7/12/2021","11:16:10",81,8.3258,19.59,8.4402,8.2988,8.4457
"7/12/2021","11:16:11",82,8.3238,19.587,8.4404,8.3032,8.4405
"7/12/2021","11:16:12",83,8.325,19.587,8.4406,8.308,8.4403
"7/12/2021","11:16:13",84,8.3298,19.586,8.4365,8.3126,8.4383
"7/12/2021","11:16:14",85,8.3345,19.587,8.4375,8.314,8.4432
"7/12/2021","11:16:15",86,8.3398,19.589,8.4371,8.3172,8.4406
"7/12/2021","11:16:16",87,8.3411,19.591,8.4388,8.3187,8.4424
"7/12/2021","11:16:17",88,8.34,19.595,8.4375,8.3194,8.4389
"7/12/2021","11:16:18",89,8.3379,19.596,8.4364,8.3191,8.4394
