"date","time","time_sec","Ch1_O2","Ch1_temp","Ch2_O2","Ch3_O2","Ch4_O2"
"7/14/2021","11:59:50",0,6.6974,27.547,7.5385,"---",7.3947
"7/14/2021","11:59:51",1.29,6.726,27.545,7.5441,"---",7.41
"7/14/2021","11:59:52",2.43,6.7482,27.542,7.5821,"---",7.4258
"7/14/2021","11:59:53",3.45,6.7638,27.536,7.5853,"---",7.4207
"7/14/2021","11:59:54",4.51,6.7833,27.534,7.5974,"---",7.423
"7/14/2021","11:59:55",5.61,6.8053,27.538,7.6157,"---",7.4124
"7/14/2021","11:59:56",6.66,6.8283,27.552,7.6178,"---",7.4248
"7/14/2021","11:59:57",7.72,6.8379,27.569,7.6426,"---",7.4142
"7/14/2021","11:59:58",8.76,6.8576,27.576,7.6308,"---",7.4201
"7/14/2021","11:59:59",9.82,6.8845,27.57,7.641,"---",7.4099
"7/14/2021","12:00:00",10.9,6.925,27.548,7.6287,"---",7.4126
"7/14/2021","12:00:01",11.89,6.9465,27.534,7.6505,"---",7.3995
"7/14/2021","12:00:02",12.89,6.9716,27.527,7.6694,"---",7.3886
"7/14/2021","12:00:03",13.88,6.9841,27.528,7.6964,"---",7.4009
"7/14/2021","12:00:05",14.98,7.0048,27.523,7.7004,"---",7.4185
"7/14/2021","12:00:06",15.98,7.0199,27.52,7.7133,"---",7.4524
"7/14/2021","12:00:07",17.11,7.0366,27.517,7.7292,"---",7.4393
"7/14/2021","12:00:08",18.12,7.049,27.517,7.7709,"---",7.4536
"7/14/2021","12:00:09",19.17,7.0589,27.516,7.788,"---",7.4243
"7/14/2021","12:00:10",20.2,7.0707,27.516,7.7957,"---",7.4218
"7/14/2021","12:00:11",21.18,7.0905,27.514,7.781,"---",7.3986
"7/14/2021","12:00:12",22.18,7.1057,27.511,7.7751,"---",7.3753
"7/14/2021","12:00:13",23.26,7.1235,27.511,7.7764,"---",7.3539
"7/14/2021","12:00:14",24.27,7.1354,27.515,7.7856,"---",7.3322
"7/14/2021","12:00:15",25.26,7.1505,27.518,7.7836,"---",7.3295
"7/14/2021","12:00:16",26.28,7.1713,27.523,7.7937,"---",7.3539
"7/14/2021","12:00:17",27.27,7.1809,27.529,7.8098,"---",7.3716
"7/14/2021","12:00:18",28.26,7.2007,27.535,7.8182,"---",7.3806
"7/14/2021","12:00:19",29.32,7.2056,27.539,7.815,"---",7.3516
"7/14/2021","12:00:20",30.3,7.2132,27.539,7.8095,"---",7.3464
"7/14/2021","12:00:21",31.3,7.225,27.534,7.821,"---",7.3741
"7/14/2021","12:00:22",32.33,7.2385,27.532,7.8365,"---",7.4253
"7/14/2021","12:00:23",33.33,7.2587,27.532,7.8365,"---",7.4514
"7/14/2021","12:00:24",34.33,7.266,27.53,7.8398,"---",7.467
"7/14/2021","12:00:25",35.31,7.2725,27.534,7.8217,"---",7.4647
"7/14/2021","12:00:26",36.3,7.2782,27.548,7.8163,"---",7.4795
"7/14/2021","12:00:27",37.35,7.2771,27.564,7.8129,"---",7.5098
"7/14/2021","12:00:28",38.35,7.2854,27.568,7.8004,"---",7.5346
"7/14/2021","12:00:29",39.37,7.3035,27.554,7.7892,"---",7.5569
"7/14/2021","12:00:30",40.37,7.3197,27.543,7.7925,"---",7.5495
"7/14/2021","12:00:31",41.38,7.3284,27.539,7.8102,"---",7.5626
"7/14/2021","12:00:32",42.39,7.3276,27.543,7.8219,"---",7.5704
"7/14/2021","12:00:33",43.38,7.3377,27.545,7.7874,"---",7.5784
"7/14/2021","12:00:34",44.38,7.3444,27.549,7.7877,"---",7.6045
"7/14/2021","12:00:35",45.37,7.3571,27.549,7.8,"---",7.5995
"7/14/2021","12:00:36",46.35,7.3593,27.545,7.8208,"---",7.6109
"7/14/2021","12:00:37",47.34,7.3716,27.54,7.8229,"---",7.5788
"7/14/2021","12:00:38",48.34,7.3753,27.534,7.8215,"---",7.5751
"7/14/2021","12:00:39",49.32,7.3788,27.53,7.8331,"---",7.5575
"7/14/2021","12:00:40",50.34,7.3784,27.529,7.8426,"---",7.5491
"7/14/2021","12:00:41",51.33,7.3867,27.531,7.8392,"---",7.5448
"7/14/2021","12:00:42",52.32,7.398,27.536,7.8474,"---",7.561
"7/14/2021","12:00:43",53.34,7.4082,27.535,7.8528,"---",7.5855
"7/14/2021","12:00:44",54.33,7.4072,27.536,7.8436,"---",7.6103
"7/14/2021","12:00:45",55.32,7.4122,27.533,7.8325,"---",7.6225
"7/14/2021","12:00:46",56.36,7.413,27.535,7.8125,"---",7.6467
"7/14/2021","12:00:47",57.37,7.4229,27.537,7.8266,"---",7.6695
"7/14/2021","12:00:48",58.36,7.4266,27.54,7.8409,"---",7.6635
"7/14/2021","12:00:49",59.33,7.4304,27.541,7.8408,"---",7.6365
"7/14/2021","12:00:50",60.33,7.4316,27.542,7.8516,"---",7.6201
"7/14/2021","12:00:51",61.32,7.4389,27.541,7.8454,"---",7.6045
"7/14/2021","12:00:52",62.34,7.4452,27.541,7.8574,"---",7.6187
"7/14/2021","12:00:53",63.34,7.4514,27.543,7.8627,"---",7.6272
"7/14/2021","12:00:54",64.35,7.4548,27.547,7.8589,"---",7.6491
"7/14/2021","12:00:55",65.35,7.4624,27.547,7.8771,"---",7.6437
"7/14/2021","12:00:56",66.33,7.4724,27.545,7.8614,"---",7.6214
"7/14/2021","12:00:57",67.36,7.4726,27.542,7.8678,"---",7.6277
"7/14/2021","12:00:58",68.39,7.4764,27.543,7.8602,"---",7.6435
"7/14/2021","12:00:59",69.36,7.4738,27.543,7.8646,"---",7.6748
"7/14/2021","12:01:00",70.36,7.4808,27.546,7.8605,"---",7.6717
"7/14/2021","12:01:01",71.34,7.4819,27.545,7.8665,"---",7.6627
"7/14/2021","12:01:02",72.34,7.4863,27.542,7.8744,"---",7.6473
"7/14/2021","12:01:03",73.36,7.4867,27.54,7.8816,"---",7.6548
"7/14/2021","12:01:04",74.36,7.4925,27.54,7.8792,"---",7.6484
"7/14/2021","12:01:05",75.37,7.4919,27.544,7.8752,"---",7.6564
"7/14/2021","12:01:06",76.35,7.4963,27.547,7.8849,"---",7.6556
"7/14/2021","12:01:07",77.38,7.5003,27.547,7.8835,"---",7.6562
"7/14/2021","12:01:08",78.36,7.5096,27.544,7.8852,"---",7.6475
"7/14/2021","12:01:09",79.43,7.5193,27.542,7.8953,"---",7.6532
"7/14/2021","12:01:10",80.44,7.5162,27.542,7.8947,"---",7.6939
"7/14/2021","12:01:11",81.45,7.5186,27.542,7.8814,"---",7.7092
"7/14/2021","12:01:12",82.45,7.5159,27.541,7.8622,"---",7.6905
"7/14/2021","12:01:13",83.45,7.5239,27.541,7.8527,"---",7.6665
"7/14/2021","12:01:14",84.43,7.5203,27.545,7.863,"---",7.673
"7/14/2021","12:01:15",85.45,7.5221,27.545,7.8516,"---",7.698
"7/14/2021","12:01:16",86.45,7.5223,27.546,7.86,"---",7.7185
"7/14/2021","12:01:17",87.46,7.5316,27.544,7.8587,"---",7.7234
"7/14/2021","12:01:18",88.45,7.5298,27.544,7.8531,"---",7.7223
"7/14/2021","12:01:19",89.46,7.5215,27.542,7.84,"---",7.7101
"7/14/2021","12:01:20",90.45,7.5179,27.542,7.8308,"---",7.7291
"7/14/2021","12:01:21",91.45,7.5237,27.543,7.8338,"---",7.7196
"7/14/2021","12:01:22",92.46,7.5308,27.544,7.8375,"---",7.7251
"7/14/2021","12:01:23",93.46,7.5274,27.542,7.8445,"---",7.6877
"7/14/2021","12:01:24",94.46,7.5253,27.541,7.8326,"---",7.7148
"7/14/2021","12:01:25",95.5,7.5334,27.541,7.8255,"---",7.7377
"7/14/2021","12:01:26",96.51,7.5416,27.541,7.8139,"---",7.7783
"7/14/2021","12:01:27",97.51,7.5456,27.541,7.8245,"---",7.7749
"7/14/2021","12:01:28",98.5,7.5458,27.544,7.8083,"---",7.7726
"7/14/2021","12:01:29",99.49,7.5434,27.542,7.7888,"---",7.7681
"7/14/2021","12:01:30",100.53,7.5483,27.543,7.7794,"---",7.7688
"7/14/2021","12:01:31",101.52,7.5477,27.54,7.792,"---",7.7737
"7/14/2021","12:01:32",102.54,7.5508,27.544,7.7913,"---",7.7654
"7/14/2021","12:01:33",103.56,7.5469,27.545,7.786,"---",7.7732
"7/14/2021","12:01:34",104.56,7.5379,27.546,7.7788,"---",7.7748
"7/14/2021","12:01:35",105.53,7.5394,27.548,7.7787,"---",7.7886
"7/14/2021","12:01:36",106.56,7.5436,27.549,7.7717,"---",7.7993
"7/14/2021","12:01:37",107.58,7.5497,27.55,7.7621,"---",7.8038
"7/14/2021","12:01:38",108.57,7.5532,27.548,7.7578,"---",7.8017
"7/14/2021","12:01:39",109.55,7.5521,27.546,7.7596,"---",7.7986
"7/14/2021","12:01:40",110.58,7.558,27.545,7.7673,"---",7.8128
"7/14/2021","12:01:41",111.58,7.5529,27.544,7.7644,"---",7.8237
"7/14/2021","12:01:42",112.57,7.5487,27.546,7.7766,"---",7.8268
"7/14/2021","12:01:43",113.57,7.5444,27.547,7.7728,"---",7.8086
"7/14/2021","12:01:44",114.56,7.5404,27.55,7.7859,"---",7.8009
"7/14/2021","12:01:45",115.58,7.5436,27.549,7.7951,"---",7.7981
"7/14/2021","12:01:46",116.59,7.5465,27.548,7.7909,"---",7.7967
"7/14/2021","12:01:47",117.56,7.5491,27.543,7.8003,"---",7.7784
"7/14/2021","12:01:48",118.57,7.5523,27.542,7.7939,"---",7.7951
"7/14/2021","12:01:49",119.57,7.553,27.541,7.7938,"---",7.8267
"7/14/2021","12:01:50",120.6,7.564,27.541,7.7964,"---",7.8576
"7/14/2021","12:01:51",121.59,7.5667,27.54,7.8047,"---",7.8684
"7/14/2021","12:01:52",122.57,7.5694,27.537,7.8039,"---",7.8561
"7/14/2021","12:01:53",123.6,7.5656,27.538,7.7896,"---",7.8449
"7/14/2021","12:01:54",124.59,7.5631,27.538,7.7653,"---",7.8378
"7/14/2021","12:01:55",125.6,7.5581,27.54,7.7677,"---",7.8415
"7/14/2021","12:01:56",126.6,7.5621,27.539,7.773,"---",7.8519
"7/14/2021","12:01:57",127.63,7.5646,27.537,7.7925,"---",7.855
"7/14/2021","12:01:58",128.62,7.5745,27.538,7.8044,"---",7.8424
"7/14/2021","12:01:59",129.59,7.5697,27.536,7.8035,"---",7.8521
"7/14/2021","12:02:00",130.61,7.5656,27.538,7.7931,"---",7.8088
"7/14/2021","12:02:01",131.66,7.5589,27.537,7.8134,"---",7.7963
"7/14/2021","12:02:02",132.64,7.5671,27.536,7.8081,"---",7.7723
"7/14/2021","12:02:03",133.61,7.5694,27.538,7.8088,"---",7.7883
"7/14/2021","12:02:04",134.61,7.5738,27.54,7.777,"---",7.8242
"7/14/2021","12:02:05",135.59,7.5629,27.542,7.7821,"---",7.8377
"7/14/2021","12:02:06",136.61,7.5633,27.542,7.7791,"---",7.8446
"7/14/2021","12:02:07",137.59,7.5657,27.542,7.7703,"---",7.821
"7/14/2021","12:02:08",138.59,7.5688,27.54,7.7645,"---",7.822
"7/14/2021","12:02:09",139.62,7.5673,27.539,7.7409,"---",7.8363
"7/14/2021","12:02:10",140.61,7.5638,27.538,7.7327,"---",7.8456
"7/14/2021","12:02:11",141.59,7.5664,27.538,7.729,"---",7.8634
"7/14/2021","12:02:12",142.63,7.5752,27.531,7.7664,"---",7.8758
"7/14/2021","12:02:13",143.62,7.5716,27.526,7.7851,"---",7.8651
"7/14/2021","12:02:14",144.72,7.5744,27.525,7.7848,"---",7.8603
"7/14/2021","12:02:15",145.71,7.5697,27.529,7.7888,"---",7.8469
"7/14/2021","12:02:16",146.7,7.5825,27.532,7.7834,"---",7.8547
"7/14/2021","12:02:17",147.75,7.5743,27.53,7.7793,"---",7.8509
"7/14/2021","12:02:18",148.73,7.5808,27.528,7.7494,"---",7.8556
"7/14/2021","12:02:19",149.73,7.5728,27.524,7.7375,"---",7.8757
"7/14/2021","12:02:20",150.72,7.5777,27.522,7.7393,"---",7.8685
"7/14/2021","12:02:21",151.75,7.568,27.522,7.7405,"---",7.8733
"7/14/2021","12:02:22",152.73,7.5667,27.525,7.7345,"---",7.871
"7/14/2021","12:02:23",153.73,7.564,27.531,7.7127,"---",7.8815
"7/14/2021","12:02:24",154.73,7.5607,27.533,7.7155,"---",7.8608
"7/14/2021","12:02:25",155.72,7.5578,27.533,7.7081,"---",7.8429
"7/14/2021","12:02:26",156.73,7.5552,27.528,7.7235,"---",7.8103
"7/14/2021","12:02:27",157.78,7.5583,27.527,7.7103,"---",7.8306
"7/14/2021","12:02:28",158.76,7.5601,27.524,7.7042,"---",7.8192
"7/14/2021","12:02:29",159.73,7.5674,27.527,7.6848,"---",7.828
"7/14/2021","12:02:30",160.75,7.5658,27.528,7.6672,"---",7.8116
"7/14/2021","12:02:31",161.73,7.5664,27.53,7.6658,"---",7.8171
"7/14/2021","12:02:32",162.75,7.5664,27.528,7.6645,"---",7.8271
"7/14/2021","12:02:33",163.78,7.5663,27.529,7.6568,"---",7.8186
"7/14/2021","12:02:34",164.76,7.5615,27.53,7.6512,"---",7.8241
"7/14/2021","12:02:35",165.75,7.5564,27.535,7.6406,"---",7.8066
"7/14/2021","12:02:36",166.76,7.5674,27.535,7.6583,"---",7.8126
"7/14/2021","12:02:37",167.81,7.5734,27.532,7.6591,"---",7.8167
"7/14/2021","12:02:38",168.81,7.5817,27.529,7.6449,"---",7.8208
"7/14/2021","12:02:39",169.8,7.571,27.529,7.6066,"---",7.8314
"7/14/2021","12:02:40",170.8,7.5776,27.528,7.5879,"---",7.8307
"7/14/2021","12:02:41",171.78,7.577,27.529,7.5743,"---",7.8393
"7/14/2021","12:02:42",172.8,7.5829,27.529,7.5655,"---",7.8325
"7/14/2021","12:02:43",173.79,7.5773,27.534,7.5722,"---",7.8186
"7/14/2021","12:02:44",174.82,7.5731,27.534,7.5746,"---",7.808
"7/14/2021","12:02:45",175.83,7.5814,27.535,7.5967,"---",7.797
"7/14/2021","12:02:46",176.82,7.5871,27.535,7.5893,"---",7.7957
"7/14/2021","12:02:47",177.81,7.5897,27.536,7.5919,"---",7.7854
"7/14/2021","12:02:48",178.81,7.5869,27.536,7.5738,"---",7.7694
"7/14/2021","12:02:49",179.8,7.5832,27.536,7.5754,"---",7.7566
"7/14/2021","12:02:50",180.85,7.5873,27.535,7.5801,"---",7.7535
"7/14/2021","12:02:51",181.84,7.5808,27.536,7.6004,"---",7.7585
"7/14/2021","12:02:52",182.85,7.5799,27.539,7.6232,"---",7.7514
"7/14/2021","12:02:53",183.86,7.5702,27.54,7.6507,"---",7.7457
"7/14/2021","12:02:54",184.87,7.5757,27.537,7.6655,"---",7.7531
"7/14/2021","12:02:55",185.88,7.5876,27.537,7.6551,"---",7.7616
"7/14/2021","12:02:56",186.89,7.5916,27.538,7.6463,"---",7.7773
"7/14/2021","12:02:57",187.89,7.5884,27.538,7.6411,"---",7.7707
"7/14/2021","12:02:58",188.9,7.5829,27.535,7.6399,"---",7.7722
"7/14/2021","12:02:59",189.9,7.5866,27.533,7.6408,"---",7.7798
"7/14/2021","12:03:00",190.9,7.5895,27.536,7.6479,"---",7.801
