"date","time","time_sec","Ch1_O2","Ch1_temp","Ch2_O2","Ch3_O2","Ch4_O2"
"7/25/2022","11:13:13",0,8.72,19.91,8.6795,8.6725,8.6027
"7/25/2022","11:13:14",1.09,8.7203,19.914,8.6791,8.6694,8.6008
"7/25/2022","11:13:15",2,8.7276,19.914,8.6791,8.6714,8.5993
"7/25/2022","11:13:16",3,8.729,19.911,8.6796,8.6725,8.6006
"7/25/2022","11:13:17",4,8.7339,19.907,8.6777,8.6733,8.6041
"7/25/2022","11:13:18",5,8.7323,19.906,8.6745,8.6722,8.6058
"7/25/2022","11:13:19",6,8.7307,19.91,8.6762,8.6709,8.6035
"7/25/2022","11:13:20",7,8.7307,19.915,8.6758,8.6706,8.604
"7/25/2022","11:13:21",8,8.733,19.918,8.6742,8.6703,8.6072
"7/25/2022","11:13:22",9,8.7403,19.916,8.6733,8.674,8.6111
"7/25/2022","11:13:23",10,8.7401,19.913,8.6774,8.676,8.6134
"7/25/2022","11:13:24",11,8.7425,19.907,8.6809,8.6783,8.6153
"7/25/2022","11:13:25",12,8.7436,19.902,8.6818,8.6788,8.6204
"7/25/2022","11:13:26",13,8.7474,19.899,8.6809,8.6807,8.6268
"7/25/2022","11:13:27",14,8.748,19.899,8.6819,8.6805,8.6285
"7/25/2022","11:13:28",15,8.7461,19.904,8.6808,8.6809,8.6277
"7/25/2022","11:13:29",16,8.7453,19.909,8.6793,8.6795,8.6244
"7/25/2022","11:13:30",17,8.7411,19.911,8.6758,8.6831,8.627
"7/25/2022","11:13:31",18,8.7417,19.907,8.6771,8.6844,8.6293
"7/25/2022","11:13:32",19,8.7421,19.906,8.679,8.6856,8.6319
"7/25/2022","11:13:33",20,8.7471,19.907,8.6827,8.6839,8.6325
"7/25/2022","11:13:34",21,8.7463,19.91,8.6836,8.6858,8.6307
"7/25/2022","11:13:35",22,8.7455,19.909,8.6856,8.687,8.6329
"7/25/2022","11:13:36",23,8.7474,19.907,8.685,8.6899,8.6351
"7/25/2022","11:13:37",24,8.7467,19.907,8.6845,8.6912,8.6391
"7/25/2022","11:13:38",25,8.7477,19.906,8.6833,8.6957,8.6393
"7/25/2022","11:13:39",26,8.7481,19.908,8.6813,8.6958,8.6402
"7/25/2022","11:13:40",27,8.7486,19.908,8.6801,8.6972,8.6402
"7/25/2022","11:13:41",28,8.7488,19.91,8.6776,8.6987,8.6414
"7/25/2022","11:13:42",29,8.7508,19.908,8.6818,8.7034,8.6413
"7/25/2022","11:13:43",30,8.7568,19.905,8.6845,8.7055,8.6415
"7/25/2022","11:13:44",31,8.7606,19.904,8.685,8.705,8.6405
"7/25/2022","11:13:45",32,8.7563,19.906,8.6832,8.7023,8.6395
"7/25/2022","11:13:46",33,8.7505,19.908,8.6812,8.7015,8.641
"7/25/2022","11:13:47",34,8.7436,19.909,8.6784,8.7013,8.6445
"7/25/2022","11:13:48",35,8.7442,19.911,8.6777,8.7044,8.6501
"7/25/2022","11:13:49",36,8.7478,19.911,8.6749,8.7059,8.6526
"7/25/2022","11:13:50",37,8.754,19.911,8.6776,8.7077,8.6554
"7/25/2022","11:13:51",38,8.754,19.91,8.6814,8.706,8.6564
"7/25/2022","11:13:52",39,8.7568,19.91,8.6847,8.7072,8.6577
"7/25/2022","11:13:53",40,8.7554,19.909,8.6871,8.7074,8.6581
"7/25/2022","11:13:54",41,8.7625,19.907,8.6852,8.709,8.6628
"7/25/2022","11:13:55",42,8.7595,19.909,8.6863,8.7081,8.6653
"7/25/2022","11:13:56",43,8.7575,19.911,8.6864,8.7077,8.6642
"7/25/2022","11:13:57",44,8.7571,19.914,8.6855,8.7083,8.66
"7/25/2022","11:13:58",45,8.7612,19.913,8.6865,8.7118,8.6582
"7/25/2022","11:13:59",46,8.7676,19.912,8.685,8.7115,8.663
"7/25/2022","11:14:00",47,8.765,19.912,8.6883,8.7115,8.6645
"7/25/2022","11:14:01",48,8.7639,19.911,8.6874,8.7122,8.6672
"7/25/2022","11:14:02",49,8.7627,19.912,8.6925,8.7127,8.6667
"7/25/2022","11:14:03",50,8.7654,19.911,8.6921,8.7156,8.6686
"7/25/2022","11:14:04",51,8.7622,19.912,8.6932,8.7142,8.6697
"7/25/2022","11:14:05",52,8.7631,19.91,8.6921,8.7181,8.6688
"7/25/2022","11:14:06",53,8.7618,19.91,8.6911,8.7176,8.6693
"7/25/2022","11:14:07",54,8.7671,19.908,8.6938,8.719,8.6708
"7/25/2022","11:14:08",55,8.7673,19.907,8.6956,8.7167,8.671
"7/25/2022","11:14:09",56,8.7688,19.907,8.6971,8.7187,8.6723
"7/25/2022","11:14:10",57,8.7682,19.908,8.6967,8.7183,8.6726
"7/25/2022","11:14:11",58,8.7659,19.91,8.6949,8.7196,8.6736
"7/25/2022","11:14:12",59,8.7668,19.912,8.6951,8.716,8.674
"7/25/2022","11:14:13",60,8.7644,19.914,8.6942,8.7161,8.6716
"7/25/2022","11:14:14",61,8.7641,19.917,8.6964,8.7145,8.6736
"7/25/2022","11:14:15",62,8.7625,19.917,8.6956,8.716,8.6721
"7/25/2022","11:14:16",63,8.7628,19.917,8.6976,8.715,8.6723
"7/25/2022","11:14:17",64,8.7639,19.919,8.6972,8.7178,8.6686
"7/25/2022","11:14:18",65,8.7623,19.918,8.6984,8.718,8.6665
"7/25/2022","11:14:19",66,8.7656,19.919,8.6974,8.718,8.6658
"7/25/2022","11:14:20",67,8.7658,19.916,8.6991,8.7164,8.6669
"7/25/2022","11:14:21",68,8.7674,19.917,8.703,8.717,8.6703
"7/25/2022","11:14:22",69,8.7653,19.916,8.7047,8.7157,8.6713
"7/25/2022","11:14:23",70,8.7646,19.916,8.7024,8.7177,8.6713
"7/25/2022","11:14:24",71,8.7645,19.915,8.6985,8.7196,8.6697
"7/25/2022","11:14:25",72,8.7635,19.916,8.6973,8.7231,8.6702
"7/25/2022","11:14:26",73,8.7659,19.915,8.7012,8.7243,8.6724
"7/25/2022","11:14:27",74,8.7664,19.913,8.7017,8.7267,8.672
"7/25/2022","11:14:28",75,8.769,19.909,8.7004,8.7288,8.6711
"7/25/2022","11:14:29",76,8.7711,19.91,8.6975,8.7284,8.6684
"7/25/2022","11:14:30",77,8.7728,19.913,8.7005,8.7248,8.6686
"7/25/2022","11:14:31",78,8.7707,19.917,8.7019,8.7205,8.6685
"7/25/2022","11:14:32",79,8.7691,19.921,8.6988,8.7209,8.6677
"7/25/2022","11:14:33",80,8.7691,19.926,8.698,8.7208,8.6694
"7/25/2022","11:14:34",81,8.769,19.931,8.7007,8.7232,8.6706
"7/25/2022","11:14:35",82,8.7641,19.932,8.7074,8.7217,8.6733
"7/25/2022","11:14:36",83,8.7601,19.932,8.7079,8.7235,8.6726
"7/25/2022","11:14:37",84,8.7635,19.928,8.7055,8.7221,8.6742
"7/25/2022","11:14:38",85,8.7662,19.926,8.7056,8.7243,8.6716
"7/25/2022","11:14:39",86,8.7699,19.922,8.7065,8.7234,8.6704
"7/25/2022","11:14:40",87,8.7677,19.924,8.7081,8.7252,8.67
"7/25/2022","11:14:41",88,8.7719,19.923,8.7039,8.7251,8.674
"7/25/2022","11:14:42",89,8.7724,19.923,8.7037,8.7269,8.677
"7/25/2022","11:14:43",90,8.7767,19.922,8.7041,8.7276,8.6771
"7/25/2022","11:14:44",91,8.7756,19.924,8.7068,8.726,8.6758
"7/25/2022","11:14:45",92,8.7779,19.924,8.7055,8.7262,8.6761
"7/25/2022","11:14:46",93,8.7723,19.924,8.706,8.7277,8.6771
"7/25/2022","11:14:47",94,8.7678,19.923,8.7064,8.7269,8.68
"7/25/2022","11:14:48",95,8.7664,19.925,8.7101,8.7267,8.6798
"7/25/2022","11:14:49",96,8.7732,19.922,8.712,8.7266,8.6812
"7/25/2022","11:14:50",97,8.7772,19.921,8.7127,8.732,8.6824
"7/25/2022","11:14:51",98,8.7764,19.922,8.7122,8.7295,8.6859
"7/25/2022","11:14:52",99,8.7711,19.925,8.7097,8.7281,8.6903
"7/25/2022","11:14:53",100,8.7705,19.926,8.7108,8.7262,8.6849
"7/25/2022","11:14:54",101,8.7716,19.927,8.713,8.729,8.6822
"7/25/2022","11:14:55",102,8.7753,19.925,8.7149,8.7279,8.6776
"7/25/2022","11:14:56",103,8.7753,19.925,8.7149,8.7274,8.6813
"7/25/2022","11:14:57",104,8.7738,19.926,8.7118,8.7262,8.6801
"7/25/2022","11:14:58",105,8.7729,19.928,8.7146,8.7278,8.6795
"7/25/2022","11:14:59",106,8.7715,19.93,8.7129,8.7277,8.6783
"7/25/2022","11:15:00",107,8.77,19.929,8.7139,8.7289,8.6791
"7/25/2022","11:15:01",108,8.7659,19.93,8.7147,8.7269,8.6781
"7/25/2022","11:15:02",109,8.7671,19.931,8.7137,8.7272,8.6773
"7/25/2022","11:15:03",110,8.7666,19.931,8.7119,8.7274,8.6778
"7/25/2022","11:15:04",111,8.7676,19.93,8.7073,8.7312,8.6811
"7/25/2022","11:15:05",112,8.7681,19.93,8.7086,8.7322,8.6844
"7/25/2022","11:15:06",113,8.7695,19.933,8.7084,8.7305,8.6857
"7/25/2022","11:15:07",114,8.7746,19.934,8.7084,8.73,8.6797
"7/25/2022","11:15:08",115,8.7749,19.935,8.7112,8.7315,8.6754
"7/25/2022","11:15:09",116,8.7712,19.934,8.7142,8.7332,8.6746
"7/25/2022","11:15:10",117,8.7686,19.932,8.7136,8.7331,8.6767
"7/25/2022","11:15:11",118,8.77,19.929,8.715,8.7345,8.6787
"7/25/2022","11:15:12",119,8.7718,19.929,8.7094,8.735,8.6764
"7/25/2022","11:15:13",120,8.7729,19.929,8.709,8.7358,8.6782
"7/25/2022","11:15:14",121,8.7725,19.932,8.7002,8.7292,8.6778
"7/25/2022","11:15:15",122,8.7749,19.934,8.7008,8.727,8.6772
"7/25/2022","11:15:16",123,8.7743,19.937,8.6996,8.7253,8.6747
"7/25/2022","11:15:17",124,8.7729,19.941,8.7021,8.7275,8.6719
"7/25/2022","11:15:18",125,8.7736,19.939,8.7,8.7299,8.6741
"7/25/2022","11:15:19",126,8.7714,19.937,8.7065,8.7321,8.6758
"7/25/2022","11:15:20",127,8.772,19.934,8.7073,8.7337,8.6821
"7/25/2022","11:15:21",128,8.7697,19.933,8.7132,8.7344,8.6814
"7/25/2022","11:15:22",129,8.7687,19.933,8.7099,8.7307,8.6816
"7/25/2022","11:15:23",130,8.7711,19.936,8.7133,8.73,8.6784
"7/25/2022","11:15:24",131,8.7757,19.936,8.7128,8.7293,8.6812
"7/25/2022","11:15:25",132,8.7806,19.935,8.7138,8.7313,8.6837
"7/25/2022","11:15:26",133,8.7777,19.933,8.7112,8.7319,8.6839
"7/25/2022","11:15:27",134,8.7733,19.934,8.7127,8.7307,8.6849
"7/25/2022","11:15:28",135,8.7716,19.937,8.7113,8.7285,8.683
"7/25/2022","11:15:29",136,8.7728,19.939,8.7112,8.7292,8.6819
"7/25/2022","11:15:30",137,8.7733,19.942,8.7096,8.7286,8.677
"7/25/2022","11:15:31",138,8.7731,19.944,8.7094,8.7304,8.6779
"7/25/2022","11:15:32",139,8.772,19.943,8.7093,8.7301,8.6783
"7/25/2022","11:15:33",140,8.7756,19.94,8.7086,8.7319,8.6809
"7/25/2022","11:15:34",141,8.7731,19.937,8.7095,8.73,8.6815
"7/25/2022","11:15:35",142,8.7747,19.936,8.712,8.7278,8.6855
"7/25/2022","11:15:36",143,8.7718,19.938,8.7109,8.7242,8.6874
"7/25/2022","11:15:37",144,8.7774,19.94,8.7113,8.7249,8.6856
"7/25/2022","11:15:38",145,8.7749,19.943,8.7089,8.726,8.6831
"7/25/2022","11:15:39",146,8.7739,19.945,8.7124,8.7267,8.6799
"7/25/2022","11:15:40",147,8.7726,19.945,8.7102,8.7275,8.6837
"7/25/2022","11:15:41",148,8.7734,19.946,8.7107,8.7262,8.6857
"7/25/2022","11:15:42",149,8.7751,19.942,8.7108,8.7291,8.6851
"7/25/2022","11:15:43",150,8.7755,19.941,8.7112,8.7323,8.6825
"7/25/2022","11:15:44",151,8.7732,19.94,8.7156,8.7338,8.6807
"7/25/2022","11:15:45",152,8.7745,19.94,8.7153,8.7328,8.6837
"7/25/2022","11:15:46",153,8.77,19.941,8.7172,8.7304,8.6843
"7/25/2022","11:15:47",154,8.7689,19.942,8.7162,8.7301,8.6833
"7/25/2022","11:15:48",155,8.7649,19.943,8.7169,8.7311,8.6815
"7/25/2022","11:15:49",156,8.7699,19.943,8.7158,8.7311,8.6812
"7/25/2022","11:15:50",157,8.7732,19.943,8.7135,8.7331,8.6837
"7/25/2022","11:15:51",158,8.7741,19.944,8.7095,8.7321,8.6838
"7/25/2022","11:15:52",159,8.7737,19.946,8.7084,8.733,8.6847
"7/25/2022","11:15:53",160,8.7721,19.945,8.7112,8.7315,8.6844
"7/25/2022","11:15:54",161,8.7724,19.945,8.7142,8.7315,8.6872
"7/25/2022","11:15:55",162,8.7698,19.944,8.7125,8.7315,8.6852
"7/25/2022","11:15:56",163,8.7721,19.944,8.7087,8.7315,8.6864
"7/25/2022","11:15:57",164,8.7731,19.943,8.7081,8.7332,8.6872
"7/25/2022","11:15:58",165,8.7713,19.944,8.7125,8.7332,8.69
"7/25/2022","11:15:59",166,8.7739,19.943,8.7143,8.7342,8.6922
"7/25/2022","11:16:00",167,8.7753,19.941,8.7172,8.7346,8.6947
"7/25/2022","11:16:01",168,8.7783,19.94,8.7146,8.7365,8.6986
"7/25/2022","11:16:02",169,8.7738,19.942,8.7091,8.7371,8.6972
"7/25/2022","11:16:03",170,8.7711,19.946,8.7069,8.7335,8.6965
"7/25/2022","11:16:04",171,8.7718,19.949,8.7043,8.7324,8.6969
"7/25/2022","11:16:05",172,8.7741,19.95,8.7078,8.7306,8.6969
"7/25/2022","11:16:06",173,8.7767,19.951,8.7033,8.7312,8.698
"7/25/2022","11:16:07",174,8.7767,19.946,8.7102,8.7335,8.6985
"7/25/2022","11:16:08",175,8.7808,19.94,8.7129,8.7365,8.702
"7/25/2022","11:16:09",176,8.781,19.935,8.7188,8.7405,8.7035
"7/25/2022","11:16:10",177,8.7819,19.936,8.7191,8.7375,8.7024
"7/25/2022","11:16:11",178,8.779,19.936,8.7168,8.7383,8.7008
"7/25/2022","11:16:12",179,8.7816,19.936,8.7191,8.738,8.6993
"7/25/2022","11:16:13",180,8.7815,19.935,8.716,8.7404,8.7008
"7/25/2022","11:16:14",181,8.7817,19.933,8.7167,8.7414,8.7033
"7/25/2022","11:16:15",182,8.7798,19.935,8.7153,8.74,8.7036
"7/25/2022","11:16:16",183,8.7824,19.936,8.7174,8.7394,8.7012
"7/25/2022","11:16:17",184,8.7778,19.941,8.7194,8.7368,8.6996
"7/25/2022","11:16:18",185,8.775,19.941,8.719,8.7381,8.6997
"7/25/2022","11:16:19",186,8.7743,19.941,8.719,8.7391,8.7017
