"date","time","time_sec","Ch1_O2","Ch1_temp","Ch2_O2","Ch3_O2","Ch4_O2"
"7/25/2022","15:07:38",0,8.4065,22.987,8.3595,8.4811,8.5751
"7/25/2022","15:07:39",1.68,8.4069,22.986,8.3647,8.4887,8.5665
"7/25/2022","15:07:41",2.88,8.4006,22.982,8.3578,8.495,8.5628
"7/25/2022","15:07:42",3.97,8.4021,22.982,8.3638,8.4951,8.5677
"7/25/2022","15:07:43",5.05,8.4048,22.98,8.3809,8.4775,8.5728
"7/25/2022","15:07:44",6.12,8.4049,22.983,8.3896,8.4786,8.5661
"7/25/2022","15:07:45",7.22,8.4088,22.985,8.3756,8.4698,8.5708
"7/25/2022","15:07:46",8.29,8.4011,22.986,8.3624,8.4835,8.5695
"7/25/2022","15:07:47",9.39,8.4035,22.984,8.3481,8.4759,8.5774
"7/25/2022","15:07:48",10.47,8.3991,22.982,8.3622,8.4874,8.5756
"7/25/2022","15:07:49",11.67,8.3996,22.981,8.3547,8.4923,8.5734
"7/25/2022","15:07:51",12.75,8.4011,22.981,8.3603,8.4915,8.5742
"7/25/2022","15:07:52",13.82,8.4028,22.982,8.3544,8.4905,8.5759
"7/25/2022","15:07:53",14.91,8.4032,22.981,8.358,8.4927,8.5819
"7/25/2022","15:07:54",15.98,8.4025,22.981,8.3557,8.4894,8.5727
"7/25/2022","15:07:55",17.06,8.4009,22.98,8.3615,8.4862,8.5781
"7/25/2022","15:07:56",18.14,8.3996,22.981,8.3676,8.4814,8.5774
"7/25/2022","15:07:57",19.27,8.3971,22.981,8.3702,8.4839,8.5924
"7/25/2022","15:07:58",20.34,8.4041,22.981,8.3556,8.4992,8.5872
"7/25/2022","15:07:59",21.43,8.404,22.979,8.3407,8.5001,8.589
"7/25/2022","15:08:00",22.51,8.4085,22.979,8.3415,8.5066,8.5806
"7/25/2022","15:08:01",23.63,8.4009,22.977,8.3479,8.5084,8.5815
"7/25/2022","15:08:03",24.7,8.3987,22.975,8.3417,8.5036,8.5762
"7/25/2022","15:08:04",25.77,8.3949,22.975,8.3446,8.502,8.5775
"7/25/2022","15:08:05",26.87,8.4033,22.975,8.3422,8.4886,8.5868
"7/25/2022","15:08:06",27.95,8.4085,22.977,8.3559,8.4967,8.5941
"7/25/2022","15:08:07",29.02,8.4099,22.977,8.3704,8.4881,8.5848
"7/25/2022","15:08:08",30.14,8.4024,22.979,8.366,8.4788,8.5807
"7/25/2022","15:08:09",31.21,8.3973,22.979,8.3631,8.4653,8.588
"7/25/2022","15:08:10",32.28,8.3892,22.977,8.3491,8.476,8.5984
"7/25/2022","15:08:11",33.4,8.3894,22.976,8.3567,8.4892,8.5886
"7/25/2022","15:08:12",34.48,8.3923,22.975,8.3611,8.4961,8.5814
"7/25/2022","15:08:13",35.56,8.3977,22.975,8.3679,8.4887,8.5813
"7/25/2022","15:08:14",36.64,8.4035,22.975,8.3718,8.4828,8.5707
"7/25/2022","15:08:16",37.72,8.3985,22.973,8.3682,8.48,8.5541
"7/25/2022","15:08:17",38.81,8.4074,22.968,8.3484,8.4935,8.5563
"7/25/2022","15:08:18",39.9,8.4053,22.965,8.3471,8.5009,8.561
"7/25/2022","15:08:19",40.97,8.4084,22.964,8.3483,8.5015,8.5689
"7/25/2022","15:08:20",42.05,8.4037,22.965,8.349,8.5008,8.5612
"7/25/2022","15:08:21",43.16,8.3911,22.966,8.3443,8.4976,8.579
"7/25/2022","15:08:22",44.24,8.4015,22.963,8.3493,8.5125,8.5884
"7/25/2022","15:08:23",45.31,8.4019,22.961,8.3639,8.51,8.6033
