date,time,time_sec,Ch1_O2,Ch1_temp,Ch2_O2,Ch3_O2,Ch4_O2
7/26/2022,9:34:27,0,8.1809,19.57,8.2394,8.2913,7.8012
7/26/2022,9:34:28,1,8.1807,19.571,8.2432,8.2918,7.7975
7/26/2022,9:34:29,2,8.1821,19.565,8.239,8.29,7.7977
7/26/2022,9:34:30,3,8.1768,19.562,8.2381,8.2948,7.7983
7/26/2022,9:34:31,4,8.1783,19.56,8.2353,8.2934,7.7955
7/26/2022,9:34:32,5,8.1785,19.564,8.2374,8.2941,7.7938
7/26/2022,9:34:33,6,8.1801,19.57,8.2388,8.2898,7.7912
7/26/2022,9:34:34,7,8.1765,19.575,8.2404,8.2873,7.7908
7/26/2022,9:34:35,8,8.1741,19.573,8.2372,8.2875,7.7899
7/26/2022,9:34:36,9,8.1728,19.569,8.2349,8.2904,7.7887
7/26/2022,9:34:37,10,8.1701,19.565,8.2322,8.2911,7.7868
7/26/2022,9:34:38,11,8.1711,19.564,8.2318,8.2906,7.784
7/26/2022,9:34:39,12,8.1694,19.564,8.2294,8.2871,7.7822
7/26/2022,9:34:40,13,8.1692,19.565,8.2278,8.2854,7.7826
7/26/2022,9:34:41,14,8.1654,19.563,8.226,8.2844,7.781
7/26/2022,9:34:42,15,8.1637,19.562,8.2301,8.284,7.7799
7/26/2022,9:34:43,16,8.1616,19.562,8.2324,8.2861,7.7777
7/26/2022,9:34:44,17,8.1599,19.565,8.2363,8.2852,7.776
7/26/2022,9:34:45,18,8.1594,19.565,8.2335,8.2845,7.7743
7/26/2022,9:34:46,19,8.1583,19.568,8.2293,8.2799,7.7717
7/26/2022,9:34:47,20,8.1611,19.567,8.225,8.2804,7.7715
7/26/2022,9:34:48,21,8.1611,19.568,8.2245,8.2792,7.7677
7/26/2022,9:34:49,22,8.1604,19.567,8.2255,8.2839,7.7677
7/26/2022,9:34:50,23,8.1586,19.569,8.2253,8.283,7.7645
7/26/2022,9:34:51,24,8.1589,19.569,8.2222,8.28,7.7667
7/26/2022,9:34:52,25,8.158,19.571,8.2216,8.2767,7.765
7/26/2022,9:34:53,26,8.1557,19.57,8.2218,8.2739,7.7643
7/26/2022,9:34:54,27,8.1529,19.572,8.2248,8.2737,7.762
7/26/2022,9:34:55,28,8.1526,19.57,8.2238,8.2744,7.7592
7/26/2022,9:34:56,29,8.1514,19.568,8.2211,8.2753,7.7574
7/26/2022,9:34:57,30,8.1502,19.569,8.2168,8.2762,7.7539
7/26/2022,9:34:58,31,8.1477,19.568,8.2163,8.2755,7.7534
7/26/2022,9:34:59,32,8.1463,19.568,8.2177,8.2764,7.753
7/26/2022,9:35:00,33,8.1442,19.566,8.2166,8.2762,7.7519
7/26/2022,9:35:01,34,8.145,19.566,8.2141,8.2771,7.7486
7/26/2022,9:35:02,35,8.1455,19.566,8.2177,8.2773,7.7466
7/26/2022,9:35:03,36,8.1447,19.565,8.2183,8.2768,7.7437
7/26/2022,9:35:04,37,8.1438,19.565,8.2219,8.2737,7.7419
7/26/2022,9:35:05,38,8.1415,19.569,8.2158,8.2689,7.7391
7/26/2022,9:35:06,39,8.1416,19.57,8.2178,8.2706,7.7389
7/26/2022,9:35:07,40,8.1419,19.571,8.2148,8.2728,7.7395
7/26/2022,9:35:08,41,8.1431,19.569,8.2174,8.2763,7.7397
7/26/2022,9:35:09,42,8.1449,19.566,8.215,8.2729,7.7407
7/26/2022,9:35:10,43,8.1474,19.567,8.2159,8.2713,7.7412
7/26/2022,9:35:11,44,8.1526,19.567,8.2185,8.268,7.7429
7/26/2022,9:35:12,45,8.1582,19.569,8.2195,8.2699,7.7449
7/26/2022,9:35:13,46,8.1682,19.567,8.2239,8.2701,7.7519
7/26/2022,9:35:14,47,8.1747,19.569,8.2251,8.2757,7.759
7/26/2022,9:35:15,48,8.1841,19.569,8.2303,8.2804,7.7695
7/26/2022,9:35:16,49,8.1904,19.571,8.2308,8.2847,7.7791
7/26/2022,9:35:17,50,8.1979,19.571,8.2311,8.2894,7.7917
7/26/2022,9:35:18,51,8.2048,19.574,8.2325,8.2916,7.8048
7/26/2022,9:35:19,52,8.2161,19.573,8.238,8.2986,7.8185
7/26/2022,9:35:20,53,8.2283,19.57,8.245,8.3028,7.8329
7/26/2022,9:35:21,54,8.2388,19.569,8.2532,8.3093,7.8478
7/26/2022,9:35:22,55,8.2451,19.569,8.2563,8.3152,7.8632
7/26/2022,9:35:23,56,8.2499,19.572,8.2588,8.3211,7.8771
7/26/2022,9:35:24,57,8.2558,19.572,8.2597,8.3261,7.8865
7/26/2022,9:35:25,58,8.2639,19.573,8.2649,8.3305,7.895
7/26/2022,9:35:26,59,8.27,19.571,8.2701,8.3339,7.906
7/26/2022,9:35:27,60,8.2729,19.573,8.2778,8.3424,7.9191
7/26/2022,9:35:28,61,8.274,19.576,8.2811,8.3485,7.9305
7/26/2022,9:35:29,62,8.2805,19.579,8.2826,8.3571,7.941
7/26/2022,9:35:30,63,8.2898,19.578,8.284,8.3609,7.9539
7/26/2022,9:35:31,64,8.2975,19.576,8.286,8.3648,7.9674
7/26/2022,9:35:32,65,8.3022,19.575,8.2917,8.3671,7.9801
7/26/2022,9:35:33,66,8.3057,19.576,8.2931,8.3692,7.9873
7/26/2022,9:35:34,67,8.3108,19.578,8.2994,8.3695,7.9944
7/26/2022,9:35:35,68,8.3164,19.58,8.3016,8.3744,7.9997
7/26/2022,9:35:36,69,8.3216,19.58,8.3052,8.3817,8.0093
7/26/2022,9:35:37,70,8.327,19.578,8.3063,8.3886,8.0181
7/26/2022,9:35:38,71,8.3314,19.579,8.3102,8.3889,8.0267
7/26/2022,9:35:39,72,8.3379,19.578,8.314,8.3893,8.0351
7/26/2022,9:35:40,73,8.3429,19.578,8.3143,8.391,8.0418
7/26/2022,9:35:41,74,8.3502,19.576,8.3139,8.3945,8.0468
7/26/2022,9:35:42,75,8.3526,19.576,8.3156,8.3966,8.052
7/26/2022,9:35:43,76,8.3545,19.577,8.3202,8.4,8.0576
7/26/2022,9:35:44,77,8.3567,19.578,8.3247,8.404,8.0626
7/26/2022,9:35:45,78,8.3617,19.579,8.3286,8.4069,8.0658
7/26/2022,9:35:46,79,8.3647,19.58,8.3306,8.4055,8.0698
7/26/2022,9:35:47,80,8.3671,19.58,8.3285,8.4072,8.0759
7/26/2022,9:35:48,81,8.3696,19.581,8.3302,8.409,8.0817
7/26/2022,9:35:49,82,8.3746,19.58,8.3304,8.4144,8.0876
7/26/2022,9:35:50,83,8.3779,19.581,8.3378,8.4151,8.0906
7/26/2022,9:35:51,84,8.3832,19.581,8.3368,8.417,8.0955
7/26/2022,9:35:52,85,8.3873,19.581,8.3412,8.4196,8.0987
7/26/2022,9:35:53,86,8.394,19.58,8.3423,8.4212,8.1046
7/26/2022,9:35:54,87,8.3972,19.58,8.3471,8.4236,8.1072
7/26/2022,9:35:55,88,8.3979,19.581,8.3464,8.4242,8.1116
7/26/2022,9:35:56,89,8.3966,19.583,8.3463,8.424,8.1166
7/26/2022,9:35:57,90,8.3965,19.583,8.3465,8.4268,8.1201
7/26/2022,9:35:58,91,8.399,19.584,8.3487,8.428,8.1221
7/26/2022,9:35:59,92,8.4028,19.584,8.3477,8.4324,8.1231
7/26/2022,9:36:00,93,8.4052,19.585,8.3496,8.4316,8.1275
7/26/2022,9:36:01,94,8.4069,19.584,8.3513,8.4331,8.1331
7/26/2022,9:36:02,95,8.4096,19.585,8.3568,8.4335,8.1384
7/26/2022,9:36:03,96,8.4121,19.587,8.3579,8.4341,8.1396
7/26/2022,9:36:04,97,8.4165,19.588,8.3606,8.4365,8.1425
7/26/2022,9:36:05,98,8.4173,19.59,8.3643,8.4383,8.1435
7/26/2022,9:36:06,99,8.4188,19.592,8.3658,8.4398,8.1466
7/26/2022,9:36:07,100,8.4192,19.591,8.3689,8.4405,8.1491
7/26/2022,9:36:08,101,8.4223,19.588,8.3688,8.4413,8.152
7/26/2022,9:36:09,102,8.4254,19.587,8.3738,8.4441,8.1564
7/26/2022,9:36:10,103,8.4279,19.587,8.3753,8.4454,8.1581
7/26/2022,9:36:11,104,8.4275,19.592,8.3764,8.4441,8.1608
7/26/2022,9:36:12,105,8.4305,19.592,8.3754,8.4436,8.1638
7/26/2022,9:36:13,106,8.4321,19.592,8.3783,8.4431,8.1669
7/26/2022,9:36:14,107,8.4371,19.588,8.3828,8.4483,8.1719
7/26/2022,9:36:15,108,8.4363,19.589,8.3857,8.4514,8.1718
7/26/2022,9:36:16,109,8.4396,19.587,8.3861,8.4535,8.176
7/26/2022,9:36:17,110,8.4399,19.586,8.3831,8.4549,8.1764
7/26/2022,9:36:18,111,8.4413,19.584,8.3843,8.4544,8.1768
7/26/2022,9:36:19,112,8.4444,19.585,8.3869,8.4561,8.175
7/26/2022,9:36:20,113,8.4466,19.585,8.3918,8.4553,8.1785
7/26/2022,9:36:21,114,8.4505,19.585,8.3935,8.4577,8.1831
7/26/2022,9:36:22,115,8.4486,19.586,8.3925,8.4577,8.186
7/26/2022,9:36:23,116,8.4479,19.589,8.3938,8.4559,8.1849
7/26/2022,9:36:24,117,8.4472,19.59,8.3936,8.4554,8.1842
7/26/2022,9:36:25,118,8.4483,19.592,8.3937,8.4562,8.1848
7/26/2022,9:36:26,119,8.4536,19.592,8.3932,8.4606,8.1864
7/26/2022,9:36:27,120,8.4572,19.595,8.394,8.4616,8.1865
7/26/2022,9:36:28,121,8.4589,19.595,8.397,8.4617,8.1863
7/26/2022,9:36:29,122,8.4567,19.595,8.3972,8.4612,8.1882
7/26/2022,9:36:30,123,8.4594,19.594,8.3977,8.461,8.1905
7/26/2022,9:36:31,124,8.4606,19.595,8.3958,8.4609,8.1931
7/26/2022,9:36:32,125,8.4636,19.595,8.3953,8.4622,8.1933
7/26/2022,9:36:33,126,8.4623,19.594,8.3967,8.4629,8.1955
7/26/2022,9:36:34,127,8.4627,19.593,8.3983,8.4621,8.1963
7/26/2022,9:36:35,128,8.4628,19.594,8.403,8.4626,8.1966
7/26/2022,9:36:36,129,8.4638,19.594,8.4047,8.4638,8.1959
7/26/2022,9:36:37,130,8.4655,19.596,8.4053,8.4666,8.1974
7/26/2022,9:36:38,131,8.4669,19.594,8.4045,8.4636,8.1999
7/26/2022,9:36:39,132,8.4655,19.594,8.4074,8.4631,8.2027
7/26/2022,9:36:40,133,8.4681,19.593,8.4071,8.4637,8.2048
7/26/2022,9:36:41,134,8.4679,19.594,8.4081,8.4672,8.2065
7/26/2022,9:36:42,135,8.4711,19.594,8.4096,8.4687,8.2074
7/26/2022,9:36:43,136,8.4701,19.593,8.4132,8.4703,8.21
7/26/2022,9:36:44,137,8.4724,19.592,8.4124,8.4707,8.2104
7/26/2022,9:36:45,138,8.4715,19.592,8.4119,8.4722,8.2104
7/26/2022,9:36:46,139,8.4716,19.593,8.4096,8.4723,8.2081
7/26/2022,9:36:47,140,8.4701,19.593,8.4086,8.4742,8.2072
7/26/2022,9:36:48,141,8.4723,19.593,8.4078,8.4727,8.2088
7/26/2022,9:36:49,142,8.4725,19.594,8.4095,8.473,8.21
7/26/2022,9:36:50,143,8.4765,19.597,8.4108,8.4706,8.2117
7/26/2022,9:36:51,144,8.4764,19.6,8.4119,8.4731,8.2125
7/26/2022,9:36:52,145,8.4778,19.6,8.4141,8.4748,8.2116
7/26/2022,9:36:53,146,8.4795,19.599,8.4182,8.4755,8.212
7/26/2022,9:36:54,147,8.4826,19.598,8.4172,8.4737,8.211
7/26/2022,9:36:55,148,8.4836,19.599,8.415,8.4701,8.2119
7/26/2022,9:36:56,149,8.4819,19.6,8.4096,8.4716,8.2115
7/26/2022,9:36:57,150,8.4802,19.598,8.4079,8.4752,8.2143
7/26/2022,9:36:58,151,8.4811,19.598,8.4159,8.4786,8.2169
7/26/2022,9:36:59,152,8.4839,19.599,8.4202,8.4799,8.2169
7/26/2022,9:37:00,153,8.486,19.602,8.4237,8.4792,8.2166
7/26/2022,9:37:01,154,8.4858,19.604,8.4167,8.4781,8.2152
7/26/2022,9:37:02,155,8.4849,19.606,8.4202,8.4762,8.216
7/26/2022,9:37:03,156,8.4885,19.603,8.4208,8.4766,8.2185
7/26/2022,9:37:04,157,8.489,19.602,8.4215,8.4769,8.2194
7/26/2022,9:37:05,158,8.4873,19.602,8.4167,8.4761,8.2204
7/26/2022,9:37:06,159,8.4815,19.605,8.4189,8.4753,8.2195
7/26/2022,9:37:07,160,8.4817,19.605,8.4218,8.4777,8.2216
7/26/2022,9:37:08,161,8.4823,19.603,8.4271,8.4817,8.2246
7/26/2022,9:37:09,162,8.4853,19.603,8.4256,8.4819,8.2244
7/26/2022,9:37:10,163,8.4872,19.604,8.4239,8.4795,8.2249
7/26/2022,9:37:11,164,8.488,19.604,8.4222,8.4788,8.2223
7/26/2022,9:37:12,165,8.4878,19.606,8.4255,8.4767,8.2223
7/26/2022,9:37:13,166,8.4866,19.606,8.4291,8.4776,8.2214
7/26/2022,9:37:14,167,8.4873,19.607,8.4323,8.4757,8.2221
7/26/2022,9:37:15,168,8.4906,19.602,8.429,8.4787,8.2236
7/26/2022,9:37:16,169,8.4889,19.603,8.431,8.4797,8.2232
7/26/2022,9:37:17,170,8.4884,19.603,8.431,8.4817,8.2241
7/26/2022,9:37:18,171,8.4842,19.606,8.4321,8.4804,8.2229
7/26/2022,9:37:19,172,8.4884,19.604,8.4278,8.48,8.2246
7/26/2022,9:37:20,173,8.4909,19.604,8.4278,8.4797,8.2253
7/26/2022,9:37:21,174,8.4917,19.607,8.426,8.4803,8.2256
7/26/2022,9:37:22,175,8.4933,19.609,8.4271,8.4819,8.2274
7/26/2022,9:37:23,176,8.4907,19.61,8.4277,8.4824,8.228
7/26/2022,9:37:24,177,8.4945,19.608,8.4307,8.4833,8.2286
7/26/2022,9:37:25,178,8.4927,19.607,8.4333,8.4818,8.2283
7/26/2022,9:37:26,179,8.494,19.607,8.428,8.4815,8.2285
7/26/2022,9:37:27,180,8.4909,19.605,8.424,8.4812,8.2296
7/26/2022,9:37:28,181,8.4925,19.605,8.4231,8.4823,8.2292
7/26/2022,9:37:29,182,8.4917,19.606,8.4289,8.483,8.2285
7/26/2022,9:37:30,183,8.4972,19.608,8.4346,8.4809,8.2269
7/26/2022,9:37:31,184,8.495,19.609,8.4342,8.4794,8.2274
7/26/2022,9:37:32,185,8.4955,19.61,8.4319,8.4814,8.2295
7/26/2022,9:37:33,186,8.4933,19.61,8.429,8.485,8.2324
7/26/2022,9:37:34,187,8.493,19.61,8.4317,8.4879,8.2305
7/26/2022,9:37:35,188,8.4935,19.61,8.4319,8.4855,8.2286
7/26/2022,9:37:36,189,8.4908,19.612,8.4359,8.4845,8.2279
7/26/2022,9:37:37,190,8.4941,19.614,8.4323,8.4841,8.2277
7/26/2022,9:37:38,191,8.4931,19.613,8.4349,8.4846,8.2291
7/26/2022,9:37:39,192,8.4948,19.612,8.4325,8.4817,8.2296
7/26/2022,9:37:40,193,8.493,19.61,8.4336,8.4792,8.2298
7/26/2022,9:37:41,194,8.4957,19.611,8.4319,8.4806,8.2293
7/26/2022,9:37:42,195,8.4977,19.612,8.4307,8.483,8.2274
7/26/2022,9:37:43,196,8.4992,19.613,8.4302,8.4862,8.2279
7/26/2022,9:37:44,197,8.4996,19.613,8.4285,8.4874,8.2269
7/26/2022,9:37:45,198,8.4977,19.613,8.4312,8.4862,8.2276
7/26/2022,9:37:46,199,8.4992,19.613,8.4317,8.4872,8.2293
7/26/2022,9:37:47,200,8.4995,19.615,8.4335,8.4867,8.2294
7/26/2022,9:37:48,201,8.5,19.615,8.433,8.4874,8.231
7/26/2022,9:37:49,202,8.499,19.614,8.4347,8.4865,8.2327
7/26/2022,9:37:50,203,8.4966,19.614,8.4352,8.4846,8.2339
7/26/2022,9:37:51,204,8.4986,19.613,8.433,8.4851,8.2349
7/26/2022,9:37:52,205,8.4959,19.616,8.4331,8.4847,8.2354
7/26/2022,9:37:53,206,8.4977,19.617,8.4309,8.483,8.234
7/26/2022,9:37:54,207,8.4982,19.618,8.4348,8.4847,8.2331
7/26/2022,9:37:55,208,8.4978,19.616,8.4357,8.4829,8.2323
7/26/2022,9:37:56,209,8.4974,19.613,8.437,8.4866,8.2373
7/26/2022,9:37:57,210,8.4961,19.615,8.432,8.4868,8.2375
7/26/2022,9:37:58,211,8.4999,19.617,8.429,8.4866,8.2368
7/26/2022,9:37:59,212,8.4985,19.619,8.4278,8.4855,8.2338
7/26/2022,9:38:00,213,8.4991,19.618,8.4334,8.4847,8.2337
7/26/2022,9:38:01,214,8.4992,19.62,8.4356,8.4872,8.2345
7/26/2022,9:38:02,215,8.5012,19.619,8.4395,8.4889,8.2362
7/26/2022,9:38:03,216,8.4991,19.619,8.4367,8.4877,8.2356
7/26/2022,9:38:04,217,8.5006,19.616,8.4363,8.4907,8.2352
7/26/2022,9:38:05,218,8.5009,19.617,8.4341,8.4912,8.2326
7/26/2022,9:38:06,219,8.5015,19.616,8.4355,8.4931,8.2337
7/26/2022,9:38:07,220,8.4977,19.62,8.4361,8.4913,8.2317
7/26/2022,9:38:08,221,8.4987,19.62,8.4376,8.4881,8.2312
7/26/2022,9:38:09,222,8.4995,19.62,8.4386,8.4851,8.2301
7/26/2022,9:38:10,223,8.5015,19.619,8.4377,8.4851,8.2318
7/26/2022,9:38:11,224,8.5013,19.62,8.4377,8.4852,8.2333
7/26/2022,9:38:12,225,8.5018,19.62,8.4363,8.4864,8.2344
7/26/2022,9:38:13,226,8.5015,19.619,8.4384,8.4868,8.2339
7/26/2022,9:38:14,227,8.4993,19.62,8.4398,8.4877,8.2355
7/26/2022,9:38:15,228,8.4985,19.621,8.4362,8.4894,8.2351
7/26/2022,9:38:16,229,8.4983,19.621,8.4374,8.4865,8.2365
7/26/2022,9:38:17,230,8.503,19.62,8.4369,8.4875,8.2351
7/26/2022,9:38:18,231,8.5012,19.62,8.4408,8.4858,8.2363
7/26/2022,9:38:19,232,8.5016,19.621,8.4397,8.4849,8.2337
7/26/2022,9:38:20,233,8.4981,19.623,8.4385,8.4852,8.234
7/26/2022,9:38:21,234,8.502,19.621,8.4391,8.4885,8.2353
7/26/2022,9:38:22,235,8.5044,19.622,8.4386,8.4919,8.2405
7/26/2022,9:38:23,236,8.5076,19.621,8.4391,8.4921,8.2415
7/26/2022,9:38:24,237,8.5062,19.622,8.4397,8.4914,8.2415
7/26/2022,9:38:25,238,8.5028,19.623,8.4382,8.4897,8.2389
7/26/2022,9:38:26,239,8.4977,19.626,8.4368,8.4889,8.238
7/26/2022,9:38:27,240,8.4985,19.628,8.4368,8.4903,8.2378
7/26/2022,9:38:28,241,8.4998,19.629,8.4388,8.4918,8.2374
7/26/2022,9:38:29,242,8.5016,19.628,8.4397,8.491,8.2397
7/26/2022,9:38:30,243,8.5002,19.628,8.4388,8.4874,8.2397
7/26/2022,9:38:31,244,8.4982,19.628,8.4375,8.4852,8.2416
7/26/2022,9:38:32,245,8.4975,19.628,8.4386,8.4836,8.241
7/26/2022,9:38:33,246,8.5029,19.627,8.4398,8.486,8.241
7/26/2022,9:38:34,247,8.5073,19.626,8.441,8.4881,8.2409
7/26/2022,9:38:35,248,8.5095,19.627,8.439,8.4934,8.2407
7/26/2022,9:38:36,249,8.5042,19.628,8.4371,8.4943,8.2395
7/26/2022,9:38:37,250,8.504,19.63,8.4355,8.4931,8.2382
7/26/2022,9:38:38,251,8.5056,19.628,8.4371,8.4913,8.2372
7/26/2022,9:38:39,252,8.5102,19.628,8.4409,8.4896,8.2388
7/26/2022,9:38:40,253,8.509,19.628,8.4422,8.4932,8.2406
7/26/2022,9:38:41,254,8.5092,19.627,8.4417,8.4966,8.2435
7/26/2022,9:38:42,255,8.5119,19.627,8.4397,8.4961,8.2425
7/26/2022,9:38:43,256,8.5134,19.626,8.4424,8.4934,8.2409
7/26/2022,9:38:44,257,8.5119,19.63,8.4414,8.4892,8.238
7/26/2022,9:38:45,258,8.5029,19.633,8.4427,8.4923,8.2395
7/26/2022,9:38:46,259,8.502,19.635,8.4401,8.4919,8.2394
7/26/2022,9:38:47,260,8.5029,19.632,8.4413,8.4923,8.2402
7/26/2022,9:38:48,261,8.5067,19.635,8.4372,8.4907,8.2372
7/26/2022,9:38:49,262,8.5069,19.636,8.4382,8.4904,8.2372
7/26/2022,9:38:50,263,8.5081,19.636,8.4382,8.4887,8.2377
7/26/2022,9:38:51,264,8.5087,19.632,8.4405,8.4903,8.2387
7/26/2022,9:38:52,265,8.5091,19.63,8.4399,8.4916,8.2406
7/26/2022,9:38:53,266,8.507,19.634,8.4397,8.4919,8.2401
7/26/2022,9:38:54,267,8.5088,19.635,8.4386,8.4876,8.2407
7/26/2022,9:38:55,268,8.5086,19.635,8.4371,8.4876,8.2383
7/26/2022,9:38:56,269,8.5095,19.632,8.4351,8.4912,8.2394
7/26/2022,9:38:57,270,8.5104,19.63,8.4357,8.4921,8.2384
7/26/2022,9:38:58,271,8.5092,19.631,8.4368,8.4929,8.2399
7/26/2022,9:38:59,272,8.5101,19.635,8.4404,8.4884,8.2382
7/26/2022,9:39:00,273,8.5096,19.635,8.4411,8.4897,8.2398
7/26/2022,9:39:01,274,8.513,19.635,8.4428,8.4867,8.2408
7/26/2022,9:39:02,275,8.5129,19.632,8.4426,8.4863,8.2442
7/26/2022,9:39:03,276,8.51,19.633,8.4393,8.4866,8.2449
7/26/2022,9:39:04,277,8.5075,19.633,8.4376,8.4893,8.2464
7/26/2022,9:39:05,278,8.5071,19.635,8.4381,8.494,8.2431
7/26/2022,9:39:06,279,8.5085,19.633,8.4393,8.4946,8.2428
7/26/2022,9:39:07,280,8.509,19.634,8.4378,8.4953,8.24
7/26/2022,9:39:08,281,8.5083,19.633,8.4385,8.4963,8.2424
7/26/2022,9:39:09,282,8.5062,19.635,8.4408,8.4961,8.2422
7/26/2022,9:39:10,283,8.5071,19.634,8.442,8.4928,8.2427
7/26/2022,9:39:11,284,8.5084,19.636,8.4396,8.4894,8.2403
7/26/2022,9:39:12,285,8.5079,19.636,8.4398,8.4886,8.2377
7/26/2022,9:39:13,286,8.5062,19.637,8.4393,8.4913,8.2384
7/26/2022,9:39:14,287,8.5052,19.636,8.4401,8.492,8.237
7/26/2022,9:39:15,288,8.5052,19.636,8.4384,8.4925,8.2379
7/26/2022,9:39:16,289,8.5017,19.637,8.4398,8.4881,8.2335
7/26/2022,9:39:17,290,8.4981,19.64,8.4389,8.4865,8.2324
7/26/2022,9:39:18,291,8.4996,19.641,8.438,8.4853,8.2302
7/26/2022,9:39:19,292,8.5014,19.639,8.4372,8.4855,8.2324
