date,time,time_sec,Ch1_O2,Ch1_temp,Ch2_O2,Ch3_O2,Ch4_O2
7/27/2022,10:48:10,0,7.353470694,26.333,7.65590012,7.660335752,7.583075114
7/27/2022,10:48:11,1,7.347104003,26.336,7.660000668,7.659839381,7.58056685
7/27/2022,10:48:12,2,7.345894351,26.336,7.652742755,7.665806998,7.58056685
7/27/2022,10:48:13,3,7.346971095,26.337,7.653168812,7.656878345,7.57970394
7/27/2022,10:48:14,4,7.346971095,26.337,7.661152371,7.668248868,7.575752481
7/27/2022,10:48:15,5,7.345680823,26.337,7.662442644,7.664216768,7.573010653
7/27/2022,10:48:16,6,7.357426367,26.336,7.66330705,7.667097293,7.577824972
7/27/2022,10:48:17,7,7.357293272,26.337,7.665748966,7.662926496,7.574300925
7/27/2022,10:48:18,8,7.363530785,26.338,7.677545097,7.668029512,7.58021195
7/27/2022,10:48:19,9,7.369982029,26.338,7.68085136,7.67069065,7.575454157
7/27/2022,10:48:20,10,7.376647355,26.337,7.686393321,7.670264919,7.585106955
7/27/2022,10:48:21,11,7.383527134,26.335,7.698203647,7.67796177,7.580220116
7/27/2022,10:48:22,12,7.392425633,26.336,7.695322508,7.673790701,7.58871184
7/27/2022,10:48:23,13,7.399091605,26.335,7.705461691,7.682639176,7.592962015
7/27/2022,10:48:24,14,7.41013996,26.335,7.705461691,7.687316582,7.597558776
7/27/2022,10:48:26,15,7.421135174,26.339,7.714097003,7.692566365,7.602895692
7/27/2022,10:48:26,16,7.42844643,26.338,7.720929714,7.700769576,7.614484185
7/27/2022,10:48:27,17,7.432693389,26.34,7.723956528,7.701700541,7.618885689
7/27/2022,10:48:28,18,7.437854198,26.34,7.730649452,7.707022625,7.624288411
7/27/2022,10:48:29,19,7.447476633,26.341,7.732364245,7.713656652,7.624069859
7/27/2022,10:48:30,20,7.455808563,26.342,7.734965957,7.714726643,7.636107793
7/27/2022,10:48:31,21,7.467877585,26.341,7.739137683,7.720913908,7.642374272
7/27/2022,10:48:32,22,7.475699295,26.341,7.742524403,7.729703251,7.653340792
7/27/2022,10:48:33,23,7.487984983,26.339,7.744901137,7.732079521,7.655714299
7/27/2022,10:48:34,24,7.486046582,26.342,7.757140504,7.734965957,7.664652483
7/27/2022,10:48:35,25,7.493677682,26.344,7.757504934,7.744603846,7.667036054
7/27/2022,10:48:36,26,7.499109407,26.342,7.762381761,7.74972211,7.676102613
7/27/2022,10:48:37,27,7.506175611,26.344,7.760165784,7.759440097,7.678001978
7/27/2022,10:48:39,28,7.51112398,26.342,7.767219844,7.766655401,7.682392121
7/27/2022,10:48:39,29,7.51867354,26.344,7.767503277,7.764842428,7.694289602
7/27/2022,10:48:40,30,7.527517933,26.343,7.772481776,7.773852541,7.699347409
7/27/2022,10:48:41,31,7.524504188,26.345,7.774055098,7.777522202,7.708502629
7/27/2022,10:48:42,32,7.53966867,26.342,7.778024896,7.778831243,7.715855529
7/27/2022,10:48:43,33,7.542404124,26.345,7.778167245,7.780908677,7.709873345
7/27/2022,10:48:44,34,7.545282034,26.344,7.781694474,7.790644604,7.720978728
7/27/2022,10:48:45,35,7.551248787,26.344,7.783065215,7.788628809,7.725816636
7/27/2022,10:48:46,36,7.554263554,26.342,7.788829948,7.790281373,7.732385646
7/27/2022,10:48:47,37,7.567140719,26.341,7.790422292,7.802759627,7.727767983
7/27/2022,10:48:48,38,7.570527438,26.341,7.793809011,7.800663086,7.740831043
7/27/2022,10:48:49,39,7.575849426,26.341,7.794454101,7.805420621,7.742927584
7/27/2022,10:48:50,40,7.576276832,26.342,7.799070558,7.808021011,7.746174183
7/27/2022,10:48:52,41,7.581679358,26.342,7.809230532,7.817535908,7.744884027
7/27/2022,10:48:52,42,7.589799484,26.341,7.808000978,7.810258791,7.766392711
7/27/2022,10:48:53,43,7.590952351,26.342,7.807134029,7.821648279,7.763349378
7/27/2022,10:48:54,44,7.591678063,26.342,7.815358771,7.817535908,7.763349378
7/27/2022,10:48:55,45,7.599523434,26.343,7.806992811,7.82626416,7.76812758
7/27/2022,10:48:56,46,7.60240248,26.342,7.822132087,7.82987302,7.77109031
7/27/2022,10:48:57,47,7.609602592,26.343,7.821909964,7.831021522,7.774981407
7/27/2022,10:48:58,48,7.612633152,26.345,7.818724307,7.831947684,7.775990226
7/27/2022,10:48:59,49,7.613278195,26.345,7.82630356,7.832673357,7.779457331
7/27/2022,10:49:00,50,7.614141592,26.344,7.825155015,7.840394425,7.785887328
7/27/2022,10:49:01,51,7.627100009,26.343,7.826667326,7.836504584,7.785383097
7/27/2022,10:49:02,52,7.622711945,26.345,7.830899489,7.846380515,7.788407299
7/27/2022,10:49:03,53,7.629336043,26.349,7.827511086,7.838072897,7.793971291
7/27/2022,10:49:05,54,7.629762415,26.35,7.832045649,7.847444652,7.791572878
7/27/2022,10:49:05,55,7.62911743,26.35,7.832771257,7.841962285,7.793024093
7/27/2022,10:49:06,56,7.631858614,26.35,7.832771257,7.838495493,7.794475308
7/27/2022,10:49:07,57,7.634519175,26.35,7.832690634,7.856958172,7.799957675
7/27/2022,10:49:08,58,7.633148583,26.35,7.832126272,7.850105213,7.802779482
7/27/2022,10:49:09,59,7.639414107,26.349,7.837105403,7.857180906,7.80719371
7/27/2022,10:49:10,60,7.6430192,26.348,7.838617796,7.86014493,7.806528661
7/27/2022,10:49:11,61,7.649572795,26.349,7.843232866,7.862663372,7.81630428
7/27/2022,10:49:13,62,7.648202178,26.349,7.844603482,7.859196518,7.814046793
7/27/2022,10:49:13,63,7.654904562,26.353,7.838231432,7.862578272,7.811869124
7/27/2022,10:49:14,64,7.654972926,26.356,7.837000021,7.860620012,7.807817644
7/27/2022,10:49:15,65,7.656918054,26.36,7.836916769,7.867306163,7.809187455
7/27/2022,10:49:16,66,7.658714154,26.361,7.842901179,7.860312294,7.813882654
7/27/2022,10:49:17,67,7.659578133,26.36,7.842398145,7.868757116,7.811928143
7/27/2022,10:49:18,68,7.660303609,26.36,7.841672669,7.864565475,7.820311424
7/27/2022,10:49:19,69,7.666210606,26.361,7.842175716,7.869179066,7.811786872
7/27/2022,10:49:21,70,7.668583746,26.359,7.84471644,7.871640157,7.819969192
7/27/2022,10:49:21,71,7.667077982,26.353,7.846535155,7.868624673,7.830814513
7/27/2022,10:49:22,72,7.674427585,26.35,7.848492752,7.881709449,7.832126272
7/27/2022,10:49:23,73,7.669957735,26.352,7.848047613,7.880779387,7.826844517
7/27/2022,10:49:24,74,7.678386962,26.354,7.846312628,7.880252477,7.82567462
7/27/2022,10:49:25,75,7.67889302,26.355,7.848831043,7.875998554,7.827629098
7/27/2022,10:49:26,76,7.679618562,26.355,7.850927053,7.88139981,7.833997743
7/27/2022,10:49:27,77,7.681127947,26.354,7.849053613,7.882993462,7.826400175
7/27/2022,10:49:28,78,7.683004424,26.355,7.851571979,7.884140746,7.826178014
7/27/2022,10:49:29,79,7.67939906,26.356,7.846512509,7.879806216,7.828777362
7/27/2022,10:49:30,80,7.688691881,26.357,7.852416568,7.888611735,7.829119456
7/27/2022,10:49:31,81,7.680616944,26.36,7.848443781,7.89277844,7.831435393
7/27/2022,10:49:32,82,7.686456936,26.358,7.853080672,7.882181383,7.832685992
7/27/2022,10:49:34,83,7.681414417,26.356,7.852074896,7.88738396,7.837886778
7/27/2022,10:49:34,84,7.686103989,26.353,7.850646708,7.890794809,7.834361735
7/27/2022,10:49:35,85,7.695616993,26.353,7.848550622,7.890794809,7.832910599
7/27/2022,10:49:36,86,7.688625349,26.354,7.854535584,7.892667528,7.837605968
7/27/2022,10:49:38,87,7.687474507,26.353,7.856773727,7.894261412,7.836457821
7/27/2022,10:49:39,88,7.692875958,26.353,7.852662175,7.888698723,7.834200498
7/27/2022,10:49:39,89,7.701524103,26.354,7.857921507,7.894038021,7.843168556
7/27/2022,10:49:41,90,7.699508673,26.354,7.853810029,7.899519992,7.840346953
7/27/2022,10:49:41,91,7.69207762,26.357,7.853222696,7.889982153,7.841856285
7/27/2022,10:49:43,92,7.701670549,26.357,7.855238017,7.900300597,7.843952219
7/27/2022,10:49:43,93,7.697200271,26.359,7.858258908,7.896468015,7.840121674
7/27/2022,10:49:44,94,7.695324189,26.358,7.853725564,7.89596593,7.850098051
7/27/2022,10:49:45,95,7.702315451,26.357,7.855963533,7.897559761,7.846773669
7/27/2022,10:49:46,96,7.703620151,26.354,7.855906077,7.896053451,7.849617934
7/27/2022,10:49:47,97,7.704199392,26.351,7.855848608,7.904302185,7.852301258
7/27/2022,10:49:48,98,7.70679434,26.348,7.858451784,7.902151059,7.8535336
7/27/2022,10:49:50,99,7.704493014,26.346,7.860913049,7.903243213,7.852527645
7/27/2022,10:49:51,100,7.707519974,26.348,7.863208716,7.899409776,7.8535336
7/27/2022,10:49:52,101,7.701238348,26.352,7.861027454,7.897145274,7.849176294
7/27/2022,10:49:53,102,7.709241549,26.353,7.858144245,7.903855034,7.848308766
7/27/2022,10:49:54,103,7.706932228,26.358,7.859207138,7.902253618,7.854289843
7/27/2022,10:49:55,104,7.705341873,26.359,7.864465873,7.899934242,7.851971334
7/27/2022,10:49:56,105,7.70498258,26.361,7.862005041,7.896746664,7.849510954
7/27/2022,10:49:57,106,7.710823349,26.359,7.85688854,7.899853632,7.851326455
7/27/2022,10:49:58,107,7.707437732,26.359,7.859629277,7.901224,7.849149986
7/27/2022,10:49:59,108,7.704477052,26.36,7.860857485,7.898985292,7.860132009
7/27/2022,10:50:00,109,7.710529182,26.364,7.855210921,7.901073824,7.855210921
7/27/2022,10:50:01,110,7.713914493,26.364,7.862062146,7.903008287,7.854404895
7/27/2022,10:50:02,111,7.711034561,26.365,7.861839374,7.904880406,7.847975971
7/27/2022,10:50:03,112,7.708433513,26.364,7.859321656,7.906474201,7.855936345
7/27/2022,10:50:04,113,7.713914493,26.364,7.857951411,7.907844446,7.857225987
7/27/2022,10:50:05,114,7.709158937,26.364,7.857951411,7.905103956,7.857870808
7/27/2022,10:50:06,115,7.715210281,26.368,7.857866635,7.911947095,7.860042749
7/27/2022,10:50:07,116,7.709084923,26.368,7.861977072,7.909126207,7.853756198
7/27/2022,10:50:08,117,7.712404781,26.365,7.863370797,7.905605817,7.856600297
7/27/2022,10:50:09,118,7.714934455,26.359,7.864465873,7.910977802,7.859065008
7/27/2022,10:50:10,119,7.721135679,26.355,7.862535722,7.911791952,7.860520328
7/27/2022,10:50:11,120,7.720205689,26.353,7.869108385,7.91143319,7.86024033
7/27/2022,10:50:12,121,7.717684855,26.352,7.866509623,7.910286356,7.858931331
7/27/2022,10:50:13,122,7.716094137,26.353,7.867012299,7.910143291,7.861610848
7/27/2022,10:50:14,123,7.717970016,26.354,7.865418908,7.909274675,7.859936938
7/27/2022,10:50:15,124,7.716019635,26.357,7.87514939,7.916181328,7.862170722
7/27/2022,10:50:16,125,7.723581259,26.36,7.864887909,7.919218018,7.860293226
7/27/2022,10:50:17,126,7.719690441,26.359,7.864465873,7.913879759,7.854712072
7/27/2022,10:50:18,127,7.717455015,26.36,7.865613385,7.913494817,7.856746453
7/27/2022,10:50:19,128,7.715439804,26.36,7.865613385,7.912124473,7.85956775
7/27/2022,10:50:20,129,7.720195703,26.36,7.862227829,7.913494817,7.856746453
7/27/2022,10:50:21,130,7.720840571,26.36,7.860212618,7.910754129,7.856101586
7/27/2022,10:50:22,131,7.719690441,26.359,7.860999646,7.912348171,7.861080256
7/27/2022,10:50:23,132,7.721786299,26.359,7.872688086,7.911622681,7.864627093
7/27/2022,10:50:24,133,7.723156668,26.359,7.863095504,7.913718539,7.859709887
7/27/2022,10:50:25,134,7.720840571,26.36,7.863598173,7.912849949,7.858197406
7/27/2022,10:50:26,135,7.728272787,26.357,7.868942201,7.914810909,7.861525819
7/27/2022,10:50:27,136,7.723736926,26.356,7.866424241,7.914309137,7.858927111
7/27/2022,10:50:28,137,7.719340509,26.354,7.872996927,7.918948741,7.867031253
7/27/2022,10:50:29,138,7.724962191,26.353,7.867012299,7.915625361,7.86451312
7/27/2022,10:50:30,139,7.728428794,26.353,7.868382817,7.916350929,7.863061984
