date,time,time_sec,Ch1_O2,Ch1_temp,Ch2_O2,Ch3_O2,Ch4_O2
7/27/2022,11:20:24,0,7.5746,26.41,6.4621,7.7453,7.4565
7/27/2022,11:20:25,1,7.5739,26.411,6.4602,7.7447,7.4542
7/27/2022,11:20:26,2,7.5757,26.409,6.46,7.7453,7.4543
7/27/2022,11:20:27,3,7.5753,26.41,6.4586,7.7494,7.4517
7/27/2022,11:20:28,4,7.5751,26.411,6.4545,7.7481,7.4505
7/27/2022,11:20:29,5,7.5716,26.413,6.4518,7.7456,7.4483
7/27/2022,11:20:30,6,7.5686,26.411,6.4504,7.744,7.4498
7/27/2022,11:20:31,7,7.5668,26.409,6.4498,7.7464,7.4506
7/27/2022,11:20:32,8,7.5675,26.406,6.4488,7.7474,7.4496
7/27/2022,11:20:33,9,7.5676,26.407,6.4477,7.7461,7.4481
7/27/2022,11:20:34,10,7.5653,26.407,6.4479,7.7427,7.4444
7/27/2022,11:20:35,11,7.5612,26.409,6.4469,7.741,7.4434
7/27/2022,11:20:36,12,7.5605,26.411,6.4459,7.7416,7.4442
7/27/2022,11:20:37,13,7.5623,26.413,6.4441,7.7417,7.4443
7/27/2022,11:20:38,14,7.5668,26.414,6.4421,7.7419,7.4428
7/27/2022,11:20:39,15,7.569,26.414,6.4408,7.7412,7.4385
7/27/2022,11:20:40,16,7.5689,26.414,6.4401,7.7433,7.4392
7/27/2022,11:20:41,17,7.5649,26.414,6.4396,7.7415,7.4394
7/27/2022,11:20:42,18,7.5655,26.414,6.4384,7.7394,7.4413
7/27/2022,11:20:43,19,7.5618,26.411,6.4388,7.7366,7.4424
7/27/2022,11:20:44,20,7.5622,26.41,6.437,7.7404,7.4431
7/27/2022,11:20:45,21,7.56,26.411,6.435,7.738,7.4419
7/27/2022,11:20:46,22,7.5619,26.413,6.4325,7.7345,7.438
7/27/2022,11:20:47,23,7.5592,26.413,6.4323,7.7284,7.4352
7/27/2022,11:20:48,24,7.557,26.414,6.4345,7.7291,7.433
7/27/2022,11:20:49,25,7.5537,26.413,6.4349,7.7286,7.4356
7/27/2022,11:20:50,26,7.5535,26.413,6.4323,7.7302,7.4358
7/27/2022,11:20:51,27,7.5516,26.411,6.4289,7.7341,7.4359
7/27/2022,11:20:52,28,7.5509,26.411,6.4276,7.7353,7.434
7/27/2022,11:20:53,29,7.5513,26.411,6.4297,7.7348,7.432
7/27/2022,11:20:54,30,7.5492,26.412,6.429,7.7284,7.4319
7/27/2022,11:20:55,31,7.5486,26.416,6.4261,7.7266,7.4282
7/27/2022,11:20:56,32,7.5472,26.418,6.4214,7.7234,7.4288
7/27/2022,11:20:57,33,7.5506,26.416,6.4184,7.7251,7.4287
7/27/2022,11:20:58,34,7.5511,26.413,6.4183,7.7267,7.4316
7/27/2022,11:20:59,35,7.553,26.412,6.4207,7.7304,7.4293
7/27/2022,11:21:00,36,7.5504,26.413,6.4221,7.7267,7.4294
7/27/2022,11:21:01,37,7.5509,26.413,6.4212,7.726,7.4264
7/27/2022,11:21:02,38,7.5476,26.414,6.4177,7.7229,7.4277
7/27/2022,11:21:03,39,7.5448,26.413,6.4158,7.7244,7.4248
7/27/2022,11:21:04,40,7.5429,26.41,6.417,7.7233,7.4257
7/27/2022,11:21:05,41,7.5402,26.41,6.4162,7.7269,7.4235
7/27/2022,11:21:06,42,7.5419,26.412,6.4163,7.7286,7.4221
7/27/2022,11:21:07,43,7.5402,26.413,6.414,7.7264,7.4202
7/27/2022,11:21:08,44,7.5383,26.414,6.4128,7.7187,7.4208
7/27/2022,11:21:09,45,7.5361,26.414,6.4091,7.716,7.4221
7/27/2022,11:21:10,46,7.5375,26.415,6.4079,7.7162,7.4215
7/27/2022,11:21:11,47,7.5425,26.414,6.409,7.7198,7.4203
7/27/2022,11:21:12,48,7.5441,26.414,6.409,7.72,7.4193
7/27/2022,11:21:13,49,7.544,26.416,6.4061,7.7174,7.4189
