date,time,time_sec,Ch1_O2,Ch1_temp,Ch2_O2,Ch3_O2,Ch4_O2
7/28/2022,9:36:53,0,7.52,22.212,7.902,7.686,7.803
7/28/2022,9:36:54,1,7.522,22.212,7.901,7.686,7.801
7/28/2022,9:36:55,2,7.525,22.21,7.911,7.686,7.808
7/28/2022,9:36:56,3,7.526,22.208,7.912,7.688,7.806
7/28/2022,9:36:57,4,7.531,22.207,7.91,7.685,7.809
7/28/2022,9:36:58,5,7.535,22.21,7.918,7.684,7.813
7/28/2022,9:36:59,6,7.54,22.209,7.921,7.694,7.815
7/28/2022,9:37:00,7,7.545,22.209,7.926,7.694,7.817
7/28/2022,9:37:01,8,7.558,22.21,7.932,7.694,7.826
7/28/2022,9:37:02,9,7.563,22.212,7.932,7.698,7.827
7/28/2022,9:37:03,10,7.571,22.213,7.936,7.697,7.833
7/28/2022,9:37:04,11,7.58,22.213,7.941,7.7,7.842
7/28/2022,9:37:05,12,7.592,22.212,7.947,7.707,7.847
7/28/2022,9:37:06,13,7.606,22.212,7.945,7.714,7.857
7/28/2022,9:37:07,14,7.613,22.212,7.955,7.716,7.862
7/28/2022,9:37:08,15,7.624,22.211,7.962,7.722,7.871
7/28/2022,9:37:09,16,7.637,22.209,7.956,7.726,7.877
7/28/2022,9:37:10,17,7.649,22.21,7.965,7.738,7.881
7/28/2022,9:37:11,18,7.655,22.211,7.966,7.739,7.884
7/28/2022,9:37:12,19,7.664,22.213,7.968,7.745,7.891
7/28/2022,9:37:13,20,7.672,22.214,7.97,7.756,7.898
7/28/2022,9:37:14,21,7.676,22.215,7.97,7.757,7.907
7/28/2022,9:37:15,22,7.688,22.215,7.98,7.767,7.914
7/28/2022,9:37:16,23,7.696,22.214,7.983,7.772,7.92
7/28/2022,9:37:17,24,7.7,22.216,7.98,7.776,7.929
7/28/2022,9:37:18,25,7.716,22.217,7.986,7.787,7.936
7/28/2022,9:37:19,26,7.722,22.218,7.989,7.794,7.937
7/28/2022,9:37:20,27,7.729,22.218,7.993,7.797,7.945
7/28/2022,9:37:21,28,7.738,22.217,7.994,7.804,7.952
7/28/2022,9:37:22,29,7.746,22.216,8.005,7.81,7.954
7/28/2022,9:37:23,30,7.75,22.215,8.007,7.814,7.963
7/28/2022,9:37:24,31,7.759,22.211,8.011,7.816,7.964
7/28/2022,9:37:25,32,7.758,22.213,8.009,7.827,7.976
7/28/2022,9:37:26,33,7.771,22.213,8.013,7.83,7.977
7/28/2022,9:37:27,34,7.772,22.216,8.016,7.836,7.981
7/28/2022,9:37:28,35,7.778,22.215,8.014,7.844,7.996
7/28/2022,9:37:29,36,7.783,22.216,8.019,7.85,7.999
7/28/2022,9:37:30,37,7.79,22.215,8.023,7.853,8.002
7/28/2022,9:37:31,38,7.796,22.217,8.027,7.861,8.008
7/28/2022,9:37:32,39,7.799,22.218,8.032,7.876,8.01
7/28/2022,9:37:33,40,7.806,22.216,8.033,7.873,8.017
7/28/2022,9:37:34,41,7.815,22.214,8.031,7.88,8.018
7/28/2022,9:37:35,42,7.818,22.214,8.038,7.88,8.016
7/28/2022,9:37:36,43,7.822,22.216,8.037,7.886,8.025
7/28/2022,9:37:37,44,7.831,22.218,8.043,7.888,8.029
7/28/2022,9:37:38,45,7.828,22.22,8.04,7.892,8.031
7/28/2022,9:37:39,46,7.832,22.22,8.041,7.901,8.036
7/28/2022,9:37:40,47,7.834,22.22,8.046,7.903,8.04
7/28/2022,9:37:41,48,7.842,22.22,8.048,7.911,8.046
7/28/2022,9:37:42,49,7.846,22.221,8.051,7.919,8.042
7/28/2022,9:37:43,50,7.851,22.222,8.048,7.916,8.047
7/28/2022,9:37:44,51,7.859,22.22,8.052,7.926,8.054
7/28/2022,9:37:45,52,7.859,22.221,8.052,7.934,8.055
7/28/2022,9:37:46,53,7.859,22.221,8.052,7.933,8.053
7/28/2022,9:37:47,54,7.876,22.223,8.058,7.936,8.055
7/28/2022,9:37:48,55,7.87,22.223,8.057,7.941,8.061
7/28/2022,9:37:49,56,7.874,22.223,8.06,7.947,8.064
7/28/2022,9:37:50,57,7.879,22.221,8.058,7.953,8.065
7/28/2022,9:37:51,58,7.88,22.222,8.064,7.956,8.064
7/28/2022,9:37:52,59,7.89,22.225,8.057,7.967,8.066
7/28/2022,9:37:53,60,7.889,22.227,8.067,7.968,8.071
7/28/2022,9:37:54,61,7.893,22.226,8.066,7.965,8.071
7/28/2022,9:37:55,62,7.9,22.224,8.065,7.973,8.079
7/28/2022,9:37:56,63,7.9,22.224,8.066,7.974,8.075
7/28/2022,9:37:57,64,7.901,22.225,8.067,7.979,8.074
7/28/2022,9:37:58,65,7.905,22.226,8.068,7.986,8.08
7/28/2022,9:37:59,66,7.902,22.228,8.061,7.988,8.079
7/28/2022,9:38:00,67,7.908,22.228,8.072,7.989,8.083
7/28/2022,9:38:01,68,7.916,22.226,8.074,7.992,8.083
7/28/2022,9:38:02,69,7.916,22.224,8.075,7.994,8.088
7/28/2022,9:38:03,70,7.919,22.223,8.073,7.994,8.091
7/28/2022,9:38:04,71,7.925,22.223,8.078,8,8.091
7/28/2022,9:38:05,72,7.921,22.228,8.077,7.994,8.094
