date,time,time_sec,Ch1_O2,Ch1_temp,Ch2_O2,Ch3_O2,Ch4_O2
7/28/2022,10:01:09,0,7.8294,22.263,8.041,8.1865,8.0505
7/28/2022,10:01:10,1,7.8298,22.261,8.0391,8.1874,8.0515
7/28/2022,10:01:11,2,7.8274,22.259,8.0408,8.1847,8.0528
7/28/2022,10:01:12,3,7.8226,22.262,8.0454,8.1857,8.0527
7/28/2022,10:01:13,4,7.8217,22.261,8.0442,8.1867,8.0525
7/28/2022,10:01:14,5,7.8174,22.265,8.0393,8.1848,8.0513
7/28/2022,10:01:15,6,7.814,22.266,8.0334,8.1838,8.0513
7/28/2022,10:01:16,7,7.8084,22.269,8.0326,8.1828,8.0502
7/28/2022,10:01:17,8,7.8109,22.268,8.0347,8.1823,8.0504
7/28/2022,10:01:18,9,7.8128,22.265,8.0351,8.1833,8.0492
7/28/2022,10:01:19,10,7.8155,22.264,8.0373,8.183,8.0486
7/28/2022,10:01:20,11,7.813,22.263,8.0359,8.1844,8.0481
7/28/2022,10:01:21,12,7.8106,22.265,8.0395,8.1822,8.0499
7/28/2022,10:01:22,13,7.8099,22.264,8.0388,8.1819,8.0499
7/28/2022,10:01:23,14,7.8104,22.262,8.0405,8.1831,8.0508
7/28/2022,10:01:24,15,7.8148,22.258,8.0348,8.1849,8.0503
7/28/2022,10:01:25,16,7.8144,22.258,8.034,8.1826,8.0516
7/28/2022,10:01:26,17,7.813,22.257,8.0315,8.1823,8.0521
7/28/2022,10:01:27,18,7.8104,22.256,8.0372,8.181,8.0525
7/28/2022,10:01:28,19,7.808,22.257,8.0357,8.1802,8.0521
7/28/2022,10:01:29,20,7.8067,22.257,8.0347,8.1772,8.0519
7/28/2022,10:01:30,21,7.8049,22.258,8.0331,8.1751,8.0533
7/28/2022,10:01:31,22,7.8057,22.257,8.0351,8.1754,8.0516
7/28/2022,10:01:32,23,7.803,22.258,8.0382,8.1724,8.053
7/28/2022,10:01:33,24,7.8021,22.258,8.0351,8.1736,8.0504
7/28/2022,10:01:34,25,7.8015,22.254,8.034,8.1738,8.0525
7/28/2022,10:01:35,26,7.8019,22.253,8.0373,8.1741,8.0504
7/28/2022,10:01:36,27,7.7992,22.256,8.0358,8.1714,8.0532
7/28/2022,10:01:37,28,7.798,22.26,8.0346,8.1714,8.0524
7/28/2022,10:01:38,29,7.7944,22.261,8.0316,8.1731,8.0527
7/28/2022,10:01:39,30,7.7935,22.257,8.0343,8.1733,8.0529
7/28/2022,10:01:40,31,7.7918,22.255,8.0373,8.1715,8.0509
7/28/2022,10:01:41,32,7.7964,22.256,8.0348,8.1721,8.0526
7/28/2022,10:01:42,33,7.7935,22.256,8.0329,8.1721,8.0526
7/28/2022,10:01:43,34,7.7921,22.255,8.031,8.1728,8.0542
7/28/2022,10:01:44,35,7.7907,22.25,8.0331,8.1704,8.0532
7/28/2022,10:01:45,36,7.7904,22.252,8.0327,8.169,8.0501
7/28/2022,10:01:46,37,7.7877,22.253,8.0306,8.1681,8.0482
7/28/2022,10:01:47,38,7.7843,22.256,8.0271,8.169,8.0473
7/28/2022,10:01:48,39,7.7846,22.257,8.0297,8.1672,8.0501
7/28/2022,10:01:49,40,7.7805,22.257,8.03,8.1677,8.0536
7/28/2022,10:01:50,41,7.7795,22.258,8.0298,8.1643,8.0547
7/28/2022,10:01:51,42,7.7748,22.258,8.0268,8.1661,8.053
7/28/2022,10:01:52,43,7.7776,22.26,8.025,8.1637,8.0508
7/28/2022,10:01:53,44,7.7761,22.258,8.0257,8.1639,8.0515
7/28/2022,10:01:54,45,7.7788,22.255,8.0279,8.1619,8.0525
7/28/2022,10:01:55,46,7.7795,22.25,8.0289,8.1622,8.0535
7/28/2022,10:01:56,47,7.7786,22.248,8.0265,8.1631,8.0539
7/28/2022,10:01:57,48,7.7761,22.248,8.0225,8.1636,8.0527
7/28/2022,10:01:58,49,7.7737,22.25,8.0228,8.1645,8.0521
7/28/2022,10:01:59,50,7.7726,22.252,8.0235,8.1643,8.0512
7/28/2022,10:02:00,51,7.7704,22.251,8.024,8.1629,8.0532
7/28/2022,10:02:01,52,7.7686,22.25,8.0207,8.1607,8.0546
7/28/2022,10:02:02,53,7.7639,22.25,8.0237,8.161,8.0535
7/28/2022,10:02:03,54,7.7605,22.249,8.0246,8.1593,8.0507
7/28/2022,10:02:04,55,7.754,22.249,8.026,8.1584,8.0495
7/28/2022,10:02:05,56,7.7529,22.248,8.0239,8.1558,8.052
7/28/2022,10:02:06,57,7.7514,22.25,8.0207,8.1554,8.0551
7/28/2022,10:02:07,58,7.7503,22.252,8.0199,8.1541,8.0564
7/28/2022,10:02:08,59,7.75,22.253,8.0155,8.1521,8.0534
7/28/2022,10:02:09,60,7.7495,22.252,8.0139,8.1525,8.0506
7/28/2022,10:02:10,61,7.7501,22.251,8.0112,8.1515,8.051
