population,ID,treatment,temp,t_mean,bw,mmr_unscaled,mmr_scaled,rmr_unscaled,rmr_scaled,aas,fas,notes
John Day,JD_A105,Ambient,19,18.44,0.055,0.81155724,18.11283221,0.100877316,2.28722653,15.82560568,7.919124746,
John Day,JD_A106,Ambient,19,18.44,0.0591,0.587951556,12.44234978,0.102975445,2.217009166,10.22534061,5.612222975,
John Day,JD_A109,Ambient,19,18.15,0.0533,0.424233012,9.690851163,0.088831602,2.060158817,7.630692346,4.703934027,
John Day,JD_A201,Ambient,19,18.89,0.0449,0.475733634,12.33778399,0.100400626,2.634485743,9.703298247,4.683184952,
John Day,JD_A202,Ambient,19,18.87,0.0298,0.430904586,15.13549673,0.056249698,1.982719521,13.15277721,7.633705407,
John Day,JD_A203,Ambient,19,18.79,0.0332,0.383576556,12.43785448,0.06397641,2.086302332,10.35155215,5.961674053,
John Day,JD_A204,Ambient,19,19.26,0.0364,0.446573638,13.52737895,0.070089776,2.139136378,11.38824257,6.323757143,
John Day,JD_A205,Ambient,19,19.43,0.0274,0.185468742,6.932197183,0.072650656,2.720419834,4.211777349,2.548208588,
John Day,JD_A206,Ambient,19,19.43,0.0213,0.320960172,14.45392628,0.064573837,2.89867868,11.5552476,4.986384445,
John Day,JD_A207,Ambient,19,19.43,0.0326,0.348911752,11.46753756,0.086780084,2.867346592,8.600190968,3.99935522,
John Day,JD_A208,Ambient,19,19.2,0.037,0.49536457,14.82488261,0.093430525,2.818125602,12.00675701,5.260547152,
John Day,JD_2201,Int_22,22,22.28,0.052,0.71545418,16.64466079,0.179519261,4.238043811,12.40661698,3.927439529,
John Day,JD_2202,Int_22,22,22.28,0.0575,0.47899168,10.34449663,0.136019763,2.986881295,7.357615335,3.463310258,
John Day,JD_2203,Int_22,22,22.16,0.0549,0.66595245,14.88316457,0.170048304,3.860619628,11.02254494,3.855123271,
John Day,JD_2204,Int_22,22,22.85,0.0446,0.745831384,19.43875547,0.163180421,4.302528428,15.13622704,4.517984202,
John Day,JD_2205,Int_22,22,22.84,0.045,0.40703334,10.53873105,0.122633766,3.212727221,7.326003829,3.280306831,
John Day,JD_2206,Int_22,22,22.85,0.0314,0.494145792,16.69793475,0.132323233,4.491832512,12.20610224,3.717399236,
John Day,JD_2207,Int_22,22,22.84,0.0296,0.455749036,16.08812716,0.097509128,3.453759069,12.63436809,4.658149813,
John Day,JD_2208,Int_22,22,22.39,0.0309,0.475294386,16.25283055,0.154209137,5.295619822,10.95721073,3.069108262,
John Day,JD_2209,Int_22,22,22.35,0.0262,0.417966238,16.1485616,0.138215014,5.345090833,10.80347077,3.021194981,
John Day,JD_2601,Climate,27,26.98,0.0348,0.640847222,20.0688027,0.407327387,12.84054192,7.228260776,1.5629249,
John Day,JD_2602,Climate,27,26.98,0.0789,0.322936068,5.518425304,0.157183054,2.748445173,2.769980131,2.007835324,
John Day,JD_2603,Climate,27,26.99,0.0386,0.437103796,12.67784887,0.166408041,4.86864654,7.80920233,2.60397808,
John Day,JD_2604,Climate,27,27.22,0.0651,0.390857731,7.700241974,0.29671997,5.958614131,1.741627843,1.292287402,
John Day,JD_2605,Climate,27,27.5,0.0594,0.525662553,15.8266774,0.213647238,4.582978711,11.24369869,3.453360445,
John Day,JD_2606,Climate,27,27.5,0.0367,0.519898587,15.65313559,0.317422453,9.630633921,6.02250167,1.625348416,
John Day,JD_2607,Climate,27,27.84,0.0398,0.3770815,10.69196062,0.23411173,6.700144359,3.991816261,1.595780635,
John Day,JD_2608,Climate,27,27.43810112,0.0412,0.491429056,13.58227404,0.298258437,8.326136752,5.256137288,1.631281643,
John Day,JD_2610,Climate,27,27.52,0.0243,0.350694351,14.32569582,0.084171256,3.436402991,10.88929283,4.168805538,
Deschutes,D_A01,Ambient,19,19.5,0.006,0.0705744,8.116164991,0.0220272,2.46188177,5.654283221,3.296732236,
Deschutes,D_A02,Ambient,19,19.51,0.0073,0.088622865,8.815003053,0.031517311,3.058676141,5.756326912,2.881966787,
Deschutes,D_A03,Ambient,19,19.62,0.0092,0.114347404,9.584267243,0.033394655,2.743636191,6.840631052,3.493271912,
Deschutes,D_A05,Ambient,19,19.47,0.029,0.28828964,10.33213602,0.095328683,3.426682228,6.905453792,3.015201099,
Deschutes,D_A07,Ambient,19,19.28,0.0122,0.176038256,11.97392078,0.041982305,2.814906662,9.159014118,4.253754109,
Deschutes,D_A08,Ambient,19,19.28,0.0372,0.37199134,11.088343,0.089431123,2.687042683,8.401300317,4.12659727,
Deschutes,D_A09,Ambient,19,19.26,0.0442,0.454551668,11.9263177,0.091821415,2.436782375,9.489535325,4.894289217,
Deschutes,D_A10,Ambient,19,19.3,0.0239,0.320162551,13.24011273,0.077445032,3.199807651,10.04030508,4.137783947,
Deschutes,D_H01,Climate,26,25.87,0.0199,0.317642214,15.04258713,0.126018952,5.940711281,9.101875849,2.532118869,
Deschutes,D_H02,Climate,26,25.91,0.0138,0.197859684,12.28520435,0.06090348,3.736852571,8.548351779,3.287580689,
Deschutes,D_H03,Climate,26,26.09,0.0115,0.201621375,14.32701673,0.064126759,4.486561689,9.840455041,3.193317673,
Deschutes,D_H04,Climate,26,26.09,0.0133,0.177462012,11.32376335,0.070920281,4.468626573,6.855136777,2.534058992,
Deschutes,D_H05,Climate,26,26.6,0.0119,0.186083323,12.89253441,0.067655963,4.618373637,8.274160773,2.791574572,
Deschutes,D_H06,Climate,26,26.62512291,0.0079,0.156061141,14.64152549,0.048575882,4.453546454,10.18797904,3.287610366,
Deschutes,D_H07,Climate,26,26.5,0.0089,0.119178893,10.23732144,0.043395052,3.651373051,6.585948389,2.803690912,
Deschutes,D_H09,Climate,26,26.55,0.0094,0.163963386,13.5259527,0.066118243,5.348672998,8.177279702,2.528842706,
Deschutes,D_H10,Climate,26,26.55,0.0075,0.10718736,10.45042222,0.048671462,4.632410953,5.818011267,2.25593591,
Deschutes,D_H11,Climate,26,26.41,0.0118,0.160585392,11.1956406,0.06754351,4.63879711,6.55684349,2.413479256,
Deschutes,D_I01,Int_22,22,21.77,0.0484,0.46294272,11.35735731,0.14429186,3.586988373,7.770368937,3.166265438,
Deschutes,D_I02,Int_22,22,21.78,0.0167,0.216039285,11.6481818,0.066055302,3.532877841,8.115303959,3.297080262,
Deschutes,D_I03,Int_22,22,21.94,0.0264,0.360109334,13.83512446,0.107616948,4.139068764,9.696055696,3.342569367,
Deschutes,D_I04,Int_22,22,21.96249533,0.0192,0.271059074,13.18125127,0.115812006,5.602134056,7.579117214,2.352898224,
Deschutes,D_I05,Int_22,22,22.11,0.0244,0.336845208,13.71821167,0.089187644,3.630452963,10.08775871,3.77865016,
Deschutes,D_I07,Int_22,22,22.27,0.0085,0.141235185,12.55187183,0.043197505,3.757109344,8.794762486,3.340832188,
Deschutes,D_I09,Int_22,22,22.03,0.0061,0.110977614,12.6074398,0.031552579,3.48477048,9.12266932,3.617868055,
Deschutes,D_I10,Int_22,22,22.03,0.0091,0.145564578,12.2998743,0.038113167,3.156036614,9.143837686,3.897253361,
Deschutes,D_I11,Int_22,22,22.19,0.009,0.15596656,13.28702139,0.04849989,4.048209171,9.238812219,3.282197344,
Siletz,S_A01,Ambient,16,16.87,0.0442,0.51196468,13.43269392,0.07553951,2.004688629,11.42800529,6.700638555,
Siletz,S_A02,Ambient,16,16.87,0.0391,0.473705106,13.60920836,0.07104556,2.059427341,11.54978102,6.608248852,
Siletz,S_A03,Ambient,16,16.86,0.0363,0.403425069,12.24524777,0.05603301,1.713515275,10.5317325,7.146272899,
Siletz,S_A04,Ambient,16,16.64,0.0226,0.222152892,9.575188317,0.03410562,1.467049171,8.108139146,6.526835301,
Siletz,S_A05,Ambient,16,19.54,0.0163,0.233093588,12.79520055,0.03173696,1.727297112,11.06790344,7.40764311,
Siletz,S_A06,Ambient,16,19.54,0.0217,0.295921137,13.14411595,0.03228538,1.429985691,11.71413026,9.191781454,
Siletz,S_A08,Ambient,16,17.61,0.0175,0.213097255,11.09852583,0.032202973,1.665272731,9.433253099,6.664689588,
Siletz,S_1901,Int_19,19,19.29,0.0222,0.362709232,15.8413798,0.06318518,2.753073988,13.08830581,5.754069768,
Siletz,S_1902,Int_19,19,19.27,0.0173,0.318814459,16.74632405,0.065740004,3.42778307,13.31854098,4.885467868,
Siletz,S_1903,Int_19,19,19.53,0.0205,0.34055524,15.77703204,0.090027474,4.15421608,11.62281596,3.797836159,
Siletz,S_1904,Int_19,19,20.41,0.0278,0.308541504,11.40922227,0.05001167,1.853258076,9.555964194,6.156305167,
Siletz,S_1905,Int_19,19,19.02,0.0215,0.292570395,13.08463208,0.05213752,2.32472441,10.75990767,5.628465904,
Siletz,S_1906,Int_19,19,19.03,0.0201,0.271997977,12.78604384,0.0503428,2.356204619,10.42983922,5.426542219,
Siletz,S_1907,Int_19,19,19.27,0.0266,0.334450696,12.77777659,0.06570904,2.513547759,10.26422883,5.083562286,
