trial_start_temp,ctmax,mmr_temp,treatment
19,28.3,19,int_1
19,28.7,19,int_1
19,29.3,19,int_1
19,29.6,19,int_1
19,29.8,19,int_1
19,30.3,19,int_1
19,30.4,19,int_1
19,30.5,19,int_1
19,30.6,19,int_1
19,30.6,19,int_1
19,30.6,19,int_1
22,28.9,22,int_2
22,29.3,22,int_2
22,29.5,22,int_2
22,29.8,22,int_2
22,30,22,int_2
22,30,22,int_2
22,30.3,22,int_2
22,30.4,22,int_2
22,30.5,22,int_2
22,30.8,22,int_2
22,30.9,22,int_2
25,27.6,25,hot
25,28.9,25,hot
25,29.7,25,hot
25,30,25,hot
25,30.1,25,hot
25,30.1,25,hot
25,30.3,25,hot
25,31.2,25,hot
25,31.3,25,hot
18,27.4,16,ambient
18,29.7,16,ambient
18,29.7,16,ambient
18,30,16,ambient
18,30,16,ambient
18,30.4,16,ambient
18,30.7,16,ambient
18,30.7,16,ambient
18,30.9,16,ambient
18,30.9,16,ambient
