"date","time","time_sec","Ch1_O2","Ch1_temp","Ch2_O2","Ch3_O2","Ch4_O2"
"7/26/2022","09:01:27",0,8.3798,19.619,8.7385,8.4093,8.2032
"7/26/2022","09:01:28",1,8.3814,19.615,8.7491,8.4096,8.2024
"7/26/2022","09:01:29",2,8.3836,19.611,8.7524,8.4114,8.2013
"7/26/2022","09:01:30",3,8.3849,19.611,8.7539,8.4111,8.2001
"7/26/2022","09:01:31",4,8.3811,19.614,8.7563,8.4095,8.2009
"7/26/2022","09:01:32",5,8.3751,19.625,8.7565,8.4053,8.1989
"7/26/2022","09:01:33",6,8.3744,19.631,8.7596,8.4051,8.1973
"7/26/2022","09:01:34",7,8.3745,19.635,8.7586,8.4043,8.193
"7/26/2022","09:01:35",8,8.3755,19.636,8.7622,8.4047,8.1958
"7/26/2022","09:01:36",9,8.3713,19.633,8.7654,8.4061,8.1979
"7/26/2022","09:01:37",10,8.3688,19.629,8.7706,8.405,8.2003
"7/26/2022","09:01:38",11,8.3658,19.625,8.774,8.4027,8.1983
"7/26/2022","09:01:39",12,8.3676,19.621,8.778,8.4038,8.1976
"7/26/2022","09:01:40",13,8.3684,19.611,8.7793,8.4084,8.1984
"7/26/2022","09:01:41",14,8.3733,19.595,8.787,8.4136,8.2016
"7/26/2022","09:01:42",15,8.374,19.576,8.7916,8.4167,8.2033
"7/26/2022","09:01:43",16,8.3762,19.563,8.7997,8.417,8.2049
"7/26/2022","09:01:44",17,8.3764,19.552,8.8014,8.4201,8.2051
"7/26/2022","09:01:45",18,8.3783,19.544,8.8091,8.4222,8.2084
"7/26/2022","09:01:46",19,8.3764,19.536,8.8122,8.4242,8.211
"7/26/2022","09:01:47",20,8.3742,19.531,8.816,8.422,8.2124
"7/26/2022","09:01:48",21,8.3729,19.53,8.818,8.4212,8.2119
"7/26/2022","09:01:49",22,8.3742,19.53,8.8198,8.4186,8.2112
"7/26/2022","09:01:50",23,8.3717,19.534,8.8207,8.4195,8.2099
"7/26/2022","09:01:51",24,8.3698,19.533,8.8249,8.4197,8.2071
"7/26/2022","09:01:52",25,8.3652,19.535,8.8293,8.4183,8.2043
"7/26/2022","09:01:53",26,8.3626,19.535,8.8348,8.4161,8.2019
"7/26/2022","09:01:54",27,8.3594,19.534,8.8363,8.4142,8.2026
"7/26/2022","09:01:55",28,8.3571,19.532,8.8326,8.4171,8.2024
"7/26/2022","09:01:56",29,8.3542,19.532,8.8315,8.4207,8.2031
"7/26/2022","09:01:57",30,8.3467,19.541,8.8233,8.4183,8.1999
"7/26/2022","09:01:58",31,8.3411,19.541,8.8251,8.4164,8.2001
"7/26/2022","09:01:59",32,8.3397,19.538,8.8257,8.4141,8.2007
"7/26/2022","09:02:00",33,8.3386,19.526,8.8306,8.4166,8.2059
"7/26/2022","09:02:01",34,8.3375,19.524,8.8324,8.4184,8.2051
"7/26/2022","09:02:02",35,8.3328,19.523,8.8329,8.4184,8.2049
"7/26/2022","09:02:03",36,8.3297,19.527,8.8319,8.4162,8.2027
"7/26/2022","09:02:04",37,8.3247,19.533,8.8302,8.4114,8.2012
"7/26/2022","09:02:05",38,8.319,19.542,8.8306,8.4088,8.1994
"7/26/2022","09:02:06",39,8.3153,19.545,8.837,8.4077,8.1967
"7/26/2022","09:02:07",40,8.3133,19.546,8.8379,8.4103,8.1957
"7/26/2022","09:02:08",41,8.3121,19.547,8.837,8.4077,8.1942
"7/26/2022","09:02:09",42,8.3105,19.554,8.8295,8.4073,8.1924
"7/26/2022","09:02:10",43,8.3084,19.562,8.828,8.4014,8.1903
"7/26/2022","09:02:11",44,8.3063,19.566,8.8225,8.4005,8.1876
"7/26/2022","09:02:12",45,8.3003,19.574,8.8207,8.3979,8.1843
"7/26/2022","09:02:13",46,8.2933,19.587,8.8157,8.3976,8.1801
"7/26/2022","09:02:14",47,8.2864,19.604,8.8133,8.3932,8.1764
"7/26/2022","09:02:15",48,8.2837,19.613,8.8077,8.3897,8.1733
"7/26/2022","09:02:16",49,8.2792,19.619,8.8062,8.3855,8.1709
"7/26/2022","09:02:17",50,8.275,19.619,8.8039,8.3832,8.1681
"7/26/2022","09:02:18",51,8.2755,19.613,8.8048,8.3834,8.1681
