"date","time","time_sec","Ch1_O2","Ch1_temp","Ch2_O2","Ch3_O2","Ch4_O2"
"7/27/2022","10:44:40",0,7.8225,26.58,7.5532,7.9478,7.6528
"7/27/2022","10:44:41",1.03,7.8219,26.587,7.5524,7.9459,7.6471
"7/27/2022","10:44:42",2,7.8242,26.597,7.5497,7.9425,7.645
"7/27/2022","10:44:43",3,7.818,26.615,7.5437,7.9353,7.6428
"7/27/2022","10:44:44",4,7.8176,26.62,7.5406,7.9324,7.6458
"7/27/2022","10:44:45",5,7.8278,26.546,7.5535,7.9455,7.6611
"7/27/2022","10:44:46",6,7.8309,26.509,7.5587,7.9534,7.6682
"7/27/2022","10:44:47",7,7.833,26.49,7.5615,7.9547,7.6735
"7/27/2022","10:44:48",8,7.8195,26.553,7.5504,7.9417,7.6616
"7/27/2022","10:44:49",9,7.8142,26.575,7.5471,7.937,7.6574
"7/27/2022","10:44:50",10,7.8107,26.58,7.5495,7.9376,7.6559
"7/27/2022","10:44:51",11,7.8098,26.58,7.5454,7.9392,7.6528
"7/27/2022","10:44:52",12,7.8097,26.579,7.541,7.9397,7.6496
"7/27/2022","10:44:53",13,7.8089,26.58,7.5357,7.9429,7.6431
"7/27/2022","10:44:54",14,7.8075,26.58,7.5382,7.9428,7.6444
"7/27/2022","10:44:55",15,7.8062,26.58,7.5391,7.942,7.6443
"7/27/2022","10:44:56",16,7.8014,26.582,7.5407,7.9404,7.6455
"7/27/2022","10:44:57",17,7.7979,26.585,7.5364,7.9385,7.643
"7/27/2022","10:44:58",18,7.7934,26.588,7.5352,7.9382,7.6407
"7/27/2022","10:44:59",19,7.7912,26.588,7.5311,7.9373,7.6392
"7/27/2022","10:45:00",20,7.7889,26.587,7.5282,7.934,7.6374
"7/27/2022","10:45:01",21,7.7883,26.586,7.5257,7.9344,7.6366
"7/27/2022","10:45:02",22,7.7882,26.584,7.5249,7.9349,7.6362
"7/27/2022","10:45:03",23,7.7897,26.586,7.5268,7.9406,7.635
"7/27/2022","10:45:04",24,7.7922,26.587,7.5253,7.9405,7.6369
"7/27/2022","10:45:05",25,7.7913,26.591,7.5254,7.9392,7.6363
"7/27/2022","10:45:06",26,7.7876,26.592,7.5234,7.9378,7.6381
"7/27/2022","10:45:07",27,7.7871,26.594,7.5216,7.9377,7.6369
"7/27/2022","10:45:08",28,7.7866,26.594,7.5175,7.9325,7.6361
"7/27/2022","10:45:09",29,7.788,26.593,7.5159,7.9295,7.6357
"7/27/2022","10:45:10",30,7.785,26.592,7.5145,7.9269,7.6336
"7/27/2022","10:45:11",31,7.7849,26.593,7.5151,7.9282,7.6335
"7/27/2022","10:45:12",32,7.7841,26.596,7.5124,7.9293,7.6308
"7/27/2022","10:45:13",33,7.78,26.597,7.5131,7.9291,7.6319
"7/27/2022","10:45:14",34,7.7729,26.596,7.5096,7.9311,7.6337
"7/27/2022","10:45:15",35,7.7685,26.595,7.5102,7.9293,7.6357
"7/27/2022","10:45:16",36,7.7704,26.593,7.5098,7.9271,7.6342
"7/27/2022","10:45:17",37,7.7714,26.593,7.5094,7.9257,7.6331
"7/27/2022","10:45:18",38,7.7677,26.594,7.5092,7.9243,7.6324
"7/27/2022","10:45:19",39,7.7607,26.595,7.506,7.9265,7.6316
"7/27/2022","10:45:20",40,7.7566,26.595,7.5067,7.9267,7.6309
"7/27/2022","10:45:21",41,7.7538,26.595,7.5036,7.9279,7.6309
"7/27/2022","10:45:22",42.15,7.753,26.597,7.5017,7.9259,7.6312
"7/27/2022","10:45:23",43.12,7.7535,26.597,7.501,7.9245,7.6288
"7/27/2022","10:45:24",44,7.7552,26.599,7.5018,7.9241,7.6267
