"date","time","time_sec","Ch1_O2","Ch1_temp","Ch2_O2","Ch3_O2","Ch4_O2"
"7/28/2022","09:41:20",0,8.1004,22.017,8.1576,8.3485,8.3811
"7/28/2022","09:41:21",1.34,8.0984,22.018,8.1595,8.3363,8.3785
"7/28/2022","09:41:22",2.41,8.1003,22.019,8.1624,8.3407,8.3818
"7/28/2022","09:41:23",3.48,8.098,22.019,8.1637,8.3375,8.3855
"7/28/2022","09:41:24",4.57,8.0986,22.019,8.1613,8.3426,8.3895
"7/28/2022","09:41:25",5.63,8.0943,22.02,8.1497,8.3427,8.3891
"7/28/2022","09:41:26",6.71,8.0893,22.025,8.1476,8.3466,8.3944
"7/28/2022","09:41:27",7.82,8.0819,22.027,8.1501,8.3472,8.3977
"7/28/2022","09:41:29",8.94,8.0839,22.028,8.1478,8.3498,8.3958
"7/28/2022","09:41:30",10.01,8.0877,22.027,8.1459,8.3507,8.3849
"7/28/2022","09:41:31",11.09,8.0994,22.026,8.1412,8.3474,8.3888
"7/28/2022","09:41:32",12.2,8.1012,22.024,8.1377,8.342,8.3938
"7/28/2022","09:41:33",13.27,8.0935,22.02,8.1385,8.3409,8.3957
"7/28/2022","09:41:34",14.34,8.0817,22.019,8.136,8.3437,8.3926
"7/28/2022","09:41:35",15.45,8.0765,22.018,8.1467,8.3486,8.3938
"7/28/2022","09:41:36",16.6,8.0799,22.016,8.1495,8.3482,8.3866
"7/28/2022","09:41:37",17.75,8.0732,22.016,8.1526,8.3479,8.3823
"7/28/2022","09:41:38",18.82,8.0757,22.017,8.1497,8.3526,8.375
"7/28/2022","09:41:40",20.01,8.0702,22.018,8.1454,8.3452,8.3891
"7/28/2022","09:41:41",21.08,8.0712,22.02,8.142,8.3415,8.3874
"7/28/2022","09:41:42",22.15,8.0678,22.022,8.1368,8.3204,8.3796
"7/28/2022","09:41:43",23.22,8.0658,22.026,8.1362,8.3284,8.3666
"7/28/2022","09:41:44",24.3,8.0808,22.027,8.1334,8.3324,8.3778
"7/28/2022","09:41:45",25.38,8.0871,22.027,8.1342,8.3438,8.3766
"7/28/2022","09:41:46",26.46,8.0924,22.026,8.1273,8.3358,8.384
"7/28/2022","09:41:47",27.55,8.0787,22.025,8.1222,8.3324,8.3807
"7/28/2022","09:41:48",28.62,8.0661,22.023,8.1191,8.3346,8.3943
"7/28/2022","09:41:49",29.69,8.0682,22.023,8.1215,8.3293,8.39
"7/28/2022","09:41:50",30.77,8.0738,22.021,8.1304,8.3287,8.3907
"7/28/2022","09:41:51",31.84,8.0812,22.021,8.1358,8.3322,8.3892
"7/28/2022","09:41:53",32.92,8.075,22.021,8.1361,8.3436,8.3935
"7/28/2022","09:41:54",34,8.0685,22.021,8.1286,8.3393,8.3984
"7/28/2022","09:41:55",35.07,8.0616,22.021,8.1149,8.3216,8.4005
"7/28/2022","09:41:56",36.15,8.0675,22.019,8.1153,8.3148,8.404
"7/28/2022","09:41:57",37.7,8.0646,22.019,8.1129,8.3242,8.3988
"7/28/2022","09:41:58",38.79,8.063,22.018,8.1186,8.3317,8.4055
"7/28/2022","09:42:00",39.87,8.056,22.016,8.1128,8.3314,8.4052
"7/28/2022","09:42:01",40.94,8.0544,22.014,8.1073,8.3278,8.4048
"7/28/2022","09:42:02",42.06,8.0609,22.014,8.1087,8.3306,8.3982
"7/28/2022","09:42:03",43.14,8.0574,22.016,8.1104,8.3285,8.3979
"7/28/2022","09:42:04",44.21,8.0602,22.016,8.1137,8.3215,8.4048
"7/28/2022","09:42:05",45.33,8.0628,22.017,8.1148,8.3209,8.4041
"7/28/2022","09:42:06",46.41,8.0647,22.017,8.1151,8.3256,8.3964
"7/28/2022","09:42:07",47.48,8.0691,22.017,8.1191,8.3207,8.3862
"7/28/2022","09:42:08",48.56,8.0653,22.018,8.1153,8.3191,8.3831
"7/28/2022","09:42:09",49.63,8.0708,22.018,8.1201,8.3099,8.3881
"7/28/2022","09:42:10",50.71,8.0656,22.022,8.1099,8.3227,8.385
"7/28/2022","09:42:11",51.82,8.0565,22.02,8.1045,8.3286,8.3886
"7/28/2022","09:42:13",52.91,8.0441,22.02,8.1017,8.3373,8.3943
"7/28/2022","09:42:14",53.99,8.0388,22.018,8.1019,8.337,8.395
"7/28/2022","09:42:15",55.07,8.0398,22.018,8.106,8.3365,8.4072
"7/28/2022","09:42:16",56.15,8.0464,22.019,8.1035,8.3487,8.3977
"7/28/2022","09:42:17",57.21,8.0527,22.017,8.1083,8.3501,8.3991
"7/28/2022","09:42:18",58.34,8.0549,22.019,8.1019,8.3365,8.3871
"7/28/2022","09:42:19",59.42,8.0517,22.019,8.0997,8.3261,8.3884
"7/28/2022","09:42:20",60.5,8.0432,22.019,8.0906,8.3176,8.391
"7/28/2022","09:42:21",61.59,8.0494,22.019,8.0932,8.3261,8.3867
"7/28/2022","09:42:22",62.67,8.055,22.018,8.083,8.3227,8.3874
"7/28/2022","09:42:23",63.74,8.0537,22.019,8.09,8.3213,8.3859
"7/28/2022","09:42:24",64.84,8.044,22.019,8.0924,8.3193,8.3914
"7/28/2022","09:42:26",65.92,8.036,22.02,8.0929,8.3176,8.4036
"7/28/2022","09:42:27",66.99,8.0402,22.022,8.0865,8.3256,8.3951
"7/28/2022","09:42:28",68.06,8.0446,22.023,8.0766,8.3201,8.3916
"7/28/2022","09:42:29",69.15,8.0469,22.022,8.0819,8.3229,8.3876
"7/28/2022","09:42:30",70.23,8.041,22.023,8.0829,8.312,8.3957
"7/28/2022","09:42:31",71.32,8.038,22.023,8.0843,8.3142,8.3834
"7/28/2022","09:42:32",72.38,8.0351,22.023,8.0776,8.3122,8.3903
"7/28/2022","09:42:33",73.47,8.0384,22.02,8.0821,8.3127,8.3922
"7/28/2022","09:42:34",74.55,8.0319,22.021,8.0877,8.3138,8.4009
"7/28/2022","09:42:35",75.62,8.0276,22.024,8.0886,8.3072,8.3811
"7/28/2022","09:42:36",76.71,8.0369,22.026,8.0809,8.3107,8.3835
"7/28/2022","09:42:37",77.78,8.0404,22.025,8.0734,8.3162,8.393
"7/28/2022","09:42:39",78.86,8.0404,22.023,8.0752,8.3118,8.4038
"7/28/2022","09:42:40",79.98,8.0301,22.025,8.079,8.3098,8.3915
"7/28/2022","09:42:41",81.06,8.0347,22.024,8.0774,8.3015,8.3918
"7/28/2022","09:42:42",82.24,8.0306,22.023,8.0748,8.3052,8.3955
"7/28/2022","09:42:43",83.31,8.0216,22.02,8.063,8.3027,8.4155
"7/28/2022","09:42:44",84.38,8.0112,22.022,8.0688,8.3035,8.4081
"7/28/2022","09:42:45",85.59,8.0114,22.022,8.0666,8.3061,8.4044
"7/28/2022","09:42:46",86.66,8.0238,22.023,8.0655,8.3043,8.3905
"7/28/2022","09:42:47",87.73,8.0262,22.023,8.0609,8.3076,8.3969
"7/28/2022","09:42:48",88.8,8.0308,22.023,8.0585,8.3126,8.4013
"7/28/2022","09:42:50",89.87,8.0228,22.024,8.068,8.3118,8.4091
"7/28/2022","09:42:51",90.94,8.0239,22.021,8.0667,8.3107,8.4041
"7/28/2022","09:42:52",92.01,8.0206,22.021,8.0612,8.3039,8.4013
"7/28/2022","09:42:53",93.08,8.0167,22.021,8.0538,8.3114,8.3972
"7/28/2022","09:42:54",94.15,8.0246,22.023,8.0532,8.3051,8.4076
"7/28/2022","09:42:55",95.32,8.0251,22.022,8.0633,8.3116,8.4044
"7/28/2022","09:42:56",96.4,8.0217,22.022,8.0674,8.3031,8.4099
"7/28/2022","09:42:57",97.47,8.0134,22.021,8.0663,8.303,8.4034
"7/28/2022","09:42:58",98.58,8.0215,22.023,8.061,8.2925,8.4008
"7/28/2022","09:42:59",99.67,8.0263,22.022,8.0595,8.2957,8.392
"7/28/2022","09:43:01",100.89,8.0214,22.027,8.0548,8.3024,8.3856
"7/28/2022","09:43:02",101.96,8.0103,22.032,8.0508,8.3032,8.3797
"7/28/2022","09:43:03",103.06,8.0155,22.04,8.0429,8.2921,8.3825
"7/28/2022","09:43:04",104.13,8.0117,22.052,8.0351,8.2683,8.387
"7/28/2022","09:43:05",105.21,8.0117,22.067,8.0342,8.262,8.3752
"7/28/2022","09:43:06",106.31,7.9972,22.083,8.0359,8.2708,8.3681
"7/28/2022","09:43:07",107.4,7.9972,22.097,8.0319,8.2771,8.3645
"7/28/2022","09:43:08",108.54,7.9922,22.109,8.0237,8.2866,8.3714
"7/28/2022","09:43:09",109.61,7.9959,22.118,8.0158,8.2729,8.3676
"7/28/2022","09:43:10",110.68,7.9878,22.122,8.017,8.2695,8.3709
"7/28/2022","09:43:11",111.75,7.99,22.12,8.0132,8.2542,8.3754
"7/28/2022","09:43:12",112.83,7.9868,22.113,8.0073,8.2535,8.384
"7/28/2022","09:43:14",113.9,7.9927,22.103,8.0206,8.266,8.378
"7/28/2022","09:43:15",114.98,7.991,22.094,8.0289,8.2702,8.3877
"7/28/2022","09:43:16",116.1,7.9892,22.084,8.0286,8.2838,8.3852
"7/28/2022","09:43:17",117.17,7.9853,22.076,8.0172,8.2799,8.3824
"7/28/2022","09:43:18",118.24,7.9903,22.065,8.019,8.2914,8.3698
"7/28/2022","09:43:19",119.33,7.9951,22.059,8.0319,8.2953,8.3804
"7/28/2022","09:43:20",120.42,7.9995,22.055,8.0365,8.3104,8.3824
"7/28/2022","09:43:21",121.48,7.9907,22.053,8.0231,8.3247,8.4018
"7/28/2022","09:43:22",122.6,7.9876,22.051,8.0188,8.3252,8.4026
"7/28/2022","09:43:23",123.66,7.9826,22.047,8.0184,8.3278,8.4163
"7/28/2022","09:43:24",124.73,7.9795,22.043,8.027,8.3229,8.3989
"7/28/2022","09:43:25",125.84,7.9908,22.041,8.0275,8.3247,8.3891
"7/28/2022","09:43:27",126.91,7.9915,22.04,8.0307,8.3175,8.3857
"7/28/2022","09:43:28",127.98,7.9965,22.038,8.0287,8.3148,8.3922
"7/28/2022","09:43:29",129.12,7.9823,22.037,8.0277,8.3148,8.3974
"7/28/2022","09:43:30",130.19,7.9818,22.036,8.0138,8.3204,8.3926
"7/28/2022","09:43:31",131.27,7.9848,22.037,8.0122,8.3183,8.3988
"7/28/2022","09:43:32",132.35,7.9904,22.038,8.0075,8.3254,8.4028
"7/28/2022","09:43:33",133.43,7.9881,22.037,8.0123,8.3306,8.4011
"7/28/2022","09:43:34",134.52,7.9867,22.038,8.0162,8.3207,8.4023
"7/28/2022","09:43:35",135.61,7.9924,22.036,8.0173,8.3157,8.3971
"7/28/2022","09:43:36",136.69,7.9884,22.036,8.0116,8.3103,8.4003
"7/28/2022","09:43:37",137.78,7.986,22.033,7.9983,8.3174,8.3986
"7/28/2022","09:43:39",138.88,7.9761,22.033,7.9903,8.3187,8.404
"7/28/2022","09:43:40",139.94,7.9828,22.03,7.9954,8.3121,8.3977
"7/28/2022","09:43:41",141.04,7.9765,22.03,8.0038,8.3057,8.3993
"7/28/2022","09:43:42",142.11,7.9802,22.03,8.0096,8.2981,8.382
"7/28/2022","09:43:43",143.19,7.9793,22.031,8.0079,8.2994,8.3834
"7/28/2022","09:43:44",144.26,7.9779,22.03,8.002,8.3048,8.3757
"7/28/2022","09:43:45",145.39,7.9724,22.03,7.9999,8.3058,8.3913
"7/28/2022","09:43:46",146.45,7.9708,22.031,7.9935,8.3011,8.4055
"7/28/2022","09:43:47",147.52,7.9754,22.031,7.9908,8.3009,8.404
"7/28/2022","09:43:48",148.64,7.9698,22.032,7.9916,8.2963,8.4093
"7/28/2022","09:43:49",149.72,7.9697,22.03,7.9921,8.2822,8.4023
"7/28/2022","09:43:50",150.79,7.9614,22.032,7.9973,8.2706,8.3997
"7/28/2022","09:43:52",151.9,7.9639,22.029,7.9958,8.2737,8.3862
"7/28/2022","09:43:53",152.97,7.9601,22.031,7.9892,8.2776,8.3856
"7/28/2022","09:43:54",154.05,7.9573,22.029,7.9842,8.2758,8.389
"7/28/2022","09:43:55",155.15,7.9619,22.031,7.9841,8.2677,8.3922
"7/28/2022","09:43:56",156.22,7.9639,22.031,7.992,8.2635,8.386
"7/28/2022","09:43:57",157.29,7.9711,22.032,7.9901,8.2721,8.3904
"7/28/2022","09:43:58",158.42,7.9685,22.031,7.9862,8.274,8.3989
"7/28/2022","09:43:59",159.5,7.9656,22.031,7.9797,8.2748,8.4063
"7/28/2022","09:44:00",160.58,7.9696,22.03,7.9846,8.2657,8.4085
"7/28/2022","09:44:01",161.67,7.9707,22.028,7.9828,8.2581,8.4133
"7/28/2022","09:44:02",162.75,7.971,22.029,7.9877,8.2687,8.4181
"7/28/2022","09:44:03",163.84,7.9718,22.031,7.9811,8.2737,8.411
"7/28/2022","09:44:05",164.91,7.9726,22.034,7.9806,8.2707,8.402
"7/28/2022","09:44:06",165.98,7.9658,22.034,7.9713,8.2639,8.3985
"7/28/2022","09:44:07",167.06,7.9631,22.033,7.9762,8.2584,8.4056
"7/28/2022","09:44:08",168.13,7.955,22.032,7.9722,8.2572,8.4053
"7/28/2022","09:44:09",169.38,7.9597,22.034,7.9726,8.2524,8.4054
"7/28/2022","09:44:10",170.45,7.9517,22.035,7.9639,8.2449,8.4128
"7/28/2022","09:44:11",171.51,7.9516,22.036,7.9704,8.2439,8.4142
"7/28/2022","09:44:12",172.58,7.9578,22.035,7.9726,8.2319,8.4155
"7/28/2022","09:44:13",173.65,7.9606,22.035,7.9798,8.2299,8.4134
"7/28/2022","09:44:14",174.72,7.962,22.036,7.9734,8.2302,8.3998
"7/28/2022","09:44:15",175.79,7.9515,22.037,7.9717,8.25,8.3894
"7/28/2022","09:44:17",176.86,7.9463,22.039,7.9708,8.2531,8.3835
"7/28/2022","09:44:18",177.95,7.9459,22.039,7.9697,8.2523,8.3887
"7/28/2022","09:44:19",179.04,7.9508,22.041,7.9683,8.2389,8.3847
"7/28/2022","09:44:20",180.49,7.9526,22.044,7.9615,8.2296,8.3879
"7/28/2022","09:44:21",181.57,7.9544,22.046,7.9602,8.2305,8.3861
"7/28/2022","09:44:22",182.63,7.9407,22.045,7.958,8.2315,8.4013
