"date","time","time_sec","Ch1_O2","Ch1_temp","Ch2_O2","Ch3_O2","Ch4_O2"
"8/9/2022","10:15:28",0,8.7946,16.214,8.811,8.8365,8.9717
"8/9/2022","10:15:29",1.26,8.7916,16.214,8.8001,8.8427,8.9857
"8/9/2022","10:15:30",2.35,8.7943,16.215,8.8109,8.8361,8.9847
"8/9/2022","10:15:31",3.44,8.798,16.215,8.8085,8.8443,8.9706
"8/9/2022","10:15:32",4.53,8.7896,16.215,8.8036,8.8352,8.9799
"8/9/2022","10:15:33",5.68,8.7831,16.213,8.7917,8.8329,8.9758
"8/9/2022","10:15:34",6.87,8.7836,16.213,8.7942,8.8235,8.9766
"8/9/2022","10:15:36",7.95,8.7873,16.213,8.7955,8.8182,8.9628
"8/9/2022","10:15:37",9.02,8.804,16.214,8.7956,8.8213,8.9676
"8/9/2022","10:15:38",10.12,8.8012,16.216,8.796,8.8187,8.9694
"8/9/2022","10:15:39",11.19,8.8054,16.216,8.8009,8.8269,8.9715
"8/9/2022","10:15:40",12.27,8.8007,16.217,8.801,8.804,8.961
"8/9/2022","10:15:41",13.35,8.797,16.217,8.7883,8.7982,8.9574
"8/9/2022","10:15:42",14.42,8.7983,16.219,8.7903,8.7832,8.9599
"8/9/2022","10:15:43",15.49,8.7959,16.218,8.7949,8.7911,8.9623
"8/9/2022","10:15:44",16.61,8.7955,16.215,8.8008,8.7983,8.9635
"8/9/2022","10:15:45",17.69,8.7937,16.213,8.8008,8.8031,8.972
"8/9/2022","10:15:46",18.77,8.7947,16.214,8.7916,8.7905,8.9688
"8/9/2022","10:15:47",19.88,8.7988,16.217,8.7842,8.7892,8.9591
"8/9/2022","10:15:49",20.96,8.8055,16.217,8.7789,8.7915,8.9544
"8/9/2022","10:15:50",22.2,8.8,16.217,8.786,8.7893,8.9591
"8/9/2022","10:15:51",23.28,8.7993,16.218,8.7897,8.7818,8.9594
"8/9/2022","10:15:52",24.35,8.7827,16.219,8.7888,8.7729,8.94
"8/9/2022","10:15:53",25.43,8.7833,16.219,8.792,8.7841,8.9277
"8/9/2022","10:15:54",26.5,8.7776,16.219,8.7985,8.7823,8.9301
"8/9/2022","10:15:55",27.61,8.7942,16.219,8.7951,8.7876,8.9555
"8/9/2022","10:15:56",28.68,8.7963,16.219,8.7855,8.7876,8.945
"8/9/2022","10:15:57",29.76,8.7946,16.219,8.7733,8.7881,8.935
"8/9/2022","10:15:58",30.82,8.7914,16.219,8.7828,8.7833,8.9285
"8/9/2022","10:15:59",31.9,8.7927,16.219,8.7828,8.7806,8.9402
"8/9/2022","10:16:01",33.33,8.7968,16.218,8.7942,8.7879,8.9537
"8/9/2022","10:16:02",34.41,8.7883,16.216,8.788,8.7827,8.9407
"8/9/2022","10:16:03",35.49,8.7888,16.217,8.7842,8.7899,8.9327
"8/9/2022","10:16:04",36.56,8.7901,16.216,8.7783,8.7878,8.9061
"8/9/2022","10:16:05",37.64,8.7994,16.218,8.7763,8.7909,8.9184
"8/9/2022","10:16:06",38.71,8.7935,16.217,8.7775,8.7754,8.9192
"8/9/2022","10:16:07",39.83,8.8003,16.22,8.769,8.766,8.93
