"date","time","time_sec","Ch1_O2","Ch1_temp","Ch2_O2","Ch3_O2","Ch4_O2"
"8/10/2022","10:50:47",0,8.1137,24.871,8.0507,7.6178,7.9566
"8/10/2022","10:50:48",1.44,8.1161,24.871,8.0513,7.6106,7.9591
"8/10/2022","10:50:50",2.53,8.1083,24.871,8.0588,7.6108,7.9634
"8/10/2022","10:50:51",3.73,8.1045,24.871,8.0615,7.6092,7.9619
"8/10/2022","10:50:52",4.81,8.1015,24.871,8.0613,7.6076,7.9596
"8/10/2022","10:50:53",5.93,8.1034,24.869,8.0637,7.6036,7.9611
"8/10/2022","10:50:54",7,8.1061,24.872,8.0648,7.5991,7.9556
"8/10/2022","10:50:55",8.08,8.1081,24.873,8.0562,7.6058,7.9515
"8/10/2022","10:50:56",9.36,8.1043,24.875,8.05,7.6066,7.948
"8/10/2022","10:50:57",10.44,8.1009,24.872,8.0473,7.6035,7.9531
"8/10/2022","10:50:59",11.52,8.0968,24.871,8.046,7.5973,7.9526
"8/10/2022","10:51:00",12.6,8.0986,24.872,8.0395,7.5954,7.9518
"8/10/2022","10:51:01",13.67,8.1007,24.873,8.0424,7.594,7.9481
"8/10/2022","10:51:02",14.75,8.1045,24.872,8.0438,7.5959,7.9515
"8/10/2022","10:51:03",15.85,8.1024,24.871,8.0563,7.5928,7.9457
"8/10/2022","10:51:04",16.92,8.0997,24.869,8.0558,7.604,7.9478
"8/10/2022","10:51:05",18.01,8.1046,24.87,8.0465,7.6063,7.9384
"8/10/2022","10:51:06",19.12,8.1065,24.872,8.0349,7.6093,7.9388
"8/10/2022","10:51:07",20.2,8.1123,24.872,8.0331,7.6046,7.9389
"8/10/2022","10:51:08",21.27,8.0982,24.875,8.034,7.5897,7.9409
"8/10/2022","10:51:09",22.36,8.0977,24.877,8.0386,7.5928,7.9387
"8/10/2022","10:51:10",23.44,8.0885,24.878,8.0427,7.5938,7.9401
"8/10/2022","10:51:12",24.53,8.0891,24.879,8.0389,7.607,7.9429
"8/10/2022","10:51:13",25.73,8.08,24.88,8.0315,7.6008,7.9503
"8/10/2022","10:51:14",26.82,8.0809,24.882,8.0129,7.5956,7.9433
"8/10/2022","10:51:15",28.02,8.0828,24.881,8.022,7.589,7.9415
"8/10/2022","10:51:16",29.09,8.0833,24.881,8.0185,7.5921,7.9383
"8/10/2022","10:51:17",30.22,8.0763,24.881,8.0369,7.5937,7.9394
"8/10/2022","10:51:18",31.28,8.0735,24.882,8.0389,7.5938,7.9399
"8/10/2022","10:51:19",32.36,8.0715,24.883,8.0468,7.591,7.9324
"8/10/2022","10:51:21",33.47,8.0721,24.882,8.0384,7.5922,7.9293
"8/10/2022","10:51:22",34.55,8.0734,24.883,8.0321,7.5963,7.9274
"8/10/2022","10:51:23",35.62,8.0727,24.882,8.0311,7.6007,7.9321
"8/10/2022","10:51:24",36.72,8.0703,24.884,8.0379,7.5945,7.936
"8/10/2022","10:51:25",37.79,8.0619,24.884,8.0303,7.5927,7.9323
"8/10/2022","10:51:26",38.93,8.0613,24.883,8.0335,7.5861,7.929
"8/10/2022","10:51:27",40.01,8.0605,24.885,8.0191,7.5907,7.9257
"8/10/2022","10:51:28",41.17,8.0529,24.887,8.0246,7.5871,7.9249
"8/10/2022","10:51:29",42.26,8.046,24.888,8.0145,7.5891,7.9262
"8/10/2022","10:51:30",43.34,8.0405,24.888,8.0228,7.5802,7.9266
"8/10/2022","10:51:31",44.41,8.0426,24.888,8.0371,7.5782,7.9278
"8/10/2022","10:51:33",45.49,8.0403,24.888,8.0467,7.58,7.9265
"8/10/2022","10:51:34",46.56,8.041,24.888,8.0441,7.5811,7.9243
"8/10/2022","10:51:35",47.64,8.0402,24.886,8.0353,7.5822,7.9228
"8/10/2022","10:51:36",48.71,8.0457,24.888,8.021,7.5839,7.9218
"8/10/2022","10:51:37",49.78,8.0464,24.888,8.0162,7.5839,7.922
"8/10/2022","10:51:38",50.85,8.0474,24.889,8.0224,7.5809,7.9247
"8/10/2022","10:51:39",52.34,8.0377,24.887,8.0283,7.5807,7.9185
"8/10/2022","10:51:40",53.41,8.0343,24.886,8.028,7.585,7.9167
"8/10/2022","10:51:42",54.51,8.0364,24.887,8.0217,7.5866,7.9108
"8/10/2022","10:51:43",55.58,8.0422,24.889,8.0335,7.5798,7.9162
"8/10/2022","10:51:44",56.65,8.0402,24.89,8.0296,7.5819,7.9144
"8/10/2022","10:51:45",57.75,8.036,24.887,8.0244,7.5812,7.9197
"8/10/2022","10:51:46",58.82,8.0308,24.886,8.0231,7.5807,7.9152
"8/10/2022","10:51:47",59.92,8.0359,24.888,8.0295,7.5774,7.9174
"8/10/2022","10:51:48",61.09,8.0332,24.889,8.0301,7.5742,7.9134
"8/10/2022","10:51:49",62.16,8.0344,24.889,8.0333,7.5753,7.9162
"8/10/2022","10:51:50",63.24,8.0279,24.89,8.0364,7.5715,7.9176
"8/10/2022","10:51:51",64.32,8.026,24.891,8.0353,7.5687,7.9167
"8/10/2022","10:51:53",65.62,8.0152,24.892,8.0155,7.5618,7.9171
"8/10/2022","10:51:54",66.69,8.014,24.891,8.0155,7.5627,7.9104
"8/10/2022","10:51:55",68,8.0146,24.89,8.0144,7.5694,7.9131
"8/10/2022","10:51:56",69.08,8.0227,24.894,8.0213,7.574,7.908
"8/10/2022","10:51:57",70.15,8.0196,24.894,8.0208,7.5698,7.9158
"8/10/2022","10:51:58",71.23,8.0179,24.896,8.0106,7.5715,7.9147
"8/10/2022","10:51:59",72.33,8.0168,24.893,8.0036,7.569,7.9162
"8/10/2022","10:52:00",73.41,8.0176,24.894,8.0008,7.5692,7.9073
"8/10/2022","10:52:02",74.5,8.0173,24.893,8.014,7.5668,7.908
"8/10/2022","10:52:03",75.79,8.0104,24.893,8.0081,7.5686,7.9125
"8/10/2022","10:52:04",76.85,8.011,24.889,8.0129,7.5743,7.9133
"8/10/2022","10:52:05",77.93,8.0048,24.89,8.0067,7.5673,7.9129
"8/10/2022","10:52:06",79,8.0034,24.889,8.0137,7.5692,7.9092
"8/10/2022","10:52:07",80.09,8.002,24.892,8.0075,7.5723,7.9112
"8/10/2022","10:52:08",81.16,8.0058,24.889,8.0071,7.5762,7.9076
"8/10/2022","10:52:09",82.23,8.0053,24.889,8.0037,7.5685,7.9067
"8/10/2022","10:52:10",83.34,7.9988,24.888,7.9937,7.5574,7.9057
"8/10/2022","10:52:11",84.41,7.9933,24.889,7.9999,7.5559,7.9032
"8/10/2022","10:52:13",85.48,7.9905,24.888,8.0081,7.5583,7.9022
"8/10/2022","10:52:14",86.61,7.9931,24.888,8.0208,7.5626,7.8983
"8/10/2022","10:52:15",87.71,7.9925,24.891,8.0064,7.5632,7.8975
"8/10/2022","10:52:16",88.79,7.9929,24.891,8.0005,7.5672,7.8932
"8/10/2022","10:52:17",89.86,7.992,24.894,7.9962,7.5655,7.8918
"8/10/2022","10:52:18",90.92,7.9881,24.893,7.9968,7.5637,7.8918
"8/10/2022","10:52:19",92,7.9855,24.894,7.9911,7.5643,7.8939
"8/10/2022","10:52:20",93.1,7.981,24.892,7.9825,7.5658,7.8998
"8/10/2022","10:52:21",94.18,7.9813,24.892,7.9887,7.5643,7.8975
"8/10/2022","10:52:22",95.25,7.9806,24.893,7.9863,7.5594,7.8968
"8/10/2022","10:52:23",96.38,7.977,24.892,7.9799,7.5547,7.8929
"8/10/2022","10:52:24",97.45,7.9639,24.893,7.9669,7.5563,7.89
"8/10/2022","10:52:26",98.53,7.9598,24.893,7.9721,7.5599,7.8875
"8/10/2022","10:52:27",99.64,7.9594,24.895,7.9789,7.5693,7.8894
"8/10/2022","10:52:28",100.71,7.9649,24.894,7.9834,7.568,7.8898
"8/10/2022","10:52:29",101.79,7.9635,24.896,7.9786,7.5629,7.8874
"8/10/2022","10:52:30",102.88,7.9609,24.894,7.9782,7.5609,7.883
