"date","time","time_sec","Ch1_O2","Ch1_temp","Ch2_O2","Ch3_O2","Ch4_O2"
"8/11/2022","11:32:14",0,8.3699,22.279,8.3061,8.0343,8.3541
"8/11/2022","11:32:15",1.36,8.3776,22.279,8.3045,8.0375,8.3503
"8/11/2022","11:32:16",2.44,8.372,22.279,8.3081,8.0305,8.3452
"8/11/2022","11:32:17",3.51,8.3686,22.279,8.3176,8.032,8.3409
"8/11/2022","11:32:19",4.67,8.3594,22.277,8.3271,8.0261,8.3409
"8/11/2022","11:32:20",5.75,8.3602,22.277,8.3343,8.0305,8.3401
"8/11/2022","11:32:21",6.83,8.3633,22.275,8.3247,8.0309,8.3395
"8/11/2022","11:32:22",7.99,8.3669,22.275,8.3192,8.0342,8.3382
"8/11/2022","11:32:23",9.07,8.3619,22.275,8.3266,8.0295,8.3409
"8/11/2022","11:32:24",10.24,8.356,22.274,8.3308,8.0273,8.3431
"8/11/2022","11:32:25",11.31,8.3513,22.276,8.3464,8.0263,8.3413
"8/11/2022","11:32:26",12.39,8.3482,22.275,8.3295,8.0262,8.3382
"8/11/2022","11:32:27",13.49,8.3471,22.277,8.3354,8.0337,8.3357
"8/11/2022","11:32:28",14.56,8.3486,22.273,8.3277,8.0351,8.3353
"8/11/2022","11:32:30",15.64,8.3517,22.272,8.3416,8.0316,8.337
"8/11/2022","11:32:31",16.78,8.3543,22.273,8.325,8.0214,8.3399
"8/11/2022","11:32:32",17.85,8.3585,22.276,8.3204,8.0139,8.34
"8/11/2022","11:32:33",18.93,8.3585,22.278,8.3032,8.0129,8.3379
"8/11/2022","11:32:34",20.06,8.3598,22.277,8.3177,8.011,8.3381
"8/11/2022","11:32:35",21.16,8.3537,22.275,8.3266,8.0152,8.3386
"8/11/2022","11:32:36",22.23,8.3521,22.275,8.3295,8.0247,8.3439
"8/11/2022","11:32:37",23.3,8.3475,22.274,8.321,8.0207,8.3391
"8/11/2022","11:32:38",24.38,8.3468,22.274,8.3001,8.0183,8.3376
"8/11/2022","11:32:39",25.55,8.3509,22.272,8.2969,8.0083,8.3321
"8/11/2022","11:32:41",26.63,8.3498,22.275,8.3002,8.0071,8.3319
"8/11/2022","11:32:42",27.71,8.3474,22.276,8.3143,8.0055,8.3259
"8/11/2022","11:32:43",28.79,8.3402,22.277,8.3286,7.9984,8.3197
"8/11/2022","11:32:44",29.86,8.3449,22.275,8.3286,8.0077,8.3126
"8/11/2022","11:32:45",31.11,8.345,22.275,8.323,8.0076,8.3103
"8/11/2022","11:32:46",32.19,8.3394,22.274,8.3182,8.0199,8.305
"8/11/2022","11:32:47",33.44,8.3397,22.273,8.3183,8.0119,8.3042
"8/11/2022","11:32:49",34.63,8.3402,22.274,8.3098,8.0084,8.3084
"8/11/2022","11:32:50",35.78,8.3472,22.276,8.309,8.0046,8.3111
"8/11/2022","11:32:51",36.86,8.3379,22.277,8.3143,8.0058,8.3132
"8/11/2022","11:32:52",37.94,8.3337,22.274,8.3271,8.0048,8.3041
"8/11/2022","11:32:53",39.01,8.3343,22.272,8.332,8.0018,8.3044
"8/11/2022","11:32:54",40.1,8.3362,22.27,8.3359,7.9994,8.3025
"8/11/2022","11:32:55",41.18,8.335,22.272,8.3355,8.0005,8.3047
"8/11/2022","11:32:56",42.25,8.3307,22.272,8.335,8.001,8.304
"8/11/2022","11:32:57",43.33,8.3301,22.272,8.3254,7.9993,8.3031
"8/11/2022","11:32:58",44.41,8.3289,22.271,8.3178,7.9972,8.3036
"8/11/2022","11:32:59",45.49,8.3315,22.271,8.3081,7.988,8.2997
"8/11/2022","11:33:00",46.56,8.3279,22.271,8.3085,7.994,8.2974
"8/11/2022","11:33:02",47.64,8.3312,22.27,8.3157,7.9884,8.2956
"8/11/2022","11:33:03",48.71,8.3267,22.27,8.3284,7.9957,8.2978
"8/11/2022","11:33:04",49.88,8.3273,22.271,8.3138,7.9859,8.2988
"8/11/2022","11:33:05",50.95,8.3235,22.272,8.307,7.9861,8.2975
"8/11/2022","11:33:06",52.46,8.3231,22.274,8.2934,7.9825,8.2997
"8/11/2022","11:33:08",53.74,8.3276,22.272,8.3065,7.9837,8.2987
"8/11/2022","11:33:09",54.85,8.3252,22.272,8.3032,7.9854,8.2975
"8/11/2022","11:33:10",56.1,8.3231,22.272,8.3132,7.9851,8.2909
"8/11/2022","11:33:11",57.18,8.3148,22.274,8.3077,7.9876,8.2905
"8/11/2022","11:33:12",58.27,8.3177,22.274,8.3146,7.9818,8.2946
"8/11/2022","11:33:13",59.35,8.3104,22.276,8.3047,7.9773,8.2999
"8/11/2022","11:33:14",60.42,8.3165,22.278,8.3057,7.975,8.2979
"8/11/2022","11:33:15",61.5,8.3075,22.279,8.3115,7.9798,8.2922
"8/11/2022","11:33:17",62.57,8.3116,22.28,8.3057,7.9806,8.2901
"8/11/2022","11:33:18",63.65,8.3079,22.28,8.3075,7.9794,8.2907
"8/11/2022","11:33:19",64.72,8.3184,22.279,8.2943,7.9787,8.2948
"8/11/2022","11:33:20",65.88,8.3166,22.276,8.2974,7.9791,8.2892
"8/11/2022","11:33:21",67.12,8.3142,22.275,8.2952,7.9727,8.2897
"8/11/2022","11:33:22",68.21,8.313,22.275,8.2967,7.9722,8.2878
"8/11/2022","11:33:23",69.28,8.3121,22.274,8.3035,7.9762,8.2947
"8/11/2022","11:33:24",70.38,8.3154,22.273,8.3098,7.9793,8.2925
"8/11/2022","11:33:25",71.45,8.3114,22.272,8.3058,7.9718,8.2892
"8/11/2022","11:33:26",72.52,8.3159,22.273,8.302,7.9667,8.2813
"8/11/2022","11:33:28",73.6,8.305,22.275,8.3037,7.9642,8.2785
"8/11/2022","11:33:29",74.68,8.2979,22.275,8.3193,7.9703,8.2747
"8/11/2022","11:33:30",75.75,8.2949,22.272,8.3159,7.9652,8.2775
"8/11/2022","11:33:31",76.84,8.2966,22.27,8.3045,7.9652,8.2734
"8/11/2022","11:33:32",77.92,8.3006,22.269,8.2873,7.962,8.2776
"8/11/2022","11:33:33",78.99,8.2953,22.269,8.2893,7.9642,8.2755
"8/11/2022","11:33:34",80.17,8.2995,22.268,8.2842,7.9664,8.2771
"8/11/2022","11:33:35",81.25,8.298,22.267,8.2874,7.9638,8.2732
"8/11/2022","11:33:36",82.33,8.3028,22.267,8.2811,7.9549,8.2715
"8/11/2022","11:33:37",83.41,8.2973,22.266,8.2791,7.9536,8.2705
"8/11/2022","11:33:39",84.59,8.3003,22.266,8.2868,7.9508,8.2723
"8/11/2022","11:33:40",85.65,8.2982,22.266,8.2974,7.9583,8.2721
