"date","time","time_sec","Ch1_O2","Ch1_temp","Ch2_O2","Ch3_O2","Ch4_O2"
"8/14/2021","11:22:47",0,7.5164,16.504,7.5549,7.603,7.4174
"8/14/2021","11:22:49",1.46,7.5183,16.508,7.5502,7.6004,7.4141
"8/14/2021","11:22:50",2.53,7.5139,16.511,7.5516,7.5899,7.4089
"8/14/2021","11:22:51",3.59,7.5089,16.508,7.5522,7.5902,7.4095
"8/14/2021","11:22:52",4.71,7.507,16.509,7.5489,7.5858,7.4083
"8/14/2021","11:22:53",5.79,7.507,16.511,7.5466,7.5895,7.4069
"8/14/2021","11:22:54",6.86,7.5043,16.515,7.5438,7.5888,7.4077
"8/14/2021","11:22:55",7.94,7.501,16.517,7.5479,7.5918,7.4087
"8/14/2021","11:22:56",9.01,7.4964,16.52,7.5481,7.5908,7.4078
"8/14/2021","11:22:57",10.1,7.4956,16.517,7.5465,7.5852,7.409
"8/14/2021","11:22:58",11.21,7.4949,16.513,7.5449,7.5808,7.4054
"8/14/2021","11:22:59",12.27,7.4957,16.505,7.5467,7.5807,7.4076
"8/14/2021","11:23:01",13.35,7.4927,16.506,7.548,7.5844,7.4045
"8/14/2021","11:23:02",14.49,7.4894,16.51,7.5486,7.5865,7.4069
"8/14/2021","11:23:03",15.55,7.4862,16.516,7.5471,7.5899,7.408
"8/14/2021","11:23:04",16.63,7.4846,16.521,7.5458,7.5867,7.406
"8/14/2021","11:23:05",17.73,7.487,16.522,7.5454,7.5827,7.4079
"8/14/2021","11:23:06",18.8,7.4831,16.525,7.5416,7.5775,7.4021
"8/14/2021","11:23:07",19.87,7.4774,16.528,7.5415,7.5782,7.4001
"8/14/2021","11:23:08",20.96,7.4697,16.534,7.5396,7.58,7.3962
"8/14/2021","11:23:09",22.04,7.4671,16.54,7.5382,7.5781,7.3934
"8/14/2021","11:23:10",23.2,7.467,16.544,7.5338,7.576,7.3948
"8/14/2021","11:23:11",24.27,7.4633,16.548,7.5358,7.5743,7.3929
"8/14/2021","11:23:13",25.35,7.4596,16.55,7.5358,7.574,7.3956
"8/14/2021","11:23:14",26.43,7.4555,16.553,7.5348,7.5735,7.3925
"8/14/2021","11:23:15",27.5,7.4544,16.559,7.5275,7.5698,7.3935
"8/14/2021","11:23:16",28.57,7.4529,16.567,7.526,7.567,7.3882
"8/14/2021","11:23:17",29.72,7.4496,16.575,7.525,7.5649,7.385
"8/14/2021","11:23:18",30.92,7.443,16.584,7.525,7.5683,7.3777
"8/14/2021","11:23:19",32.01,7.44,16.593,7.5211,7.5702,7.3741
"8/14/2021","11:23:21",33.33,7.4366,16.6,7.5189,7.5707,7.3776
"8/14/2021","11:23:22",34.4,7.4346,16.604,7.5152,7.5669,7.378
"8/14/2021","11:23:23",35.47,7.4317,16.605,7.5154,7.5638,7.379
"8/14/2021","11:23:24",36.55,7.4318,16.604,7.5177,7.5609,7.3728
"8/14/2021","11:23:25",37.86,7.4331,16.599,7.5201,7.5626,7.3758
"8/14/2021","11:23:26",38.96,7.4351,16.588,7.5201,7.5655,7.3822
"8/14/2021","11:23:27",40.03,7.435,16.583,7.5209,7.5684,7.3866
"8/14/2021","11:23:28",41.1,7.4338,16.585,7.5205,7.5681,7.3842
"8/14/2021","11:23:29",42.18,7.4286,16.589,7.5227,7.5662,7.3782
"8/14/2021","11:23:30",43.25,7.4241,16.587,7.5223,7.564,7.3746
"8/14/2021","11:23:32",44.33,7.4196,16.583,7.5218,7.5661,7.3761
"8/14/2021","11:23:33",45.44,7.4182,16.582,7.5196,7.5665,7.3767
"8/14/2021","11:23:34",46.51,7.4132,16.587,7.5187,7.5645,7.3793
"8/14/2021","11:23:35",47.58,7.414,16.592,7.5191,7.5581,7.3772
"8/14/2021","11:23:36",48.79,7.4143,16.596,7.5181,7.5567,7.3738
"8/14/2021","11:23:37",49.87,7.4124,16.596,7.5207,7.5571,7.376
"8/14/2021","11:23:38",50.94,7.4084,16.597,7.5209,7.5573,7.3758
"8/14/2021","11:23:39",52.01,7.4025,16.598,7.5199,7.5549,7.3764
"8/14/2021","11:23:40",53.08,7.4036,16.599,7.5138,7.5587,7.3729
"8/14/2021","11:23:41",54.14,7.4001,16.602,7.5117,7.5579,7.3755
"8/14/2021","11:23:42",55.21,7.4003,16.601,7.512,7.5579,7.3795
"8/14/2021","11:23:43",56.28,7.3976,16.596,7.5122,7.5553,7.3787
"8/14/2021","11:23:45",57.35,7.3983,16.588,7.5159,7.557,7.3733
