"date","time","time_sec","Ch1_O2","Ch1_temp","Ch2_O2","Ch3_O2","Ch4_O2"
"7/14/2021","11:43:58",9.07,7.4748,27.268,7.8496,"---",7.2508
"7/14/2021","11:43:59",10.08,7.6155,27.351,7.9353,"---",7.2858
"7/14/2021","11:44:00",11.08,7.7496,27.429,8.0079,"---",7.3268
"7/14/2021","11:44:01",12.08,7.7524,27.432,8.0128,"---",7.3313
"7/14/2021","11:44:02",13.08,7.752,27.43,8.0013,"---",7.3312
"7/14/2021","11:44:03",14.08,7.7553,27.432,7.9971,"---",7.3253
"7/14/2021","11:44:04",15.08,7.7528,27.432,7.9902,"---",7.329
"7/14/2021","11:44:05",16.08,7.7514,27.432,7.991,"---",7.324
"7/14/2021","11:44:06",17.12,7.7469,27.432,7.9929,"---",7.3239
"7/14/2021","11:44:07",18.14,7.7543,27.432,7.997,"---",7.331
"7/14/2021","11:44:08",19.17,7.7618,27.437,7.9871,"---",7.3279
"7/14/2021","11:44:09",20.15,7.7675,27.437,7.9784,"---",7.3193
"7/14/2021","11:44:10",21.22,7.7655,27.439,7.9692,"---",7.3095
"7/14/2021","11:44:12",22.45,7.7552,27.435,7.9729,"---",7.3095
"7/14/2021","11:44:13",23.61,7.7477,27.436,7.9688,"---",7.3176
"7/14/2021","11:44:14",24.74,7.744,27.436,7.9634,"---",7.3132
"7/14/2021","11:44:15",25.73,7.7514,27.438,7.9624,"---",7.3151
"7/14/2021","11:44:16",26.85,7.748,27.44,7.9653,"---",7.3129
"7/14/2021","11:44:17",27.84,7.7498,27.44,7.968,"---",7.3197
"7/14/2021","11:44:18",28.82,7.7504,27.44,7.9676,"---",7.3135
"7/14/2021","11:44:19",29.82,7.7593,27.442,7.9633,"---",7.3156
"7/14/2021","11:44:20",30.83,7.7574,27.442,7.9636,"---",7.3131
"7/14/2021","11:44:21",31.87,7.7567,27.441,7.9594,"---",7.3208
"7/14/2021","11:44:22",32.87,7.7556,27.438,7.9617,"---",7.3201
"7/14/2021","11:44:23",33.86,7.7542,27.437,7.9574,"---",7.3241
"7/14/2021","11:44:24",34.85,7.7522,27.439,7.9667,"---",7.3222
"7/14/2021","11:44:25",35.85,7.7416,27.441,7.9599,"---",7.323
"7/14/2021","11:44:26",36.83,7.7453,27.443,7.9626,"---",7.3233
"7/14/2021","11:44:27",37.86,7.743,27.444,7.9585,"---",7.3129
"7/14/2021","11:44:28",38.85,7.7526,27.445,7.9574,"---",7.3086
"7/14/2021","11:44:29",40.23,7.7522,27.446,7.9529,"---",7.3068
"7/14/2021","11:44:30",41.25,7.755,27.446,7.9527,"---",7.3136
"7/14/2021","11:44:31",42.24,7.7512,27.447,7.956,"---",7.316
"7/14/2021","11:44:32",43.24,7.7504,27.446,7.957,"---",7.316
"7/14/2021","11:44:33",44.24,7.7522,27.44,7.9527,"---",7.3108
"7/14/2021","11:44:34",45.23,7.7553,27.434,7.9598,"---",7.3011
"7/14/2021","11:44:35",46.24,7.7503,27.428,7.9585,"---",7.2956
"7/14/2021","11:44:36",47.21,7.7457,27.43,7.9611,"---",7.2992
"7/14/2021","11:44:37",48.2,7.7428,27.43,7.9558,"---",7.2972
"7/14/2021","11:44:38",49.18,7.7437,27.432,7.95,"---",7.2878
"7/14/2021","11:44:39",50.16,7.7479,27.431,7.9392,"---",7.2845
"7/14/2021","11:44:40",51.15,7.7493,27.427,7.9401,"---",7.2849
"7/14/2021","11:44:41",52.14,7.7516,27.425,7.9452,"---",7.2938
"7/14/2021","11:44:42",53.14,7.7453,27.422,7.9514,"---",7.2917
"7/14/2021","11:44:43",54.16,7.7437,27.422,7.9388,"---",7.2942
"7/14/2021","11:44:44",55.16,7.7447,27.419,7.9401,"---",7.2875
"7/14/2021","11:44:45",56.17,7.7415,27.418,7.9342,"---",7.2923
"7/14/2021","11:44:46",57.15,7.7472,27.413,7.9379,"---",7.2928
"7/14/2021","11:44:47",58.13,7.748,27.411,7.9399,"---",7.2927
"7/14/2021","11:44:48",59.14,7.7531,27.408,7.9381,"---",7.2995
"7/14/2021","11:44:49",60.13,7.7489,27.412,7.9308,"---",7.3028
"7/14/2021","11:44:50",61.11,7.7511,27.412,7.9155,"---",7.3106
"7/14/2021","11:44:51",62.09,7.7519,27.414,7.9096,"---",7.2913
"7/14/2021","11:44:52",63.09,7.7513,27.415,7.9162,"---",7.285
"7/14/2021","11:44:53",64.1,7.7474,27.418,7.9129,"---",7.2772
"7/14/2021","11:44:54",65.1,7.7483,27.418,7.9174,"---",7.277
"7/14/2021","11:44:55",66.08,7.754,27.417,7.9193,"---",7.2826
"7/14/2021","11:44:56",67.07,7.747,27.42,7.9236,"---",7.2803
"7/14/2021","11:44:57",68.07,7.7369,27.42,7.927,"---",7.2876
"7/14/2021","11:44:58",69.07,7.7271,27.422,7.9176,"---",7.2909
"7/14/2021","11:44:59",70.07,7.7354,27.418,7.9169,"---",7.299
"7/14/2021","11:45:00",71.04,7.7401,27.42,7.9129,"---",7.3057
"7/14/2021","11:45:01",72.03,7.7441,27.42,7.9117,"---",7.2989
"7/14/2021","11:45:02",73.03,7.7337,27.423,7.9068,"---",7.2896
"7/14/2021","11:45:03",74.03,7.7317,27.421,7.9079,"---",7.2874
"7/14/2021","11:45:04",75.06,7.7242,27.424,7.9041,"---",7.2875
"7/14/2021","11:45:05",76.06,7.7336,27.422,7.9033,"---",7.2959
"7/14/2021","11:45:06",77.07,7.7372,27.42,7.9025,"---",7.2907
"7/14/2021","11:45:07",78.05,7.7429,27.417,7.9074,"---",7.2942
"7/14/2021","11:45:08",79.06,7.7481,27.416,7.9074,"---",7.2958
"7/14/2021","11:45:09",80.06,7.7472,27.417,7.9049,"---",7.2945
"7/14/2021","11:45:10",81.03,7.7423,27.418,7.9043,"---",7.2949
"7/14/2021","11:45:11",82.05,7.7355,27.422,7.9097,"---",7.2872
"7/14/2021","11:45:12",83.07,7.7331,27.423,7.9064,"---",7.286
"7/14/2021","11:45:13",84.07,7.7353,27.424,7.8997,"---",7.2812
"7/14/2021","11:45:14",85.07,7.7298,27.423,7.899,"---",7.2729
"7/14/2021","11:45:15",86.05,7.7319,27.426,7.898,"---",7.2756
"7/14/2021","11:45:16",87.05,7.7308,27.424,7.8935,"---",7.2759
"7/14/2021","11:45:17",88.06,7.7372,27.422,7.8893,"---",7.2882
"7/14/2021","11:45:18",89.04,7.7319,27.422,7.8866,"---",7.2836
"7/14/2021","11:45:19",90.05,7.7334,27.425,7.8903,"---",7.2839
"7/14/2021","11:45:20",91.08,7.7254,27.428,7.8868,"---",7.2792
"7/14/2021","11:45:21",92.07,7.7297,27.426,7.8828,"---",7.2746
"7/14/2021","11:45:22",93.05,7.7233,27.426,7.8783,"---",7.2669
"7/14/2021","11:45:23",94.08,7.7246,27.424,7.8786,"---",7.2607
"7/14/2021","11:45:24",95.07,7.731,27.422,7.8804,"---",7.2598
"7/14/2021","11:45:25",96.05,7.738,27.42,7.878,"---",7.2593
"7/14/2021","11:45:26",97.08,7.7412,27.419,7.8765,"---",7.2581
"7/14/2021","11:45:27",98.06,7.7347,27.417,7.8746,"---",7.2685
"7/14/2021","11:45:28",99.08,7.7303,27.415,7.8818,"---",7.2772
"7/14/2021","11:45:29",100.06,7.7312,27.411,7.8838,"---",7.2768
"7/14/2021","11:45:30",101.05,7.7258,27.409,7.8854,"---",7.2716
"7/14/2021","11:45:31",102.07,7.7277,27.404,7.8848,"---",7.2654
"7/14/2021","11:45:32",103.07,7.7191,27.407,7.8847,"---",7.2692
"7/14/2021","11:45:33",104.08,7.7221,27.407,7.8833,"---",7.2708
"7/14/2021","11:45:34",105.09,7.7194,27.413,7.8803,"---",7.2662
"7/14/2021","11:45:35",106.08,7.7253,27.411,7.8777,"---",7.2676
"7/14/2021","11:45:36",107.06,7.7158,27.412,7.8694,"---",7.256
"7/14/2021","11:45:37",108.1,7.7206,27.409,7.8679,"---",7.2584
"7/14/2021","11:45:38",109.08,7.7188,27.413,7.8646,"---",7.2557
"7/14/2021","11:45:39",110.06,7.7233,27.417,7.8592,"---",7.2633
"7/14/2021","11:45:40",111.26,7.7167,27.423,7.8527,"---",7.2657
"7/14/2021","11:45:41",112.24,7.7104,27.424,7.8619,"---",7.2688
"7/14/2021","11:45:42",113.24,7.7065,27.424,7.87,"---",7.269
"7/14/2021","11:45:44",114.33,7.7026,27.421,7.8699,"---",7.2617
"7/14/2021","11:45:44",115.31,7.6985,27.419,7.8577,"---",7.2508
"7/14/2021","11:45:45",116.31,7.6935,27.416,7.8529,"---",7.2456
"7/14/2021","11:45:46",117.3,7.7096,27.414,7.8509,"---",7.2545
"7/14/2021","11:45:47",118.29,7.7215,27.414,7.8461,"---",7.2617
"7/14/2021","11:45:48",119.32,7.7237,27.415,7.8439,"---",7.269
"7/14/2021","11:45:50",120.34,7.6993,27.417,7.8486,"---",7.2609
"7/14/2021","11:45:50",121.32,7.6788,27.42,7.8481,"---",7.2611
"7/14/2021","11:45:51",122.31,7.6696,27.42,7.8527,"---",7.2534
"7/14/2021","11:45:52",123.31,7.6617,27.42,7.8494,"---",7.2499
"7/14/2021","11:45:53",124.29,7.6497,27.419,7.8524,"---",7.243
"7/14/2021","11:45:54",125.32,7.6281,27.417,7.8512,"---",7.2485
"7/14/2021","11:45:56",126.35,7.6045,27.417,7.8498,"---",7.2533
"7/14/2021","11:45:57",127.35,7.5869,27.417,7.8478,"---",7.2545
"7/14/2021","11:45:58",128.34,7.5767,27.419,7.8419,"---",7.2509
"7/14/2021","11:45:58",129.32,7.5705,27.419,7.8349,"---",7.2492
"7/14/2021","11:45:59",130.32,7.5562,27.42,7.8353,"---",7.2504
"7/14/2021","11:46:01",131.33,7.5429,27.424,7.8336,"---",7.2418
