population,fish_id,treatment,temperature,bw,mmr_bw,mmr_unscaled,mmr_scaled_74
Piru Creek,A01,AMB,20,0.03,12.58312,0.3774936,13.19396909
Piru Creek,A02,AMB,20,0.028,6.12003,0.17136084,6.303042521
Piru Creek,A03,AMB,20,0.024,10.21057667,0.24505384,10.10277757
Piru Creek,A04,AMB,20,0.037,8.199321081,0.30337488,9.079165641
Piru Creek,A09,AMB,20,0.04,12.836502,0.51346008,14.50500518
Piru Creek,A10,AMB,20,0.037,6.827397568,0.25261371,7.560025129
Piru Creek,A11,AMB,20,0.038,13.51295,0.5134921,15.06709417
Piru Creek,A12,AMB,20,0.042,8.943476667,0.37562602,10.23497513
Piru Creek,H102,AMB+3,23,0.014,13.33240857,0.18665372,11.46667494
Piru Creek,H103,AMB+3,23,0.015,16.01887333,0.2402831,14.02656383
Piru Creek,H104,AMB+3,23,0.015,11.7739,0.1766085,10.30954902
Piru Creek,H105,AMB+3,23,0.014,22.02808143,0.30839314,18.9454777
Piru Creek,H107,AMB+3,23,0.011,9.757965455,0.10733762,7.882372818
Piru Creek,H108,AMB+3,23,0.014,14.38940571,0.20145168,12.37575619
Piru Creek,H109,AMB+3,23,0.033,11.00890758,0.36329395,11.8329614
Piru Creek,H111,AMB+3,23,0.079,11.46428468,0.90567849,15.46199767
Piru Creek,H112,AMB+3,23,0.02,16.075608,0.32151216,15.16948386
Piru Creek,H203,AMB+5,25,0.013,16.31687077,0.21211932,13.76568233
Piru Creek,H204,AMB+5,25,0.009,22.03198111,0.19828783,16.89243283
Piru Creek,H202,AMB+5,25,0.015,11.85155,0.17777325,10.37754149
Piru Creek,H205,AMB+5,25,0.021,14.38915619,0.30217228,13.75143249
Piru Creek,H207,AMB+5,25,0.012,18.81088,0.22573056,15.54289219
Piru Creek,H208,AMB+5,25,0.008,19.91626,0.15933008,14.80971775
Piru Creek,H206,AMB+5,25,0.016,17.46252,0.27940032,15.54940265
Piru Creek,H210,AMB+5,25,0.025,14.935506,0.37338765,14.935506
Arroyo Seco River,A01,AMB,18,0.027,10.12124037,0.27327349,10.32580491
Arroyo Seco River,A02,AMB,18,0.022,10.74768545,0.23644908,10.39633924
Arroyo Seco River,A03,AMB,18,0.017,8.120894118,0.1380552,7.346088657
Arroyo Seco River,A04,AMB,18,0.009,8.933197778,0.08039878,6.849290705
Arroyo Seco River,A05,AMB,18,0.032,4.85674,0.15541568,5.178684421
Arroyo Seco River,A06,AMB,18,0.028,9.896108571,0.27709104,10.19204042
Arroyo Seco River,A07,AMB,18,0.029,4.568235862,0.13247884,4.747965953
Arroyo Seco River,A10,AMB,18,0.034,5.283047647,0.17962362,5.722748283
Arroyo Seco River,A11,AMB,18,0.047,8.21440234,0.38607691,9.679591099
Arroyo Seco River,A12,AMB,18,0.036,6.241386667,0.22468992,6.862073046
Arroyo Seco River,H104,AMB+3,19,0.007,10.13121,0.07091847,7.276497855
Arroyo Seco River,H105,AMB+3,19,0.005,16.24342,0.0812171,10.68920172
Arroyo Seco River,H106,AMB+3,19,0.007,13.81558286,0.09670908,9.922710024
Arroyo Seco River,H109,AMB+3,19,0.051,7.040318824,0.35905626,8.474150452
Arroyo Seco River,H110,AMB+3,19,0.092,9.462429565,0.87054352,13.27770736
Arroyo Seco River,H111,AMB+3,19,0.042,14.64238286,0.61498008,16.75684188
Arroyo Seco River,H112,AMB+3,19,0.118,5.56584661,0.6567699,8.33213222
Arroyo Seco River,H201,AMB+5,21,0.026,11.91449154,0.30977678,12.03660979
Arroyo Seco River,H202,AMB+5,21,0.027,9.956055926,0.26881351,10.15728186
Arroyo Seco River,H203,AMB+5,21,0.009,13.73059778,0.12357538,10.52756897
Arroyo Seco River,H205,AMB+5,21,0.025,7.718832,0.1929708,7.718832
Arroyo Seco River,H207,AMB+5,21,0.008,14.50124,0.11600992,10.78311246
Arroyo Seco River,H208,AMB+5,21,0.021,12.49573476,0.26241043,11.94192701
Arroyo Seco River,H210,AMB+5,21,0.046,11.95321913,0.54984808,14.00675445
Arroyo Seco River,H211,AMB+5,21,0.027,10.27786,0.27750222,10.48559004
