population,fish_id,treatment,temperature,bw,mmr_bw,mmr_unscaled,mmr_scaled_74
John Day,A105,Ambient,19,0.055,14.75558618,0.81155724,18.11283221
John Day,A106,Ambient,19,0.0591,9.948418883,0.587951556,12.44234978
John Day,A109,Ambient,19,0.0533,7.959343565,0.424233012,9.690851163
John Day,A110,Ambient,19,0.0321,10.24727224,0.328937439,10.93541277
John Day,A201,Ambient,19,0.0449,10.59540388,0.475733634,12.33778399
John Day,A202,Ambient,19,0.0298,14.45988544,0.430904586,15.13549673
John Day,A203,Ambient,19,0.0332,11.55351072,0.383576556,12.43785448
John Day,A204,Ambient,19,0.0364,12.26850654,0.446573638,13.52737895
John Day,A205,Ambient,19,0.0274,6.76893219,0.185468742,6.932197183
John Day,A206,Ambient,19,0.0213,15.06855268,0.320960172,14.45392628
John Day,A207,Ambient,19,0.0326,10.70281448,0.348911752,11.46753756
John Day,A208,Ambient,19,0.037,13.38823162,0.49536457,14.82488261
John Day,2201,Intermediate,22,0.052,13.75873423,0.71545418,16.64466079
John Day,2202,Intermediate,22,0.0575,8.330290087,0.47899168,10.34449663
John Day,2203,Intermediate,22,0.0549,12.13028142,0.66595245,14.88316457
John Day,2204,Intermediate,22,0.0446,16.72267677,0.745831384,19.43875547
John Day,2205,Intermediate,22,0.045,9.045185333,0.40703334,10.53873105
John Day,2206,Intermediate,22,0.0314,15.73712713,0.494145792,16.69793475
John Day,2207,Intermediate,22,0.0296,15.39692689,0.455749036,16.08812716
John Day,2208,Intermediate,22,0.0309,15.38169534,0.475294386,16.25283055
John Day,2209,Intermediate,22,0.0262,15.95290985,0.417966238,16.1485616
John Day,2210,Intermediate,22,0.0254,16.06942906,0.408163498,16.13588577
John Day,2601,Climate,27,0.0348,18.41515006,0.640847222,20.0688027
John Day,2602,Climate,27,0.0789,4.092979316,0.322936068,5.518425304
John Day,2603,Climate,27,0.0386,11.32393254,0.437103796,12.67784887
John Day,2605,Climate,27,0.0367,14.32323033,0.525662553,15.8266774
John Day,2606,Climate,27,0.0594,11.61854414,0.519898587,15.65313559
John Day,2607,Climate,27,0.0398,9.349814573,0.3770815,10.69196062
John Day,2608,Climate,27,0.0412,11.04033165,0.491429056,13.58227404
John Day,2610,Climate,27,0.0243,14.4318663,0.350694351,14.32569582
