population,fish_id,treatment,temperature,bw,mmr_bw,mmr_unscaled,mmr_scaled_74
Lower Deschutes,A01,Ambient,19,0.006,11.7624,0.0705744,8.116164991
Lower Deschutes,A02,Ambient,19,0.0073,12.14011849,0.088622865,8.815003053
Lower Deschutes,A03,Ambient,19,0.0092,12.42906565,0.114347404,9.584267243
Lower Deschutes,A05,Ambient,19,0.029,9.941022069,0.28828964,10.33213602
Lower Deschutes,A07,Ambient,19,0.0122,14.42936525,0.176038256,11.97392078
Lower Deschutes,A08,Ambient,19,0.0372,9.999767204,0.37199134,11.088343
Lower Deschutes,A09,Ambient,19,0.0442,10.28397439,0.454551668,11.9263177
Lower Deschutes,A10,Ambient,19,0.0239,13.39592264,0.320162551,13.24011273
Lower Deschutes,A11,Ambient,19,0.0072,14.5223825,0.104561154,10.50702869
Lower Deschutes,H01,Warm,26,0.0199,15.9619203,0.317642214,15.04258713
Lower Deschutes,H02,Warm,26,0.0138,14.33765826,0.197859684,12.28520435
Lower Deschutes,H03,Warm,26,0.0115,17.53229348,0.201621375,14.32701673
Lower Deschutes,H04,Warm,26,0.0133,13.34300842,0.177462012,11.32376335
Lower Deschutes,H05,Warm,26,0.0119,15.63725403,0.186083323,12.89253441
Lower Deschutes,H06,Warm,26,0.0079,19.75457481,0.156061141,14.64152549
Lower Deschutes,H07,Warm,26,0.0089,13.39088685,0.119178893,10.23732144
Lower Deschutes,H09,Warm,26,0.0094,17.4429134,0.163963386,13.5259527
Lower Deschutes,H10,Warm,26,0.0075,14.291648,0.10718736,10.45042222
Lower Deschutes,H11,Warm,26,0.0118,13.60893153,0.160585392,11.1956406
Lower Deschutes,I01,Intermediate,22,0.0484,9.564932231,0.46294272,11.35735731
Lower Deschutes,I02,Intermediate,22,0.0167,12.93648413,0.216039285,11.6481818
Lower Deschutes,I03,Intermediate,22,0.0264,13.64050508,0.360109334,13.83512446
Lower Deschutes,I04,Intermediate,22,0.0192,14.1176601,0.271059074,13.18125127
Lower Deschutes,I05,Intermediate,22,0.0244,13.80513148,0.336845208,13.71821167
Lower Deschutes,I07,Intermediate,22,0.0085,16.61590412,0.141235185,12.55187183
Lower Deschutes,I09,Intermediate,22,0.0061,18.19305148,0.110977614,12.6074398
Lower Deschutes,I10,Intermediate,22,0.0091,15.99610747,0.145564578,12.2998743
Lower Deschutes,I11,Intermediate,22,0.009,17.32961778,0.15596656,13.28702139
