population,fish_id,treatment,temperature,bw,mmr_bw,mmr_unscaled,mmr_scaled_74
North Umpqua,A01,Ambient,16,0.0143,11.50880056,0.164575848,9.952977712
North Umpqua,A02,Ambient,16,0.0146,8.086486301,0.1180627,7.031163475
North Umpqua,A03,Ambient,16,0.0136,12.08004882,0.164288664,10.31156072
North Umpqua,A05,Ambient,16,0.0097,10.35125722,0.100407195,8.092623747
North Umpqua,A07,Ambient,16,0.0203,9.970824236,0.202407732,9.445297212
North Umpqua,A08,Ambient,16,0.0142,12.67089127,0.179926656,10.93799527
North Umpqua,A09,Ambient,16,0.0158,10.8292419,0.171102022,9.611352274
North Umpqua,A10,Ambient,16,0.0114,15.08813842,0.172004778,12.30173929
North Umpqua,A11,Ambient,16,0.0181,10.97518928,0.198650926,10.09122864
North Umpqua,A12,Ambient,16,0.0186,10.66060387,0.198287232,9.871673191
North Umpqua,H01,Climate,25,0.0225,12.44978333,0.280120125,12.11336618
North Umpqua,H02,Climate,25,0.0214,9.869948411,0.211216896,9.478902617
North Umpqua,H03,Climate,25,0.0133,10.22867504,0.136041378,8.680733146
North Umpqua,H05,Climate,25,0.0135,10.98106889,0.14824443,9.355499796
North Umpqua,H06,Climate,25,0.0191,10.02252743,0.191430274,9.345047796
North Umpqua,H07,Climate,25,0.0221,11.18615629,0.247214054,10.83324267
North Umpqua,H08,Climate,25,0.0351,9.58954792,0.336593132,10.47402441
North Umpqua,H09,Climate,25,0.0181,10.29897503,0.186411448,9.469477845
North Umpqua,H10,Climate,25,0.0177,8.027383559,0.142084689,7.338083709
North Umpqua,H11,Climate,25,0.0131,10.52651679,0.13789737,8.898377422
North Umpqua,H12,Climate,25,0.0152,10.23287461,0.155539694,8.991094926
North Umpqua,I01,Imd_22,22,0.0421,9.22765019,0.388484073,10.56671673
North Umpqua,I02,Imd_22,22,0.0165,10.62680364,0.17534226,9.538587741
North Umpqua,I03,Imd_22,22,0.0321,13.17953869,0.423063192,14.06459127
North Umpqua,I05,Imd_22,22,0.0342,10.64144094,0.36393728,11.54470458
North Umpqua,I06,Imd_22,22,0.0198,11.75065727,0.232663014,11.05937812
North Umpqua,I07,Imd_22,22,0.0166,7.519801446,0.124828704,6.760363903
North Umpqua,I08,Imd_22,22,0.0133,14.32857271,0.190570017,12.16017867
North Umpqua,I09,Imd_22,22,0.0143,9.774581818,0.13977652,8.453200182
North Umpqua,I10,Imd_22,22,0.0117,12.77190692,0.149431311,10.48382268
North Umpqua,I11,Imd_22,22,0.0098,12.28237714,0.120367296,9.628016062
North Umpqua,I12,Imd_22,22,0.0119,9.015257143,0.10728156,7.432859547
North Umpqua,C01,Imd_19,19,0.0178,10.40141933,0.185145264,9.522202289
North Umpqua,C02,Imd_19,19,0.0178,10.31364809,0.183582936,9.441850229
North Umpqua,C03,Imd_19,19,0.0159,14.21572912,0.226030093,12.63769848
North Umpqua,C05,Imd_19,19,0.0223,12.46315439,0.277928343,12.09825787
North Umpqua,C06,Imd_19,19,0.0127,13.71363654,0.174163184,11.49945346
North Umpqua,C07,Imd_19,19,0.0135,8.720714074,0.11772964,7.429753839
North Umpqua,C08,Imd_19,19,0.0177,11.1803391,0.197892002,10.2202995
North Umpqua,C09,Imd_19,19,0.0133,13.06391827,0.173750113,11.0869089
North Umpqua,C10,Imd_19,19,0.0143,11.32994273,0.162018181,9.798298864
North Umpqua,C11,Imd_19,19,0.0108,12.62622944,0.136363278,10.15078084
North Umpqua,C12,Imd_19,19,0.0118,10.61096814,0.125209424,8.729310268
