"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","ID_code","bw","mo2","ID","resp.V","background_slope"
"min4_10",4,0.989,8.44,0.03623,23.36,23.5,23.42,"Ch1","2022-07-25 15:11:30","SMR",5.98,"_2022_box",0.006,12.5597333333333,"A01",2.086,NA
"min14_20",14,0.984,8.7,0.03177,23.42,23.62,23.53,"Ch1","2022-07-25 15:21:30","SMR",5.98,"_2022_box",0.006,11.0136,"A01",2.086,NA
"min24_30",24,0.987,8.78,0.02202,23.73,23.9,23.82,"Ch1","2022-07-25 15:31:30","SMR",5.97,"_2022_box",0.006,7.6336,"A01",2.086,NA
"min34_40",34,0.982,8.83,0.0174,23.99,24.12,24.06,"Ch1","2022-07-25 15:41:30","SMR",5.97,"_2022_box",0.006,6.032,"A01",2.086,NA
"min54_60",54,0.955,9.24,0.02098,24.12,24.32,24.21,"Ch1","2022-07-25 16:01:30","SMR",5.97,"_2022_box",0.006,7.27306666666667,"A01",2.086,NA
"min64_70",64,0.964,8.97,0.01495,24.19,24.28,24.22,"Ch1","2022-07-25 16:11:31","SMR",5.97,"_2022_box",0.006,5.18266666666667,"A01",2.086,NA
"min74_80",74,0.971,9.03,0.01447,24.2,24.27,24.23,"Ch1","2022-07-25 16:21:31","SMR",5.97,"_2022_box",0.006,5.01626666666667,"A01",2.086,NA
"min84_90",84,0.976,9.21,0.01544,24.2,24.26,24.23,"Ch1","2022-07-25 16:31:30","SMR",5.97999999999999,"_2022_box",0.006,5.35253333333333,"A01",2.086,NA
"min94_100",94,0.97,9.56,0.01741,23.93,24.15,24.04,"Ch1","2022-07-25 16:41:30","SMR",5.97999999999999,"_2022_box",0.006,6.03546666666667,"A01",2.086,NA
"min104_110",104,0.995,10.95,0.0297,23.8,23.9,23.85,"Ch1","2022-07-25 16:51:30","SMR",5.97,"_2022_box",0.006,10.296,"A01",2.086,NA
"min114_120",114,0.982,9.82,0.01767,23.83,23.89,23.86,"Ch1","2022-07-25 17:01:30","SMR",5.97,"_2022_box",0.006,6.1256,"A01",2.086,NA
"min124_130",124,0.978,9.52,0.01365,23.89,23.96,23.93,"Ch1","2022-07-25 17:11:30","SMR",5.95999999999999,"_2022_box",0.006,4.732,"A01",2.086,NA
"min134_140",134,0.981,9.61,0.01353,23.98,24.04,24.01,"Ch1","2022-07-25 17:21:30","SMR",5.95999999999998,"_2022_box",0.006,4.6904,"A01",2.086,NA
"min144_150",144,0.98,9.69,0.01332,24.06,24.11,24.07,"Ch1","2022-07-25 17:31:30","SMR",5.97,"_2022_box",0.006,4.6176,"A01",2.086,NA
"min154_160",154,0.99,11.07,0.0216,24.11,24.2,24.14,"Ch1","2022-07-25 17:41:31","SMR",5.97,"_2022_box",0.006,7.488,"A01",2.086,NA
"min164_170",164,0.985,10.01,0.01469,24.17,24.22,24.2,"Ch1","2022-07-25 17:51:30","SMR",5.98000000000002,"_2022_box",0.006,5.09253333333333,"A01",2.086,NA
"min174_180",174,0.964,9.46,0.01079,24.14,24.25,24.2,"Ch1","2022-07-25 18:01:30","SMR",5.98000000000002,"_2022_box",0.006,3.74053333333333,"A01",2.086,NA
"min184_190",184,0.969,9.63,0.01118,23.93,24.05,23.99,"Ch1","2022-07-25 18:11:30","SMR",5.98000000000002,"_2022_box",0.006,3.87573333333333,"A01",2.086,NA
"min194_200",194,0.979,10.23,0.01345,23.93,23.97,23.95,"Ch1","2022-07-25 18:21:30","SMR",5.97,"_2022_box",0.006,4.66266666666667,"A01",2.086,NA
"min214_220",214,0.977,10.94,0.01581,23.51,23.58,23.54,"Ch1","2022-07-25 18:41:30","SMR",5.97,"_2022_box",0.006,5.4808,"A01",2.086,NA
"min224_230",224,0.985,10.74,0.01451,23.61,23.7,23.66,"Ch1","2022-07-25 18:51:31","SMR",5.97,"_2022_box",0.006,5.03013333333333,"A01",2.086,NA
"min234_240",234,0.985,10.91,0.01475,23.76,23.84,23.8,"Ch1","2022-07-25 19:01:30","SMR",5.98000000000002,"_2022_box",0.006,5.11333333333333,"A01",2.086,NA
"min244_250",244,0.993,13.69,0.02519,23.89,23.96,23.92,"Ch1","2022-07-25 19:11:30","SMR",5.97,"_2022_box",0.006,8.73253333333333,"A01",2.086,NA
"min254_260",254,0.982,11.55,0.01635,24,24.06,24.03,"Ch1","2022-07-25 19:21:30","SMR",5.96000000000001,"_2022_box",0.006,5.668,"A01",2.086,NA
"min264_270",264,0.981,11.34,0.01495,24.09,24.14,24.11,"Ch1","2022-07-25 19:31:30","SMR",5.97000000000003,"_2022_box",0.006,5.18266666666667,"A01",2.086,NA
"min274_280",274,0.989,14.88,0.02746,24.16,24.19,24.17,"Ch1","2022-07-25 19:41:31","SMR",5.96000000000004,"_2022_box",0.006,9.51946666666667,"A01",2.086,NA
"min284_290",284,0.987,16.13,0.03119,24.19,24.22,24.2,"Ch1","2022-07-25 19:51:30","SMR",5.96000000000004,"_2022_box",0.006,10.8125333333333,"A01",2.086,NA
"min294_300",294,0.98,11.38,0.0134,24.21,24.26,24.23,"Ch1","2022-07-25 20:01:31","SMR",5.97000000000003,"_2022_box",0.006,4.64533333333333,"A01",2.086,NA
"min304_310",304,0.975,11.19,0.01238,24.22,24.26,24.24,"Ch1","2022-07-25 20:11:30","SMR",5.98000000000002,"_2022_box",0.006,4.29173333333333,"A01",2.086,NA
"min314_320",314,0.982,11.64,0.01362,24.22,24.26,24.24,"Ch1","2022-07-25 20:21:30","SMR",5.97000000000003,"_2022_box",0.006,4.7216,"A01",2.086,NA
"min324_330",324,0.981,11.5,0.01291,24.2,24.24,24.21,"Ch1","2022-07-25 20:31:30","SMR",5.97000000000003,"_2022_box",0.006,4.47546666666667,"A01",2.086,NA
"min334_340",334,0.958,10.82,0.01057,24.02,24.22,24.12,"Ch1","2022-07-25 20:41:30","SMR",5.97000000000003,"_2022_box",0.006,3.66426666666667,"A01",2.086,NA
"min344_350",344,0.986,13.18,0.01691,23.81,23.95,23.87,"Ch1","2022-07-25 20:51:31","SMR",5.97000000000003,"_2022_box",0.006,5.86213333333333,"A01",2.086,NA
"min354_360",354,0.979,12.07,0.0133,23.77,23.82,23.79,"Ch1","2022-07-25 21:01:30","SMR",5.98000000000002,"_2022_box",0.006,4.61066666666667,"A01",2.086,NA
