"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","O2_min","O2_max","O2_mean","Ch","DateTime_start","type","n_min","ID_code"
"min4_10",4,"0.989","8.44",0.03623,"23.36","23.5","23.42","8.09","8.31","8.19","Ch1","(07/25/22 15:11:30)","SMR","5.98","_2022_box"
"min14_20",14,"0.984","8.7",0.03177,"23.42","23.62","23.53","8.07","8.27","8.16","Ch1","(07/25/22 15:21:30)","SMR","5.98","_2022_box"
"min24_30",24,"0.987","8.78",0.02202,"23.73","23.9","23.82","8.12","8.26","8.19","Ch1","(07/25/22 15:31:30)","SMR","5.97","_2022_box"
"min34_40",34,"0.982","8.83",0.0174,"23.99","24.12","24.06","8.13","8.24","8.18","Ch1","(07/25/22 15:41:30)","SMR","5.97","_2022_box"
"min44_50",44,"0.892","8.61",0.00953,"24.11","24.3","24.18","8.13","8.2","8.16","Ch1","(07/25/22 15:51:30)","SMR","5.95999999999999","_2022_box"
"min54_60",54,"0.955","9.24",0.02098,"24.12","24.32","24.21","7.96","8.11","8.04","Ch1","(07/25/22 16:01:30)","SMR","5.97","_2022_box"
"min64_70",64,"0.964","8.97",0.01495,"24.19","24.28","24.22","7.91","8.01","7.97","Ch1","(07/25/22 16:11:31)","SMR","5.97","_2022_box"
"min74_80",74,"0.971","9.03",0.01447,"24.2","24.27","24.23","7.87","7.96","7.91","Ch1","(07/25/22 16:21:31)","SMR","5.97","_2022_box"
"min84_90",84,"0.976","9.21",0.01544,"24.2","24.26","24.23","7.82","7.92","7.87","Ch1","(07/25/22 16:31:30)","SMR","5.97999999999999","_2022_box"
"min94_100",94,"0.97","9.56",0.01741,"23.93","24.15","24.04","7.81","7.93","7.87","Ch1","(07/25/22 16:41:30)","SMR","5.97999999999999","_2022_box"
"min104_110",104,"0.995","10.95",0.0297,"23.8","23.9","23.85","7.68","7.87","7.78","Ch1","(07/25/22 16:51:30)","SMR","5.97","_2022_box"
"min114_120",114,"0.982","9.82",0.01767,"23.83","23.89","23.86","7.69","7.82","7.75","Ch1","(07/25/22 17:01:30)","SMR","5.97","_2022_box"
"min124_130",124,"0.978","9.52",0.01365,"23.89","23.96","23.93","7.73","7.83","7.78","Ch1","(07/25/22 17:11:30)","SMR","5.95999999999999","_2022_box"
"min134_140",134,"0.981","9.61",0.01353,"23.98","24.04","24.01","7.71","7.8","7.76","Ch1","(07/25/22 17:21:30)","SMR","5.95999999999998","_2022_box"
"min144_150",144,"0.98","9.69",0.01332,"24.06","24.11","24.07","7.69","7.78","7.73","Ch1","(07/25/22 17:31:30)","SMR","5.97","_2022_box"
"min154_160",154,"0.99","11.07",0.0216,"24.11","24.2","24.14","7.61","7.75","7.68","Ch1","(07/25/22 17:41:31)","SMR","5.97","_2022_box"
"min164_170",164,"0.985","10.01",0.01469,"24.17","24.22","24.2","7.52","7.61","7.56","Ch1","(07/25/22 17:51:30)","SMR","5.98000000000002","_2022_box"
"min174_180",174,"0.964","9.46",0.01079,"24.14","24.25","24.2","7.51","7.58","7.55","Ch1","(07/25/22 18:01:30)","SMR","5.98000000000002","_2022_box"
"min184_190",184,"0.969","9.63",0.01118,"23.93","24.05","23.99","7.5","7.58","7.54","Ch1","(07/25/22 18:11:30)","SMR","5.98000000000002","_2022_box"
"min194_200",194,"0.979","10.23",0.01345,"23.93","23.97","23.95","7.54","7.63","7.58","Ch1","(07/25/22 18:21:30)","SMR","5.97","_2022_box"
"min204_210",204,"0.822","8.83",0.00625,"23.73","23.99","23.89","7.51","7.56","7.54","Ch1","(07/25/22 18:31:30)","SMR","5.97","_2022_box"
"min214_220",214,"0.977","10.94",0.01581,"23.51","23.58","23.54","7.46","7.56","7.51","Ch1","(07/25/22 18:41:30)","SMR","5.97","_2022_box"
"min224_230",224,"0.985","10.74",0.01451,"23.61","23.7","23.66","7.4","7.49","7.44","Ch1","(07/25/22 18:51:31)","SMR","5.97","_2022_box"
"min234_240",234,"0.985","10.91",0.01475,"23.76","23.84","23.8","7.37","7.46","7.42","Ch1","(07/25/22 19:01:30)","SMR","5.98000000000002","_2022_box"
"min244_250",244,"0.993","13.69",0.02519,"23.89","23.96","23.92","7.38","7.54","7.47","Ch1","(07/25/22 19:11:30)","SMR","5.97","_2022_box"
"min254_260",254,"0.982","11.55",0.01635,"24","24.06","24.03","7.3","7.41","7.35","Ch1","(07/25/22 19:21:30)","SMR","5.96000000000001","_2022_box"
"min264_270",264,"0.981","11.34",0.01495,"24.09","24.14","24.11","7.3","7.4","7.35","Ch1","(07/25/22 19:31:30)","SMR","5.97000000000003","_2022_box"
"min274_280",274,"0.989","14.88",0.02746,"24.16","24.19","24.17","7.19","7.36","7.27","Ch1","(07/25/22 19:41:31)","SMR","5.96000000000004","_2022_box"
"min284_290",284,"0.987","16.13",0.03119,"24.19","24.22","24.2","7.1","7.28","7.18","Ch1","(07/25/22 19:51:30)","SMR","5.96000000000004","_2022_box"
"min294_300",294,"0.98","11.38",0.0134,"24.21","24.26","24.23","7.35","7.44","7.4","Ch1","(07/25/22 20:01:31)","SMR","5.97000000000003","_2022_box"
"min304_310",304,"0.975","11.19",0.01238,"24.22","24.26","24.24","7.35","7.44","7.39","Ch1","(07/25/22 20:11:30)","SMR","5.98000000000002","_2022_box"
"min314_320",314,"0.982","11.64",0.01362,"24.22","24.26","24.24","7.28","7.37","7.32","Ch1","(07/25/22 20:21:30)","SMR","5.97000000000003","_2022_box"
"min324_330",324,"0.981","11.5",0.01291,"24.2","24.24","24.21","7.23","7.32","7.28","Ch1","(07/25/22 20:31:30)","SMR","5.97000000000003","_2022_box"
"min334_340",334,"0.958","10.82",0.01057,"24.02","24.22","24.12","7.23","7.3","7.26","Ch1","(07/25/22 20:41:30)","SMR","5.97000000000003","_2022_box"
"min344_350",344,"0.986","13.18",0.01691,"23.81","23.95","23.87","7.26","7.36","7.31","Ch1","(07/25/22 20:51:31)","SMR","5.97000000000003","_2022_box"
"min354_360",354,"0.979","12.07",0.0133,"23.77","23.82","23.79","7.29","7.37","7.33","Ch1","(07/25/22 21:01:30)","SMR","5.98000000000002","_2022_box"
"min364_370",364,"0.981","12.23",0.0135,"23.75","23.79","23.77","7.23","7.32","7.27","Ch1","(07/25/22 21:11:30)","SMR","5.98000000000002","_2022_box"
"min374_380",374,"0.968","13.12",0.01543,"23.72","23.77","23.75","7.26","7.36","7.3","Ch1","(07/25/22 21:21:30)","SMR","5.97000000000003","_2022_box"
"min384_390",384,"0.966","11.85",0.01171,"23.7","23.75","23.73","7.28","7.36","7.32","Ch1","(07/25/22 21:31:30)","SMR","5.97000000000003","_2022_box"
"min394_400",394,"0.978","12.68",0.01361,"23.68","23.73","23.71","7.24","7.32","7.28","Ch1","(07/25/22 21:41:30)","SMR","5.96000000000004","_2022_box"
"min404_410",404,"0.976","11.8",0.01097,"23.67","23.72","23.69","7.3","7.38","7.34","Ch1","(07/25/22 21:51:30)","SMR","5.97000000000003","_2022_box"
"min414_420",414,"0.982","12.33",0.01194,"23.65","23.68","23.67","7.31","7.39","7.35","Ch1","(07/25/22 22:01:31)","SMR","5.97000000000003","_2022_box"
"min424_430",424,"0.975","12.04",0.01099,"23.61","23.66","23.64","7.31","7.39","7.35","Ch1","(07/25/22 22:11:30)","SMR","5.98000000000002","_2022_box"
"min434_440",434,"0.982","13.3",0.01373,"23.6","23.63","23.61","7.25","7.35","7.3","Ch1","(07/25/22 22:21:30)","SMR","5.98000000000002","_2022_box"
"min444_450",444,"0.98","12.99",0.01264,"23.57","23.6","23.59","7.3","7.38","7.34","Ch1","(07/25/22 22:31:30)","SMR","5.97000000000003","_2022_box"
"min454_460",454,"0.984","13.55",0.01369,"23.55","23.59","23.57","7.25","7.33","7.29","Ch1","(07/25/22 22:41:30)","SMR","5.96000000000004","_2022_box"
"min464_470",464,"0.981","12.69",0.0116,"23.53","23.57","23.55","7.24","7.31","7.28","Ch1","(07/25/22 22:51:30)","SMR","5.97000000000003","_2022_box"
