treatment,temp,bw,mean_rmr_unscaled,n,population,fish_id
Ambient,18,0.028,0.06489225,12,Piru,P_A02
Ambient,19,0.028,0.06937091,12,Piru,P_A02
Ambient,20,0.028,0.07603152,20,Piru,P_A02
Ambient,21,0.028,0.08240976,3,Piru,P_A02
Ambient,17,0.024,0.05671948,4,Piru,P_A03
Ambient,18,0.024,0.055606929,23,Piru,P_A03
Ambient,19,0.024,0.057770888,19,Piru,P_A03
Ambient,20,0.024,0.061241446,13,Piru,P_A03
Ambient,17,0.037,0.088878495,6,Piru,P_A04
Ambient,18,0.037,0.090170999,23,Piru,P_A04
Ambient,19,0.037,0.086408303,18,Piru,P_A04
Ambient,17,0.04,0.19349496,3,Piru,P_A09
Ambient,18,0.04,0.15112712,27,Piru,P_A09
Ambient,19,0.04,0.113718744,20,Piru,P_A09
Ambient,20,0.04,0.13821516,20,Piru,P_A09
Ambient,21,0.04,0.26675244,10,Piru,P_A09
Ambient,22,0.04,0.22239027,8,Piru,P_A09
Ambient,23,0.04,0.16218192,6,Piru,P_A09
Ambient,17,0.038,0.122794467,3,Piru,P_A11
Ambient,18,0.038,0.109847304,27,Piru,P_A11
Ambient,19,0.038,0.1065317,19,Piru,P_A11
Ambient,20,0.038,0.133942875,4,Piru,P_A11
Ambient,17,0.042,0.105412533,3,Piru,P_A12
Ambient,18,0.042,0.126330478,27,Piru,P_A12
Ambient,19,0.042,0.10646944,19,Piru,P_A12
Ambient,20,0.042,0.098857626,20,Piru,P_A12
Ambient,21,0.042,0.162848805,4,Piru,P_A12
Intermediate,20,0.015,0.071133277,15,Piru,P_H103
Intermediate,21,0.015,0.046011092,37,Piru,P_H103
Intermediate,22,0.015,0.049272788,25,Piru,P_H103
Intermediate,23,0.015,0.091467256,8,Piru,P_H103
Intermediate,24,0.015,0.077063246,14,Piru,P_H103
Intermediate,20,0.014,0.083728948,8,Piru,P_H105
Intermediate,21,0.014,0.054394105,45,Piru,P_H105
