mmr_temp,fish_id,temp,bw,mean_rmr_unscaled,mean_rmr_72,n_rmr,treatment
19,A105,14,0.055,0.096661067,2.19163005,7,ambient
19,A105,15,0.055,0.070540495,1.599389218,6,ambient
19,A105,16,0.055,0.090060248,2.041967382,11,ambient
19,A105,17,0.055,0.08816973,1.999103005,4,ambient
19,A105,18,0.055,0.093544308,2.120962684,5,ambient
19,A105,19,0.055,0.100877316,2.28722653,5,ambient
19,A105,20,0.055,0.11409369,2.586885982,4,ambient
19,A105,21,0.055,0.125167905,2.837975516,4,ambient
19,A105,22,0.055,0.137408093,3.115501552,4,ambient
19,A105,23,0.055,0.164301173,3.725257724,4,ambient
19,A105,24,0.055,0.229282688,5.198606252,4,ambient
19,A105,25,0.055,0.185248298,4.200199186,4,ambient
19,A105,26,0.055,0.221730618,5.027375549,5,ambient
19,A105,27,0.055,0.254869475,5.778744387,20,ambient
19,A106,14,0.0591,0.066421905,1.430029967,5,ambient
19,A106,15,0.0591,0.077580069,1.670259578,8,ambient
19,A106,16,0.0591,0.093641581,2.016055807,10,ambient
19,A106,17,0.0591,0.117761569,2.535346915,6,ambient
19,A106,18,0.0591,0.089224371,1.920955509,5,ambient
19,A106,19,0.0591,0.102975445,2.217009171,5,ambient
19,A106,20,0.0591,0.11064518,2.382134665,4,ambient
19,A106,21,0.0591,0.15372219,3.309560879,4,ambient
19,A106,22,0.0591,0.14769407,3.179778499,4,ambient
19,A106,23,0.0591,0.184942532,3.981719033,4,ambient
19,A106,24,0.0591,0.181007367,3.896996918,4,ambient
19,A106,25,0.0591,0.200534793,4.317412508,4,ambient
19,A106,26,0.0591,0.214897208,4.626628027,6,ambient
19,A106,27,0.0591,0.270746533,5.82903571,20,ambient
19,A109,14,0.0533,0.087276054,2.024082955,12,ambient
19,A109,15,0.0533,0.071042039,1.647588013,16,ambient
19,A109,16,0.0533,0.078346962,1.817001835,11,ambient
19,A109,17,0.0533,0.078036207,1.809794885,6,ambient
19,A109,18,0.0533,0.082228926,1.907031312,5,ambient
