mmr_temp,fish_id,temp,bw,mean_rmr_unscaled,mean_rmr_bw,n_rmr,mean_rmr_72,treatment
16,A01,16,0.0143,0.03261063,2.280463615,10,1.950266835,ambient
16,A01,17,0.0143,0.030176138,2.110219473,17,1.804672974,ambient
16,A01,18,0.0143,0.033656838,2.353625049,15,2.012834954,ambient
16,A01,19,0.0143,0.031051596,2.171440264,13,1.857029379,ambient
16,A01,20,0.0143,0.037547836,2.625722803,12,2.245534665,ambient
16,A01,21,0.0143,0.042576025,2.977344379,8,2.54624365,ambient
16,A010,16,0.0114,0.031266674,2.742690702,12,2.201339316,ambient
16,A010,17,0.0114,0.025348364,2.223540702,15,1.784658972,ambient
16,A010,18,0.0114,0.021652016,1.899299649,12,1.524416511,ambient
16,A010,19,0.0114,0.051305864,4.500514386,9,3.612204341,ambient
16,A010,20,0.0114,0.028417327,2.492747991,11,2.000730214,ambient
16,A02,16,0.0146,0.040345197,2.763369671,10,2.377029568,ambient
16,A02,17,0.0146,0.037832686,2.591279855,17,2.228999217,ambient
16,A02,18,0.0146,0.044908901,3.075952146,15,2.645910635,ambient
16,A02,19,0.0146,0.048178863,3.299922149,13,2.838567928,ambient
16,A02,20,0.0146,0.061917905,4.240952397,12,3.648034988,ambient
16,A02,21,0.0146,0.076407148,5.233366301,7,4.501701878,ambient
16,A03,16,0.0136,0.024251049,1.783165368,10,1.503693466,ambient
16,A03,17,0.0136,0.04695385,3.452488941,15,2.911387333,ambient
16,A03,18,0.0136,0.033306019,2.448972,15,2.065149572,ambient
16,A03,19,0.0136,0.031556457,2.320327721,12,1.95666745,ambient
16,A03,20,0.0136,0.031954242,2.349576618,12,1.981332227,ambient
16,A03,21,0.0136,0.033790106,2.484566636,8,2.095165533,ambient
16,A05,17,0.0097,0.029245879,3.01503909,23,2.312947794,ambient
16,A05,18,0.0097,0.022072901,2.275556753,18,1.745663593,ambient
16,A05,19,0.0097,0.018818674,1.940069484,9,1.488298924,ambient
16,A05,20,0.0097,0.035066057,3.615057449,12,2.773244028,ambient
16,A05,21,0.0097,0.026801792,2.763071359,11,2.119654045,ambient
16,A07,17,0.0203,0.033426123,1.646607051,23,1.553336899,ambient
16,A07,18,0.0203,0.036617302,1.803808,18,1.701633382,ambient
16,A07,19,0.0203,0.040050931,1.972952261,9,1.861196662,ambient
16,A07,20,0.0203,0.045225002,2.227832619,12,2.101639617,ambient
16,A07,21,0.0203,0.046556268,2.293412217,11,2.163504535,ambient
16,A08,17,0.0142,0.03249514,2.288390166,22,1.953204008,ambient
16,A08,18,0.0142,0.038235106,2.692613099,18,2.29821941,ambient
16,A08,19,0.0142,0.038261617,2.694480094,9,2.299812941,ambient
16,A08,20,0.0142,0.036746437,2.587777254,12,2.20873913,ambient
16,A08,21,0.0142,0.043551938,3.0670379,11,2.617801286,ambient
