mmr_temp,fish_id,temp,bw,mean_rmr_unscaled,mean_rmr_bw,n_rmr,mean_rmr_72,treatment
16,A01,15,0.0442,0.071784718,1.624088652,10,1.90504292,ambient
16,A01,16,0.0442,0.075539511,1.709038719,52,2.004688666,ambient
16,A01,17,0.0442,0.078818249,1.783218306,21,2.091700725,ambient
16,A01,18,0.0442,0.087969743,1.990265681,18,2.33456563,ambient
16,A01,19,0.0442,0.115636521,2.616210889,22,3.068794321,ambient
16,A02,15,0.0391,0.061480014,1.57237887,10,1.782146855,ambient
16,A02,16,0.0391,0.071045564,1.817022085,52,2.059427443,ambient
16,A02,17,0.0391,0.109099684,2.790273236,21,3.162518124,ambient
16,A02,18,0.0391,0.083955729,2.147205341,18,2.4336598,ambient
16,A02,19,0.0391,0.115085674,2.943367612,21,3.33603652,ambient
16,A03,15,0.0363,0.053470736,1.473023017,10,1.635159739,ambient
16,A03,16,0.0363,0.056033007,1.543608998,50,1.713515172,ambient
16,A03,17,0.0363,0.058627777,1.615090275,21,1.792864446,ambient
16,A03,18,0.0363,0.076983944,2.120769803,18,2.354204489,ambient
16,A03,19,0.0363,0.071339435,1.965273681,22,2.181592796,ambient
16,A04,15,0.0226,0.041971981,1.857167294,24,1.805419743,ambient
16,A04,16,0.0226,0.034105622,1.50909834,45,1.467049278,ambient
16,A04,17,0.0226,0.039841127,1.762881705,19,1.713761299,ambient
16,A04,18,0.0226,0.072654739,3.214811474,29,3.125234934,ambient
16,A04,19,0.0226,0.045207898,2.000349451,5,1.944612316,ambient
16,A05,15,0.0163,0.029390607,1.803104752,24,1.599595909,ambient
16,A05,16,0.0163,0.031736956,1.9470525,45,1.727296881,ambient
16,A05,17,0.0163,0.038523239,2.363388914,20,2.096643156,ambient
16,A05,18,0.0163,0.038622469,2.369476651,27,2.102043796,ambient
16,A05,19,0.0163,0.036567021,2.243375546,5,1.990175192,ambient
16,A06,15,0.0217,0.056983448,2.625965344,23,2.523913771,ambient
16,A06,16,0.0217,0.055502401,2.557714341,45,2.458315173,ambient
16,A06,17,0.0217,0.070603225,3.25360482,20,3.12716161,ambient
16,A06,18,0.0217,0.070882904,3.266493251,29,3.139549164,ambient
16,A06,19,0.0217,0.052772842,2.431928212,5,2.337417407,ambient
16,A07,15,0.0212,0.028975245,1.366756855,24,1.305094921,ambient
16,A07,16,0.0212,0.029756582,1.403612361,45,1.340287671,ambient
16,A07,17,0.0212,0.053536622,2.52531234,20,2.411381582,ambient
16,A07,18,0.0212,0.051573485,2.432711536,28,2.322958511,ambient
16,A07,19,0.0212,0.048175558,2.272432,5,2.169910068,ambient
16,A08,15,0.0175,0.031079353,1.775963043,23,1.607168365,ambient
16,A08,16,0.0175,0.032285381,1.844878889,45,1.669534171,ambient
16,A08,17,0.0175,0.047527883,2.715879,20,2.457750925,ambient
16,A08,18,0.0175,0.038790558,2.216603333,30,2.005928428,ambient
16,A09,15,0.0159,0.017306203,1.088440435,23,0.958898545,ambient
16,A09,16,0.0159,0.019238573,1.209973171,41,1.065966934,ambient
16,A09,17,0.0159,0.031931861,2.008293158,19,1.769274023,ambient
16,A09,18,0.0159,0.0360726,2.268717,30,1.998703246,ambient
19,1901,18,0.0222,0.060579707,2.728815634,13,2.639549586,intermediate_1
19,1901,19,0.0222,0.063185184,2.846179459,6,2.753074162,intermediate_1
19,1901,20,0.0222,0.07167285,3.228506748,62,3.122894616,intermediate_1
19,1901,21,0.0222,0.082027607,3.694937257,9,3.574067074,intermediate_1
19,1901,22,0.0222,0.095897692,4.319715876,9,4.178407698,intermediate_1
19,1902,18,0.0173,0.066434176,3.840125804,12,3.463978268,intermediate_1
19,1902,19,0.0173,0.065740004,3.800000231,6,3.42778307,intermediate_1
19,1902,20,0.0173,0.060205935,3.480111869,59,3.139228374,intermediate_1
19,1902,21,0.0173,0.10564773,6.106805211,7,5.508632169,intermediate_1
19,1902,22,0.0173,0.076141788,4.401259435,9,3.970147805,intermediate_1
19,1903,18,0.0205,0.100698945,4.912143659,13,4.646639053,intermediate_1
19,1903,19,0.0205,0.090027474,4.391584106,6,4.154216088,intermediate_1
19,1903,20,0.0205,0.088060935,4.295655382,62,4.063472374,intermediate_1
19,1903,21,0.0205,0.078674263,3.837768902,8,3.630334961,intermediate_1
19,1903,22,0.0205,0.200333598,9.772370623,9,9.244167544,intermediate_1
19,1904,18,0.0278,0.048110896,1.73060777,6,1.782822021,intermediate_1
19,1904,19,0.0278,0.050011675,1.798981103,12,1.853258249,intermediate_1
19,1904,20,0.0278,0.061501054,2.212268116,27,2.279014565,intermediate_1
19,1904,21,0.0278,0.058125657,2.090850973,46,2.153934139,intermediate_1
19,1904,22,0.0278,0.109654588,3.94440964,8,4.063416614,intermediate_1
19,1905,18,0.0215,0.043607048,2.028234806,6,1.944365013,intermediate_1
19,1905,19,0.0215,0.052137518,2.425000853,12,2.324724336,intermediate_1
19,1905,20,0.0215,0.059674369,2.775552067,27,2.660779863,intermediate_1
19,1905,21,0.0215,0.066668164,3.100844853,45,2.972621425,intermediate_1
19,1905,22,0.0215,0.089953703,4.183893169,8,4.010884474,intermediate_1
19,1906,18,0.0201,0.046161403,2.296587189,6,2.160501795,intermediate_1
19,1906,19,0.0201,0.050342801,2.504616944,12,2.356204646,intermediate_1
19,1906,20,0.0201,0.059439105,2.957169418,27,2.781940902,intermediate_1
19,1906,21,0.0201,0.060354745,3.002723607,46,2.824795756,intermediate_1
19,1906,22,0.0201,0.065647779,3.266058644,8,3.072526747,intermediate_1
19,1907,18,0.0266,0.057200828,2.15040708,6,2.188085747,intermediate_1
19,1907,19,0.0266,0.06570904,2.470264662,12,2.513547759,intermediate_1
19,1907,20,0.0266,0.071694513,2.695282441,26,2.742508219,intermediate_1
19,1907,21,0.0266,0.067078347,2.521742369,47,2.56592744,intermediate_1
19,1907,22,0.0266,0.096660909,3.633868759,8,3.697540113,intermediate_1
19,1908,18,0.0177,0.057777003,3.264237468,11,2.963405329,intermediate_1
19,1908,19,0.0177,0.064624666,3.651111059,8,3.314624649,intermediate_1
19,1908,20,0.0177,0.069712075,3.938535296,65,3.575559867,intermediate_1
19,1908,21,0.0177,0.090373785,5.105863584,7,4.635307175,intermediate_1
19,1908,22,0.0177,0.121612768,6.870777837,7,6.237566923,intermediate_1
19,1909,18,0.0295,0.115691277,3.921738206,12,4.107764726,intermediate_1
19,1909,19,0.0295,0.075231509,2.550220657,8,2.671189637,intermediate_1
19,1909,20,0.0295,0.102691298,3.481060947,65,3.646184068,intermediate_1
19,1909,21,0.0295,0.083554739,2.832364044,7,2.966716414,intermediate_1
19,1909,22,0.0295,0.090183799,3.057077918,7,3.202089526,intermediate_1
19,1910,18,0.0226,0.044986055,1.990533422,9,1.935069797,intermediate_1
19,1910,19,0.0226,0.042780929,1.892961475,6,1.840216566,intermediate_1
19,1910,20,0.0226,0.069381422,3.069974416,64,2.984433573,intermediate_1
19,1910,21,0.0226,0.049585106,2.194031239,7,2.132897412,intermediate_1
19,1910,22,0.0226,0.054790858,2.424374248,7,2.356822213,intermediate_1
22,2201,20,0.0371,0.101202114,2.727819784,6,3.046612132,intermediate_2
22,2201,21,0.0371,0.111881261,3.015667407,74,3.368099667,intermediate_2
22,2201,22,0.0371,0.135331116,3.647738987,7,4.074039611,intermediate_2
22,2201,23,0.0371,0.131896964,3.555174226,5,3.970657076,intermediate_2
22,2201,24,0.0371,0.133360176,3.594613908,6,4.014705959,intermediate_2
22,2202,20,0.0195,0.082291125,4.220057692,5,3.936451246,intermediate_2
22,2202,21,0.0195,0.076440214,3.92001098,73,3.656568993,intermediate_2
22,2202,22,0.0195,0.099001505,5.077000256,3,4.735803499,intermediate_2
22,2203,20,0.0217,0.066674361,3.072551189,5,2.953144175,intermediate_2
22,2203,21,0.0217,0.087308583,4.023436997,74,3.867076184,intermediate_2
22,2203,22,0.0217,0.079390478,3.658547364,5,3.516367075,intermediate_2
22,2203,23,0.0217,0.076465155,3.523739843,5,3.386798511,intermediate_2
