date	time	time_sec	Ch1_O2	Ch1_temp	Ch2_O2	Ch3_O2	Ch4_O2
7/26/2022	8:43:37	0.306	93.115	19.509	90.101	90.896	89.185
7/27/2022	8:43:38	1.307	93.161	19.511	90.084	90.878	89.199
7/28/2022	8:43:39	2.308	93.291	19.511	90.076	90.878	89.19
7/29/2022	8:43:40	3.307	93.362	19.513	90.068	90.816	89.128
7/30/2022	8:43:41	4.307	93.313	19.514	90.083	90.824	89.167
7/31/2022	8:43:42	5.309	93.403	19.513	90.083	90.84	89.205
8/1/2022	8:43:43	6.31	93.436	19.512	90.1	90.871	89.199
8/2/2022	8:43:44	7.307	93.551	19.51	90.124	90.88	89.2
8/3/2022	8:43:45	8.308	93.495	19.51	90.087	90.897	89.186
8/4/2022	8:43:46	9.307	93.536	19.508	90.125	90.827	89.116
8/5/2022	8:43:47	10.307	93.625	19.509	90.118	90.827	89.179
8/6/2022	8:43:48	11.308	93.674	19.508	90.11	90.789	89.163
8/7/2022	8:43:49	12.308	93.757	19.508	90.097	90.805	89.187
8/8/2022	8:43:50	13.308	93.774	19.506	90.135	90.859	89.164
8/9/2022	8:43:51	14.307	93.822	19.508	90.058	90.837	89.165
8/10/2022	8:43:52	15.307	93.863	19.506	90.058	90.821	89.142
8/11/2022	8:43:53	16.308	93.823	19.506	90.042	90.858	89.217
8/12/2022	8:43:54	17.307	93.888	19.506	90.051	90.752	89.173
8/13/2022	8:43:55	18.307	93.92	19.507	90.073	90.79	89.195
8/14/2022	8:43:56	19.308	93.952	19.506	90.104	90.736	89.165
8/15/2022	8:43:57	20.307	93.985	19.507	90.065	90.828	89.187
8/16/2022	8:43:58	21.307	93.993	19.508	90.042	90.796	89.195
8/17/2022	8:43:59	22.308	94.065	19.508	90.057	90.766	89.163
8/18/2022	8:44:00	23.309	94.059	19.508	90.035	90.783	89.18
8/19/2022	8:44:01	24.31	94.068	19.505	90.006	90.799	89.228
8/20/2022	8:44:02	25.309	94.094	19.505	90.036	90.884	89.219
8/21/2022	8:44:03	26.317	94.102	19.505	89.998	90.752	89.173
8/22/2022	8:44:04	27.31	94.141	19.506	89.974	90.836	89.219
8/23/2022	8:44:05	28.357	94.206	19.507	89.997	90.775	89.219
8/24/2022	8:44:06	29.312	94.221	19.507	90.041	90.75	89.155
8/25/2022	8:44:07	30.312	94.188	19.508	89.987	90.749	89.162
8/26/2022	8:44:08	31.311	94.246	19.509	89.973	90.742	89.194
8/27/2022	8:44:09	32.312	94.205	19.508	89.958	90.79	89.179
8/28/2022	8:44:10	33.312	94.23	19.507	90.036	90.791	89.173
8/29/2022	8:44:11	34.311	94.248	19.504	89.997	90.775	89.18
8/30/2022	8:44:12	35.312	94.264	19.506	90.004	90.713	89.165
8/31/2022	8:44:13	36.313	94.281	19.506	89.989	90.75	89.171
9/1/2022	8:44:14	37.312	94.327	19.508	89.934	90.759	89.148
9/2/2022	8:44:15	38.312	94.313	19.507	89.951	90.743	89.195
9/3/2022	8:44:16	39.312	94.362	19.507	89.974	90.767	89.203
9/4/2022	8:44:17	40.311	94.371	19.505	89.914	90.76	89.227
9/5/2022	8:44:18	41.312	94.388	19.506	89.931	90.746	89.221
9/6/2022	8:44:19	42.314	94.505	19.503	89.954	90.754	89.206
9/7/2022	8:44:20	43.314	94.43	19.503	89.955	90.748	89.176
9/8/2022	8:44:21	44.312	94.391	19.501	89.945	90.73	89.182
9/9/2022	8:44:22	45.313	94.421	19.504	89.883	90.675	89.189
9/10/2022	8:44:23	46.314	94.502	19.505	89.86	90.728	89.157
9/11/2022	8:44:24	47.315	94.362	19.506	89.928	90.698	89.196
9/12/2022	8:44:25	48.314	94.428	19.505	89.867	90.682	89.196
9/13/2022	8:44:26	49.315	94.467	19.507	89.883	90.666	89.125
9/14/2022	8:44:27	50.316	94.485	19.507	89.904	90.68	89.147
9/15/2022	8:44:28	51.316	94.525	19.509	89.904	90.641	89.124
9/16/2022	8:44:29	52.316	94.42	19.508	89.838	90.643	89.165
9/17/2022	8:44:30	53.317	94.453	19.505	89.89	90.651	89.172
9/18/2022	8:44:31	54.316	94.467	19.507	89.896	90.719	89.179
9/19/2022	8:44:32	55.317	94.535	19.507	89.835	90.696	89.148
9/20/2022	8:44:33	56.317	94.508	19.508	89.865	90.664	89.17
9/21/2022	8:44:34	57.317	94.518	19.508	89.82	90.635	89.125
9/22/2022	8:44:35	58.318	94.426	19.507	89.828	90.642	89.155
9/23/2022	8:44:36	59.317	94.453	19.508	89.775	90.652	89.087
9/24/2022	8:44:37	60.318	94.265	19.505	89.792	90.684	89.227
9/25/2022	8:44:38	61.319	94.07	19.503	89.856	90.655	89.138
9/26/2022	8:44:39	62.32	94.088	19.501	89.856	90.58	89.207
9/27/2022	8:44:40	63.321	94.106	19.499	89.804	90.673	89.186
9/28/2022	8:44:41	64.322	93.927	19.498	89.805	90.65	89.194
9/29/2022	8:44:42	65.321	93.438	19.499	89.827	90.68	89.147
9/30/2022	8:44:43	66.321	93.104	19.501	89.787	90.616	89.176
10/1/2022	8:44:44	67.322	92.927	19.502	89.779	90.631	89.16
10/2/2022	8:44:45	68.321	92.764	19.503	89.786	90.614	89.128
10/3/2022	8:44:46	69.322	92.836	19.504	89.757	90.64	89.145
10/4/2022	8:44:47	70.324	92.985	19.5	89.74	90.63	89.136
10/5/2022	8:44:48	71.321	93.128	19.502	89.749	90.647	89.115
10/6/2022	8:44:49	72.322	93.34	19.5	89.712	90.631	89.208
10/7/2022	8:44:50	73.323	93.533	19.501	89.796	90.586	89.192
10/8/2022	8:44:51	74.321	93.689	19.5	89.796	90.678	89.231
10/9/2022	8:44:52	75.322	93.752	19.502	89.77	90.637	89.205
10/10/2022	8:44:53	76.323	93.816	19.504	89.754	90.59	89.135
10/11/2022	8:44:54	77.323	93.905	19.505	89.761	90.645	89.289
10/12/2022	8:44:55	78.324	93.979	19.504	89.756	90.601	89.191
10/13/2022	8:44:56	79.323	94.127	19.501	89.741	90.569	89.199
10/14/2022	8:44:57	80.338	94.168	19.502	89.717	90.661	89.182
10/15/2022	8:44:58	81.325	94.218	19.502	89.626	90.607	89.152
10/16/2022	8:44:59	82.325	94.151	19.503	89.702	90.592	89.229
10/17/2022	8:45:00	83.326	94.243	19.503	89.634	90.563	89.208
10/18/2022	8:45:01	84.325	94.243	19.5	89.728	90.588	89.186
10/19/2022	8:45:02	85.326	93.952	19.498	89.676	90.596	89.279
10/20/2022	8:45:03	86.326	93.901	19.499	89.65	90.548	89.169
10/21/2022	8:45:04	87.325	93.761	19.501	89.672	90.56	89.213
10/22/2022	8:45:05	88.327	93.628	19.504	89.7	90.545	89.12
10/23/2022	8:45:06	89.333	93.582	19.503	89.666	90.547	89.161
10/24/2022	8:45:07	90.325	93.542	19.502	89.674	90.525	89.185
10/25/2022	8:45:08	91.327	93.503	19.5	89.637	90.503	89.194
10/26/2022	8:45:09	92.327	93.463	19.498	89.652	90.549	89.132
