
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-533-209	3	ON External	20.000	OFF	1018	0.000	15%	400x	10	ON fiber length	4.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-536-209	3	ON External	20.000	OFF	1018	0.000	15%	400x	10	ON fiber length	4.00	
Ch 3	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-546-205	3	ON External	20.000	OFF	1018	0.000	15%	400x	10	ON fiber length	4.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-545-205	3	ON External	20.000	OFF	1018	0.000	15%	400x	10	ON fiber length	4.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	20.947	19.297	990	100.000	20.950	53.124	23.485	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	21.376	19.507	990	100.000	20.950	50.959	22.836	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.521	19.698	990	100.000	20.950	52.236	22.869	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.697	20.040	990	100.000	20.950	52.160	22.843	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	
Data	Smoothing:	3	
Date:	7/28/2022	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/28/2022	09:41:20	0.00		8.1004	8.1576	8.3485	8.3811	22.017	22.017	22.017	22.017	989.10	28.454	22.017	---	---	23.807	23.084	22.877	22.840	112.056	92.900	75.578	99.393	4.144	4.347	5.354	35.231	
7/28/2022	09:41:21	1.34		8.0984	8.1595	8.3363	8.3785	22.018	22.018	22.018	22.018	989.13	28.454	22.018	---	---	23.810	23.082	22.893	22.843	112.061	92.787	75.592	99.474	4.077	4.305	5.234	35.295	
7/28/2022	09:41:22	2.41		8.1003	8.1624	8.3407	8.3818	22.019	22.019	22.019	22.019	989.12	28.441	22.019	---	---	23.806	23.077	22.886	22.838	112.052	92.754	75.598	99.536	3.960	4.236	5.374	35.369	
7/28/2022	09:41:23	3.48		8.0980	8.1637	8.3375	8.3855	22.019	22.019	22.019	22.019	989.14	28.401	22.019	---	---	23.810	23.076	22.891	22.833	112.050	93.249	75.600	99.546	3.904	4.273	5.345	35.606	
7/28/2022	09:41:24	4.57		8.0986	8.1613	8.3426	8.3895	22.019	22.019	22.019	22.019	989.13	28.334	22.019	---	---	23.809	23.079	22.884	22.828	112.113	93.277	75.594	99.544	3.937	4.292	5.234	35.702	
7/28/2022	09:41:25	5.63		8.0943	8.1497	8.3427	8.3891	22.020	22.020	22.020	22.020	989.14	28.281	22.020	---	---	23.815	23.094	22.883	22.828	112.156	93.308	75.602	99.518	4.014	4.360	5.043	35.663	
7/28/2022	09:41:26	6.71		8.0893	8.1476	8.3466	8.3944	22.025	22.025	22.025	22.025	989.12	28.255	22.025	---	---	23.821	23.096	22.877	22.819	112.197	93.327	75.599	99.535	4.112	4.379	5.091	35.583	
7/28/2022	09:41:27	7.82		8.0819	8.1501	8.3472	8.3977	22.027	22.027	22.027	22.027	989.11	28.281	22.027	---	---	23.831	23.092	22.875	22.814	112.169	93.386	75.583	99.444	4.059	4.411	5.182	35.384	
7/28/2022	09:41:29	8.94		8.0839	8.1478	8.3498	8.3958	22.028	22.028	22.028	22.028	989.10	28.306	22.028	---	---	23.827	23.095	22.871	22.816	112.152	93.413	75.567	99.473	4.252	4.533	5.250	35.360	
7/28/2022	09:41:30	10.01		8.0877	8.1459	8.3507	8.3849	22.027	22.027	22.027	22.027	989.07	28.332	22.027	---	---	23.822	23.098	22.870	22.831	112.162	93.437	75.556	99.478	4.180	4.497	5.213	35.267	
7/28/2022	09:41:31	11.09		8.0994	8.1412	8.3474	8.3888	22.026	22.026	22.026	22.026	989.06	28.332	22.026	---	---	23.806	23.105	22.875	22.827	112.146	93.457	75.563	99.568	4.257	4.511	5.127	35.268	
7/28/2022	09:41:32	12.20		8.1012	8.1377	8.3420	8.3938	22.024	22.024	22.024	22.024	989.07	28.332	22.024	---	---	23.804	23.110	22.883	22.820	112.149	93.454	75.576	99.513	4.022	4.349	5.078	35.252	
7/28/2022	09:41:33	13.27		8.0935	8.1385	8.3409	8.3957	22.020	22.020	22.020	22.020	989.10	28.332	22.020	---	---	23.816	23.110	22.886	22.819	112.117	93.456	75.595	99.469	3.959	4.356	5.263	35.183	
