
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-208	3	ON External	20.000	OFF	1017	0.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-533-214	3	ON External	20.000	OFF	1017	0.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-213	3	ON External	20.000	OFF	1017	0.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-209	3	ON External	20.000	OFF	1017	0.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	21.236	947	100.000	20.950	52.054	21.814	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	26.966	25.583	947	100.000	20.950	50.591	22.575	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	27.647	26.762	947	100.000	20.950	52.281	22.586	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	27.893	28.049	947	100.000	20.950	52.503	21.028	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	8/8/2022	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/8/2022	22:35:02	0.00		8.3953	8.3282	8.1898	8.4510	18.879	18.879	18.879	18.879	947.47	63.381	18.879	---	---	22.402	23.645	23.978	22.127	276.513	310.474	351.277	274.988	4.747	4.249	4.149	5.129	
8/8/2022	22:35:04	1.09		8.3992	8.3282	8.1910	8.4510	18.878	18.878	18.878	18.878	947.46	63.381	18.878	---	---	22.397	23.645	23.977	22.128	276.408	310.440	351.285	275.036	4.761	4.250	4.168	5.140	
8/8/2022	22:35:05	2.01		8.4020	8.3315	8.1911	8.4514	18.882	18.882	18.882	18.882	947.48	63.381	18.882	---	---	22.392	23.639	23.975	22.126	276.327	310.411	351.292	275.066	4.768	4.245	4.159	5.146	
8/8/2022	22:35:05	3.00		8.4021	8.3316	8.1909	8.4480	18.883	18.883	18.883	18.883	947.47	63.381	18.883	---	---	22.392	23.639	23.975	22.130	276.322	310.391	351.273	275.074	4.757	4.246	4.138	5.157	
8/8/2022	22:35:06	4.00		8.3991	8.3325	8.1893	8.4460	18.884	18.884	18.884	18.884	947.53	63.381	18.884	---	---	22.395	23.637	23.977	22.133	276.338	310.376	351.267	275.071	4.749	4.231	4.130	5.151	
8/8/2022	22:35:07	5.00		8.3989	8.3333	8.1883	8.4455	18.884	18.884	18.884	18.884	947.57	63.381	18.884	---	---	22.396	23.636	23.979	22.133	276.337	310.354	351.271	275.071	4.751	4.231	4.132	5.166	
8/8/2022	22:35:08	6.00		8.4020	8.3364	8.1892	8.4487	18.882	18.882	18.882	18.882	947.59	63.381	18.882	---	---	22.392	23.633	23.978	22.130	276.319	310.342	351.289	275.091	4.749	4.233	4.118	5.182	
8/8/2022	22:35:09	7.00		8.4049	8.3364	8.1911	8.4501	18.881	18.881	18.881	18.881	947.57	63.381	18.881	---	---	22.388	23.633	23.976	22.128	276.314	310.327	351.311	275.101	4.743	4.248	4.106	5.194	
8/8/2022	22:35:10	8.00		8.4052	8.3364	8.1946	8.4499	18.881	18.881	18.881	18.881	947.52	63.381	18.881	---	---	22.388	23.633	23.971	22.128	276.320	310.313	351.293	275.097	4.724	4.261	4.106	5.186	
8/8/2022	22:35:11	9.00		8.4027	8.3339	8.1943	8.4487	18.880	18.880	18.880	18.880	947.54	63.381	18.880	---	---	22.392	23.637	23.971	22.130	276.337	310.304	351.286	275.090	4.734	4.263	4.125	5.151	
8/8/2022	22:35:12	10.00		8.4031	8.3355	8.1926	8.4449	18.878	18.878	18.878	18.878	947.51	63.381	18.878	---	---	22.392	23.635	23.974	22.136	276.340	310.295	351.286	275.090	4.745	4.263	4.132	5.132	
8/8/2022	22:35:13	11.00		8.4016	8.3353	8.1931	8.4451	18.876	18.876	18.876	18.876	947.52	63.381	18.876	---	---	22.394	23.636	23.974	22.136	276.319	310.309	351.320	275.104	4.758	4.248	4.141	5.123	
8/8/2022	22:35:14	12.00		8.4015	8.3364	8.1928	8.4487	18.876	18.876	18.876	18.876	947.49	63.381	18.876	---	---	22.395	23.635	23.975	22.132	276.300	310.320	351.321	275.118	4.772	4.240	4.144	5.126	
