
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-533-209	3	ON External	20.000	OFF	1018	0.000	15%	400x	10	ON fiber length	4.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-536-209	3	ON External	20.000	OFF	1018	0.000	15%	400x	10	ON fiber length	4.00	
Ch 3	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-546-205	3	ON External	20.000	OFF	1018	0.000	15%	400x	10	ON fiber length	4.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XC7-541-209	3	ON External	20.000	OFF	1018	0.000	20%	400x	10	ON fiber length	4.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	19.383	17.825	949	100.000	20.950	53.038	24.346	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	19.661	18.073	949	100.000	20.950	50.995	23.555	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	19.915	18.583	949	100.000	20.950	52.378	22.967	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	21.033	18.988	949	100.000	20.950	52.139	23.671	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	
Data	Smoothing:	3	
Date:	8/8/2022	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/8/2022	22:31:42	0.00		8.5347	8.5478	8.1629	8.3947	18.464	18.464	18.464	18.464	948.15	65.296	18.464	---	---	24.584	23.792	23.798	24.219	119.338	96.008	89.165	62.535	4.978	3.214	3.178	3.773	
8/8/2022	22:31:43	1.39		8.5372	8.5397	8.1593	8.4125	18.465	18.465	18.465	18.465	948.18	65.304	18.465	---	---	24.581	23.802	23.803	24.194	119.350	96.030	89.143	62.500	3.888	3.910	3.171	3.264	
8/8/2022	22:31:44	2.46		8.5307	8.5415	8.1581	8.4144	18.464	18.464	18.464	18.464	948.15	65.304	18.464	---	---	24.590	23.800	23.805	24.192	119.376	96.037	89.145	62.471	4.440	4.015	3.169	3.559	
8/8/2022	22:31:45	3.53		8.5317	8.5398	8.1567	8.4105	18.460	18.460	18.460	18.460	948.17	65.304	18.460	---	---	24.590	23.803	23.808	24.198	119.340	96.037	89.128	62.427	3.524	4.089	3.303	3.292	
8/8/2022	22:31:46	4.65		8.5299	8.5369	8.1665	8.3918	18.459	18.459	18.459	18.459	948.13	65.304	18.459	---	---	24.593	23.808	23.794	24.225	119.342	96.033	89.165	62.469	3.588	3.806	3.248	3.807	
8/8/2022	22:31:48	5.73		8.5372	8.5375	8.1621	8.3973	18.458	18.458	18.458	18.458	948.16	65.304	18.458	---	---	24.583	23.807	23.801	24.217	119.340	96.056	89.128	62.476	4.231	4.508	3.024	3.357	
8/8/2022	22:31:49	6.80		8.5368	8.5379	8.1661	8.3952	18.458	18.458	18.458	18.458	948.14	65.304	18.458	---	---	24.583	23.807	23.795	24.220	119.341	96.054	89.147	62.505	4.889	4.490	2.727	3.637	
8/8/2022	22:31:50	7.91		8.5381	8.5418	8.1673	8.4017	18.459	18.459	18.459	18.459	948.17	65.304	18.459	---	---	24.581	23.801	23.793	24.211	119.344	96.068	89.145	62.525	5.082	4.126	3.237	4.525	
8/8/2022	22:31:51	9.00		8.5357	8.5435	8.1808	8.3962	18.460	18.460	18.460	18.460	948.21	65.317	18.460	---	---	24.584	23.799	23.773	24.218	119.344	96.041	89.183	62.570	4.352	3.476	3.440	5.825	
8/8/2022	22:31:52	10.07		8.5357	8.5429	8.1778	8.3946	18.460	18.460	18.460	18.460	948.18	65.317	18.460	---	---	24.584	23.800	23.778	24.220	119.374	96.085	89.211	62.557	4.337	4.441	4.445	5.323	
8/8/2022	22:31:53	11.18		8.5347	8.5425	8.1720	8.3933	18.458	18.458	18.458	18.458	948.18	65.317	18.458	---	---	24.586	23.801	23.786	24.223	119.392	96.077	89.215	62.537	4.652	4.419	4.084	3.892	
8/8/2022	22:31:54	12.26		8.5321	8.5448	8.1611	8.3881	18.458	18.458	18.458	18.458	948.15	65.314	18.458	---	---	24.590	23.798	23.802	24.230	119.412	96.092	89.225	62.539	4.502	5.054	4.571	3.833	
8/8/2022	22:31:55	13.34		8.5304	8.5398	8.1754	8.3931	18.458	18.458	18.458	18.458	948.16	65.324	18.458	---	---	24.593	23.805	23.782	24.224	119.418	96.054	89.198	62.552	4.549	4.055	3.632	4.326	
