
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-208	3	ON External	20.000	OFF	1017	0.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-533-214	3	ON External	20.000	OFF	1017	0.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-213	3	ON External	20.000	OFF	1017	0.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-209	3	ON External	20.000	OFF	1017	0.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	21.236	947	100.000	20.950	52.054	21.814	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	26.966	25.583	947	100.000	20.950	50.591	22.575	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	27.647	26.762	947	100.000	20.950	52.281	22.586	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	27.893	28.049	947	100.000	20.950	52.503	21.028	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	8/9/2022	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/9/2022	10:31:47	0.00		8.8994	8.8952	8.7217	9.0871	16.720	16.720	16.720	16.720	946.17	75.466	16.720	---	---	22.469	23.629	23.994	22.029	289.054	315.602	356.627	292.671	4.797	4.345	4.849	49.241	
8/9/2022	10:31:48	1.00		8.9038	8.8962	8.7217	9.0837	16.720	16.720	16.720	16.720	946.16	75.466	16.720	---	---	22.463	23.627	23.994	22.034	289.038	315.286	356.695	292.914	4.814	4.325	4.831	50.312	
8/9/2022	10:31:49	2.00		8.9004	8.8983	8.7165	9.0809	16.721	16.721	16.721	16.721	946.16	75.466	16.721	---	---	22.467	23.624	24.001	22.037	289.055	315.208	356.616	293.084	4.823	4.331	4.837	51.327	
8/9/2022	10:31:50	3.00		8.9006	8.9001	8.7162	9.0804	16.719	16.719	16.719	16.719	946.17	75.466	16.719	---	---	22.467	23.623	24.002	22.038	289.063	315.249	356.620	293.561	4.825	4.346	4.844	50.288	
8/9/2022	10:31:51	4.00		8.8993	8.9006	8.7150	9.0790	16.718	16.718	16.718	16.718	946.20	75.466	16.718	---	---	22.469	23.622	24.004	22.040	289.060	315.426	356.551	293.329	4.841	4.365	4.842	48.868	
8/9/2022	10:31:52	5.00		8.9012	8.9001	8.7185	9.0772	16.717	16.717	16.717	16.717	946.25	75.466	16.717	---	---	22.467	23.623	24.000	22.043	289.046	315.440	356.674	293.287	4.849	4.364	4.836	47.231	
8/9/2022	10:31:53	6.00		8.8975	8.8988	8.7159	9.0752	16.717	16.717	16.717	16.717	946.27	75.466	16.717	---	---	22.472	23.625	24.003	22.046	289.046	315.436	356.425	292.854	4.867	4.342	4.825	47.247	
8/9/2022	10:31:54	7.00		8.8988	8.8970	8.7122	9.0741	16.718	16.718	16.718	16.718	946.25	75.466	16.718	---	---	22.470	23.627	24.008	22.047	289.038	315.481	356.239	292.804	4.861	4.328	4.797	47.933	
8/9/2022	10:31:55	8.00		8.8991	8.8962	8.7109	9.0746	16.720	16.720	16.720	16.720	946.23	75.466	16.720	---	---	22.469	23.627	24.009	22.045	289.024	315.516	356.085	292.761	4.861	4.299	4.788	48.718	
8/9/2022	10:31:56	9.00		8.8991	8.8972	8.7104	9.0746	16.720	16.720	16.720	16.720	946.21	75.466	16.720	---	---	22.469	23.626	24.009	22.045	289.016	315.526	356.205	292.676	4.847	4.310	4.803	49.766	
8/9/2022	10:31:57	10.00		8.8967	8.8970	8.7112	9.0743	16.719	16.719	16.719	16.719	946.22	75.466	16.719	---	---	22.472	23.627	24.009	22.046	289.046	315.520	356.288	292.632	4.853	4.328	4.853	50.566	
8/9/2022	10:31:58	11.00		8.8960	8.8981	8.7098	9.0686	16.720	16.720	16.720	16.720	946.19	75.481	16.720	---	---	22.473	23.625	24.010	22.053	289.051	315.518	356.336	292.578	4.865	4.347	4.886	51.626	
8/9/2022	10:31:59	12.00		8.8955	8.8997	8.7098	9.0691	16.720	16.720	16.720	16.720	946.17	75.481	16.720	---	---	22.474	23.623	24.010	22.052	289.059	315.564	356.366	292.549	4.853	4.365	4.901	51.805	
