
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-533-209	3	ON External	20.000	OFF	1018	0.000	15%	400x	10	ON fiber length	4.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-536-209	3	ON External	20.000	OFF	1018	0.000	15%	400x	10	ON fiber length	4.00	
Ch 3	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-546-205	3	ON External	20.000	OFF	1018	0.000	15%	400x	10	ON fiber length	4.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XC7-541-209	3	ON External	20.000	OFF	1018	0.000	20%	400x	10	ON fiber length	4.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	19.383	17.825	949	100.000	20.950	53.038	24.346	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	19.661	18.073	949	100.000	20.950	50.995	23.555	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	19.915	18.583	949	100.000	20.950	52.378	22.967	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	21.033	18.988	949	100.000	20.950	52.139	23.671	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	
Data	Smoothing:	3	
Date:	8/9/2022	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/9/2022	10:15:28	0.00		8.7946	8.8110	8.8365	8.9717	16.214	16.214	16.214	16.214	946.79	76.969	16.214	---	---	25.034	24.220	23.660	24.232	123.280	99.421	83.792	61.261	5.662	2.529	3.140	10.545	
8/9/2022	10:15:29	1.26		8.7916	8.8001	8.8427	8.9857	16.214	16.214	16.214	16.214	946.82	76.969	16.214	---	---	25.038	24.234	23.652	24.214	123.270	99.447	83.798	61.531	5.585	2.279	2.651	11.368	
8/9/2022	10:15:30	2.35		8.7943	8.8109	8.8361	8.9847	16.215	16.215	16.215	16.215	946.81	76.969	16.215	---	---	25.034	24.219	23.660	24.215	123.274	99.490	83.784	61.679	4.362	3.008	3.363	9.953	
8/9/2022	10:15:31	3.44		8.7980	8.8085	8.8443	8.9706	16.215	16.215	16.215	16.215	946.82	76.969	16.215	---	---	25.029	24.223	23.649	24.233	123.285	99.474	83.763	61.672	3.237	3.055	2.953	8.843	
8/9/2022	10:15:32	4.53		8.7896	8.8036	8.8352	8.9799	16.215	16.215	16.215	16.215	946.82	76.969	16.215	---	---	25.040	24.229	23.661	24.221	123.286	99.463	83.750	61.610	2.784	2.966	2.814	7.483	
8/9/2022	10:15:33	5.68		8.7831	8.7917	8.8329	8.9758	16.213	16.213	16.213	16.213	946.84	76.969	16.213	---	---	25.049	24.246	23.665	24.227	123.296	99.427	83.775	61.622	2.516	2.192	2.636	8.031	
8/9/2022	10:15:34	6.87		8.7836	8.7942	8.8235	8.9766	16.213	16.213	16.213	16.213	946.84	76.969	16.213	---	---	25.049	24.242	23.677	24.226	123.288	99.466	83.787	61.629	3.332	3.358	3.370	8.194	
8/9/2022	10:15:36	7.95		8.7873	8.7955	8.8182	8.9628	16.213	16.213	16.213	16.213	946.81	76.969	16.213	---	---	25.044	24.241	23.684	24.244	123.286	99.481	83.798	61.712	2.648	3.733	4.416	9.152	
8/9/2022	10:15:37	9.02		8.8040	8.7956	8.8213	8.9676	16.214	16.214	16.214	16.214	946.79	76.969	16.214	---	---	25.021	24.240	23.680	24.238	123.284	99.491	83.798	61.727	3.562	4.149	4.166	8.494	
8/9/2022	10:15:38	10.12		8.8012	8.7960	8.8187	8.9694	16.216	16.216	16.216	16.216	946.79	76.969	16.216	---	---	25.024	24.239	23.683	24.234	123.280	99.479	83.854	61.736	2.934	3.430	4.781	9.602	
8/9/2022	10:15:39	11.19		8.8054	8.8009	8.8269	8.9715	16.216	16.216	16.216	16.216	946.75	76.969	16.216	---	---	25.018	24.232	23.672	24.232	123.303	99.488	83.861	61.755	3.194	3.480	4.410	10.714	
8/9/2022	10:15:40	12.27		8.8007	8.8010	8.8040	8.9610	16.217	16.217	16.217	16.217	946.75	76.969	16.217	---	---	25.024	24.232	23.702	24.245	123.302	99.498	83.894	61.748	2.164	3.457	5.000	12.018	
8/9/2022	10:15:41	13.35		8.7970	8.7883	8.7982	8.9574	16.217	16.217	16.217	16.217	946.75	76.969	16.217	---	---	25.029	24.248	23.709	24.250	123.312	99.521	83.866	61.757	2.849	4.275	4.528	10.905	
8/9/2022	10:15:42	14.42		8.7983	8.7903	8.7832	8.9599	16.219	16.219	16.219	16.219	946.79	76.969	16.219	---	---	25.026	24.245	23.728	24.246	123.306	99.515	83.919	61.704	2.840	4.139	5.126	10.049	
8/9/2022	10:15:43	15.49		8.7959	8.7949	8.7911	8.9623	16.218	16.218	16.218	16.218	946.78	76.969	16.218	---	---	25.030	24.239	23.718	24.243	123.318	99.508	83.906	61.710	3.431	3.334	4.819	9.639	
8/9/2022	10:15:44	16.61		8.7955	8.8008	8.7983	8.9635	16.215	16.215	16.215	16.215	946.78	76.969	16.215	---	---	25.032	24.233	23.710	24.242	123.318	99.509	83.943	61.753	2.649	2.580	4.957	10.726	
8/9/2022	10:15:45	17.69		8.7937	8.8008	8.8031	8.9720	16.213	16.213	16.213	16.213	946.78	76.969	16.213	---	---	25.035	24.233	23.704	24.232	123.309	99.532	83.945	61.789	3.451	3.764	4.944	11.693	
8/9/2022	10:15:46	18.77		8.7947	8.7916	8.7905	8.9688	16.214	16.214	16.214	16.214	946.81	76.969	16.214	---	---	25.033	24.245	23.721	24.236	123.328	99.577	83.981	61.828	4.377	5.286	5.636	12.946	
8/9/2022	10:15:47	19.88		8.7988	8.7842	8.7892	8.9591	16.217	16.217	16.217	16.217	946.79	76.969	16.217	---	---	25.027	24.254	23.721	24.248	123.372	99.590	83.972	61.804	5.909	5.983	5.175	12.153	
