
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-533-209	3	ON External	20.000	OFF	1018	0.000	15%	400x	10	ON fiber length	4.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-536-209	3	ON External	20.000	OFF	1018	0.000	15%	400x	10	ON fiber length	4.00	
Ch 3	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-546-205	3	ON External	20.000	OFF	1018	0.000	15%	400x	10	ON fiber length	4.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XC7-541-209	3	ON External	20.000	OFF	1018	0.000	20%	400x	10	ON fiber length	4.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	19.383	17.825	949	100.000	20.950	53.038	24.346	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	19.661	18.073	949	100.000	20.950	50.995	23.555	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	19.915	18.583	949	100.000	20.950	52.378	22.967	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	21.033	18.988	949	100.000	20.950	52.139	23.671	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	
Data	Smoothing:	3	
Date:	8/9/2022	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/9/2022	10:27:24	0.00		8.8123	8.8355	8.5254	8.6793	16.338	16.338	16.338	16.338	946.48	76.481	16.338	---	---	24.964	24.144	24.035	24.577	121.747	98.020	84.384	62.809	5.224	4.979	3.949	10.709	
8/9/2022	10:27:25	1.50		8.8099	8.8432	8.5259	8.6878	16.336	16.336	16.336	16.336	946.48	76.474	16.336	---	---	24.968	24.135	24.035	24.566	121.710	98.014	84.452	62.819	2.910	3.535	2.983	11.114	
8/9/2022	10:27:26	2.57		8.8123	8.8515	8.5248	8.6800	16.340	16.340	16.340	16.340	946.50	76.474	16.340	---	---	24.963	24.123	24.036	24.575	121.714	98.028	84.456	62.815	3.452	3.311	2.493	11.437	
8/9/2022	10:27:27	3.67		8.8061	8.8499	8.5293	8.6698	16.341	16.341	16.341	16.341	946.52	76.466	16.341	---	---	24.972	24.125	24.029	24.589	121.714	98.012	84.461	62.790	3.340	3.298	2.865	9.465	
8/9/2022	10:27:28	4.76		8.8082	8.8447	8.5278	8.6568	16.341	16.341	16.341	16.341	946.54	76.466	16.341	---	---	24.969	24.132	24.031	24.606	121.763	98.022	84.407	62.767	5.225	4.649	2.399	9.360	
8/9/2022	10:27:30	5.95		8.8127	8.8388	8.5342	8.6668	16.338	16.338	16.338	16.338	946.52	76.466	16.338	---	---	24.963	24.140	24.023	24.594	121.708	97.997	84.414	62.755	4.742	4.677	2.949	11.227	
8/9/2022	10:27:31	7.03		8.8208	8.8444	8.5425	8.6713	16.335	16.335	16.335	16.335	946.49	76.466	16.335	---	---	24.953	24.134	24.013	24.588	121.663	97.983	84.407	62.798	4.191	3.941	3.408	12.329	
8/9/2022	10:27:32	8.10		8.8217	8.8459	8.5506	8.6730	16.336	16.336	16.336	16.336	946.48	76.466	16.336	---	---	24.952	24.131	24.001	24.586	121.617	97.961	84.379	62.792	3.298	2.953	3.400	12.709	
8/9/2022	10:27:33	9.29		8.8242	8.8524	8.5517	8.6780	16.338	16.338	16.338	16.338	946.48	76.466	16.338	---	---	24.948	24.122	23.999	24.578	121.619	97.933	84.276	62.731	4.968	3.996	4.402	10.857	
8/9/2022	10:27:34	10.37		8.8298	8.8598	8.5542	8.7031	16.340	16.340	16.340	16.340	946.53	76.466	16.340	---	---	24.939	24.112	23.995	24.544	121.628	97.919	84.227	62.725	6.886	5.698	4.979	12.744	
8/9/2022	10:27:35	11.50		8.8353	8.8618	8.5650	8.7264	16.340	16.340	16.340	16.340	946.52	76.466	16.340	---	---	24.932	24.110	23.980	24.513	121.555	97.910	84.200	62.709	6.178	5.641	5.547	12.669	
8/9/2022	10:27:36	12.57		8.8406	8.8680	8.5768	8.7211	16.340	16.340	16.340	16.340	946.54	76.466	16.340	---	---	24.925	24.102	23.964	24.520	121.465	97.865	84.177	62.735	3.890	4.420	4.377	14.046	
8/9/2022	10:27:37	13.64		8.8410	8.8741	8.5896	8.7178	16.340	16.340	16.340	16.340	946.56	76.466	16.340	---	---	24.925	24.094	23.947	24.524	121.412	97.829	84.134	62.693	3.029	3.502	3.170	13.063	
8/9/2022	10:27:38	14.76		8.8412	8.8842	8.5908	8.7170	16.337	16.337	16.337	16.337	946.57	76.466	16.337	---	---	24.925	24.081	23.946	24.526	121.387	97.742	84.071	62.623	4.688	3.514	2.507	13.036	
8/9/2022	10:27:40	15.83		8.8476	8.8927	8.5928	8.7319	16.336	16.336	16.336	16.336	946.55	76.466	16.336	---	---	24.917	24.070	23.944	24.506	121.361	97.720	84.053	62.614	5.357	4.350	2.417	12.632	
8/9/2022	10:27:41	16.92		8.8549	8.9011	8.5859	8.7239	16.336	16.336	16.336	16.336	946.53	76.466	16.336	---	---	24.907	24.060	23.953	24.517	121.316	97.694	84.016	62.584	4.857	4.354	2.440	13.769	
8/9/2022	10:27:42	18.02		8.8638	8.9137	8.5968	8.7243	16.339	16.339	16.339	16.339	946.50	76.466	16.339	---	---	24.894	24.043	23.937	24.515	121.255	97.686	84.029	62.596	3.228	4.157	3.322	13.790	
8/9/2022	10:27:43	19.14		8.8686	8.9171	8.6019	8.7310	16.338	16.338	16.338	16.338	946.50	76.466	16.338	---	---	24.888	24.039	23.931	24.507	121.245	97.672	83.998	62.566	3.456	3.463	3.095	13.816	
8/9/2022	10:27:44	20.22		8.8730	8.9151	8.6113	8.7371	16.340	16.340	16.340	16.340	946.53	76.466	16.340	---	---	24.881	24.041	23.917	24.498	121.158	97.608	83.960	62.562	3.028	3.274	3.088	13.394	
8/9/2022	10:27:45	21.30		8.8762	8.9105	8.6155	8.7323	16.338	16.338	16.338	16.338	946.56	76.466	16.338	---	---	24.878	24.047	23.912	24.505	121.163	97.603	83.915	62.505	3.496	4.070	3.872	13.693	
8/9/2022	10:27:46	22.37		8.8741	8.9134	8.6249	8.7395	16.339	16.339	16.339	16.339	946.56	76.466	16.339	---	---	24.880	24.043	23.899	24.495	121.133	97.582	83.892	62.524	2.965	4.840	4.225	15.823	
8/9/2022	10:27:47	23.46		8.8813	8.9262	8.6282	8.7453	16.340	16.340	16.340	16.340	946.54	76.466	16.340	---	---	24.870	24.026	23.894	24.487	121.101	97.550	83.859	62.451	3.771	4.915	4.491	15.280	
8/9/2022	10:27:48	24.54		8.8830	8.9353	8.6288	8.7676	16.342	16.342	16.342	16.342	946.53	76.466	16.342	---	---	24.867	24.013	23.892	24.456	121.052	97.471	83.845	62.472	3.787	4.404	3.768	16.283	
8/9/2022	10:27:49	25.65		8.8943	8.9485	8.6325	8.7508	16.343	16.343	16.343	16.343	946.54	76.466	16.343	---	---	24.851	23.996	23.887	24.478	120.988	97.452	83.826	62.407	3.575	5.095	5.268	16.206	
8/9/2022	10:27:50	26.73		8.9035	8.9444	8.6352	8.7691	16.343	16.343	16.343	16.343	946.51	76.466	16.343	---	---	24.839	24.002	23.883	24.454	120.942	97.424	83.798	62.429	2.675	4.769	5.332	16.715	
8/9/2022	10:27:52	27.80		8.9133	8.9509	8.6379	8.7578	16.344	16.344	16.344	16.344	946.50	76.466	16.344	---	---	24.825	23.993	23.879	24.469	120.858	97.374	83.737	62.412	1.858	3.853	5.073	16.289	
8/9/2022	10:27:53	28.91		8.9091	8.9438	8.6489	8.7922	16.343	16.343	16.343	16.343	946.52	76.466	16.343	---	---	24.831	24.003	23.865	24.423	120.811	97.345	83.693	62.406	2.365	3.144	3.822	15.783	
8/9/2022	10:27:54	29.98		8.9096	8.9573	8.6492	8.7834	16.342	16.342	16.342	16.342	946.54	76.466	16.342	---	---	24.831	23.986	23.865	24.435	120.815	97.353	83.651	62.359	4.255	4.505	4.890	15.000	
8/9/2022	10:27:55	31.07		8.9169	8.9639	8.6551	8.8049	16.341	16.341	16.341	16.341	946.55	76.466	16.341	---	---	24.822	23.978	23.857	24.407	120.825	97.345	83.675	62.389	4.496	4.676	5.628	16.750	
8/9/2022	10:27:56	32.17		8.9336	8.9863	8.6515	8.7917	16.342	16.342	16.342	16.342	946.55	76.448	16.342	---	---	24.799	23.948	23.862	24.424	120.821	97.292	83.654	62.380	4.713	4.744	5.173	16.089	
8/9/2022	10:27:57	33.26		8.9395	8.9843	8.6688	8.8036	16.341	16.341	16.341	16.341	946.52	76.430	16.341	---	---	24.792	23.952	23.839	24.409	120.764	97.266	83.664	62.385	2.953	3.810	3.773	16.404	
8/9/2022	10:27:58	34.39		8.9399	8.9790	8.6770	8.7982	16.341	16.341	16.341	16.341	946.51	76.412	16.341	---	---	24.791	23.958	23.828	24.416	120.732	97.283	83.636	62.373	3.543	5.239	4.308	16.341	
8/9/2022	10:27:59	35.47		8.9415	8.9751	8.6876	8.8050	16.339	16.339	16.339	16.339	946.48	76.412	16.339	---	---	24.789	23.964	23.814	24.408	120.670	97.249	83.582	62.310	4.081	4.917	4.230	15.595	
8/9/2022	10:28:00	36.54		8.9453	8.9764	8.6842	8.8064	16.342	16.342	16.342	16.342	946.46	76.412	16.342	---	---	24.783	23.961	23.818	24.405	120.669	97.227	83.567	62.296	4.188	4.892	4.165	15.060	
8/9/2022	10:28:01	37.65		8.9512	8.9796	8.6784	8.8147	16.343	16.343	16.343	16.343	946.46	76.412	16.343	---	---	24.775	23.957	23.825	24.393	120.657	97.216	83.545	62.266	4.373	4.634	3.815	15.080	
8/9/2022	10:28:02	38.73		8.9499	8.9823	8.6800	8.8183	16.343	16.343	16.343	16.343	946.48	76.412	16.343	---	---	24.777	23.953	23.823	24.388	120.668	97.202	83.562	62.334	3.971	4.736	4.293	17.290	
8/9/2022	10:28:04	39.80		8.9489	8.9897	8.6846	8.8187	16.342	16.342	16.342	16.342	946.52	76.412	16.342	---	---	24.778	23.944	23.817	24.388	120.651	97.194	83.512	62.272	4.673	5.768	5.176	17.220	
8/9/2022	10:28:05	40.91		8.9557	8.9919	8.6943	8.8256	16.341	16.341	16.341	16.341	946.53	76.412	16.341	---	---	24.770	23.942	23.805	24.379	120.639	97.171	83.505	62.247	4.889	6.160	5.495	16.149	
8/9/2022	10:28:06	41.98		8.9607	8.9937	8.6921	8.8266	16.341	16.341	16.341	16.341	946.55	76.412	16.341	---	---	24.763	23.940	23.808	24.378	120.626	97.157	83.453	62.145	6.024	7.012	4.862	13.806	
8/9/2022	10:28:07	43.06		8.9682	8.9967	8.6970	8.8381	16.342	16.342	16.342	16.342	946.55	76.412	16.342	---	---	24.753	23.936	23.800	24.362	120.573	97.087	83.435	62.180	4.922	5.162	3.944	13.661	
8/9/2022	10:28:08	44.16		8.9607	9.0110	8.7030	8.8286	16.343	16.343	16.343	16.343	946.57	76.412	16.343	---	---	24.762	23.917	23.792	24.374	120.511	97.058	83.409	62.179	4.648	3.567	2.182	14.401	
8/9/2022	10:28:09	45.24		8.9610	9.0141	8.7123	8.8300	16.343	16.343	16.343	16.343	946.56	76.412	16.343	---	---	24.762	23.913	23.779	24.372	120.424	97.036	83.453	62.188	2.507	2.194	3.044	15.391	
8/9/2022	10:28:10	46.32		8.9578	9.0210	8.7129	8.8227	16.342	16.342	16.342	16.342	946.53	76.412	16.342	---	---	24.766	23.904	23.779	24.382	120.441	97.077	83.460	62.146	4.551	3.673	4.822	15.640	
8/9/2022	10:28:11	47.41		8.9671	9.0185	8.7130	8.8330	16.340	16.340	16.340	16.340	946.51	76.412	16.340	---	---	24.755	23.908	23.779	24.370	120.428	97.072	83.449	62.116	4.459	4.397	4.986	15.107	
8/9/2022	10:28:12	48.51		8.9648	9.0183	8.7172	8.8293	16.340	16.340	16.340	16.340	946.51	76.412	16.340	---	---	24.758	23.909	23.774	24.375	120.438	97.093	83.421	62.137	4.979	5.156	4.329	15.664	
8/9/2022	10:28:13	49.57		8.9701	9.0191	8.7202	8.8318	16.340	16.340	16.340	16.340	946.54	76.412	16.340	---	---	24.751	23.908	23.770	24.372	120.408	97.019	83.400	62.144	4.921	3.884	2.494	16.025	
