date	time_sec	time_sec	Ch1_O2	Ch1_temp	Ch2_O2	Ch3_O2	Ch4_O2
8/10/2022	31:34.4	0.378	7.701	25.078	7.696	7.493	8.087
8/10/2022	31:35.4	1.376	7.703	25.076	7.701	7.487	8.087
8/10/2022	31:36.4	2.379	7.707	25.078	7.689	7.493	8.084
8/10/2022	31:37.4	3.376	7.706	25.078	7.698	7.494	8.085
8/10/2022	31:38.4	4.377	7.708	25.078	7.696	7.49	8.085
8/10/2022	31:39.4	5.379	7.706	25.078	7.698	7.488	8.087
8/10/2022	31:40.4	6.378	7.709	25.078	7.704	7.492	8.087
8/10/2022	31:41.4	7.379	7.708	25.077	7.706	7.486	8.088
8/10/2022	31:42.4	8.379	7.713	25.076	7.708	7.488	8.085
8/10/2022	31:43.4	9.38	7.712	25.077	7.711	7.489	8.087
8/10/2022	31:44.4	10.378	7.715	25.076	7.713	7.495	8.09
8/10/2022	31:45.4	11.379	7.72	25.074	7.715	7.489	8.09
8/10/2022	31:46.4	12.38	7.722	25.073	7.721	7.494	8.091
8/10/2022	31:47.4	13.382	7.718	25.073	7.724	7.497	8.087
8/10/2022	31:48.4	14.381	7.726	25.075	7.723	7.495	8.086
8/10/2022	31:49.4	15.381	7.735	25.075	7.726	7.503	8.091
8/10/2022	31:50.4	16.397	7.736	25.077	7.729	7.498	8.09
8/10/2022	31:51.4	17.383	7.743	25.078	7.736	7.508	8.082
8/10/2022	31:52.4	18.388	7.744	25.077	7.732	7.5	8.084
8/10/2022	31:53.4	19.383	7.749	25.073	7.744	7.502	8.091
8/10/2022	31:54.4	20.385	7.758	25.07	7.748	7.507	8.088
8/10/2022	31:55.4	21.384	7.76	25.069	7.746	7.511	8.086
8/10/2022	31:56.4	22.383	7.762	25.068	7.751	7.512	8.09
8/10/2022	31:57.4	23.385	7.764	25.069	7.752	7.515	8.091
8/10/2022	31:58.4	24.384	7.771	25.068	7.747	7.517	8.088
8/10/2022	31:59.4	25.385	7.774	25.066	7.76	7.519	8.085
8/10/2022	32:00.4	26.385	7.778	25.063	7.761	7.521	8.088
8/10/2022	32:01.4	27.387	7.775	25.062	7.764	7.521	8.09
8/10/2022	32:02.4	28.388	7.78	25.064	7.765	7.523	8.081
8/10/2022	32:03.4	29.389	7.788	25.069	7.764	7.525	8.092
8/10/2022	32:04.4	30.388	7.791	25.07	7.772	7.521	8.084
8/10/2022	32:05.4	31.393	7.787	25.072	7.769	7.529	8.088
8/10/2022	32:06.4	32.389	7.79	25.072	7.772	7.525	8.087
8/10/2022	32:07.4	33.39	7.794	25.075	7.774	7.53	8.08
8/10/2022	32:08.4	34.399	7.798	25.075	7.777	7.527	8.093
8/10/2022	32:09.4	35.391	7.799	25.073	7.783	7.534	8.084
8/10/2022	32:10.4	36.392	7.802	25.075	7.787	7.534	8.087
8/10/2022	32:11.4	37.397	7.801	25.077	7.789	7.535	8.086
8/10/2022	32:12.4	38.391	7.806	25.078	7.785	7.526	8.084
8/10/2022	32:13.4	39.392	7.808	25.078	7.794	7.532	8.083
8/10/2022	32:14.4	40.391	7.814	25.078	7.792	7.532	8.086
8/10/2022	32:15.4	41.392	7.814	25.08	7.792	7.535	8.087
8/10/2022	32:16.4	42.394	7.811	25.08	7.803	7.53	8.084
8/10/2022	32:17.4	43.392	7.81	25.079	7.798	7.537	8.083
8/10/2022	32:18.4	44.391	7.821	25.08	7.8	7.539	8.084
8/10/2022	32:19.4	45.393	7.823	25.078	7.797	7.54	8.085
8/10/2022	32:20.4	46.391	7.821	25.078	7.798	7.538	8.083
8/10/2022	32:21.4	47.392	7.827	25.078	7.805	7.548	8.087
8/10/2022	32:22.4	48.393	7.826	25.076	7.807	7.544	8.081
8/10/2022	32:23.4	49.393	7.828	25.073	7.804	7.545	8.088
8/10/2022	32:24.4	50.393	7.834	25.072	7.807	7.545	8.086
8/10/2022	32:25.4	51.4	7.839	25.071	7.81	7.55	8.08
8/10/2022	32:26.4	52.393	7.839	25.073	7.807	7.548	8.084
8/10/2022	32:27.4	53.393	7.835	25.075	7.809	7.546	8.084
8/10/2022	32:28.4	54.392	7.836	25.078	7.814	7.547	8.087
8/10/2022	32:29.4	55.393	7.837	25.078	7.814	7.555	8.085
