
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-208	3	ON External	20.000	OFF	1017	0.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-533-214	3	ON External	20.000	OFF	1017	0.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-213	3	ON External	20.000	OFF	1017	0.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-209	3	ON External	20.000	OFF	1017	0.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	21.236	947	100.000	20.950	52.054	21.814	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	26.966	25.583	947	100.000	20.950	50.591	22.575	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	27.647	26.762	947	100.000	20.950	52.281	22.586	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	27.893	28.049	947	100.000	20.950	52.503	21.028	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	8/10/2022	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/10/2022	10:47:28	0.00		7.6412	7.4719	7.2337	7.1461	25.208	25.208	25.208	25.208	950.55	61.832	25.208	---	---	21.489	22.887	23.382	22.048	274.095	303.813	337.633	297.067	4.827	4.422	5.122	25.937	
8/10/2022	10:47:30	1.04		7.6407	7.4703	7.2284	7.1445	25.212	25.212	25.212	25.212	950.53	61.832	25.212	---	---	21.489	22.889	23.389	22.049	274.103	303.829	337.665	297.148	4.861	4.402	5.097	25.892	
8/10/2022	10:47:30	2.00		7.6387	7.4690	7.2281	7.1424	25.213	25.213	25.213	25.213	950.54	61.832	25.213	---	---	21.491	22.890	23.390	22.052	274.130	303.861	337.717	297.200	4.840	4.402	5.128	25.930	
8/10/2022	10:47:31	3.00		7.6366	7.4709	7.2248	7.1392	25.214	25.214	25.214	25.214	950.50	61.822	25.214	---	---	21.494	22.887	23.394	22.057	274.124	303.842	337.723	297.230	4.806	4.420	5.132	25.881	
8/10/2022	10:47:32	4.00		7.6385	7.4743	7.2282	7.1407	25.212	25.212	25.212	25.212	950.52	61.822	25.212	---	---	21.492	22.883	23.390	22.055	274.086	303.825	337.697	297.207	4.802	4.448	5.130	25.935	
8/10/2022	10:47:33	5.00		7.6391	7.4774	7.2338	7.1438	25.211	25.211	25.211	25.211	950.49	61.812	25.211	---	---	21.491	22.878	23.381	22.051	274.035	303.737	337.576	297.098	4.802	4.449	5.133	26.050	
8/10/2022	10:47:34	6.00		7.6435	7.4829	7.2429	7.1539	25.209	25.209	25.209	25.209	950.46	61.812	25.209	---	---	21.485	22.871	23.367	22.035	273.980	303.651	337.396	296.913	4.810	4.450	5.122	26.133	
8/10/2022	10:47:35	7.00		7.6465	7.4907	7.2519	7.1596	25.210	25.210	25.210	25.210	950.45	61.802	25.210	---	---	21.481	22.859	23.352	22.026	273.901	303.468	337.217	296.706	4.796	4.435	5.109	26.077	
8/10/2022	10:47:36	8.00		7.6540	7.4996	7.2590	7.1696	25.210	25.210	25.210	25.210	950.46	61.792	25.210	---	---	21.470	22.845	23.341	22.010	273.820	303.337	336.985	296.485	4.794	4.447	5.087	26.043	
8/10/2022	10:47:38	9.01		7.6557	7.5071	7.2676	7.1771	25.212	25.212	25.212	25.212	950.44	61.792	25.212	---	---	21.467	22.834	23.327	21.997	273.758	303.160	336.733	296.238	4.810	4.438	5.103	26.022	
8/10/2022	10:47:38	10.00		7.6587	7.5171	7.2806	7.1888	25.213	25.213	25.213	25.213	950.45	61.792	25.213	---	---	21.462	22.818	23.306	21.978	273.680	302.981	336.389	295.976	4.793	4.436	5.105	26.081	
8/10/2022	10:47:40	11.04		7.6619	7.5263	7.2932	7.1985	25.214	25.214	25.214	25.214	950.44	61.792	25.214	---	---	21.457	22.804	23.285	21.963	273.590	302.775	336.095	295.677	4.807	4.411	5.100	26.062	
8/10/2022	10:47:40	12.00		7.6673	7.5386	7.3069	7.2137	25.210	25.210	25.210	25.210	950.50	61.784	25.210	---	---	21.450	22.787	23.265	21.940	273.460	302.529	335.760	295.392	4.803	4.416	5.082	26.077	
