date	time	time_sec	Ch1_O2	Ch1_temp	Ch2_O2	Ch3_O2	Ch4_O2
11/8/2022	12:16:01	0.454	7.596	22.17	7.962	7.359	8.451
11/8/2022	12:16:02	1.453	7.586	22.166	7.96	7.356	8.453
11/8/2022	12:16:03	2.454	7.593	22.166	7.958	7.353	8.453
11/8/2022	12:16:04	3.453	7.583	22.164	7.959	7.353	8.453
11/8/2022	12:16:05	4.454	7.589	22.162	7.957	7.348	8.455
11/8/2022	12:16:06	5.456	7.593	22.162	7.953	7.351	8.454
11/8/2022	12:16:07	6.455	7.587	22.162	7.958	7.353	8.451
11/8/2022	12:16:08	7.455	7.597	22.161	7.964	7.357	8.458
11/8/2022	12:16:09	8.454	7.6	22.163	7.971	7.364	8.453
11/8/2022	12:16:10	9.456	7.607	22.165	7.972	7.362	8.453
11/8/2022	12:16:11	10.453	7.616	22.168	7.975	7.367	8.459
11/8/2022	12:16:12	11.455	7.615	22.171	7.984	7.371	8.457
11/8/2022	12:16:13	12.457	7.634	22.172	7.994	7.378	8.452
11/8/2022	12:16:14	13.456	7.643	22.173	7.992	7.385	8.457
11/8/2022	12:16:15	14.456	7.651	22.176	7.995	7.386	8.448
11/8/2022	12:16:16	15.455	7.67	22.175	7.998	7.4	8.456
11/8/2022	12:16:17	16.455	7.677	22.175	8.004	7.406	8.457
11/8/2022	12:16:18	17.457	7.695	22.175	8.01	7.409	8.455
11/8/2022	12:16:19	18.458	7.701	22.174	8.015	7.421	8.447
11/8/2022	12:16:20	19.464	7.714	22.172	8.022	7.43	8.457
11/8/2022	12:16:21	20.457	7.721	22.169	8.024	7.438	8.456
11/8/2022	12:16:22	21.457	7.743	22.167	8.036	7.447	8.457
11/8/2022	12:16:23	22.458	7.748	22.166	8.041	7.451	8.452
11/8/2022	12:16:24	23.457	7.761	22.168	8.042	7.462	8.458
11/8/2022	12:16:25	24.456	7.776	22.168	8.046	7.472	8.454
11/8/2022	12:16:26	25.459	7.78	22.167	8.056	7.48	8.454
11/8/2022	12:16:27	26.458	7.796	22.164	8.065	7.489	8.454
11/8/2022	12:16:28	27.458	7.802	22.165	8.065	7.497	8.456
11/8/2022	12:16:29	28.458	7.812	22.164	8.073	7.506	8.454
11/8/2022	12:16:30	29.46	7.818	22.166	8.078	7.514	8.452
11/8/2022	12:16:31	30.46	7.831	22.162	8.08	7.522	8.46
11/8/2022	12:16:32	31.461	7.845	22.16	8.09	7.527	8.457
11/8/2022	12:16:33	32.46	7.855	22.16	8.087	7.535	8.46
11/8/2022	12:16:34	33.46	7.869	22.161	8.094	7.541	8.455
11/8/2022	12:16:35	34.461	7.874	22.165	8.095	7.548	8.455
11/8/2022	12:16:36	35.461	7.883	22.163	8.1	7.555	8.46
11/8/2022	12:16:37	36.466	7.889	22.162	8.106	7.565	8.462
11/8/2022	12:16:38	37.461	7.897	22.162	8.109	7.568	8.455
11/8/2022	12:16:39	38.46	7.908	22.162	8.117	7.571	8.455
11/8/2022	12:16:40	39.46	7.91	22.163	8.121	7.585	8.455
11/8/2022	12:16:41	40.463	7.927	22.165	8.122	7.589	8.457
11/8/2022	12:16:42	41.461	7.929	22.166	8.123	7.597	8.454
11/8/2022	12:16:43	42.462	7.937	22.168	8.134	7.607	8.453
11/8/2022	12:16:44	43.463	7.94	22.17	8.132	7.607	8.451
11/8/2022	12:16:45	44.462	7.949	22.169	8.137	7.613	8.449
11/8/2022	12:16:46	45.462	7.96	22.169	8.136	7.62	8.45
11/8/2022	12:16:47	46.461	7.97	22.169	8.141	7.627	8.452
11/8/2022	12:16:48	47.463	7.972	22.168	8.141	7.635	8.45
11/8/2022	12:16:49	48.463	7.978	22.169	8.138	7.637	8.45
11/8/2022	12:16:50	49.476	7.982	22.169	8.145	7.638	8.45
11/8/2022	12:16:51	50.468	7.992	22.171	8.145	7.649	8.447
11/8/2022	12:16:52	51.464	7.991	22.171	8.153	7.644	8.454
11/8/2022	12:16:53	52.462	8	22.169	8.143	7.654	8.452
11/8/2022	12:16:54	53.464	8.009	22.167	8.149	7.663	8.446
11/8/2022	12:16:55	54.464	8.017	22.165	8.151	7.667	8.448
11/8/2022	12:16:56	55.465	8.014	22.164	8.151	7.678	8.45
11/8/2022	12:16:57	56.465	8.019	22.165	8.154	7.678	8.45
11/8/2022	12:16:58	57.465	8.024	22.165	8.151	7.679	8.451
11/8/2022	12:16:59	58.465	8.028	22.165	8.161	7.686	8.448
11/8/2022	12:17:00	59.463	8.036	22.164	8.164	7.692	8.448
11/8/2022	12:17:01	60.465	8.037	22.164	8.159	7.692	8.45
11/8/2022	12:17:02	61.463	8.04	22.165	8.164	7.701	8.447
11/8/2022	12:17:03	62.465	8.043	22.165	8.159	7.704	8.452
11/8/2022	12:17:04	63.463	8.046	22.166	8.17	7.709	8.452
11/8/2022	12:17:05	64.464	8.047	22.164	8.164	7.712	8.448
11/8/2022	12:17:06	65.466	8.055	22.166	8.168	7.72	8.445
11/8/2022	12:17:07	66.472	8.052	22.166	8.161	7.718	8.45
