
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-208	3	ON External	20.000	OFF	1017	0.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-533-214	3	ON External	20.000	OFF	1017	0.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-213	3	ON External	20.000	OFF	1017	0.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-209	3	ON External	20.000	OFF	1017	0.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	21.236	947	100.000	20.950	52.054	21.814	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	26.966	25.583	947	100.000	20.950	50.591	22.575	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	27.647	26.762	947	100.000	20.950	52.281	22.586	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	27.893	28.049	947	100.000	20.950	52.503	21.028	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	8/11/2022	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/11/2022	11:48:33	0.00		7.9285	7.9438	8.0986	8.2671	22.154	22.154	22.154	22.154	949.33	51.599	22.154	---	---	21.997	23.125	23.025	21.322	270.105	290.084	322.462	271.773	4.790	4.468	5.543	42.943	
8/11/2022	11:48:35	1.12		7.9284	7.9432	8.0966	8.2669	22.157	22.157	22.157	22.157	949.32	51.619	22.157	---	---	21.996	23.125	23.027	21.321	270.147	290.057	322.862	273.688	4.778	4.491	5.532	42.978	
8/11/2022	11:48:35	2.00		7.9319	7.9439	8.0948	8.2639	22.157	22.157	22.157	22.157	949.33	51.630	22.157	---	---	21.991	23.124	23.030	21.326	270.178	290.122	323.038	273.232	4.804	4.495	5.537	43.061	
8/11/2022	11:48:36	3.00		7.9325	7.9413	8.0959	8.2565	22.160	22.160	22.160	22.160	949.34	51.650	22.160	---	---	21.990	23.127	23.028	21.335	270.180	290.218	323.122	271.348	4.776	4.515	5.541	42.996	
8/11/2022	11:48:37	4.00		7.9307	7.9421	8.0967	8.2552	22.158	22.158	22.158	22.158	949.36	51.660	22.158	---	---	21.993	23.126	23.027	21.337	270.159	290.288	323.200	269.717	4.788	4.511	5.540	43.062	
8/11/2022	11:48:39	5.03		7.9257	7.9425	8.0950	8.2556	22.161	22.161	22.161	22.161	949.34	51.678	22.161	---	---	21.999	23.124	23.029	21.336	270.140	290.321	323.233	269.721	4.746	4.475	5.536	43.014	
8/11/2022	11:48:39	6.00		7.9287	7.9451	8.0950	8.2559	22.157	22.157	22.157	22.157	949.34	51.685	22.157	---	---	21.996	23.121	23.030	21.337	270.121	290.324	323.256	270.778	4.741	4.461	5.519	43.060	
8/11/2022	11:48:41	7.03		7.9282	7.9450	8.0942	8.2562	22.156	22.156	22.156	22.156	949.33	51.693	22.156	---	---	21.997	23.122	23.031	21.337	270.147	290.317	323.219	272.459	4.743	4.476	5.509	42.983	
8/11/2022	11:48:41	8.00		7.9305	7.9445	8.0930	8.2573	22.154	22.154	22.154	22.154	949.35	51.703	22.154	---	---	21.994	23.123	23.034	21.336	270.161	290.323	323.260	273.025	4.748	4.498	5.512	43.004	
8/11/2022	11:48:43	9.03		7.9266	7.9427	8.0905	8.2545	22.155	22.155	22.155	22.155	949.35	51.713	22.155	---	---	21.999	23.125	23.037	21.339	270.188	290.332	323.302	274.332	4.772	4.522	5.517	43.016	
8/11/2022	11:48:43	10.00		7.9265	7.9421	8.0904	8.2495	22.156	22.156	22.156	22.156	949.36	51.723	22.156	---	---	21.999	23.126	23.037	21.346	270.191	290.339	323.335	275.604	4.772	4.505	5.537	43.112	
8/11/2022	11:48:45	11.05		7.9239	7.9409	8.0904	8.2453	22.157	22.157	22.157	22.157	949.33	51.723	22.157	---	---	22.003	23.128	23.036	21.351	270.206	290.329	323.352	276.960	4.796	4.507	5.549	43.235	
8/11/2022	11:48:45	12.00		7.9236	7.9382	8.0891	8.2396	22.160	22.160	22.160	22.160	949.30	51.733	22.160	---	---	22.002	23.131	23.037	21.358	270.221	290.289	323.395	277.076	4.804	4.504	5.559	43.370	
