
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-208	3	ON External	20.000	OFF	1017	0.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-533-214	3	ON External	20.000	OFF	1017	0.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-213	3	ON External	20.000	OFF	1017	0.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-209	3	ON External	20.000	OFF	1017	0.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	21.236	947	100.000	20.950	52.054	21.814	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	26.966	25.583	947	100.000	20.950	50.591	22.575	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	27.647	26.762	947	100.000	20.950	52.281	22.586	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	27.893	28.049	947	100.000	20.950	52.503	21.028	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	8/11/2022	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/11/2022	12:00:31	0.00		7.6057	7.7755	7.8399	7.9203	22.188	22.188	22.188	22.188	949.22	50.961	22.188	---	---	22.459	23.356	23.391	21.798	280.406	292.783	327.553	282.846	4.784	4.508	5.552	44.733	
8/11/2022	12:00:33	1.08		7.6052	7.7722	7.8396	7.9181	22.189	22.189	22.189	22.189	949.21	50.971	22.189	---	---	22.459	23.361	23.391	21.801	280.465	292.835	327.573	282.915	4.821	4.504	5.543	44.081	
8/11/2022	12:00:34	2.03		7.6036	7.7701	7.8376	7.9174	22.190	22.190	22.190	22.190	949.22	50.981	22.190	---	---	22.461	23.363	23.394	21.802	280.516	292.893	327.586	282.975	4.796	4.506	5.522	43.567	
8/11/2022	12:00:34	3.00		7.6014	7.7683	7.8380	7.9155	22.190	22.190	22.190	22.190	949.17	50.991	22.190	---	---	22.465	23.366	23.393	21.804	280.591	292.935	327.601	283.022	4.778	4.507	5.540	44.468	
8/11/2022	12:00:35	4.00		7.5978	7.7682	7.8372	7.9138	22.188	22.188	22.188	22.188	949.18	50.991	22.188	---	---	22.471	23.367	23.395	21.808	280.641	292.969	327.611	283.009	4.758	4.524	5.567	45.690	
8/11/2022	12:00:36	5.00		7.5949	7.7712	7.8398	7.9152	22.183	22.183	22.183	22.183	949.19	50.991	22.183	---	---	22.477	23.364	23.393	21.807	280.710	292.974	327.608	282.983	4.776	4.536	5.588	46.368	
8/11/2022	12:00:37	6.00		7.5946	7.7729	7.8401	7.9151	22.181	22.181	22.181	22.181	949.26	50.991	22.181	---	---	22.478	23.362	23.393	21.808	280.726	292.997	327.599	282.945	4.783	4.533	5.583	46.440	
8/11/2022	12:00:38	7.00		7.5940	7.7733	7.8404	7.9170	22.183	22.183	22.183	22.183	949.30	50.991	22.183	---	---	22.478	23.361	23.392	21.804	280.699	292.980	327.579	282.911	4.803	4.525	5.580	46.468	
8/11/2022	12:00:39	8.00		7.5964	7.7728	7.8417	7.9177	22.187	22.187	22.187	22.187	949.28	50.991	22.187	---	---	22.473	23.360	23.389	21.802	280.619	292.951	327.547	282.870	4.801	4.520	5.584	46.469	
8/11/2022	12:00:40	9.00		7.5999	7.7716	7.8410	7.9177	22.191	22.191	22.191	22.191	949.24	50.991	22.191	---	---	22.467	23.361	23.388	21.801	280.494	292.874	327.508	282.800	4.774	4.519	5.586	46.460	
8/11/2022	12:00:41	10.00		7.6099	7.7709	7.8453	7.9225	22.190	22.190	22.190	22.190	949.20	50.991	22.190	---	---	22.452	23.362	23.382	21.794	280.316	292.797	327.408	282.699	4.764	4.486	5.595	46.466	
8/11/2022	12:00:42	11.00		7.6193	7.7723	7.8484	7.9295	22.191	22.191	22.191	22.191	949.20	50.991	22.191	---	---	22.438	23.360	23.377	21.784	280.140	292.736	327.298	282.571	4.775	4.479	5.594	46.465	
8/11/2022	12:00:43	12.00		7.6290	7.7765	7.8567	7.9389	22.189	22.189	22.189	22.189	949.21	50.981	22.189	---	---	22.424	23.354	23.366	21.771	279.979	292.666	327.145	282.436	4.799	4.492	5.598	46.481	
