
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-215	3	ON External	20.000	OFF	1016	0.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-209	3	ON External	20.000	OFF	1016	0.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-536-208	3	ON External	20.000	OFF	1016	0.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-213	3	ON External	20.000	OFF	1016	0.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	28.056	24.001	989	100.000	20.950	52.726	21.863	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	28.480	26.202	989	100.000	20.950	52.794	20.560	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	28.557	26.479	989	100.000	20.950	52.533	20.889	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	28.694	26.947	989	100.000	20.950	52.802	21.166	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	8/14/2021	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/14/2021	11:13:11	0.00		9.3256	9.5376	9.4733	9.0444	16.773	16.773	16.773	16.773	994.20	63.816	16.773	---	---	22.741	21.346	21.781	22.643	297.977	251.010	282.105	317.923	4.818	4.451	5.253	18.000	
8/14/2021	11:13:13	1.27		9.3244	9.5348	9.4756	9.0454	16.768	16.768	16.768	16.768	994.22	63.834	16.768	---	---	22.744	21.351	21.780	22.643	297.971	265.678	281.924	317.997	4.800	4.478	5.274	18.153	
8/14/2021	11:13:14	2.16		9.3248	9.5369	9.4824	9.0473	16.762	16.762	16.762	16.762	994.24	63.844	16.762	---	---	22.746	21.350	21.773	22.643	297.983	267.614	281.987	317.922	4.776	4.469	5.289	18.288	
8/14/2021	11:13:14	3.04		9.3280	9.5379	9.4895	9.0501	16.759	16.759	16.759	16.759	994.23	63.854	16.759	---	---	22.743	21.351	21.766	22.640	297.959	268.316	281.560	317.980	4.792	4.462	5.284	18.444	
8/14/2021	11:13:15	4.00		9.3315	9.5409	9.4967	9.0562	16.754	16.754	16.754	16.754	994.21	63.854	16.754	---	---	22.740	21.349	21.759	22.634	297.970	267.991	279.346	317.973	4.787	4.455	5.304	18.576	
8/14/2021	11:13:16	5.00		9.3350	9.5443	9.5064	9.0543	16.752	16.752	16.752	16.752	994.16	63.864	16.752	---	---	22.737	21.345	21.748	22.637	297.929	267.580	278.634	317.954	4.792	4.447	5.310	18.685	
8/14/2021	11:13:17	6.00		9.3325	9.5493	9.5085	9.0572	16.753	16.753	16.753	16.753	994.21	63.875	16.753	---	---	22.739	21.339	21.745	22.633	297.944	267.445	279.019	317.894	4.784	4.475	5.309	18.610	
8/14/2021	11:13:18	7.00		9.3316	9.5508	9.5156	9.0534	16.759	16.759	16.759	16.759	994.19	63.875	16.759	---	---	22.738	21.335	21.734	22.636	297.934	267.831	280.652	317.910	4.801	4.447	5.304	18.434	
8/14/2021	11:13:19	8.00		9.3297	9.5515	9.5108	9.0531	16.766	16.766	16.766	16.766	994.22	63.854	16.766	---	---	22.738	21.332	21.738	22.634	297.942	268.301	280.654	317.892	4.794	4.454	5.302	18.252	
8/14/2021	11:13:20	9.00		9.3285	9.5431	9.5090	9.0439	16.783	16.783	16.783	16.783	994.18	63.826	16.783	---	---	22.734	21.336	21.734	22.640	297.938	268.131	280.194	317.908	4.792	4.447	5.288	17.982	
8/14/2021	11:13:21	10.00		9.3241	9.5380	9.5056	9.0386	16.799	16.799	16.799	16.799	994.22	63.798	16.799	---	---	22.734	21.337	21.732	22.641	297.971	268.101	280.059	317.882	4.773	4.443	5.245	17.751	
8/14/2021	11:13:22	11.00		9.3200	9.5287	9.5075	9.0359	16.813	16.813	16.813	16.813	994.21	63.770	16.813	---	---	22.734	21.343	21.725	22.640	297.998	268.022	279.973	317.870	4.767	4.444	5.200	17.424	
8/14/2021	11:13:23	12.00		9.3169	9.5309	9.5121	9.0363	16.816	16.816	16.816	16.816	994.23	63.750	16.816	---	---	22.737	21.339	21.719	22.638	297.995	268.102	279.810	317.814	4.782	4.427	5.201	17.645	
