
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-215	3	ON External	20.000	OFF	1016	0.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-209	3	ON External	20.000	OFF	1016	0.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-536-208	3	ON External	20.000	OFF	1016	0.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-213	3	ON External	20.000	OFF	1016	0.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	28.056	24.001	989	100.000	20.950	52.726	21.863	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	28.480	26.202	989	100.000	20.950	52.794	20.560	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	28.557	26.479	989	100.000	20.950	52.533	20.889	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	28.694	26.947	989	100.000	20.950	52.802	21.166	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	8/14/2021	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/14/2021	11:39:28	0.00		9.2788	8.7401	8.6286	8.3025	16.949	16.949	16.949	16.949	994.18	63.956	16.949	---	---	22.738	22.288	22.796	23.583	297.371	283.765	296.811	332.995	4.829	4.512	5.401	19.889	
8/14/2021	11:39:30	1.29		9.2771	8.7351	8.6268	8.2981	16.953	16.953	16.953	16.953	994.15	63.966	16.953	---	---	22.738	22.293	22.797	23.587	297.366	283.773	296.848	333.023	4.842	4.501	5.388	19.761	
8/14/2021	11:39:31	2.18		9.2756	8.7350	8.6234	8.2947	16.956	16.956	16.956	16.956	994.16	63.986	16.956	---	---	22.739	22.292	22.800	23.591	297.382	283.796	296.887	333.059	4.840	4.501	5.375	19.612	
8/14/2021	11:39:32	3.18		9.2745	8.7292	8.6234	8.2904	16.961	16.961	16.961	16.961	994.14	64.007	16.961	---	---	22.739	22.298	22.799	23.595	297.388	283.825	296.871	333.074	4.826	4.477	5.373	19.555	
8/14/2021	11:39:32	4.06		9.2714	8.7270	8.6200	8.2877	16.967	16.967	16.967	16.967	994.14	64.027	16.967	---	---	22.741	22.299	22.801	23.597	297.394	283.844	296.873	333.092	4.827	4.481	5.384	19.578	
8/14/2021	11:39:33	4.99		9.2730	8.7182	8.6151	8.2803	16.987	16.987	16.987	16.987	994.13	64.027	16.987	---	---	22.732	22.303	22.801	23.601	297.299	283.861	296.876	333.104	4.833	4.491	5.390	19.634	
8/14/2021	11:39:34	6.00		9.2747	8.7124	8.6068	8.2740	17.011	17.011	17.011	17.011	994.18	64.017	17.011	---	---	22.721	22.303	22.804	23.601	297.095	283.886	296.938	333.159	4.838	4.513	5.406	19.691	
8/14/2021	11:39:35	6.99		9.2814	8.7050	8.5982	8.2646	17.039	17.039	17.039	17.039	994.20	63.997	17.039	---	---	22.703	22.303	22.805	23.604	296.860	283.933	296.994	333.191	4.819	4.535	5.398	19.699	
8/14/2021	11:39:36	8.02		9.2834	8.7020	8.5927	8.2601	17.056	17.056	17.056	17.056	994.22	63.986	17.056	---	---	22.694	22.301	22.807	23.605	296.707	283.981	297.016	333.217	4.838	4.542	5.404	19.678	
8/14/2021	11:39:37	8.99		9.2876	8.7037	8.5895	8.2593	17.063	17.063	17.063	17.063	994.17	63.966	17.063	---	---	22.687	22.296	22.809	23.604	296.609	283.953	297.066	333.246	4.843	4.537	5.387	19.620	
8/14/2021	11:39:38	10.01		9.2934	8.7134	8.5896	8.2623	17.053	17.053	17.053	17.053	994.16	63.956	17.053	---	---	22.683	22.287	22.812	23.603	296.574	283.799	297.079	333.232	4.862	4.520	5.379	19.541	
8/14/2021	11:39:39	10.99		9.2994	8.7399	8.5984	8.2689	17.022	17.022	17.022	17.022	994.16	63.946	17.022	---	---	22.686	22.262	22.811	23.604	296.548	283.451	297.075	333.152	4.840	4.494	5.358	19.450	
8/14/2021	11:39:40	12.01		9.3114	8.7726	8.6155	8.2854	16.976	16.976	16.976	16.976	994.17	63.956	16.976	---	---	22.687	22.235	22.804	23.597	296.583	282.997	296.983	333.039	4.815	4.500	5.358	19.425	
8/14/2021	11:39:41	12.99		9.3227	8.8138	8.6380	8.3039	16.928	16.928	16.928	16.928	994.20	63.976	16.928	---	---	22.690	22.198	22.791	23.588	296.597	282.494	296.860	332.848	4.808	4.493	5.361	19.411	
8/14/2021	11:39:42	14.01		9.3331	8.8466	8.6536	8.3231	16.897	16.897	16.897	16.897	994.19	64.007	16.897	---	---	22.688	22.166	22.781	23.572	296.609	282.020	296.650	332.644	4.813	4.501	5.385	19.467	
8/14/2021	11:39:43	14.99		9.3372	8.8779	8.6674	8.3374	16.880	16.880	16.880	16.880	994.18	64.047	16.880	---	---	22.689	22.131	22.768	23.558	296.623	281.573	296.431	332.395	4.830	4.483	5.398	19.597	
8/14/2021	11:39:44	16.02		9.3381	8.8982	8.6739	8.3507	16.874	16.874	16.874	16.874	994.17	64.078	16.874	---	---	22.690	22.106	22.761	23.541	296.622	281.210	296.216	332.165	4.824	4.508	5.419	19.825	
8/14/2021	11:39:45	16.99		9.3380	8.9158	8.6868	8.3603	16.872	16.872	16.872	16.872	994.19	64.098	16.872	---	---	22.690	22.084	22.745	23.528	296.651	280.853	296.034	331.911	4.841	4.517	5.427	20.014	
8/14/2021	11:39:46	17.99		9.3347	8.9306	8.6959	8.3687	16.878	16.878	16.878	16.878	994.21	64.098	16.878	---	---	22.693	22.064	22.731	23.514	296.683	280.502	295.849	331.611	4.825	4.518	5.444	20.129	
8/14/2021	11:39:47	18.99		9.3341	8.9476	8.7098	8.3790	16.884	16.884	16.884	16.884	994.18	64.098	16.884	---	---	22.691	22.040	22.710	23.498	296.701	280.107	295.625	331.271	4.836	4.512	5.460	20.186	
8/14/2021	11:39:48	19.98		9.3312	8.9634	8.7209	8.3992	16.886	16.886	16.886	16.886	994.20	64.108	16.886	---	---	22.694	22.019	22.694	23.468	296.696	279.747	295.427	330.889	4.820	4.535	5.466	20.269	
8/14/2021	11:39:49	20.99		9.3280	8.9769	8.7339	8.4169	16.885	16.885	16.885	16.885	994.21	64.126	16.885	---	---	22.698	22.002	22.677	23.444	296.684	279.401	295.243	330.501	4.831	4.563	5.467	20.326	
