
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-208	3	ON External	14.700	OFF	1016	0.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-547-208	3	ON External	24.000	OFF	1016	0.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	raw value	ON	XB7-546-210	3	ON External	20.000	OFF	1013	0.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-542-203	3	ON External	20.000	OFF	1016	0.000	15%	400x	10	ON fiber length	4.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	18.769	18.785	989	100.000	20.950	53.133	20.555	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	28.668	28.695	989	100.000	20.950	52.318	21.535	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	Not Calibrated	Not Calibrated	20.000	20.000	1013	50.000	20.950	54.600	21.000	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	28.385	28.426	989	100.000	20.950	52.437	21.795	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	
Data	Smoothing:	3	
Date:	8/14/2021	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/14/2021	12:00:18	0.00		7.9036	9.0254	---	8.8473	17.942	17.942	17.942	17.942	994.44	63.391	17.942	---	---	22.419	22.777	-59.884	23.255	289.919	112.946	1.223	76.827	7.368	8.005	2499.369	26.955	
8/14/2021	12:00:19	1.54		7.9036	9.0210	---	8.8440	17.942	17.942	17.942	17.942	994.45	63.371	17.942	---	---	22.419	22.782	-59.904	23.260	289.916	112.950	1.222	76.839	7.385	7.995	2499.376	27.058	
8/14/2021	12:00:20	2.62		7.9029	9.0199	---	8.8419	17.940	17.940	17.940	17.940	994.43	63.361	17.940	---	---	22.421	22.785	60.028	23.264	289.944	112.951	1.220	76.842	7.314	7.981	2499.374	27.229	
8/14/2021	12:00:21	3.70		7.9008	9.0153	---	8.8382	17.938	17.938	17.938	17.938	994.45	63.341	17.938	---	---	22.425	22.791	59.973	23.269	289.943	112.941	1.219	76.842	7.274	8.009	2499.375	27.698	
8/14/2021	12:00:22	4.78		7.9044	9.0121	---	8.8407	17.938	17.938	17.938	17.938	994.45	63.341	17.938	---	---	22.419	22.795	179.910	23.266	289.920	112.930	1.218	76.868	7.275	8.026	2499.370	27.678	
8/14/2021	12:00:23	5.85		7.9074	9.0051	---	8.8328	17.939	17.939	17.939	17.939	994.48	63.351	17.939	---	---	22.415	22.804	179.866	23.276	289.859	112.926	1.218	76.848	7.324	8.032	2499.369	27.703	
8/14/2021	12:00:24	6.93		7.9126	9.0056	---	8.8412	17.940	17.940	17.940	17.940	994.48	63.381	17.940	---	---	22.407	22.803	60.016	23.265	289.788	112.929	1.217	76.864	7.336	8.026	2499.360	27.686	
8/14/2021	12:00:26	8.01		7.9140	9.0133	---	8.8455	17.941	17.941	17.941	17.941	994.48	63.412	17.941	---	---	22.404	22.793	60.008	23.259	289.692	112.965	1.217	76.842	7.313	8.020	2499.361	27.654	
8/14/2021	12:00:27	9.10		7.9213	9.0172	---	8.8586	17.941	17.941	17.941	17.941	994.47	63.440	17.941	---	---	22.394	22.788	60.038	23.241	289.587	112.960	1.213	76.817	7.296	8.017	2499.366	27.617	
8/14/2021	12:00:28	10.18		7.9254	9.0168	---	8.8530	17.941	17.941	17.941	17.941	994.51	63.468	17.941	---	---	22.387	22.788	179.875	23.249	289.446	112.945	1.212	76.770	7.289	8.001	2499.373	27.360	
8/14/2021	12:00:29	11.25		7.9325	9.0152	---	8.8842	17.941	17.941	17.941	17.941	994.52	63.475	17.941	---	---	22.377	22.790	179.871	23.208	289.284	112.937	1.214	76.719	7.325	7.967	2499.381	27.214	
8/14/2021	12:00:30	12.38		7.9357	9.0174	---	8.8943	17.944	17.944	17.944	17.944	994.55	63.475	17.944	---	---	22.371	22.786	59.952	23.193	289.084	112.959	1.218	76.705	7.357	7.976	2499.380	27.139	
8/14/2021	12:00:31	13.47		7.9483	9.0157	---	8.9024	17.947	17.947	17.947	17.947	994.54	63.465	17.947	---	---	22.352	22.788	-59.949	23.182	288.890	112.992	1.217	76.693	7.386	7.973	2499.386	27.257	
