
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-215	3	ON External	20.000	OFF	1016	0.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-209	3	ON External	20.000	OFF	1016	0.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-536-208	3	ON External	20.000	OFF	1016	0.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-213	3	ON External	20.000	OFF	1016	0.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	28.056	24.001	989	100.000	20.950	52.726	21.863	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	28.480	26.202	989	100.000	20.950	52.794	20.560	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	28.557	26.479	989	100.000	20.950	52.533	20.889	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	28.694	26.947	989	100.000	20.950	52.802	21.166	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	8/16/2021	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/16/2021	10:29:03	0.00		9.0931	9.1329	9.0146	8.6792	19.190	19.190	19.190	19.190	990.40	69.780	19.190	---	---	22.204	21.028	21.532	22.291	305.552	278.147	291.399	326.746	4.822	4.463	4.992	15.426	
8/16/2021	10:29:05	1.22		9.0915	9.1304	9.0159	8.6867	19.188	19.188	19.188	19.188	990.40	69.808	19.188	---	---	22.207	21.032	21.531	22.282	305.625	276.932	291.924	326.633	4.813	4.460	4.961	15.273	
8/16/2021	10:29:05	2.10		9.0915	9.1311	9.0186	8.6882	19.188	19.188	19.188	19.188	990.39	69.828	19.188	---	---	22.207	21.032	21.528	22.280	305.653	276.720	291.988	326.548	4.808	4.463	4.987	15.351	
8/16/2021	10:29:06	3.00		9.0938	9.1313	9.0227	8.6924	19.188	19.188	19.188	19.188	990.37	69.853	19.188	---	---	22.204	21.032	21.523	22.274	305.753	276.563	292.022	326.464	4.823	4.467	4.994	15.571	
8/16/2021	10:29:07	4.00		9.0923	9.1248	9.0228	8.6977	19.189	19.189	19.189	19.189	990.36	69.897	19.189	---	---	22.206	21.039	21.522	22.267	305.750	276.361	291.859	326.393	4.843	4.486	5.023	15.955	
8/16/2021	10:29:08	5.00		9.0922	9.1157	9.0254	8.7009	19.187	19.187	19.187	19.187	990.37	69.958	19.187	---	---	22.207	21.051	21.520	22.263	305.716	276.055	291.924	326.249	4.860	4.472	5.035	16.312	
8/16/2021	10:29:09	6.00		9.0914	9.1108	9.0275	8.7054	19.186	19.186	19.186	19.186	990.37	70.004	19.186	---	---	22.208	21.057	21.518	22.258	305.687	275.794	291.948	326.144	4.833	4.473	5.044	16.463	
8/16/2021	10:29:10	7.00		9.0932	9.1088	9.0270	8.7049	19.180	19.180	19.180	19.180	990.39	70.060	19.180	---	---	22.208	21.062	21.520	22.260	305.681	275.539	292.155	326.063	4.810	4.458	5.060	16.429	
8/16/2021	10:29:11	8.00		9.0960	9.1126	9.0289	8.7082	19.175	19.175	19.175	19.175	990.39	70.116	19.175	---	---	22.206	21.058	21.519	22.257	305.743	275.511	292.044	326.061	4.783	4.468	5.046	16.351	
8/16/2021	10:29:12	9.00		9.0972	9.1096	9.0283	8.7092	19.173	19.173	19.173	19.173	990.39	70.179	19.173	---	---	22.205	21.063	21.521	22.257	305.811	275.508	292.062	326.045	4.805	4.475	5.029	16.272	
8/16/2021	10:29:13	10.00		9.0966	9.1081	9.0255	8.7136	19.177	19.177	19.177	19.177	990.42	70.222	19.177	---	---	22.204	21.063	21.523	22.250	305.841	275.450	291.910	325.944	4.806	4.467	4.997	16.143	
8/16/2021	10:29:14	11.00		9.0955	9.1056	9.0225	8.7158	19.180	19.180	19.180	19.180	990.42	70.258	19.180	---	---	22.205	21.065	21.526	22.246	305.800	275.259	291.845	325.823	4.822	4.454	5.014	16.019	
8/16/2021	10:29:15	12.00		9.0929	9.1056	9.0180	8.7226	19.182	19.182	19.182	19.182	990.43	70.293	19.182	---	---	22.207	21.065	21.531	22.236	305.779	275.109	291.711	325.716	4.811	4.444	5.008	15.798	
8/16/2021	10:29:16	13.00		9.0942	9.1083	9.0154	8.7264	19.181	19.181	19.181	19.181	990.39	70.332	19.181	---	---	22.206	21.062	21.534	22.231	305.781	275.035	291.737	325.681	4.791	4.442	4.989	15.709	
8/16/2021	10:29:17	14.00		9.0961	9.1078	9.0157	8.7297	19.182	19.182	19.182	19.182	990.38	70.377	19.182	---	---	22.203	21.062	21.534	22.227	305.825	275.063	291.990	325.732	4.801	4.429	4.967	15.794	
8/16/2021	10:29:18	15.00		9.0970	9.1068	9.0170	8.7257	19.186	19.186	19.186	19.186	990.38	70.413	19.186	---	---	22.201	21.062	21.531	22.231	305.837	274.965	292.423	325.725	4.808	4.438	4.992	16.098	
8/16/2021	10:29:19	16.00		9.0966	9.1032	9.0160	8.7272	19.190	19.190	19.190	19.190	990.35	70.438	19.190	---	---	22.200	21.065	21.530	22.227	305.842	274.913	292.894	325.744	4.832	4.455	5.009	16.266	
