
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-533-214	3	ON External	20.000	OFF	1016	35.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-537-208	3	ON External	20.000	OFF	1016	35.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-537-208	3	ON External	20.000	OFF	1016	35.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-538-212	3	ON External	20.000	OFF	1016	35.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	27.804	27.615	989	100.000	20.950	52.916	21.596	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	28.132	28.005	989	100.000	20.950	53.216	20.952	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	28.291	28.246	989	100.000	20.950	53.287	20.479	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	28.439	28.354	989	100.000	20.950	53.161	21.890	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	8/16/2021	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/16/2021	11:05:30	0.00		6.7029	6.8824	6.9034	6.1853	19.366	19.366	19.366	19.366	990.69	67.051	19.366	---	---	23.323	22.387	21.884	24.650	238.073	263.212	237.493	189.339	4.399	4.244	4.646	32.970	
8/16/2021	11:05:32	1.41		6.7030	6.8811	6.9029	6.1804	19.368	19.368	19.368	19.368	990.69	67.008	19.368	---	---	23.322	22.389	21.884	24.659	238.104	263.231	237.493	189.458	4.313	4.265	4.743	33.919	
8/16/2021	11:05:33	2.48		6.6988	6.8757	6.8998	6.1819	19.370	19.370	19.370	19.370	990.68	66.972	19.370	---	---	23.328	22.397	21.889	24.655	238.120	263.273	237.483	189.602	4.250	4.307	4.701	35.340	
8/16/2021	11:05:34	3.55		6.6983	6.8725	6.8979	6.1743	19.371	19.371	19.371	19.371	990.67	66.962	19.371	---	---	23.329	22.402	21.891	24.670	238.127	263.308	237.651	189.659	4.125	4.143	4.571	36.010	
8/16/2021	11:05:35	4.76		6.6949	6.8728	6.8973	6.1747	19.373	19.373	19.373	19.373	990.71	66.934	19.373	---	---	23.334	22.401	21.892	24.668	238.161	263.309	237.603	189.692	4.195	4.159	4.519	36.338	
8/16/2021	11:05:36	5.83		6.6959	6.8781	6.8979	6.1707	19.372	19.372	19.372	19.372	990.72	66.860	19.372	---	---	23.333	22.392	21.891	24.676	238.176	263.231	237.564	189.689	4.286	4.280	4.638	36.518	
8/16/2021	11:05:37	6.91		6.6955	6.8822	6.9037	6.1754	19.370	19.370	19.370	19.370	990.73	66.743	19.370	---	---	23.334	22.386	21.882	24.668	238.188	263.161	237.554	189.683	4.360	4.380	4.822	36.589	
8/16/2021	11:05:38	7.99		6.6957	6.8878	6.9068	6.1794	19.372	19.372	19.372	19.372	990.72	66.626	19.372	---	---	23.333	22.376	21.876	24.660	238.169	263.025	237.508	189.662	4.353	4.443	4.952	36.720	
8/16/2021	11:05:40	9.06		6.6976	6.8939	6.9169	6.1860	19.371	19.371	19.371	19.371	990.73	66.555	19.371	---	---	23.330	22.366	21.860	24.647	238.115	262.896	237.388	189.587	4.257	4.371	4.928	36.594	
8/16/2021	11:05:41	10.13		6.6990	6.8995	6.9245	6.1939	19.373	19.373	19.373	19.373	990.75	66.527	19.373	---	---	23.327	22.356	21.846	24.631	238.063	262.739	237.192	189.482	4.217	4.359	4.870	36.438	
8/16/2021	11:05:42	11.25		6.7035	6.9061	6.9328	6.2074	19.372	19.372	19.372	19.372	990.75	66.527	19.372	---	---	23.320	22.345	21.833	24.606	237.975	262.590	237.013	189.335	4.289	4.303	4.730	36.191	
8/16/2021	11:05:43	12.33		6.7102	6.9129	6.9411	6.2132	19.374	19.374	19.374	19.374	990.76	66.537	19.374	---	---	23.307	22.333	21.818	24.594	237.842	262.436	236.833	189.169	4.222	4.263	4.772	36.279	
8/16/2021	11:05:44	13.41		6.7208	6.9254	6.9507	6.2236	19.373	19.373	19.373	19.373	990.70	66.555	19.373	---	---	23.289	22.312	21.803	24.574	237.681	262.249	236.644	188.967	4.332	4.336	4.806	35.894	
8/16/2021	11:05:45	14.52		6.7319	6.9353	6.9619	6.2301	19.372	19.372	19.372	19.372	990.66	66.555	19.372	---	---	23.270	22.296	21.784	24.562	237.512	262.036	236.437	188.728	4.324	4.474	4.965	35.196	
8/16/2021	11:05:46	15.58		6.7431	6.9459	6.9720	6.2444	19.373	19.373	19.373	19.373	990.66	66.555	19.373	---	---	23.250	22.278	21.767	24.534	237.355	261.804	236.202	188.489	4.342	4.483	4.933	33.842	
8/16/2021	11:05:47	16.65		6.7547	6.9525	6.9850	6.2596	19.374	19.374	19.374	19.374	990.73	66.547	19.374	---	---	23.230	22.266	21.746	24.504	237.176	261.562	235.919	188.241	4.286	4.486	4.902	32.153	
8/16/2021	11:05:48	17.77		6.7660	6.9623	6.9959	6.2755	19.373	19.373	19.373	19.373	990.77	66.555	19.373	---	---	23.210	22.250	21.728	24.474	236.928	261.343	235.638	187.960	4.144	4.268	4.643	30.008	
8/16/2021	11:05:49	18.84		6.7753	6.9724	7.0118	6.2940	19.371	19.371	19.371	19.371	990.76	66.562	19.371	---	---	23.195	22.234	21.703	24.440	236.681	261.108	235.332	187.677	4.192	4.170	4.428	27.946	
8/16/2021	11:05:50	19.91		6.7853	6.9836	7.0233	6.3093	19.371	19.371	19.371	19.371	990.71	66.580	19.371	---	---	23.178	22.216	21.684	24.411	236.432	260.889	235.021	187.360	4.041	4.002	4.295	26.568	
8/16/2021	11:05:52	21.10		6.7961	6.9940	7.0392	6.3219	19.376	19.376	19.376	19.376	990.69	66.580	19.376	---	---	23.157	22.197	21.657	24.386	236.215	260.642	234.740	187.086	4.101	3.970	4.281	25.807	
8/16/2021	11:05:53	22.18		6.8071	7.0058	7.0510	6.3390	19.380	19.380	19.380	19.380	990.67	66.573	19.380	---	---	23.137	22.176	21.636	24.352	236.010	260.391	234.486	186.758	3.972	3.921	4.241	25.563	
8/16/2021	11:05:54	23.25		6.8170	7.0182	7.0646	6.3580	19.382	19.382	19.382	19.382	990.69	66.545	19.382	---	---	23.119	22.155	21.613	24.316	235.803	260.129	234.304	186.447	4.029	3.886	4.123	25.544	
8/16/2021	11:05:55	24.47		6.8266	7.0280	7.0747	6.3845	19.379	19.379	19.379	19.379	990.66	66.527	19.379	---	---	23.104	22.139	21.598	24.268	235.610	259.888	234.069	186.104	4.005	3.889	4.208	26.175	
8/16/2021	11:05:56	25.53		6.8326	7.0375	7.0851	6.4072	19.379	19.379	19.379	19.379	990.66	66.499	19.379	---	---	23.093	22.124	21.581	24.225	235.401	259.665	233.840	185.808	4.067	3.954	4.240	26.781	
8/16/2021	11:05:57	26.60		6.8422	7.0443	7.0933	6.4262	19.380	19.380	19.380	19.380	990.65	66.471	19.380	---	---	23.077	22.112	21.567	24.190	235.215	259.427	233.572	185.538	4.061	4.104	4.444	27.734	
8/16/2021	11:05:58	27.69		6.8504	7.0533	7.1064	6.4435	19.382	19.382	19.382	19.382	990.67	66.443	19.382	---	---	23.062	22.097	21.545	24.157	235.016	259.224	233.325	185.267	4.233	4.316	4.556	28.421	
8/16/2021	11:05:59	28.77		6.8584	7.0643	7.1163	6.4549	19.384	19.384	19.384	19.384	990.65	66.443	19.384	---	---	23.048	22.078	21.529	24.135	234.831	259.012	233.121	184.974	4.400	4.466	4.679	29.184	
8/16/2021	11:06:00	29.86		6.8623	7.0745	7.1281	6.4722	19.384	19.384	19.384	19.384	990.67	66.443	19.384	---	---	23.041	22.061	21.510	24.103	234.647	258.807	232.933	184.690	4.347	4.323	4.510	29.422	
8/16/2021	11:06:01	30.95		6.8699	7.0828	7.1343	6.4882	19.386	19.386	19.386	19.386	990.68	66.435	19.386	---	---	23.027	22.047	21.499	24.073	234.484	258.581	232.735	184.424	4.255	4.252	4.344	29.432	
8/16/2021	11:06:03	32.06		6.8791	7.0906	7.1453	6.5071	19.386	19.386	19.386	19.386	990.70	66.418	19.386	---	---	23.012	22.034	21.481	24.039	234.331	258.367	232.509	184.192	4.136	4.179	4.437	29.376	
8/16/2021	11:06:04	33.14		6.8902	7.1021	7.1555	6.5196	19.389	19.389	19.389	19.389	990.66	66.392	19.389	---	---	22.992	22.015	21.464	24.015	234.163	258.184	232.304	183.963	4.208	4.164	4.421	29.124	
8/16/2021	11:06:05	34.21		6.8975	7.1124	7.1643	6.5330	19.389	19.389	19.389	19.389	990.69	66.375	19.389	---	---	22.979	21.998	21.450	23.990	233.998	258.002	232.123	183.740	4.259	4.251	4.580	28.845	
8/16/2021	11:06:06	35.28		6.9055	7.1232	7.1732	6.5486	19.390	19.390	19.390	19.390	990.69	66.357	19.390	---	---	22.966	21.980	21.435	23.962	233.837	257.839	231.958	183.498	4.367	4.294	4.483	27.725	
8/16/2021	11:06:07	36.35		6.9076	7.1304	7.1809	6.5613	19.390	19.390	19.390	19.390	990.68	66.357	19.390	---	---	22.962	21.968	21.423	23.939	233.702	257.667	231.796	183.278	4.248	4.288	4.550	26.351	
