
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-208	3	ON External	14.700	OFF	1016	0.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-547-208	3	ON External	24.000	OFF	1016	0.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	raw value	ON	XB7-546-210	3	ON External	20.000	OFF	1013	0.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-542-203	3	ON External	20.000	OFF	1016	0.000	15%	400x	10	ON fiber length	4.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	18.769	18.785	989	100.000	20.950	53.133	20.555	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	28.668	28.695	989	100.000	20.950	52.318	21.535	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	Not Calibrated	Not Calibrated	20.000	20.000	1013	50.000	20.950	54.600	21.000	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	28.385	28.426	989	100.000	20.950	52.437	21.795	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	
Data	Smoothing:	3	
Date:	8/16/2021	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/16/2021	10:58:51	0.00		8.0257	8.5970	---	8.8683	19.863	19.863	19.863	19.863	990.55	69.032	19.863	---	---	21.598	22.692	59.265	22.579	293.934	115.901	1.049	80.353	7.327	7.779	1683.511	14.702	
8/16/2021	10:58:52	1.41		8.0194	8.6100	---	8.8532	19.860	19.860	19.860	19.860	990.56	69.022	19.860	---	---	21.608	22.676	59.948	22.599	292.293	115.935	1.040	80.379	7.356	7.803	1774.618	14.737	
8/16/2021	10:58:53	2.49		8.0141	8.6131	---	8.8492	19.860	19.860	19.860	19.860	990.58	69.004	19.860	---	---	21.615	22.671	-58.045	22.604	291.680	115.996	1.065	80.380	7.324	7.856	1925.380	14.723	
8/16/2021	10:58:54	3.57		8.0085	8.6148	---	8.8555	19.859	19.859	19.859	19.859	990.53	68.997	19.859	---	---	21.623	22.669	-177.071	22.596	291.083	115.984	1.120	80.393	7.294	7.833	1905.484	14.681	
8/16/2021	10:58:55	4.80		8.0078	8.6153	---	8.8530	19.859	19.859	19.859	19.859	990.53	68.979	19.859	---	---	21.624	22.669	-58.083	22.599	290.988	115.992	1.118	80.417	7.326	7.798	1872.339	14.607	
8/16/2021	10:58:56	5.87		8.0059	8.6151	---	8.8650	19.858	19.858	19.858	19.858	990.50	68.961	19.858	---	---	21.628	22.669	59.276	22.584	290.872	116.030	1.117	80.407	7.370	7.768	1850.910	14.680	
8/16/2021	10:58:57	6.97		8.0050	8.6081	---	8.8645	19.860	19.860	19.860	19.860	990.57	68.933	19.860	---	---	21.629	22.678	59.693	22.584	290.803	116.034	1.091	80.403	7.420	7.745	1842.104	14.758	
8/16/2021	10:58:59	8.06		8.0026	8.6049	---	8.8791	19.860	19.860	19.860	19.860	990.55	68.907	19.860	---	---	21.632	22.682	-59.611	22.565	290.684	116.044	1.075	80.392	7.396	7.785	1901.454	14.856	
8/16/2021	10:59:00	9.14		7.9994	8.5936	---	8.8729	19.862	19.862	19.862	19.862	990.55	68.890	19.862	---	---	21.636	22.697	-60.764	22.573	290.802	116.043	1.144	80.396	7.373	7.753	2021.533	15.125	
8/16/2021	10:59:01	10.21		7.9983	8.5964	---	8.8759	19.861	19.861	19.861	19.861	990.52	68.864	19.861	---	---	21.637	22.693	-61.183	22.569	290.906	116.064	1.199	80.378	7.372	7.749	2139.621	15.457	
8/16/2021	10:59:02	11.30		7.9953	8.5954	---	8.8745	19.861	19.861	19.861	19.861	990.56	68.836	19.861	---	---	21.641	22.695	-61.001	22.571	291.183	116.069	1.256	80.356	7.365	7.748	2181.977	15.544	
8/16/2021	10:59:03	12.38		7.9977	8.6045	---	8.8732	19.857	19.857	19.857	19.857	990.55	68.791	19.857	---	---	21.639	22.684	-177.457	22.574	291.133	116.044	1.258	80.376	7.392	7.808	2148.866	15.313	
8/16/2021	10:59:04	13.46		7.9949	8.5982	---	8.8784	19.857	19.857	19.857	19.857	990.56	68.745	19.857	---	---	21.644	22.692	-176.127	22.567	291.169	116.044	1.212	80.393	7.363	7.800	2107.538	14.980	
