
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-208	3	ON External	14.700	OFF	1016	0.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-547-208	3	ON External	24.000	OFF	1016	0.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	raw value	ON	XB7-546-210	3	ON External	20.000	OFF	1013	0.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-542-203	3	ON External	20.000	OFF	1016	0.000	15%	400x	10	ON fiber length	4.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	18.769	18.785	989	100.000	20.950	53.133	20.555	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	28.668	28.695	989	100.000	20.950	52.318	21.535	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	Not Calibrated	Not Calibrated	20.000	20.000	1013	50.000	20.950	54.600	21.000	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	28.385	28.426	989	100.000	20.950	52.437	21.795	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	
Data	Smoothing:	3	
Date:	8/17/2021	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/17/2021	11:07:09	0.00		6.8757	7.2849	---	7.6468	24.519	24.519	24.519	24.519	992.59	70.303	24.519	---	---	21.904	23.122	-58.844	22.808	289.784	118.572	1.107	88.438	7.278	7.636	1262.285	10.845	
8/17/2021	11:07:11	1.60		6.8752	7.2796	---	7.6384	24.518	24.518	24.518	24.518	992.58	70.400	24.518	---	---	21.905	23.131	-177.330	22.821	289.745	118.592	1.099	88.471	7.299	7.669	1265.300	11.000	
8/17/2021	11:07:12	2.68		6.8733	7.2742	---	7.6234	24.517	24.517	24.517	24.517	992.55	70.492	24.517	---	---	21.909	23.140	-178.531	22.844	289.644	118.626	1.065	88.462	7.254	7.686	1269.394	11.210	
8/17/2021	11:07:13	3.75		6.8657	7.2725	---	7.6080	24.525	24.525	24.525	24.525	992.56	70.555	24.525	---	---	21.919	23.140	-178.200	22.865	289.575	118.623	1.100	88.476	7.210	7.634	1298.536	11.182	
8/17/2021	11:07:14	4.86		6.8636	7.2703	---	7.6051	24.531	24.531	24.531	24.531	992.55	70.601	24.531	---	---	21.921	23.142	-59.593	22.868	289.598	118.666	1.135	88.440	7.175	7.591	1322.255	10.988	
8/17/2021	11:07:15	5.94		6.8604	7.2672	---	7.6111	24.536	24.536	24.536	24.536	992.55	70.644	24.536	---	---	21.925	23.145	-59.393	22.857	289.682	118.703	1.135	88.486	7.260	7.646	1351.414	11.002	
8/17/2021	11:07:16	7.01		6.8671	7.2665	---	7.6137	24.536	24.536	24.536	24.536	992.51	70.708	24.536	---	---	21.913	23.146	-59.691	22.853	289.620	118.730	1.090	88.495	7.291	7.674	1341.834	10.921	
8/17/2021	11:07:17	8.10		6.8676	7.2704	---	7.6176	24.536	24.536	24.536	24.536	992.49	70.772	24.536	---	---	21.913	23.140	-177.279	22.848	289.513	118.733	1.056	88.550	7.365	7.675	1339.442	10.911	
8/17/2021	11:07:18	9.18		6.8758	7.2692	---	7.6292	24.536	24.536	24.536	24.536	992.52	70.825	24.536	---	---	21.899	23.142	-176.976	22.830	289.253	118.684	1.106	88.566	7.315	7.555	1415.120	10.906	
8/17/2021	11:07:20	10.25		6.8817	7.2758	---	7.6440	24.539	24.539	24.539	24.539	992.52	70.861	24.539	---	---	21.888	23.131	-175.337	22.807	288.959	118.642	1.100	88.586	7.265	7.557	1502.055	11.137	
8/17/2021	11:07:21	11.37		6.8963	7.2856	---	7.6434	24.543	24.543	24.543	24.543	992.57	70.886	24.543	---	---	21.862	23.114	-57.563	22.806	288.592	118.538	1.127	88.594	7.151	7.549	1571.220	11.284	
8/17/2021	11:07:22	12.48		6.9101	7.3019	---	7.6302	24.547	24.547	24.547	24.547	992.54	70.904	24.547	---	---	21.838	23.087	60.806	22.825	288.223	118.402	1.072	88.573	7.165	7.588	1563.475	11.216	
8/17/2021	11:07:23	13.61		6.9278	7.3155	---	7.6286	24.547	24.547	24.547	24.547	992.55	70.911	24.547	---	---	21.809	23.065	177.626	22.827	287.841	118.222	1.112	88.558	7.249	7.558	1478.561	11.154	
8/17/2021	11:07:24	14.68		6.9454	7.3339	---	7.6277	24.547	24.547	24.547	24.547	992.53	70.911	24.547	---	---	21.780	23.036	58.173	22.829	287.462	118.024	1.085	88.496	7.242	7.560	1333.841	10.892	
8/17/2021	11:07:25	15.75		6.9609	7.3559	---	7.6349	24.546	24.546	24.546	24.546	992.57	70.911	24.546	---	---	21.755	23.002	59.216	22.818	286.994	117.850	1.098	88.448	7.302	7.623	1203.858	10.916	
8/17/2021	11:07:26	16.89		6.9761	7.3773	---	7.6419	24.546	24.546	24.546	24.546	992.58	70.904	24.546	---	---	21.730	22.968	59.848	22.808	286.514	117.698	1.133	88.394	7.219	7.591	1136.452	10.633	
8/17/2021	11:07:27	17.97		6.9885	7.3912	---	7.6700	24.547	24.547	24.547	24.547	992.58	70.886	24.547	---	---	21.709	22.947	60.856	22.765	286.068	117.571	1.124	88.327	7.339	7.598	1141.966	10.614	
8/17/2021	11:07:28	19.04		7.0059	7.4107	---	7.6740	24.547	24.547	24.547	24.547	992.56	70.868	24.547	---	---	21.681	22.916	60.692	22.759	285.694	117.436	1.157	88.295	7.288	7.526	1138.563	10.496	
8/17/2021	11:07:29	20.14		7.0225	7.4238	---	7.6846	24.547	24.547	24.547	24.547	992.57	70.858	24.547	---	---	21.654	22.896	60.001	22.743	285.370	117.319	1.109	88.235	7.375	7.556	1133.811	10.682	
8/17/2021	11:07:30	21.23		7.0377	7.4358	---	7.6788	24.545	24.545	24.545	24.545	992.59	70.858	24.545	---	---	21.629	22.878	59.219	22.752	284.976	117.188	1.146	88.180	7.303	7.621	1128.639	10.816	
8/17/2021	11:07:32	22.31		7.0565	7.4395	---	7.7015	24.546	24.546	24.546	24.546	992.60	70.858	24.546	---	---	21.599	22.872	57.987	22.718	284.599	117.110	1.100	88.121	7.292	7.673	1124.343	10.756	
8/17/2021	11:07:33	23.38		7.0735	7.4561	---	7.7069	24.543	24.543	24.543	24.543	992.59	70.868	24.543	---	---	21.572	22.847	59.026	22.710	284.222	116.987	1.103	88.066	7.229	7.591	1117.567	10.650	
8/17/2021	11:07:34	24.51		7.0907	7.4718	---	7.7173	24.541	24.541	24.541	24.541	992.56	70.879	24.541	---	---	21.545	22.824	61.108	22.696	283.823	116.905	1.086	88.042	7.223	7.486	1115.879	10.476	
8/17/2021	11:07:35	25.58		7.1052	7.4849	---	7.7092	24.535	24.535	24.535	24.535	992.55	70.896	24.535	---	---	21.523	22.805	-57.382	22.710	283.424	116.799	1.086	87.999	7.291	7.534	1154.750	10.667	
8/17/2021	11:07:36	26.67		7.1220	7.4929	---	7.7186	24.536	24.536	24.536	24.536	992.53	70.904	24.536	---	---	21.496	22.792	-58.406	22.695	282.972	116.712	1.069	87.963	7.262	7.577	1206.847	10.545	
8/17/2021	11:07:37	27.75		7.1371	7.5052	---	7.7139	24.535	24.535	24.535	24.535	992.52	70.911	24.535	---	---	21.472	22.774	-58.040	22.703	282.661	116.610	1.070	87.945	7.344	7.738	1267.534	10.736	
8/17/2021	11:07:38	28.82		7.1495	7.5188	---	7.7261	24.536	24.536	24.536	24.536	992.52	70.911	24.536	---	---	21.452	22.753	61.323	22.684	282.379	116.503	1.069	87.938	7.283	7.602	1312.885	10.611	
8/17/2021	11:07:39	29.92		7.1600	7.5316	---	7.7095	24.541	24.541	24.541	24.541	992.53	70.911	24.541	---	---	21.434	22.732	-57.218	22.708	282.124	116.389	1.101	87.949	7.372	7.665	1350.597	10.851	
8/17/2021	11:07:40	30.99		7.1737	7.5361	---	7.7138	24.545	24.545	24.545	24.545	992.52	70.911	24.545	---	---	21.411	22.723	58.767	22.700	281.843	116.298	1.108	87.937	7.317	7.593	1367.677	10.720	
