
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-208	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-537-208	3	ON External	20.000	OFF	1019	0.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-538-212	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-537-208	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	25.018	928	100.000	20.950	53.500	21.891	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	Factory 0% Calibration	Ambient Air	20.000	25.060	928	19.143	20.950	53.700	21.095	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	25.657	928	100.000	20.950	53.800	22.969	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	25.787	928	100.000	20.950	53.700	22.363	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	9/7/2020	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
9/7/2020	18:34:22	0.00		10.885	9.9511	8.5444	8.5873	17.936	17.936	17.936	17.936	928.56	24.296	17.936	---	---	19.940	20.482	23.870	23.205	185.842	206.695	180.122	236.416	4.239	18.220	4.963	14.065	
9/7/2020	18:34:23	1.08		10.885	9.9403	8.5379	8.5835	17.949	17.949	17.949	17.949	928.60	24.377	17.949	---	---	19.936	20.490	23.875	23.206	185.911	206.744	180.397	235.740	4.164	18.592	4.986	14.058	
9/7/2020	18:34:24	2.16		10.868	9.9379	8.5276	8.5704	17.957	17.957	17.957	17.957	928.59	24.471	17.957	---	---	19.950	20.490	23.887	23.221	185.931	206.765	182.183	203.632	4.152	18.808	4.957	13.833	
9/7/2020	18:34:25	3.24		10.854	9.9291	8.5237	8.5576	17.956	17.956	17.956	17.956	928.59	24.566	17.956	---	---	19.965	20.500	23.892	23.239	185.929	206.799	186.615	182.975	4.087	18.889	4.915	13.749	
9/7/2020	18:34:26	4.32		10.856	9.9243	8.5263	8.5490	17.942	17.942	17.942	17.942	928.57	24.619	17.942	---	---	19.968	20.510	23.894	23.256	185.982	206.807	191.386	171.878	4.125	19.058	5.060	14.389	
9/7/2020	18:34:27	5.39		10.865	9.9226	8.5351	8.5538	17.936	17.936	17.936	17.936	928.55	24.647	17.936	---	---	19.960	20.514	23.883	23.251	186.048	206.820	194.507	191.478	4.144	19.260	5.147	15.264	
9/7/2020	18:34:28	6.48		10.869	9.9241	8.5368	8.5556	17.936	17.936	17.936	17.936	928.57	24.647	17.936	---	---	19.956	20.512	23.881	23.249	186.120	206.874	194.891	198.073	4.252	19.358	5.261	15.846	
9/7/2020	18:34:29	7.55		10.863	9.9230	8.5387	8.5561	17.942	17.942	17.942	17.942	928.57	24.647	17.942	---	---	19.960	20.512	23.877	23.246	186.107	206.907	194.715	197.386	4.347	19.353	5.274	15.896	
9/7/2020	18:34:30	8.63		10.860	9.9195	8.5342	8.5501	17.961	17.961	17.961	17.961	928.59	24.647	17.961	---	---	19.957	20.509	23.876	23.248	186.070	206.943	194.864	196.938	4.366	19.265	5.236	15.844	
9/7/2020	18:34:31	9.71		10.855	9.9168	8.5319	8.5437	17.979	17.979	17.979	17.979	928.57	24.647	17.979	---	---	19.956	20.507	23.873	23.250	186.087	206.915	195.033	197.165	4.287	19.164	5.201	15.857	
9/7/2020	18:34:33	10.79		10.850	9.9175	8.5312	8.5397	17.986	17.986	17.986	17.986	928.57	24.647	17.986	---	---	19.959	20.503	23.871	23.253	186.102	206.980	195.254	197.404	4.132	19.035	5.117	15.923	
9/7/2020	18:34:34	11.87		10.843	9.9181	8.5263	8.5350	17.981	17.981	17.981	17.981	928.57	24.619	17.981	---	---	19.968	20.504	23.880	23.261	186.151	207.042	195.241	197.061	4.201	19.035	5.245	16.037	
9/7/2020	18:34:35	12.94		10.846	9.9220	8.5224	8.5414	17.970	17.970	17.970	17.970	928.57	24.591	17.970	---	---	19.969	20.504	23.889	23.257	186.141	207.100	195.067	196.850	4.210	18.985	5.239	16.104	
