
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-208	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-537-208	3	ON External	20.000	OFF	1019	0.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-538-212	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-537-208	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	25.018	928	100.000	20.950	53.500	21.891	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	Factory 0% Calibration	Ambient Air	20.000	25.060	928	19.143	20.950	53.700	21.095	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	25.657	928	100.000	20.950	53.800	22.969	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	25.787	928	100.000	20.950	53.700	22.363	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	9/7/2020	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
9/7/2020	18:55:04	0.00		10.119	9.8971	7.9829	8.0202	18.751	18.751	18.751	18.751	928.58	22.429	18.751	---	---	20.491	20.274	24.399	23.733	189.169	203.261	199.649	207.935	4.114	19.144	5.283	18.429	
9/7/2020	18:55:05	1.12		10.127	9.8942	7.9978	8.0356	18.740	18.740	18.740	18.740	928.59	22.363	18.740	---	---	20.486	20.281	24.380	23.714	189.158	203.307	199.600	207.643	4.115	18.904	5.230	18.260	
9/7/2020	18:55:06	2.19		10.133	9.8937	8.0134	8.0428	18.731	18.731	18.731	18.731	928.58	22.350	18.731	---	---	20.483	20.285	24.360	23.706	189.190	203.282	199.590	207.090	4.125	18.698	5.227	18.294	
9/7/2020	18:55:07	3.28		10.135	9.8986	8.0267	8.0555	18.716	18.716	18.716	18.716	928.55	22.350	18.716	---	---	20.484	20.284	24.345	23.692	189.209	203.297	199.604	206.991	4.159	18.588	5.253	18.259	
9/7/2020	18:55:08	4.38		10.147	9.9140	8.0417	8.0670	18.698	18.698	18.698	18.698	928.58	22.363	18.698	---	---	20.477	20.272	24.329	23.681	189.203	203.304	199.547	206.501	4.174	18.692	5.251	18.314	
9/7/2020	18:55:09	5.47		10.145	9.9242	8.0527	8.0771	18.683	18.683	18.683	18.683	928.60	22.416	18.683	---	---	20.485	20.266	24.318	23.672	189.208	203.349	199.486	206.665	4.154	18.726	5.273	18.293	
9/7/2020	18:55:10	6.55		10.152	9.9261	8.0599	8.0912	18.675	18.675	18.675	18.675	928.62	22.495	18.675	---	---	20.479	20.266	24.310	23.654	189.244	203.373	199.525	206.238	4.197	18.728	5.282	18.312	
9/7/2020	18:55:11	7.64		10.143	9.9218	8.0611	8.0971	18.676	18.676	18.676	18.676	928.60	22.590	18.676	---	---	20.489	20.271	24.308	23.645	189.285	203.376	199.413	205.855	4.240	18.743	5.360	18.492	
9/7/2020	18:55:12	8.73		10.138	9.9163	8.0689	8.1037	18.678	18.678	18.678	18.678	928.60	22.630	18.678	---	---	20.494	20.276	24.296	23.634	189.297	203.331	199.277	205.425	4.357	18.781	5.403	18.632	
9/7/2020	18:55:14	9.81		10.131	9.9149	8.0740	8.1084	18.686	18.686	18.686	18.686	928.55	22.658	18.686	---	---	20.499	20.275	24.285	23.625	189.269	203.274	199.036	205.654	4.404	18.765	5.439	18.517	
9/7/2020	18:55:15	10.89		10.134	9.9206	8.0822	8.1220	18.682	18.682	18.682	18.682	928.54	22.684	18.682	---	---	20.497	20.270	24.275	23.606	189.322	203.245	198.590	206.036	4.337	18.632	5.357	18.299	
9/7/2020	18:55:16	11.97		10.148	9.9327	8.0866	8.1414	18.671	18.671	18.671	18.671	928.51	22.762	18.671	---	---	20.485	20.260	24.272	23.581	189.341	203.222	198.441	206.099	4.250	18.530	5.322	18.151	
9/7/2020	18:55:17	13.04		10.150	9.9345	8.1011	8.1401	18.655	18.655	18.655	18.655	928.54	22.856	18.655	---	---	20.488	20.263	24.256	23.589	189.364	203.248	198.433	204.908	4.248	18.504	5.346	18.999	
