
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.319	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	OFF	XB7-536-210	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	4.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-547-208	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-546-210	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-542-203	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	4.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	25.356	1012	100.000	20.950	53.600	21.791	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	0.000	
Ch 2	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	25.355	1012	100.000	20.950	54.700	22.661	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 3	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	25.358	1012	100.000	20.950	54.600	22.656	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 4	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	25.377	1012	100.000	20.950	54.200	22.948	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	0.000	
Data	Smoothing:	3	
Date:	7/13/2021	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/13/2021	10:32:00	0.00		9.3302	9.2875	9.1547	9.4315	18.084	18.084	18.084	18.084	928.56	15.184	18.084	---	---	22.611	23.561	23.730	23.665	85.955	86.524	155.098	67.326	7.266	9.054	12.304	52.850	
7/13/2021	10:32:01	1.00		9.3235	9.2875	9.1494	9.4360	18.088	18.088	18.088	18.088	928.57	15.211	18.088	---	---	22.618	23.560	23.735	23.658	85.938	87.067	155.421	67.350	7.235	8.934	11.969	54.042	
7/13/2021	10:32:02	2.00		9.3176	9.2789	9.1487	9.4328	18.093	18.093	18.093	18.093	928.57	15.211	18.093	---	---	22.624	23.569	23.734	23.660	85.959	87.189	155.364	67.470	7.211	8.879	11.490	46.738	
7/13/2021	10:32:03	3.01		9.3052	9.2647	9.1472	9.4212	18.103	18.103	18.103	18.103	928.57	15.199	18.103	---	---	22.636	23.584	23.733	23.672	85.953	87.419	155.121	67.533	7.198	8.808	11.379	42.466	
7/13/2021	10:32:04	4.00		9.3103	9.2737	9.1434	9.4265	18.115	18.115	18.115	18.115	928.55	15.199	18.115	---	---	22.626	23.568	23.734	23.661	85.952	87.531	155.359	67.546	7.215	8.808	10.236	42.475	
7/13/2021	10:32:05	5.00		9.3148	9.2873	9.1366	9.4065	18.126	18.126	18.126	18.126	928.56	15.211	18.126	---	---	22.616	23.546	23.739	23.683	85.907	87.665	155.720	67.504	7.102	8.467	9.752	41.249	
7/13/2021	10:32:06	6.00		9.3303	9.3001	9.1345	9.3969	18.129	18.129	18.129	18.129	928.60	15.155	18.129	---	---	22.595	23.529	23.740	23.694	85.846	88.230	156.664	67.496	7.108	8.162	8.797	37.882	
7/13/2021	10:32:07	7.00		9.3271	9.2929	9.1320	9.4033	18.126	18.126	18.126	18.126	928.61	14.977	18.126	---	---	22.601	23.539	23.745	23.687	85.770	89.076	157.126	67.404	6.948	7.955	9.486	40.447	
7/13/2021	10:32:08	8.00		9.3216	9.2804	9.1300	9.4212	18.126	18.126	18.126	18.126	928.57	14.746	18.126	---	---	22.608	23.556	23.747	23.664	85.747	89.843	157.171	67.355	7.085	8.231	10.222	46.277	
7/13/2021	10:32:09	9.00		9.3187	9.2620	9.1263	9.4278	18.130	18.130	18.130	18.130	928.55	14.568	18.130	---	---	22.610	23.578	23.751	23.654	85.731	90.409	156.975	67.307	7.207	8.573	11.208	52.834	
7/13/2021	10:32:10	10.00		9.3188	9.2561	9.1237	9.4286	18.139	18.139	18.139	18.139	928.57	14.487	18.139	---	---	22.607	23.583	23.751	23.650	85.725	90.807	156.223	67.287	7.401	8.842	12.040	54.757	
7/13/2021	10:32:11	11.00		9.3074	9.2457	9.1119	9.4403	18.148	18.148	18.148	18.148	928.62	14.459	18.148	---	---	22.618	23.593	23.764	23.632	85.706	90.621	155.297	67.239	7.426	9.089	12.615	58.143	
7/13/2021	10:32:12	12.00		9.2980	9.2439	9.1098	9.4520	18.148	18.148	18.148	18.148	928.60	14.459	18.148	---	---	22.630	23.595	23.766	23.617	85.707	90.364	155.347	67.205	7.424	9.314	13.078	60.726	
7/13/2021	10:32:13	13.00		9.3007	9.2362	9.1049	9.4641	18.141	18.141	18.141	18.141	928.60	14.471	18.141	---	---	22.629	23.608	23.775	23.604	85.703	89.987	155.273	67.203	7.398	9.389	13.002	61.037	
7/13/2021	10:32:14	14.00		9.3142	9.2347	9.1019	9.4590	18.132	18.132	18.132	18.132	928.55	14.512	18.132	---	---	22.615	23.613	23.782	23.614	85.718	90.173	155.759	67.206	7.390	9.361	12.983	60.990	
7/13/2021	10:32:15	15.00		9.3187	9.2290	9.0976	9.4614	18.131	18.131	18.131	18.131	928.53	14.568	18.131	---	---	22.609	23.620	23.788	23.611	85.728	90.213	155.255	67.181	7.357	9.315	13.007	60.776	
7/13/2021	10:32:16	16.00		9.3164	9.2258	9.0954	9.4423	18.134	18.134	18.134	18.134	928.51	14.637	18.134	---	---	22.611	23.624	23.790	23.634	85.746	90.252	155.345	67.171	7.407	9.263	13.017	60.629	
7/13/2021	10:32:17	17.00		9.3187	9.2107	9.0948	9.4436	18.139	18.139	18.139	18.139	928.54	14.693	18.139	---	---	22.607	23.642	23.789	23.630	85.736	90.315	155.394	67.184	7.498	9.219	12.946	59.990	
7/13/2021	10:32:18	18.00		9.3150	9.2062	9.0875	9.4364	18.148	18.148	18.148	18.148	928.57	14.733	18.148	---	---	22.608	23.645	23.796	23.636	85.744	90.369	155.415	67.234	7.544	9.189	12.804	59.384	
7/13/2021	10:32:19	19.00		9.3087	9.1963	9.0830	9.4390	18.161	18.161	18.161	18.161	928.59	14.772	18.161	---	---	22.612	23.653	23.797	23.628	85.722	90.413	155.433	67.266	7.525	9.167	12.814	58.905	
7/13/2021	10:32:20	20.00		9.2997	9.2032	9.0783	9.4383	18.175	18.175	18.175	18.175	928.59	14.797	18.175	---	---	22.618	23.639	23.798	23.624	85.755	90.428	155.416	67.296	7.440	9.147	12.739	58.699	
7/13/2021	10:32:21	21.00		9.2960	9.2018	9.0729	9.4305	18.194	18.194	18.194	18.194	928.56	14.810	18.194	---	---	22.616	23.634	23.799	23.628	85.734	90.891	154.506	67.380	7.354	8.943	12.061	52.450	
7/13/2021	10:32:22	22.00		9.2958	9.2009	9.0620	9.4194	18.213	18.213	18.213	18.213	928.57	14.810	18.213	---	---	22.610	23.629	23.807	23.635	85.758	91.349	154.365	67.581	7.170	8.523	10.817	43.822	
7/13/2021	10:32:23	23.00		9.2868	9.1929	9.0515	9.3945	18.231	18.231	18.231	18.231	928.55	14.767	18.231	---	---	22.615	23.632	23.815	23.660	85.781	91.495	154.272	67.792	7.169	8.223	9.890	36.842	
7/13/2021	10:32:24	24.00		9.2804	9.1845	9.0418	9.3882	18.242	18.242	18.242	18.242	928.58	14.655	18.242	---	---	22.619	23.639	23.823	23.664	85.821	90.994	155.328	67.914	7.166	8.228	9.819	36.147	
7/13/2021	10:32:25	25.00		9.2752	9.1776	9.0338	9.3977	18.254	18.254	18.254	18.254	928.58	14.505	18.254	---	---	22.622	23.644	23.830	23.648	85.828	90.797	155.655	67.886	7.254	8.253	9.864	36.416	
7/13/2021	10:32:26	26.00		9.2697	9.1700	9.0310	9.3881	18.263	18.263	18.263	18.263	928.57	14.396	18.263	---	---	22.625	23.651	23.830	23.657	85.782	90.588	155.833	67.838	7.174	8.217	9.736	35.219	
7/13/2021	10:32:27	27.00		9.2681	9.1695	9.0226	9.3841	18.277	18.277	18.277	18.277	928.59	14.368	18.277	---	---	22.623	23.647	23.837	23.658	85.779	90.550	155.792	67.848	7.200	8.098	9.561	34.711	
7/13/2021	10:32:28	28.00		9.2546	9.1611	9.0204	9.3758	18.291	18.291	18.291	18.291	928.61	14.393	18.291	---	---	22.635	23.653	23.834	23.663	85.796	90.223	155.683	67.917	7.122	8.243	9.916	35.889	
7/13/2021	10:32:29	29.00		9.2485	9.1597	9.0105	9.3848	18.307	18.307	18.307	18.307	928.64	14.418	18.307	---	---	22.637	23.650	23.842	23.646	85.813	90.214	155.701	67.962	7.169	8.401	10.118	37.303	
