
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.319	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	OFF	XB7-536-210	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	4.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-547-208	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-546-210	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-542-203	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	4.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	25.356	1012	100.000	20.950	53.600	21.791	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	0.000	
Ch 2	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	25.355	1012	100.000	20.950	54.700	22.661	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 3	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	25.358	1012	100.000	20.950	54.600	22.656	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 4	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	25.377	1012	100.000	20.950	54.200	22.948	0.804	0.122	4000	0.969	-0.056	1.279	0.000	-0.000303	0.000	
Data	Smoothing:	3	
Date:	7/13/2021	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/13/2021	10:44:03	0.00		8.8412	8.1110	8.3855	8.7388	18.923	18.923	18.923	18.923	928.63	13.912	18.923	---	---	22.955	24.912	24.497	24.288	87.326	95.052	161.529	69.723	7.047	7.769	8.208	30.142	
7/13/2021	10:44:05	1.24		8.8388	8.1367	8.4066	8.7473	18.891	18.891	18.891	18.891	928.64	13.953	18.891	---	---	22.969	24.885	24.477	24.288	87.345	94.863	161.386	69.693	7.022	7.866	8.193	30.134	
7/13/2021	10:44:06	2.28		8.8291	8.1632	8.4273	8.7555	18.879	18.879	18.879	18.879	928.64	13.981	18.879	---	---	22.986	24.849	24.452	24.281	87.370	94.674	161.242	69.703	7.108	7.830	8.211	30.456	
7/13/2021	10:44:07	3.14		8.8138	8.1855	8.4323	8.7566	18.897	18.897	18.897	18.897	928.61	14.062	18.897	---	---	23.001	24.809	24.438	24.273	87.377	94.526	161.119	69.685	7.037	7.759	8.297	30.671	
7/13/2021	10:44:07	4.02		8.8112	8.2024	8.4376	8.7558	18.924	18.924	18.924	18.924	928.59	14.090	18.924	---	---	22.995	24.774	24.421	24.264	87.391	94.408	161.010	69.712	7.050	7.747	8.244	30.756	
7/13/2021	10:44:08	5.00		8.8145	8.2087	8.4402	8.7459	18.954	18.954	18.954	18.954	928.57	14.146	18.954	---	---	22.980	24.754	24.406	24.268	87.369	94.229	160.882	69.693	6.964	7.775	8.319	30.455	
7/13/2021	10:44:09	6.00		8.8163	8.2177	8.4505	8.7373	18.978	18.978	18.978	18.978	928.60	14.174	18.978	---	---	22.970	24.732	24.383	24.271	87.387	94.055	160.717	69.684	6.972	7.754	8.285	30.202	
7/13/2021	10:44:10	7.00		8.8037	8.2407	8.4529	8.7429	18.996	18.996	18.996	18.996	928.63	14.187	18.996	---	---	22.980	24.691	24.373	24.257	87.376	93.893	160.551	69.655	7.002	7.752	8.297	30.052	
7/13/2021	10:44:11	8.00		8.7923	8.2686	8.4608	8.7345	19.007	19.007	19.007	19.007	928.63	14.171	19.007	---	---	22.992	24.646	24.358	24.265	87.378	93.775	160.371	69.660	7.027	7.745	8.292	30.129	
7/13/2021	10:44:12	9.00		8.7917	8.2938	8.4684	8.7287	19.019	19.019	19.019	19.019	928.64	14.128	19.019	---	---	22.989	24.605	24.343	24.269	87.377	93.650	160.240	69.665	6.966	7.769	8.327	30.097	
7/13/2021	10:44:13	10.00		8.7930	8.3113	8.4813	8.7296	19.028	19.028	19.028	19.028	928.62	14.100	19.028	---	---	22.984	24.576	24.322	24.264	87.375	93.510	160.105	69.691	6.938	7.766	8.340	30.092	
7/13/2021	10:44:14	11.00		8.8041	8.3209	8.4970	8.7328	19.033	19.033	19.033	19.033	928.64	14.019	19.033	---	---	22.967	24.560	24.297	24.258	87.388	93.370	159.984	69.712	6.961	7.763	8.294	30.090	
7/13/2021	10:44:15	12.00		8.7993	8.3417	8.5058	8.7307	19.036	19.036	19.036	19.036	928.61	13.953	19.036	---	---	22.972	24.528	24.284	24.260	87.377	93.274	159.848	69.725	6.972	7.772	8.307	30.117	
