
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-213	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-537-214	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-209	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-536-208	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	27.083	31.888	925	100.000	20.950	53.117	21.678	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	26.050	31.225	925	100.000	20.950	53.179	21.812	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	30.954	34.587	925	100.000	20.950	52.650	20.246	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	28.681	33.639	925	100.000	20.950	53.037	21.189	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	7/14/2021	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/14/2021	11:21:36	0.00		7.4199	6.2162	6.6542	6.9913	27.112	27.112	27.112	27.112	925.41	23.594	27.112	---	---	21.726	23.883	21.688	22.035	264.780	327.118	267.342	272.673	4.760	4.547	5.865	56.414	
7/14/2021	11:21:37	1.07		7.4353	6.0750	6.5045	7.1427	27.042	27.042	27.042	27.042	925.38	24.036	27.042	---	---	21.722	24.176	21.967	21.809	263.275	320.934	270.652	268.224	4.778	4.565	5.941	58.235	
7/14/2021	11:21:38	2.15		7.4436	5.9185	6.3483	7.2903	26.977	26.977	26.977	26.977	925.34	24.479	26.977	---	---	21.728	24.497	22.257	21.588	261.788	315.154	274.034	263.870	4.798	4.597	6.014	60.072	
7/14/2021	11:21:39	3.23		7.4420	5.9109	6.3457	7.2906	26.983	26.983	26.983	26.983	925.34	24.451	26.983	---	---	21.729	24.511	22.260	21.586	261.773	315.288	274.093	263.854	4.791	4.583	6.013	60.233	
7/14/2021	11:21:40	4.30		7.4405	5.9061	6.3396	7.2916	26.988	26.988	26.988	26.988	925.37	24.423	26.988	---	---	21.730	24.519	22.270	21.583	261.761	315.416	274.176	263.827	4.759	4.594	6.017	60.224	
7/14/2021	11:21:41	5.38		7.4433	5.9017	6.3362	7.2908	26.989	26.989	26.989	26.989	925.39	24.395	26.989	---	---	21.725	24.527	22.275	21.584	261.763	315.539	274.270	263.789	4.760	4.571	6.007	60.095	
7/14/2021	11:21:42	6.45		7.4450	5.8972	6.3298	7.2899	26.988	26.988	26.988	26.988	925.41	24.367	26.988	---	---	21.723	24.537	22.287	21.586	261.747	315.674	274.363	263.756	4.761	4.552	5.992	59.957	
7/14/2021	11:21:43	7.52		7.4466	5.8906	6.3254	7.2900	26.987	26.987	26.987	26.987	925.40	24.314	26.987	---	---	21.721	24.551	22.295	21.586	261.747	315.820	274.510	263.706	4.776	4.513	5.983	59.999	
7/14/2021	11:21:44	8.59		7.4463	5.8855	6.3174	7.2921	26.983	26.983	26.983	26.983	925.40	24.232	26.983	---	---	21.722	24.562	22.311	21.584	261.736	315.980	274.738	263.680	4.762	4.527	5.983	60.166	
7/14/2021	11:21:45	9.66		7.4469	5.8817	6.3121	7.2918	26.982	26.982	26.982	26.982	925.37	24.126	26.982	---	---	21.722	24.570	22.321	21.585	261.767	316.128	274.974	263.662	4.741	4.557	5.988	60.398	
7/14/2021	11:21:46	10.75		7.4470	5.8789	6.3047	7.2936	26.975	26.975	26.975	26.975	925.38	24.016	26.975	---	---	21.724	24.578	22.336	21.584	261.791	316.300	275.169	263.672	4.727	4.555	5.989	60.407	
7/14/2021	11:21:47	11.83		7.4525	5.8745	6.3024	7.2915	26.972	26.972	26.972	26.972	925.40	23.922	26.972	---	---	21.716	24.588	22.342	21.588	261.812	316.439	275.269	263.651	4.710	4.543	5.979	60.063	
7/14/2021	11:21:48	12.90		7.4517	5.8685	6.3017	7.2919	26.969	26.969	26.969	26.969	925.41	23.828	26.969	---	---	21.718	24.601	22.344	21.588	261.823	316.604	275.305	263.614	4.722	4.507	5.942	59.138	
