
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-213	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-537-214	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-535-209	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB7-536-208	3	ON External	20.000	OFF	1012	0.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	27.083	31.888	925	100.000	20.950	53.117	21.678	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	26.050	31.225	925	100.000	20.950	53.179	21.812	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	30.954	34.587	925	100.000	20.950	52.650	20.246	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	28.681	33.639	925	100.000	20.950	53.037	21.189	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	7/15/2021	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/15/2021	11:47:21	0.00		8.4216	7.8352	8.0162	8.1743	19.372	19.372	19.372	19.372	925.91	18.037	19.372	---	---	22.678	23.617	21.941	22.640	293.222	271.066	268.988	260.380	4.790	4.740	7.223	118.176	
7/15/2021	11:47:22	1.47		8.4171	7.8414	8.0165	8.1793	19.374	19.374	19.374	19.374	925.91	18.050	19.374	---	---	22.684	23.607	21.940	22.632	293.206	270.914	268.895	260.298	4.793	4.723	7.234	118.267	
7/15/2021	11:47:23	2.54		8.4165	7.8524	8.0238	8.1822	19.370	19.370	19.370	19.370	925.93	18.063	19.370	---	---	22.686	23.592	21.930	22.629	293.147	270.773	268.826	260.206	4.822	4.734	7.232	118.171	
7/15/2021	11:47:25	3.64		8.4173	7.8562	8.0283	8.1848	19.364	19.364	19.364	19.364	925.92	18.063	19.364	---	---	22.687	23.588	21.926	22.627	293.122	270.659	268.794	260.119	4.830	4.737	7.234	118.631	
7/15/2021	11:47:26	4.72		8.4194	7.8646	8.0311	8.1895	19.360	19.360	19.360	19.360	925.90	18.116	19.360	---	---	22.685	23.577	21.923	22.622	293.103	270.568	268.779	260.044	4.826	4.753	7.246	119.271	
7/15/2021	11:47:27	5.81		8.4229	7.8654	8.0307	8.1952	19.365	19.365	19.365	19.365	925.89	18.182	19.365	---	---	22.679	23.574	21.922	22.612	293.119	270.461	268.731	259.966	4.801	4.742	7.269	119.641	
7/15/2021	11:47:28	6.89		8.4217	7.8735	8.0289	8.2023	19.372	19.372	19.372	19.372	925.91	18.248	19.372	---	---	22.678	23.560	21.923	22.600	293.129	270.368	268.683	259.900	4.786	4.745	7.266	119.480	
7/15/2021	11:47:29	7.96		8.4213	7.8740	8.0318	8.2045	19.375	19.375	19.375	19.375	925.91	18.261	19.375	---	---	22.677	23.558	21.917	22.596	293.136	270.261	268.627	259.858	4.794	4.718	7.238	119.081	
7/15/2021	11:47:30	9.06		8.4169	7.8784	8.0329	8.2042	19.382	19.382	19.382	19.382	925.93	18.261	19.382	---	---	22.681	23.549	21.913	22.594	293.150	270.177	268.572	259.777	4.807	4.713	7.206	118.560	
7/15/2021	11:47:31	10.14		8.4170	7.8780	8.0328	8.2040	19.391	19.391	19.391	19.391	925.92	18.248	19.391	---	---	22.678	23.546	21.911	22.591	293.142	270.104	268.533	259.684	4.814	4.692	7.174	118.070	
7/15/2021	11:47:32	11.21		8.4158	7.8840	8.0326	8.2063	19.397	19.397	19.397	19.397	925.92	18.208	19.397	---	---	22.678	23.535	21.909	22.586	293.137	270.013	268.489	259.602	4.798	4.677	7.174	117.976	
7/15/2021	11:47:33	12.29		8.4161	7.8873	8.0338	8.2090	19.400	19.400	19.400	19.400	925.89	18.167	19.400	---	---	22.676	23.529	21.906	22.581	293.106	269.908	268.458	259.545	4.791	4.674	7.179	117.985	
7/15/2021	11:47:34	13.36		8.4153	7.8938	8.0399	8.2101	19.400	19.400	19.400	19.400	925.89	18.114	19.400	---	---	22.677	23.520	21.898	22.579	293.087	269.793	268.399	259.465	4.785	4.691	7.190	117.923	
